00-00	Adamuridagunt to Tagumairaguedaru Garada to Ayanuhabaun luagu le yubat haun guerigia ubauwagu
02-00	Saminaue 2
02-01	Ka guerigia, wueri, wuegueri, yuti lun libihini sun buidu le tidanbai Garada to, katai yebe, linasinnu, lewegerun, laguecha, lafine, linene, lisaminan luagu gumadi, luyeri libagari, lagueriahaun odi le auti lanagua lungua.
02-02	Sinabai gine, nei lan diseguaue luagu ligaburi saminaue anuegueti ubafu bagaira ni luagu tigaburi lurudu to agumairutu nei, sina memebai gine nei lan diseguaue luagu luyeri aruwaihani arainiruti bagaira, dipeni yebe ligia luaigien amu.
03-00	Saminaue 3
03-01	Ka guerigia yuti lun labagaridun kai le aubai labusienra, lun lasarinahan, aduegalai me le ligundan inebewa ligia me.
04-00	Saminaue 4
04-01	Uati lunti lamuridun ni lun lamudihan, luba amudihani luma lalugurun guerigia kai idamuni, faini lumuti lurudu.
05-00	Saminaue 5
05-01	Sinati basufuriragueduen guerigia, baruegueda, busiganu, ananeiha lun neigien bachuraguai.
06-00	Saminaue 6
06-01	Ka guerigia yuti lun, le nei lumuti, lun inebewa lan lau lumagagun, lugundgu ka mutu amu linahuri luai amu.
07-00	Saminaue 7
07-01	Sun mutu aban habu tigibugien lurudu, ani yuti gine tun lurudu tarihin hau. Yuti gine tun lurudu, lidan uarani, tererehan hau guerigia ligibugien furumieguaruegue luyeri nabahuedueni.
08-00	Saminaue 8
08-01	Yuti tun lurudu tarihin lau guerigia dan lerereguni likesin, gounigitai me hawai laganigu.
09-00	Saminaue 9
09-01	Tanagangien lurudu, sinati lasiadirun guerigia, sinati lebelurun furisun, sina labugun lagairagien.
10-00	Saminaue 10
10-01	Ka guerigia yuti lun, lidan uarani, lagambuniwa ligibugien gumadi lun luba gia lasubudiragun lungua, kalan yubai lun, luma le lunbail ladueuguueni taganagua lurudu.
11-00	Saminaue 11
11-01	Yuti tun lurudu tichigun ubafu lun fuledeiwati lun layanuhan luaugua lidan aguseruni.
11-02	Sinabai ladauenragueduenibu gumadi anhain ua lubai bidurun tidan lurudu. Sinabai gine badaueruen luagu saragu dan luai le tidanbai lurudu.
12-00	Saminaue 12
12-01	Uati lunti lachachan liuma lidaun libagari amu ni lananeihan haun liduhenu, madarahan ligia me hagaradan amu, ua meauseraguti. Yuti gine tun lurudu tereerehan laugien furumieguaruegue anhain asusereda aban lidangien lamiselu le.
13-00	Saminaue 13
13-01	Ka guerigia yuti lun lasarinahan le neihin lumuti labusienra, wiwan ligia me lidan furumieguaruegue fulasu le auti lagundara.
13-02	Ka guerigia yuti lun lafuridun lidangien furumieguaruegue fulasu, ibini lagairagien, giribuya ligia me lagairaun.
14-00	Saminaue 14
14-01	Dan lasigirun odi laibahaun furumieguaruegue guerigia, yuti lun lariahan munansu lidan furumieguaruegue ubau ani gatu gine lamunadun.
14-02	Sinabai gine ladauenruen amunadahauti luagu furumieguaruegue duru anhain uea lubai luyeri duru ligia tidan garada to agumairubaun tumagien Ubau Uaratu.
15-00	Saminaue 15
15-01	Ka guerigia yuti lun gagaira lan.
15-02	Sinati berederuni guerigia luai gagaria lan, sina berederuni anhain busien lubai lasansiruni lagaira.
16-00	Saminaue 16
16-01	Sun wueguerina hama wuerina dan busienguana lan haungua, yuti haun haduegueni habagari le auti heledaguai, katai yebe hanasinun, hagaira labu hafine; wiwan hamai mesun le lichigunbai sibili, laganagua hamagualu haman, labu larigien higiragun.
16-02	Anhain hinsinegua habai gadara-duntinu haungua, gawarabai hasibilirun anhana busien.
16-03	Umari habu isanigu hagia laguechabana ibagari lidan furumieguaruegue adamuri, ani yuti gine lun adamuri labu uruwai launigirunina.
17-00	Saminaue 17
17-01	Yuti lun ka guerigia larihin lau le lanibai luma le hanibai sungua luagu.
17-02	Sinatiberederuni guerigia luai le lanibai kaisi luai le yubai lun.
18-00	Saminaue 18
18-01	Sun guerigia yuti haun hasaminarun le auti habusienra, lun haduegueni le lichigun haritagun haun, subudigueda hamai me hafine lun ubau; gawarati gine hasansiruni kaisi hagumairagueduni, anhana busien.
19-00	Saminaue 19
19-01	Yuti lun ka guerigia larineguni lubaliti lidan adamuridaguni bidaudu lamanichaguedueniwa, gawara ligia ladueguen akutihani, libihin, arinahani, subudiguedalai tidangien furumieguaruegue gasibu, umalali tuma garuedia.
20-00	Saminaue 20
20-01	Sun guerigia yuti haun hadamuridagun hama ha umati habusienra kaisi haundaruh tidaun furumieguaruegue adamuri suneitu.
20-02	Sinati bafosurun guerigia lun lebelurun tidaun aban adamuri.
21-00	Saminaue 21
21-01	Yuti lun ka guerigia habuduhan lilana lagaira luagu haucha ligia me luaugua lun lebelurun lidaun gumadi.
21-02	Sun guerigia yuti haun, lidan uarani, habihin wadagimanu luma le arruwaihabai hagaira.
21-03	Le ligundan ubau ligia laguechabai ubafu lani gumadi; igundani le, arihuati dan nei lan asuesihani le ligiaguti, kaisi dan nei lan abuduhani lidan laruman.
22-00	Saminaue 22
22-01	Ka guerigia kai lilana fulasu, yuti lun libihin sun luyeri idemuai-seinsu, ibagari, anichigudandu hamagien lilana lagaira kaisi lasurunigien, lun luba gia lasandiragun lungua kai aban guerigia seriwiti.
23-00	Saminaue 23
23-01	Ka guerigia yuti lun lidan uarani, libihin aban wadagimanu, lun lariahan wadagimanu lehinsineti lun, kai gubairuegue libihin idemuai dan mayabun lan.
23-02	Yuti lun ka guerigia, lidan uarani, libihin aban meme fayei luagu aban meme luyeri wadagimanu.
23-03	Yuti lun ka guerigia awadigimariduti, libihin fayei lun gawarabai lan lawiwandun habu lanigu, ibiha ligia me, anhain emegeira, amu idemuai lumagien uruwai.
23-04	Yuti sun guerigia hadueguen aban adamuri lenebese wadagimanu, belu hagia me tidaun, lun luba gia haunigiruni le yubai haun.
24-00	Saminaue 24
24-01	Sun guerigia yuti haun, hemeragun larigien somu dan wadagimanu, lun hasarinahan dan mawadigimaridun haman, kaisi tafayeirun hasarinahan haun.
25-00	Saminaue 25
25-01	Ka guerigia yuti lun lamnuguen aban luyeri ibagari richati, lun luba gia gawara lan ladairun atuadini, araini, aigini, daueguaue, muna, lafaayeirun surusia luma furumieguaruegue megeiguaue haun lanigu. Yuti gine lun, libihin idemuai dan mayabun lan, dan lasandirun, dan lasinaragun lungua, dan hilaru, lumari, dan lawaiyadun, kai gubairuegue furumieguaruegue idemuai dan mama lan ligia ichiga uema lun leferidiruni lebuna libagari.
25-02	Yuti haun dagainatinu habu irahuenue lun letenirun haun, lau duari. Sun irahuenue ha nasiruatinu lidan odi barugudi luai sinbili, yuti haun hauniguirun lidan aban.
26-00	Saminaue 26
26-01	Sun gueurigia yuti haun habihin furendei. Anhana aturiaha tidan luban furumieti furendei, mafayeirubana ni aban gawanue. Yuti lun uruwai laturiagueduenina guerigia tidabn luban furumieti furuendei. Aturiahani tidan luban segandi furendei aban memebai lila haun sun mutu. Liabin ti ebeluruni tidaun luban furundei inuti, hafu lauchun guerigia luaugua.
26-02	Sun furendei mosu tariahan tahimeidun lusan guerigia, ru ligia inebehabu luagu sun le yubai haun lilana fulasu; luyeri furendei le lunbai libihini guerigia gatu gine lichigun saminaue lun neibai lan gufurandaue, awandahani labu umadaguaue hadan sun mutu, itararueguebai gawara lan lawandahani labu umadaguaue hadan sun mutu, itararueguebai gawara lan lawanserun tuadigimari Ubau Uaratu, lun luba gia nei meme lan darangilaue ubauwagu.
26-03	Yuti haun agueburigu hasuesihani luyeri furendei le lunbai habihini hasanigu.
27-00	Saminaue 27
27-01	Yuti lun ka guerigia laundarun lidaun lechun lagaira, le auti labusienra, lun layusurun lidangien hadineburi, ideha ligia me lun lawanserun lagaira.
27-02	Ka guerigia yuti lun taunigirun lidineburikai hamuga: garudia, akutihani, feindiraerereha tugia me lurudu laugien.
28-00	Saminaue 28
28-01	Ka guerigia yuti lun lauchun, lun neibai lan aban ueruduni lun giarabai lan lagumairun sun saminaue le tidanbai Garada to.
29-00	Saminaue 29
29-01	Sun guerigia anihain lunti laduegueni luagu lagaira, mamai nei lagueriahauwa, nei tahimeida lusan.
29-02	Sun guerigia mosu inebebaun tan lurudu lun, laduega tugiarueguenaun lan ariha lau le yubai haun amu, tugia aunigirubalin ibagari fulasrugu, ru tugia buidumei lun bawiwandun tidan aban adamuri uaratu.
29-03	Mauwebudunbai sun saminaue le tidanbaun Garada to, anhawa magunfulirun lau tubaliti Ubau Uaratu.
30-00	Saminaue 30
30-01	Uati ni aban saminaue tidan garada to lun hamuga lichigun ubafu lun furumieguaruegue (kai hamuga guerigia, adamuri, uruwai) lun gawarabai lan ladueguen somu katai barunati luagun tubaliti gaarada to.
