00-00	PORAUSENAPAN AN ARAMAS RAIT
23-03	Mei wor an emon me emon chon angang rait an epwe wenechchar me ukukoch niwinin ren an epwe pusin tufich won inisin tori an famini pwe repwe tongeni manaw non tettenin manawen aramas, o epwe pwan wor aninnisir, ika mei namot, o epwe tou ngenir non sokkun napanap minne epwe wor ren rer kinamwe.
23-04	Mei wor an emon me emon rait an epwe forata are choni mwichen chienan chon angang (trade unions) pun repwe pusin tumunufenginni mine repwe tufich ren.
24-00	Tetten 24.
24-01	Emon me emon aramas mei wor an rait an epwe asoso, o epwe pwan aukuk kunokun angang. Epwe pwan wor ekkoch ranin asoson angang nge epwe chok tou ewe niwin.
25-00	Tetten 25.
25-01	Emon me emon mi wor an rait an epwe ukukoch tufichin non an nonnom pun epwe wor pochokkun me kinamwe ren pusin won inisin tori chon an famini. Epwe wor aner mongo, ufer, imwer me tumunun safei ngenir tori sokkun amcheresin inis mi namot ngenir. Mei wor an emon rait an epwe tumunu fansoun an esewor an angang, fansoun an samaw, fansoun an ese chiwen tufich ne pusin tumunu, fansoun an mano punuan, fansoun an chinnap o pwal fansoun an ese chiwen tongeni tori pusin an tufich.
25-02	Inenap me semirit epwe wor tumunur me aninnisir. Semirit meinisin, upun non puppunu are upun neroch, repwe uri kinamwen tumun sokkun meinisin.
26-00	Tetten 26.
26-01	Mei wor an emon emon me emon rait an epwe fiti sukun, esap kamo an sukun non tettenin elementary (seni ewin tori awanuan). Emon me emon epwe fakkun wesewesen fiti sukunen elementary. Sukunen angang me sukunen kaeo epwe pwan mumungeni meinisin. Sukun tekia epwe suk ngeni meinisin chon tufich ngeni pokiten ar achocho.
26-02	Epwe fis pwe popunapen sukun an epwe aunusa ngeni emon aramas ukukun an tongeni kutta tufichin nein aramas meinisin. Epwe pwan fis pwe popunapen sukun an epwe aiti ngeni emon me emon unusen sufenin an aramas rait me popunapen pung. Sukun epwe awora mirit, tipen mwan me pwipwioch nefinen mu me mu, nefinen sokkun me sokkun aramas are nefinen namanam me namanam. Sukun epwe aiti aramas ar repwe anapano angangen United Nations pun epwe wor kinamwe non fanufan.
26-03	Inenap me semenap mei wor ar rait ar repwe finata sokkun sukun nour semirit repwe fiti.
27-00	Tetten 27.
27-01	Mei wor an emon me emon rait an epwe fori napanapen eorunien chon eu neni, an epwe kinamwe ne fori sokkun angang mi weswesen angoch non, o an epwe pwan aninnis non are uri tufichin namoten feffeitan sokkun angang meinisin.
27-02	Emo me emon mi wor an rait an epwe nom fan tumunun are uri namoten och pisek mi fisifota seni och sokkun angang a pusin forata won inisin.
28-00	Tetten 28.
28-01	Emon me emon epwe kinamwe non tumunun me punguochchun tettenin an aramas rait are pung usun mi mak non ei Poraus.
29-00	Tetten 29.
29-01	Emon me emon mi wor wisan ngeni ewe neni are aramasen ewe neni a angei unusen an tufich me ie.
29-02	Emon me emon epwe fori pungun unusen an rait, nge epwe chok tongeni aukuk fofforun pungun an kei rait ren sokkun annuk mi foruta fan iten an epwe wor ekiekin are sufenin an aramas meinisin rait o pwan fan iten an meinisin aramas repwe forachchu pungun wiser ngeni emon me emon pwe epewe wor kinamwe ekis meinisin.
29-03	Emon esap tongeni eaea ekkei rait me pung ren an epwe ngeni popun are annukun United Nations.
30-00	Tetten 30.
30-01	Ese wor och sokkun kapas non ei Poraus mi mutngeni eu mu, eu mwichen aramas are emon aramas an epwe fori och sokkun foffor ren an epwe ataeno ekkei rait me pung mi mak non ei Poraus.
