00-00	INTERU MUNDUCHO LAPAN RUNAKUNAPA DERECHUNKUNANTA WILAKUSHQAN
02-01	Lapantsikunapaqpis kay wilakushqancho eskribishqankaq dere.chuntsikuna. Kay derechuntsikuna iwalla kanman ima raesa runakunapaqpis, yoraqpaq yanapaqpis, warmipaq olqupaqpis ima klaesi rimaqkunapaqpis, mayqan relijyunkunaman kriyeqkunapaqpis, tsaynoq ima politikacho pureqkunapaqpis, mayqan nasyunpita runakunapaqpis, riku runakunapaq pobri runakunapaqpis, imanoq yurishqa kaqkunapaqpis, y tsaynoq imanoq kawaqkunapaqpis.
02-02	Kay derechuntsikuna iwalla kanman lapantsikunapaqpis. Markantsi nasyunnoq kaptin o mana nasyunnoq kaptinpis, markantsi kikintsipa munaynintsicho kaptin o jukpa munaynincho kaptinpis, markantsipa awturidaeninkuna imanoq kaptinpis, derechuntsikuna iwalla kanman.
03-00	NISHQAN KIMSA (3)
03-01	Lapantsikunapami derechuntsi kan mana pipis wanutsimaenantsipaq, Iibri munaynintsicho kawanantsipaq, y mana pipitapis mantsakuypa kawanantsipaq.
04-00	NISHQAN CHUSKU (4)
04-01	Manami pipis rantishqa runanoq arunmantsu jukpaq.
05-00	NISHOAN PITSQA (5)
05-01	Kastigashqa karpis, manami pipis fiypa nakatsishqaqa kanmantsu animal nakatsishqa kashqannoq, ni pasaypa umillatsishqapis kanmantsu.
06-00	NISHQAN SOQTA (6)
06-01	Lapantsikunatapis maycho tsaychoepis awturidaekuna mana jarukuylapa ali respitamashwan.
07-00	NISHQAN QANCHIS (7)
07-01	Laykuna jusgamashwan lapantsita iwalla. Kay karta eskribishqa kashqanpita mana kaesukoqkunapita Iaykuna kuydamashwan lapantsikunatapis mana despresyashqa kaylapa.
08-00	NISHQAN PUSAQ (8)
08-01	Juk runa, nasyunninpa layninta mana kaesukur, mana al ita ruramaptintsi, derechuntsi kanmi awturidaekunaman kejakoq aywanantsipaq. Y tsaycho lapantsi atyendishqa kashwan iwalla.
09-00	NISHQAN ISQUN (9)
09-01	Manami pipis lutalaqa presutsishqa kanmantsu karsil wayiman. Ni tsaynoqpis lutalaqa qarqushqa kanmantsu markanpita.
10-00	NISHOAN CHUNKA (10)
10-01	Lapantsikunapami derechuntsi kan imalapitapis runakunapa nawpancho jusgashqa kanantsipaq, alipita mana alipitapis. Tsay mana alita jusganman juk tsaycho mana jatikashqa kaq awturidae iwalla mana mayqanpapis faburnin sharkuylapa.
11-00	NISHQAN CHUNKA JUK (11)
11-00	Lapantsikunapami derechuntsi kan "Jutsaynaqmi kanki" nimaenantsipaq imalapitapis akusashqa kaptintsipis manaraq shumaq musyakashqa kaptenqa. Lay nishqannoq musyakashqa kanman lapan runakunapa nawpancho imalapis defyendikunantsipaqnoq kaykaptenqa.
11-01	Manami pipis kondenashqa kanmantsu rurashqanpita y mana rurashqanpitapis tsay jinan oeraqa mana nawpapita patsa nasyunninpa laynincho "tsaynoq katsun" nishqa kaptin, y tsaynoqpis lapan nasyunkunapa yarpashqan layninkunachoepis. Jutsantsikunapita kastigashqa kanantsipaq kaqkunapita manami mastaqa kastigashqa kashwantsu jutsantsi kaptinpis.
12-00	NISHQAN CHUNKA ISHKAY (12)
12-01	Juk runataqa manami pipis lutalaqa imatapis ruranmantsu: kikinta, familyankunata, ni wayinkunatapis. Ni eskribishqan kartankunatapis ama kichanmantsu. Tsaynoqpis ama ashlinmantsu. Lapantsikunapami derechuntsi kan tsaykunapita laykuna kuydamaenantsipaq.
13-00	NISHQAN CHUNKA KIMSA (13)
13-00	Lapantsikunapami derechuntsi kan maypapis libri purikunantsipaq y maychoepis nasyunnintsichoeqa taekunantsipaq.
13-01	Lapantsikunapami derechuntsi kan kikintsipa nasyunnintsikunapita yarqunantsipaq y tsaynoqpis kutimunantispaq.
14-00	NISHQAN CHUNKA CHUSKU (14)
14-00	Lapantsikunapami derechuntsi kan juklae nasyunkunacho wayintsita ashir taekunantsipaq qatikachaemaqnintsikuna kaptin.
14-01	Markantsipa kontran ni Nasyones Unidaspa kontran juk runa ima jutsatapis rurar manami ninmantsu "Noqapa derechoe kanmi juklae nasyunman aywakur taekunaepaq qatikachamaqn. kaptin." Jutsantsikuna ima politikakunapita kaptinmi itsanqa derechuntsi kan qeshpikunantsipaq.
15-00	NISHQAN CHUNKA PITSQA (15)
15-00	Lapantsikunapami derechuntsi kan may nasyunkunamanpis pertene.sinantsipaq.
15-01	Juk nasyunman pertenesiyta munaptintsi, manami pipis lutalaqa nimashwantsu "Manami qam pertenesinkimantsu kay nasyunman." Tsaynoqpis lutalaqa nimashwantsu "Qam manami kikikipa nasyunnikimanpis pertene'sinkimantsu."
16-00	NISHQAN CHUNKA SOQTA (16)
16-00	Olqupapis y warmipapis, edaeninman chayaptin, derechun kanmi kasarakunanpaq. Tsaynoq derechun kan kasarakunanpaq ima raesa runakunawanpis, mayqan nasyunman pertene.seqkunawanpis, ima relijyunkunaman kriyeqkunawanpis. Tsaynoq kasarakurmi derechun kan familyanta formananpaq. Kasaedu kar, rakikashqa kar, o mayqankuna nawpata wanuptinpis, derechunkuna kanmi iwalla olqupaq y warmipaqpis.
16-01	Manami pipis fersanmantsu kasarakunanpaqqa. Itsanqa kasarakaerenqa kikinkuna awninakur munanakushqalanpita.
16-02	Tsay kasarashqa kaqkunapitami juntakashqa kaykan lapan markakunapis. Tsaynoqpis derechun kanmi runakuna y nasyunpa mandaqninkunapis kasarashqa kaqkunata kuydananpaq.
17-00	NISHQAN CHUNKA QANCHIS (17)
17-00	Lapantsikunapami derechuntsi kan imaykantsikunapis kikintsipaq kananpaq. Y tsaynoqpis derechuntsi kanmi pi lawanpis imaykantsikunalachoepis dwenunoq kapaekunantsipaq.
17-01	Manami pipis lutalaqa qechunmantsu pitapis imalankunatapis.
18-00	NISHQAN CHUNKA PUSAQ (18)
18-01	Lapantsikunapami derechuntsi kan shonquntsicho munashqantsita yarpanantsipaq y munashqantsi relijyunman kriyinantsipaq. Tsaynoq derechuntsi kaptin trukashwan juk relijyunpita juk relijyunmanpis. Relijyunnintsita rikatsikushwan japalantsi y wakin runakunawanpis, kikintsikunalapaq o runakunapa nawpanchoepis. Tsaynoq rikatsikushwan yachatsikushpantsi, kumplishpantsi, y kultuntsikunata rurashpantsi.
19-00	NISHQAN CHUNKA ISQUN (19)
19-01	Lapantsikunapami derechuntsi kan yarpashqantsita parlanantsipaq mana pipis fastidyaylapa. Tsaynoqpis derechuntsi kanmi ima notisyakunalatapis ashinantsipaq runakunata mayatsinantsipaq imaykanoqpapis: parlaypa, eskribiypa, o radyupa pasatsiypapis mayqan nasyunkunamanpis.
20-00	NISHQAN ISHKAY CHUNKA (20)
20-00	Lapantsikunapami derechuntsi kan juk patsalaman juntakaenantsipaq itsanqa mana bullata ruraylapa.
20-01	Mana munaptenqa manami pipis pitapis "kay noqakunaman pertenesiy" ninmantsu fersaypaqa.
21-00	NISHQAN ISHKAY CHUNKA JUK (21)
21-00	Lapantsikunapami derechuntsi kan nasyunnintsikunacho mandaq kayta munar chayanantsipaq. Tsaynoqpis derechuntsi kanmi kikintsi jukta munashqantsi kaqta akranantsipaqpis mandaq kananpaq.
21-01	Lapantsikunapami derechuntsi kan iwalla awturidae kanantsipaq nasyunnintsikunachoepis.
21-02	Markakunapa munayninchoemi churakashqa kanman gobyernupa yanapaesheqnin awturidaekuna. Tsaykuna rurakashqa kanman kaeda boetukuna watakunalacho. Tsaymi Iapantsikuna imanoq karpis munashqantsi kaqpaq iwalla pakaylapa boetushwan. Tsaycho gaenaq kaqmi yaykunman awturidae kananpaq. Mana pakaylapa boetorqa juknoqpa boetushwan awturidaenintsikuna markantsi munashqannoq akrashqa kananpaq.
22-00	NISHQAN ISHKAY CHUNKA ISHKAY (22)
22-01	Lapantsikunapami derechuntsi kan ali kawanantsipaq. Wakin imayoqpis kaqkuna yanapaeshinman mana imayoqpis kaqkunata. Tsaynoqpis nasyunnintsipita y juklae nasyunkunapitapis pwedishqanyaq yanapaeshinman pishiycho kawaqkunata lapan derechunkuna kumplikaenanpaq. Tsay yanapaeshiy kanman respitashqa kanantsipaq y kikintsi aliyaetsikunantsipaqpis.
23-00	NISHQAN ISHKAY CHUNKA KIMSA (23)
23-00	Lapantsikunapami derechuntsi kan kikintsikuna munashqantsinoq arunantsipaq mana despresyashqa kaylapa. Shumaq sigurashqa kanman ima aruychoepis. Y tsaynoqpis aruynintsipita yarquptintseqa yanapaeshishqa kashwan imalawanpis.
23-01	Lapantsikunapamj derechuntsi kan mana despresyaylapa aruynintsikunacho iwal gaenanantsipaq wakin aroq mayintsikunanoq.
23-02	Lapan aroqkunapami derechun kan ali paegashqa kananpaq kikinpaqpis y familyankunapaqpis ali respitashqa runanoq kawananpaq. Pishepakoqnoq kaptenqa yanapaeshishqa kanman imanoqpapis runa mayinkunapita.
23-03	Lapantsikunapami derechuntsi kan aroq mayintsikunawan juntakaykur imalatapis formanantsipaq mandaqnintsikunapita respi tatsimaenantsipaq.
24-00	NISHQAN ISHKAY CHUNKA CHUSKU (24)
24-01	Lapantsikunapami derechuntsi kan aruynintsikunapita jamakunantsipaq. Manami alaepaqa arushwantsu pwedishqantsipita mastaqa. Y tsaypita juk watata kumplirkuptin bakasyunnintsi kanman itsanqa paegashqa
25-00	NISHQAN ISHKAY CHUNKA PITSQA (25)
25-00	Lapantsikunapami derechuntsi kan ima!antsikunapis ali aypaenanpaq kikintsikunapaq y familyantsikunapaqpis. Tsaykunapaqqa kanman kaykuna: mikuynintsikuna, roepantsikuna, wayintsikunapis. Tsaynoqpis qeshyaptintsi medikukuna atyendimashwan, y imalachoepis wakin runakuna yanapaeshimashwan. Tsaynoqpis derechuntsi kanmi kuydashqa kanantsipaq mana aruynintsi kaptin, qeshyaqtukur mana aruyta pwediptintsipis, byudayashqa kaptintsipis, awkin kaptintsipis, o ima desgrasya paesamaptintsipis.
25-01	Wachaq warmipa y akapa wamrankunapapis derechun kanmi shumaq ali kuydashqa kananpaq. Kasarashqa kaqkunapa y mana kasarashqa kaqkunapapis wamrankuna iwalla derechun kanmi kuydashqa kananpaq.
26-00	NISHQAN ISHKAY CHUNKA SOQTA (26)
26-00	Lapantsikunapami derechuntsi kan dembaldila primarya kaq eskwelakunaman yachakoq yaykunantsipaq. Manami ni juklaylapis mana yachakuypaqa kanmantsu. Tsaynoqpis mas jatun kaq yachakuy eskwelakunapis kanman imalapis kayta munaptintsi yachakunantsipaq. Tsay eskwelakunaqa lapan runakunata chaskinman iwalla yachashqantupu.
26-01	Kay yachakuy kanman noqantsikuna runa mayintsikunawan ali shonquyoq kanantsipaq. Tsaynoqpis kanman runa mayintsikunapa derechunkunata respitanantsipaq, tantyanakunantsipaq, pasensyantsi kananpaq y pipis yanasantsi kananpaq. Tsaykuna kanman markantsikunawan, juklae nasyunkunawan, jukniraq raesakunawan, ima relijyunkunaman kriyeqkunawanpis. Tsaynoqpis yachakuy kanman yanapaenantsipaq Nasyones Unidasta runakunata ali kawayman churananpaq.
26-02	Taytankunapami derechun kan tsurinkunata munashqannoq imanoqpapis edukananpaq.
27-00	NISHOAN ISHKAY CHUNKA QANCHI (27)
27-00	Lapantsikunapami derechuntsi kan markantsikunacho kustumrintsikunata ruranantsipaq. Tsaynoqpa munaq kaqpa derechun kan kantananpaq, dansananpaq, dibuj ananpaq, tukananpaq, puklananpaq, y imalatapis rurananpaq markanpa kustumrin kashqannoq. Tsaynoqpis juk yachaq imalatapis mushoqta ruraptenqa tsay kanman lapantsikunapaq juknintsi y juknintsipis mas ali kawanantsipaq.
27-01	Lapantsikunapami derechuntsi kan imalatapis mushoqta ruraptintsi o eskribiptintsi kikilantsipaq gaenashqantsi kaqkuna kananpaq. Manami pipis ninmantsu lulakushpan "Noqami rurashqae kayta" tsaynoqpa apakunanpaq ruraq kaqpa derechunta.
28-00	NISHQAN ISHKAY CHUNKA PUSAQ (28)
28-01	Lapantsikunapami derechuntsi kan gobyernuntsi kananpaq nasyunnintsikunacho y lapan nasyunkuna juntakashqanchoepis kay derechuntsikuna rasunpa kumplikashqa kananpaq.
29-00	NISHQAN ISHKAY CHUNKA ISQUN (29)
29-00	Lapantsikunapami ruranantsikuna kan markantsicho kumplinantsipaq. Tsaynoqlapami aliyaetsikuntsi kikintsikuna.
29-01	Derechuntsikunata rurarpis mana qechushwantsu jukpa derechunkunata. Tsaypaq kanmi laykuna respitatsikunantsipaq y tsaynoqpis reqitsimaenantsipaq wakinkunapa derechunkunapis kashqanta. Tsaynoqpis tsay laykuna kaykan ali shonquyoq runakuna kanantsipaq, ali respitanakunantsipaq, y ali runa mayintsikunawan kawanantsipaq. Tsay ali kaway kaykan runakuna awturidaeninkunapaq boetushqan nasyunkunacho.
29-02	Kay derechuntsikunata kumplishpantsi manami Nasyones Unidas nishqankunapa kontrannin yarqushwantsu.
30-00	NISHQAN KIMSA CHUNKA (30)
30-01	Kay nishqankunacho manami qam tarinkimantsu derechuykikuna kaptin pipa derechunkunatapis elqaetsinaykipaq imata rurashpaykipis. Tsaynoq kaykan qampaq, juk nasyunpaq, juntakashqa runakunapaq, o pi runalapaqpis.
