00-00	TEKOVE YVYPORA KUERA MAYMAYVA DERECHO KUAAUKAHA
11-01	Onembojaro petei tapichare hembiapo vai hague, oguereko derecho onepensavo hese nda'upeichaiha, nahesakai aja ha'eha culpable; pe nemyesaka oido va'era tribunalpe, ha oguereko va'era upepe mayma garantia oikoteveva onedefende hagua.
11-02	Avavepe nonecondeva va'erai ojapo tera ndojapoi haguere petei mba'endaha'eiva delito upe java, tetapypegua lei tera tetanguera leipe guara. Noneme'e va'erai avei castigo pohyve leipe oivagui oiko jave delito.
12-00	Art. 12
12-01	Ndaikatuj oimehaicha reinte ojeikevo petei tapicha rekovepe, hoga, hogapy tera icarta kuerpade. Naikatui avei ojepokontevo hera tera herakua porare. Mayma yvypora oguereko derecho lei onangarekovo hese ko'amba'epe.
13-00	Art. 13
13-01	Mayma yvypora oguereko derecho ou ha oheovo tetapyre ha oiporavovo moooikota petei teta ryepype.
13-02	Mayma yvypora oguereko derecho osevo oimeraeva tetagui, taha e jepe hetatee, ha upei ou jevyo hetame.
14-00	Art. 14
14-01	Ojepersegui jave ichupe, mayma tekove ikatu oho onemo'a hagua oimeraeva tetame.
14-02	Ko derecho ndaikatui ojeporu persecucion ouro justiciagui tembiapo vaikuere, tera ojeho rupi Naciones Unidas remiandu ha rembipota contrape.
15-00	Art. 15
15-01	Mayma yvypora oguereko derecho hetavo.
15-02	Avavegui ndaikatui ojepe'a oimehaicha reinte heta derecho oguerekovagui okambiavo upe heta.
16-00	Art. 16
16-01	Kuimba'e ha kuna maymava, omendakuaaha tiempo guive, oguereko derecho omdavo ha omonepyruvo petel ogapy. Ko'avara ndaikatui of problema ouva raza, teta, tera religiongui. Petelcha va'era 1 derecho kuera menda reheguava, oiko aja kupukue hikuai menda ryepype, ha evei sapyante onembyairo upe imenda kuera.
16-02	Menda ikatu oiko umi omendatava otro anoite petel ne'eme upevera, ojeheguiete, avave ojopy'yre ichupekuera.
16-03	Familia ha'e sociedad apyra ha nepyruete, ha oguereko derecho onangarekovo hese sociedad ha Estado.
17-00	Art. 17
17-01	Mayma yvypora iderecho oguerekovo imbaeteeva, ha ha'eno haicha, ha avei ambuerkuera ndive.
17-02	Avavegui ndojepe'a va'erai oimehaicha reinte imbae teeva.
18-00	Art. 18
18-01	Mayma yvypora oguereko derecho onemonguevo ojeheguiete, inaka, inconciencia ha ireligion he'i haicha ichupe. Ko derechope oike ikatuha okambia ireligion ha ijerovia, avei ohechaukavo ko'ava ha'eno haicha tera ambuekuera ndive,opavave renondepe tera ha'enohape, tekombo'e, tera jeiko upeva he'i haicha rupive.
19-00	Art. 19
19-01	Maypa tapicha iderecho oguerekovo ijidea ha inenandu tee, ha upeva oikuaaukavo ojejuru mboty'yre ichupe; ko derechope oike avavepe nonnemolestaivo marandu ha opinion kuera, ha avei onemosarambivo ko'ava opaite hendarupi, mayma tembiporu upevara oiva rupive.
20-00	Art. 20
20-01	Mayma yvypora oguereko derecho ijatyvo onondive ha ojapovo joaju hapicha kuera norairo'yre.
20-02	Avavepe ndaikatui ojejopy oike hagua petel asociacionpe.
21-00	Art. 21
21-01	Mayma yvipora oguereko derechoijavo heta resambyhype, ha'ete voi, yro katu hemimoingue, h'ae oiporavo va'ekue rupive.
21-02	Mayma tapicha oguereko derecho petelichapante, ohupityvo cargo publico kuera hetame.
21-03	Mburuvicha kuera omanda ha oisambyhy hagua teta, tetaygua kuera ome'ee ichupekuera upe pu'aka. Ha ko tetaygua kuera rembipota ojechauka va'era eleccion ipotiva rupive,cada cierto tiempo oiko va'erava, maymavaite ijahapem ha peteicha ivoto kuera ovalehape; avei avave oikuaa'yre mavarepa revota, ikatu haguaicha avave nandejopyiupe jeporavo apope.
22-00	Art. 22
22-01	Mayma yvypora, ha'erupi sociedad pegua, oguereko derecho pe sociedad onangarekovo hese. Upevaa pe heta oneh'a mbaite va'era, ha tetanguera onopytyvo va'era, recurso ha organizacion teta oguerekova rupive, maymavaite ohupity hagua hemikoteve economico social ha cultural, oiko hagua ichugui persona anetete.
23-00	Art. 23
23-01	Mayma yvypora oguereko derecho omba'apovo ojeheguiete hembiapora, pe imba'apope onemongu'evo iporave haguaicha, ha onenangarekovo hese ani opyta trabajo'yre.
23-02	Mayma yvypora oguereko derecho, mba'eveichagua jeporavo'yre, pretelchante ojepagavo ichupe, petelchatero hembiapo.
23-03	Mayma omba'apova oguereko derecho oganavo hekope pora, oikokuaa haguaicha, ha'e ha hogaygua, idignidad humana ojerure haicha. Ndohupitypairo ichupe oimeraeva medio pytyvora sociedad oguerekovagui.
23-04	Mayma tapicha oguereko derecho ojapovo sindicato ha ojoajuvo hapicha mba'apohara ndive, ininterese kuera odefende hagua.
24-00	Art. 24
24-01	Mayma yvypora oguereko derecho opytu'uvo, ho'ureimivo nombaapoi jave; avei omba'apovo omba'apo hagua ha'ora pevente, ha ivacacionvo oguahe vove jepi tiempo, ha upe aja ojepagavo ichupe.
25-00	Art. 25
25-01	Mayma yvypora oguereko derecho oikove olgadomivo, ani hagua ichupe voi, ha hogayguape avei, ofalta ho'uva'era, ipoha repyra, inemondera, oga oiko hagua, ha ambue mba'e oikoteveva oikove hagua. Iderecho avei oguereko seguro onemongui ramo guara imba apohagui, tera katu hasy, ndovalevei, imena mano, itujaiterei, tera ambue mba'e rupi indojevale kuaavei ramo guara ojehe.
25-02	Sy ha mitare onenangareko va'era iporave haguaicha. Mayma mita, omendava oguereko derecho sociedad onangarekovo hesekuera.
26-00	Art. 26
26-01	Mayma yvypora oguereko derecho ojehekombo'eukavo. Pejehekombo'e reinte va'era, pe inepyruetepeguante jepe. Pe tekombo'e jehai ha jeleente jepe hagua, ha'e va'era obligatorio. Profesion kuera ha tecnica neaprende, olva'era enteroitepe ohupity haguaicha. Umi universidad rupi ojeike hagua, katupyry rehente odepende va'era, ha mayma interesadope oneme'eva'era juruja.
26-02	Pe educacion rembiapora ha'eva'era: tojapo tekove mayagui persona anetete, okakuaava opaichavo. Omombarete va'era derecho ha libertad nemomba'e guasu. Oipytyvo va'era olhagua jekopyty, noaguanta kuaa, joayhu, mayma teta ha raza tera religion onondive. Omboguata va'era avei umi tembiapoukapy Naciones Unidas omolva ol hagua tapiaite py'aguapy.
26-03	Sy ha tuvakuera oguereko derecho itendondevo oiporavo hagua mba'eichagua educacionpa oneme'eta imitanguerape.
27-00	Art. 27
27-01	Mayma yvypora oguereko derecho oparticipavo, avave ojopy tera ojoko'yre ichupe, incomunidad rekotee nenandukape; ombovyavo ichupe umi tembiapokue pora hechapyra; avei oparticipavo umi arandu pyahu oikevape, ha umi jeiko porave ko'agarupi ouvape.
27-02	Mayma yvypora oguereko derecho onenangarekovo ichupe interese moral ha material oguerekova rehe, ha'erupimba'epyahu tera ne'e yvoty, kuatia arandu tera tembiapo hecharamomby apohare.
28-00	Art. 28
28-01	Mayma yvypora oguereko derecho ojejapovo ichupe hetasme ha hetanguera apytepe, petef jeikoha onemo'anatehape derecho ha libertd kuera onnemolva ko Declaracionpe.
29-00	Art. 29
29-01	Mayma yvypora oguereko tembiapora comunidad ndive guara, upepe mante ikatugui okakuaa ha hi'aju persona haicha.
29-02	Lei mante ikatu omol linde ikatu'yva jahasa jaiporukuevo nande libertad kuera, ani hagua napyru nande rapicha derecho ha libertad rehe; avei jaiko hagua moral ojerure haicha, orden publico oipota haicha, ha petel sociedad democratica reko py'aguapy oikoteve Haicha.
29-03	Ko'a derecho ha libertad juera mba'eveichvero ndaikatui ojeporu Naciones Unidas oipota ha opensava contrape.
30-00	Art. 30
30-01	Mba'evepunto ko Declaracionpe olva nonentende va'erai ome'e Estadope, petel aty tera petel tapichape, omonepiru ha omboguata hagua algun tembiapo ikatuva omboyke petelva jepe umi derecho ha libertad kuera onemboysyva ko Declaracionpe.
