00-00	Declarason di mundo intero di Dreto di tudo homi co tudo mudjer
02-01	Tudo ser humano na es mundo podi invoca di dreto e di liberdadi qui sa ta ser porclamado nes Declarason li, sem distinson algum di oto, nomeadamenti, di rasa, di cor, si el e homi o mudjer, si el tem oto lingua, di religion o di oto crensa, di opinion politica, o oto li, di orija nacional o social, di fortuna, di undi e nace o di calquer oto situason.
02-02	Dispos disso tudo, ninguem ca pode bem faze ningum distinson fundamentado na statuto politico, na cusas di tribunal qui ta tchomado "juridico", o internacional, di pais o di nason undi bu nace, nim qui esse nason o territorio di naturalidade d<control>ess pessoa mesmo qui essi pais sta indipendenti, o sta dibaxo di ordi di oto, o si el sta libre o dibaxo di algum limitason di aotoridadi, qui nu pode tchoma<control>l "di soberania".
03-00	Artigo 3º
03-01	Tudo arguem tem dreto di se bida, di tem liberdadi e, tem di tem siguransa di el propri.
04-00	Artigo 4º
04-01	Ninguem al pode fica scrabo o na catibero; fica scrabo o trato di scrabo e ca pirmitido, di calquer manera qui bem ta ser.
05-00	Artigo 5º
05-01	Ninguem ca pode bem ser torturado nin pode tem castigo, o bem tem tratamento di brutalidadi, tratamento horrive ou di disonra.
06-00	Artigo 6º
06-01	Tudo homi di Deus tem dreto di ser conchido na tudo lugar di se propri pessoa djusto tambe na cusas di tribunal.
07-00	Artigo 7º
07-01	Tudo nos e igual diante di lei e, sem distinson, nu tem dreto pa igual porteson pa ser difendido dento di lei. Tudo nos tem dreto di bem ser portegido di mesma manera, di calquer discriminason que pode bem altera es Declarason di qui nu sa ta fla e contra calquer fomentason pa faze es discriminason.
08-00	Artigo 8º
08-01	Tudo guenti tem dreto pa ricurso efectivo di quexa na jurisdison nacional compitenti, di tudo cusa qu<control>e sabe qui ta viola nos dreto qui tem mas fundamento e qui e reconhecido na lei o na Constituison.
09-00	Artigo 9º
09-01	Ninguem pode, di calquer manera, bai ser lebado pa prison, o fica na prison, o ser mandado di castigo pa longe di se tera. (Es cusa li e ta tchomado di "exilio").
10-00	Artigo 10º
10-01	Tudo pessoa tem dreto, por igual, qui se causa bem ta ser judiciado na igualdade e publicamenti julgado num tribunal indipendenti e justo qui ta bem dicidi di ses dreto e di ses obrigason o di razon di calquer acusason na assunto di tribunal qui es bem po contra el.
11-00	Artigo 11º
11-01	Tudo arguem qui ta bem ser pontado di um acson di culpa, nu tem qui pensa qu<control>el sta nocenti to qui si culpa bem fica sclarecido dento di lei na andamento di um porcesso publico undi tudo garantia necessario di difesa debe bem ser garantido pa el.
11-02	Ninguem al pode ser condenado por acson o por omisson, si na occasion qu<control>el ta fazeba el, tudo es cusa ca era proibido dento di lei di si tera o di lei internacional. Di mesma manera um djuiz ca pode sentencia castigo mas pesado di quel que divia di ser na hora qui quel delito baba ta ser feto.
12-00	Artigo 12º
12-01	Ninguem pode sofre di intromisson arbitrario na se bida di el propi, na di se familia, na domicilio di sel, o na se carta di correio, nim el ca pode ser tacado na si honra e reputason. Ninguem al podi tem intromisson arbitrario na si bida di el propi, na si familia, na si casa o na carta di sel qui bem di correio, e ninguem pode fla mal di honra e reputason di cada um. Contra tudo es intromisson o ataqui, tudo arguem tem dreto di ser portegido pa lei.
13-00	Artigo 13º
13-01	Tudo arguem tem dreto di anda pa tudo lado, e di scodje si casa pa mora dento di um Estado.
13-02	Tudo arguem tem dreto di bandona calquer tera undi qu<control>e sta, mesmo si e undi e nace, e el tem dreto di bolta para si tera cando el cre.
14-00	Artigo 14º
14-01	Tudo pessoa qui sa ta ser persiguido tem dreto di porcura e di benificia di asilo na otos nason.
14-02	Es dreto li ca pode, contudo, bai ta ser invocado na caso di algum porcesso, qui el realmenti tem e qui dja tem crimi di dreto comum o di actividadi contrario di finalidade e di licerce di Nason Unido.
15-00	Artigo 15º
15-01	Tudo individe tem dreto di tem se nacionalidadi.
15-02	Ninguem ca pode ser, arbitrariamenti, privado di se nacionalidadi nim di dreto di muda di nacionalidadi.
16-00	Artigo 16º
16-01	A partir di idadi novati, tudo homi co tudo mudjer tem dreto di casa e di construi se familia sem limitason nim di rasa, nacionalidadi o religion. To-qui dura casamento e na hora di se separason es dos tem igual dreto.
16-02	Casamento ca pode ser celebrado sem libi e pleno consentimento di ques qui sa ta bai ser marido e mudjer na futur.
16-03	Familia e um elemento natural e fundamental num sociedadi e el tem dreto di ser portegido di sociedadi e di Estado.
17-00	Artigo 17º
17-01	Tudo pessoa, individual o juntamenti, tem dreto di tem se propriedade.
17-02	Ninguem podi bem ta ser, arbitrariamenti, privado di se propriedade.
18-00	Artigo 18º
18-01	Tudo pessoa tem dreto di tem liberdadi di pensamento, di concensa e di religion; es dreto li ta implica liberdadi di muda di riligion o di convicson, asi cuma quel liberdadi di manifesta se religion o se convicson, si el sta so, el co el, o co otos, tanto na meio di publico o em particular, na qu<control>e ta faze sempri, tudo dia, na se religion e na quel qui, na Portugal, es ta tchoma "ritos".
19-00	Artigo 19º
19-01	Tudo individe tem dreto di tem liberdadi di opinion e di papia, sim porblema; assi el tem dreto di ca ser incomodado por causa di ses opinion e el pode porcura ricebe e spadja, sem considerason di frontera, calquer informason e idea, di calquer modo qui el cre faze el.
20-00	Artigo 20º
20-01	Tudo arguem tem dreto na liberdadi di reunion e di associason co intenson di paz.
20-02	Ninguem podi ser obrigado pa faze parte di calquer associason.
21-00	Artigo 21º
21-01	Tudo pessoa tem dreto di faze parti na direson di negoce publico di se tera, quer direitamenti o por intermedi di representanti librementi escodjido.
21-02	Tudo pessoa tem dreto di entra na funson publica di se tera,o di se pais.
21-03	Vontadi di pobo e quel licerce di otoridadi di poder di publico; e debe mostrano-el co eleison serio qui ta bem ser feto, na tempo marcado, por votason geral na condison di igualdadi co voto sicreto o si-ma-dja um processo equivalenti podi garanti liberdadi di voto.
22-00	Artigo 22º
22-01	Tudo guenti, qui e mom di um sociedadi, tem dreto pa tem seguransa social e el pode, dento di lei, com tudo ligitimidade, exigi satisfason di ses dreto economico na sociedadi e di cultura indispensave, grasa qui nu tem qui da na esforso nacional e na cooperason internacional, di harmonia co organizason e co recurso di cada pais.
23-00	Artigo 23º
23-01	Tudo guenti tem di tem trabadjo, di pode scodje se trabadjo, co condison igual e qui pode satisfazel na trabadjo e el pode tem proteson contra falta di trabadjo. (disemprego)
23-02	Tudo arguem tem dreto, sim discriminason ninhum, pa tem salario di harmonia co se trabadjo. Salario igual pa trabadjo igual.
23-03	Quem qui trabadja tem dreto di tem remunerason equitativo e satisfatorio pa pode pirmiti pa el e pa se familia um existensa conformi co dignidadi humano e, completado, si for possive, co tudo oto meio di porteson social.
23-04	Tudo pessoa tem dreto di funda co otos pessoa, quel sindicato, e di bem filia na sindicato qui ta bem difendi ses interessi.
24-00	Artigo 24º
24-01	Tudo pessoa tem dreto pa discansa e pa se lazer e, naturalmente, e tem limitason qui nu ta ceta, qui e quel di durason di trabadjo e di feria, qui es tem obrigason di pagano.
25-00	Artigo 25º
25-01	Tudo pessoa tem dreto pa tem um condison di bida suficienti pa da<control>l siguransa pa el e pa familia, na saude e na largueza, principalmenti na qui nu ta cume, na nos ropa, pa tem undi el pode aloja arguem, pa ser sistido pa dotor e tambe na serviso social necessare, e e tem dreto na siguransa social si el sta sim trabadjo, tambe na doensa, e inda naquel qui e estropiado, qui ca tem marido, qui sta na bedjisa, o notos caso, di perde manera di tem meio di subsistensa, por cusa qui pode ser indipendenti di se vontade.
25-02	Maternidade e infansa tem dreto di tem djuda e di ser amparado co muto cudado. Tudo minino qui nace dento o fora di casamento, ta goza di mesmo porteson social.
26-00	Artigo 26º
26-01	Tudo pessoa tem dreto pa tem educason. Educason debe di ser di grasa, pelo menos quel qui e parcedo co quel di scola elementar fundamental. Quel scola elementar e obrigatore. E n<control>es scola tecnica e profissional debe di ser pa tudo criansa sem distinson; pa nu entra num scola superior, el debe sta aberto pa tudo guenti por igual e, segundo ses capacidadi e ses merecimento.
26-02	Educason debe ponta pa espadja um completo expanson di personalidadi di tudo homi co tudo mudjer e pa reforsa dreto e liberdadi fundamental di tudo homi co tudo mudjer e di liberdadi di mas fundamento e e debe djuda pa nu compreende midjor quel tolerancia e amizadi di nason co nason e di tudo grupo racial ou di riligion como tambe quel crescimento di actividadi di Nason Unido pa conserba paz.
26-03	Pai co mai tem prioridadi di tem dreto pa scodje calquer educason pa da ses fidjo o fidja.
27-00	Artigo 27º
27-01	Tudo pessoa tem dreto di toma, parti librimenti, na bida cultural di comunidadi, di goza tudo arte e di participa na porgress di ciensa e na benefice qui pode resulta di tudo es cusa li.
27-02	Tudo guenti tem dreto di ser portegido na se interesse moral e material qui pode sta ligado na calquer produsao di cusas de ciensa, di escrita ou di arte di se lavra.
28-00	Artigo 28º
28-01	Tudo pessoa tem dreto pa bem po, na plano social e na plano internacional, um ordi qui pode ser capaz di torna completamente efectivo tudo dreto e liberdadi qui nu caba di fla nes Declarason li.
29-00	Artigo 29º
29-01	Um pessoa tem obrigason pa co se comunidade, fora di onde e ca tem possibilidadi di tem quel libri e completo desenvolvimento di se personalidadi.
29-02	Na exercice dessi dreto e cando e ta goza essi liberdadi, ninguem pode fica dipendenti, sinau naquel limitason feto e estabilicido, exclusivamenti pa faze pormoson di reconhecimento e quel respeto di dreto e liberdadi di otos guenti pa pode satisfaze ques exigensa justo di moral, di ordi publica e di bem-estar num sociedadi democrata.
29-03	Em ninhum caso essi dreto e liberdadi ta bem pode ser exercido em contrario di fim e di principos di Nason Unido.
30-00	Artigo 30º
30-01	Ningum disposison di ess Declarason li, pode bem ta ser intendido di um manera qui pode bem involve pa calquer Estado, grupo di guente o um so pessoa, quel dreto di bem faze calquer actividade o di partica algum cusa qui pode bem destronca dreto e liberdadi qui nu sa ta caba di fla.
