00-00	DECLARASON UNIVERSAL DI DIRITU DI OMIS
01-01	Tudu pecadur padidu livre, ninguin ca mas ninguin, tudu djusta, tudu tem mesmu diritu. Tudu quin qui padidu, tem si roson, cu si manera di pensa. Na metadi di utrus I dibidi fassi cussas cu ermondadi.
02-00	ARTIGO 2º.
02-01	Tudu pecadur dibidi gurta risso diritus cu liberdadi qui faladu na e Declarason, sin scudju, di rassa, di cor, di matchu o femia, di lingua, di religion, di politica, o utrus, suma cussas qui bin di tchon o di djintis, o pabia I pissadu, o pabia I fidju di regulu o aladje, o pabia di utrus cussas parcidus.
02-02	Nin qui quila, I ca na fassi nin un scudju na statutu politicu o di tribunal, o di tudu terra , o di terra qui bu bicu interradu n’el, nin qui terra ta manda na si cabesa, o utrus ta manda n’el.
03-00	ARTIGO 3º.
03-01	Tudu pacadur tem diritu di vivi, di sedu livre I di djubudu, pa ca nada otchal di mal.
04-00	ARTIGO 4º.
04-01	Ninguin ca dibidi fassidu catibu, nin pudu tarbadja a forsa, pabia I cussa qui tudjidu di tudu manera na Declarasao Universal dos Direitos dos Homens.
05-00	ARTIGO 5º.
05-01	Ninguin ca na sutadu, nin maltratadu o matadu o fassidu cussas qui el propi I nega.
06-00	ARTIGO 6º.
06-01	Tudu pecadur tem diritu di djubidu suma pecadur na udju di stadu.
07-00	ARTIGO 7º.
07-01	Dianti di lei, tudu djintis djusta, scudju ca tem, tudu tem diritu di difindidu dianti di lei, tudu tem diritu di difindidu dianti di cabalindadi o malbadessa.
08-00	ARTIGO 8º.
08-01	Na cada terra, lei ta pudu pa guarda pecadur, I pa mostral caminhu di ianda. El qui manda tudu pecadur, na cada terra qui sta n’el I tem diritu di busca dunus di lei di qui terra, pa e mostral caminhu.
09-00	ARTIGO 9º.
09-01	Ninguin ca pudi prindidu, nin fitchadu o sercadu na terra qui sinta.
10-00	ARTIGO 10º.
10-01	Dianti di lei, tudu djintis djusta I e tene quil mesmo diritu. Cada culpa di alguin, dibidi djubidu suma qui lei manda, I dibidi lebadu pa tribunal di bardadi, sin scudju, pa djubi te nunde qui roson caba I nunde qui culpa cumsa.
11-00	ARTIGO 11º.
11-00	Si alguin conta mintida pa bo, na tribunal bu dibidi pera, sin discunfia, te ora qui tudu djintis odja qui mintida, pa lei cumsa pudu na pratu limpu. Si I tchiga pa bu castigadu, enton bu ta sibi cuma bu dibidi difindidu, pa ca nada otchau di mal, te dia qui bardadi limpu pus.
11-01	Lei qui fassidu aos I pa djubi dianti. Ninguin ca pudi condenadu pa cussa qui fassiduba dja o qui dixa di fassidu antis di lei pudu, o otcha qui lei ca tem qui cussa I ca eraba culpa. Nin qui quila, ninguin ca dibidi pudu castigu qui mas qui cu pudu otcha qui lei fassidu.
12-00	ARTIGO 12º.
12-01	Ninguin ca dibidi pudu sufri, pabia utru miti na si bida, o na bida di si familia, o na si cassa, o na si cartas qui ta ricibi, ninguin ca dibidi miti na bida di ninguin, ora qui sedu, bu tem diritu di bai queixa.
13-00	ARTIGO 13º.
13-00	Tudu pecadur tem diritu di ianda I di cudji cau di mora na terra qui tchiga I misti sinta.
13-01	Tudu pecadur tem diritu di larga si terra o terra qui sinta n’el I riba pa si terra ora qui I misti I ca dibidi tudjidu riba.
14-00	ARTIGO 14º.
14-00	Tudu pecadur qui na pirsiguidu, tem diritu di cudji terra qui misti bai, na qui terra I tem diritu di dadu asilu pa I puga.
14-01	E diritu, I ca pudi djubidu ora qui crimi qui fassidu, tudu ladu di mundu ca mistil.
15-00	ARTIGO 15º.
15-00	Tudu pecadur tem diritu di tem un nacionalidadi ( puga na terra qui misti ).
15-01	Ninguin ca dibidi tudjidu puga na terra qui misti, o muda di terra qui si bicu interradu n’el.
16-00	ARTIGO 16º.
16-00	Ora qui pecadur padidu toc I tchiga cassamentu, omi cu mindjer tem diritu di cassa I pa fassi familia, sin djubi pa rassa, o religion, o pa terra qui alguin padidu. Ora qui e cassa , o qui e na caba, tudu dibidi djusta, e ca dibidi mansia na nada, pabia elis tudu I qui un son.
16-01	Cada quin dibidi cassa cu quin qui I misti. Cassamentu ca dibidi dadu.
16-02	Familia, I un balur garandi di sociedadi, tambe I tem diritu di djubidu I djubi stadu.
17-00	ARTIGO 17º.
17-00	Tudu pecadur tem diritu di tene si cussa, qui dissil.
17-01	Ninguin ca pudi robadu si cussa a forsa.
18-00	ARTIGO 18º.
18-01	Cada pecadur tem diritu di pensa di si manera I di pensa cussas qui misti, o di cudji si religion. Cu tudu es diritu, I misti faladu di cuma, tudu pecadur pudi troca di si religion o di si manera di pensa, di fassi cerimonia di si religion ora qui I misti, I manera qui I misti. El son o cu djintis di si grupu. Cada quin pudi sina quin qui I misti si religion, na cassa o na rua.
19-00	ARTIGO 19º.
19-01	Tudu pecadur I livri pa papia que qui I misti, pa quila ninguin ca tem diritu di chatial na si papia, o na cussas qui na busca tene o di conta djintis sin cudji cau certu di conta que qui I pensa.
20-00	ARTIGO 20º.
20-00	Tudu pecadur tem diritu di mati runion qui misti, o fassi associason di ermondadi.
20-01	Ninguin ca pudi pudu a forsa pa mati runion o fassi associason.
21-00	ARTIGO 21º.
21-00	Tudu pecadur tem diritu di sta dianti di nogos publica di si terra, el propi cu si cabesa, o utru alguin qui cudjidu pa tudu.
21-01	Tudu pecadur tem diritu di entra na tarbadju di stadu, sin scudju.
21-02	Quin qui povu misti, el qui bom pa sedu chefe, I dibidi mostradu atraves di ileison di bardadi qui ta fassidu , nunde qui tudu djintis ta mati, I e ta djusta na tudu. Cu sgridu garandi cada quin ta vota na cussa qui el propi I misti sim djubi cu cumpanher.
22-00	ARTIGO 22º.
22-01	Tudu pecadur na metadi di utrus, I tem diritu di djubidu diritu pa ca nada otchal di mal. I dibidi pidi si quinhon na stadu di tudu coldadi, pabia I si diritu.
23-00	ARTIGO 23º.
23-00	Tudu pecadur tem diritu di dadu tarbadju I di cudji tarbadju qui misti, di dadu bom material di tarbadju I di tene tudu cussas qui pudu djudal na fassi si tarbadju I dibidi djubidu pa ca I fica sin tarbadju.
23-01	Tudu tem diritu di pagadu balur di si tarbadju.
23-02	Quin qui ta tarbadja I dibidi gardicidu I di pagadu qui qui na djigal cu si familia pa sinti diritu na metadi di djintis nunde qui sta n’el. Si quil qui nganga ca tchigal, I dibidi burridu di utru manera.
23-03	Tudu tarbadjur tem diritu di djunta cu utrus tarbadjaduris pa sai na rua pa difindi se diritu.
24-00	ARTIGO 24º.
24-01	Tudu pecadur tem diritu di discansa dispus di un tarbadju pissadu, diritu di tem ora di tarbadju djustadu I diritu di pagadu na si ferias di cada anu.
25-00	ARTIGO 25 º.
25-00	Tudu pecadur tem diritu di tene um bocadinhu pa sugura si familia, na ora di duensa I na sabura, suma tene cussas di cume, di bisti, tene cassa di mora, tene dutur qui na cural, tene si quinhon na stadu pa ora di duensa, ora qui mancu, ora qui si omi/mindjer murri, na ora di bedjissa, o I pirdi un cussa qui ta djudal.
25-01	Maternidadi cu si mininus tem diritu di djudadu diritu. Tudu mininus qui padidu dentru o fora di maternidadi e dibidi djubidu cu qui bom udju di stadu.
26-00	ARTIGO 26º.
26-00	Tudu pecadur tem diritu di bai scola. Scola pa mininus ca dibidi pagadu. Tudu mininu dibidi pudu na scola. Scola tecnica o profissional I dibidi sedu pa cada quin cudji. Pa curso garandi I dibidi dadu pa quin qui misti I pa quin qui pudi sin scudju.
26-01	Educason I dibidi iabri pa manga di cussas di sina, suma quil qui omi misti, quil qui na djudal vivi diritu I pa I sedu livri, suma quil qui na djudal intindi mundu, mole corson cu ermondadi pa tudu djintis di terra, tudu rassas, tudu religion, suma desenvolvimentu di Nasons Unidas pa guarda paz.
26-02	I ta fica pa cada pape cu mame, cudju educason que misti pa se fidjus.
27-00	ARTIGO 27º.
27-00	Tudu pecadur tem diritu di mati cermonia di si cultura, mati tudu manifestason qui ta mostra mundu que qui si cultura bali n’el.
27-01	Tudu tem diritu di guardadu cussa qui dissel I par el. O cussa qui fassidu cu si mon prumeru I ca misti pa utru fassi suma el.
28-00	ARTIGO 28º.
28-01	Na e Declarasao, tudu pecadur tem diritu di fassil cunsidu pa djintis di si terra I pa djintis di tudu mundu, I pa fassil pa I sedu quil ordem qui pudi fassil sintidu qui diritus cu liberdadi qui papiadu.
29-00	ARTIGO 29º.
29-00	Cada pecadur tem que qui dibidi fassi na si comunidadi, sin quila el suma pecadur I ca pudi sedu livri nin I ca pudi bai pa dianti.
29-01	Na tudu diritu que faladu na e declason, ora qui na fassi o ora qui bu na gozal, bu ca dixa di sedu limitadu pa lei, qui na pudu pa cada quin pudi rispita diritus cu liberdadi di utrus, pa pudi contenta manera di cada quin na metadi di utrus, pa democracia intchi mundu.
29-02	Nin un dia es diritus cu liberdadis ca pudi fassi du contra quil qui Nason Unida mistil par el.
30-00	ARTIGO 30º.
30-01	Ninguin ca pudi ncunha na nin un palabra di e Decleson pa pudi fassi cussas qui intidu o pa fassi utrus manera di pensa, qui pudi tudji o dana diritu cu liberdadi qui faladu.
