00-00	Nidaid Abitedinoesh Cho-choquidon Bedamboec Tabadte Chiaid
18-01	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Nembocquid: Aden tantiembi, quesho: Aden tantiasho mibi cuesunechitono, shepi, cac icsambo ictsiash. Utsibi: Matses uaquid abentsequi Nuquin Papa iquec, quesho: Adquid cuesunechitono, shepi, cac icsambo ictsiash. Utsibi: Nuquin Papa caid nibedec, quesho: Adquid cuesunechitono, shepi, cac icsambo ictsiash. Utsibi: Podobitsi daedpen tantiaquidquio nebi, quesho: Adquid cuesunechitono, shepi, cac icsambo ictsiash. Padnuen: Podobitsi daedpen tantiaquid icboedembi nebi utsi uaimbi. Nebi Nuquin Papa tantiaquid nebi, quesho: Adquid cuesunechitono, shepi, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuec shubun puduedash tabadcuedednu, quesho: Padi, cuesun secachitono, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuec abentsequi tsadnu, quesho: Padi. Cuesunechitono, cac icsambo ictsiash. Padnuen: Embi Nuquin Papa caid utsibo chuibanu, quesho: Asho mibi cuesunechitono, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuen nanu, quesho: shepi cac icsambo ictsiash, quequin chiac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
19-00	Chiaid 19.
19-01	Nidaid utsinutsinquetsecquiecquiden chuiquid dapabon: Matsesen ambibi tantiaid chuisho: Chuisho cueschitono, shepi. Chen, cac icsambo ictsiash. Utsibi: Utsin chuisho tantiatanu, quesho: Nisho isun mibi cuesunechitono, shepi. Chen, cac icsambo ictsiash. Padnuen: Maquinian onquequin utsibo chuibanu, quesho: Chen. Cuidchitono, cac icsambo ictsiash. Utsibon iste dada uanu, quesho: Chen. Dada uainda, cac icsambo ictsiash. Nidaid utsin tabadquid chuinu, quesho: Chen. Anocquido chienda, cac icsambo ictsiash, quequin chiac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
20-00	Chiaid 20
20-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Con nidaiden tabadquid: Aidobedi bedamboec tabadnu, quesho: Ai, adta, cac bedambo ictsiash. Adembidi: Shubun tsaduedash bedamboec onquecuedednu, quesho: Chen. Cuidchitono, cac icsambo ictsiash.
20-01	Adashic: Utsibi: Aden tantiaquidobed tabadtiapimbo iquebi, quesho: Baded cho. Choenquiocsho cuidchitono, cac icsambo ictsiash, quequin chiac bedambo ictsiash, - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
21-00	Chiaid 21.
21-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Miqui chuiquid ictiadquio iquebi, quesho aton matsesen: Ai, ebi chuiquid icta, casho utsibo daedpatsecshun: Padi, cuesunechitono, shepi, cac icsambo ictsiash. Padnuen: Miqui chuiquid ictiadquio iquebi, quesho aton matsesen: Padi caqui chieshenquin: Padi, caquido cuesun secachitono cac icsambo ictsiash.
21-01	Chuiquid dapabon: Nuquin matses abitedi nashununa. Aton podqueden uaquinc, aton dauechoquid icmequinc, aton dada uaid ismequid icmequinc canuna, cac bedambo ictsiash.
21-02	Matses daedpenshun: Embi chuiquid icta, cac aidi chuiquid icmiac bedambo ictsiash Padabi yac icsambo ictsiash. Utsibombi: Aidi chuiquid bedambo ictsiash, quequin utsibo ismenquiocquin aid cuemedquid dada uashun sandoquin. Adoshombi matses abitedishun ambi tantiaid dada uatanquin sandoacsho sandoaid beshun tambanquin. Adoshombic: Mibi cuemedquid matses daedpenshun dada uaque. E'bi chuiquid icta, cain. Padnubi matses utsibon aton matsesen nac padomboen chuiquid dapa icmequin. Adoac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
22-00	Chiaid 22.
22-01	Matses abitedi bedamboec tabadac bedambo ictsiash. Piasenquio yec dacuedenquio yec tabadac bedambo ictsiash. Neid nidaiden icquido chuiquido nidaid utsin icquidobetan chuiquin: Matses utsi-utsiec abitedimbo bedambo iquec. Aton piucquid bedmenuna. Bedamboec tabadmenuna. Min matsesi bedamboen istiapimbo iquebi, cainquio icnuna, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
23-00	Chiaid 23.
23-00	Nidaid utsinquetsecquiecquiden chuiquid dapabon: Nuquin nidaiden tabadquido: Chuiquid dapan chiaid ley caid niacbidanenquiocquin piucquid bednuen naimbi, quesho: Ai, adota, cac bedambo ictsiash. Padnuen piucquid bednuen nashunaidon: Chata. Tiboeta. Miqui meyadeque, abi nashunquido cac bedambo ictsiash. Chonoaoanquidquio icsambo ictsiash. Utsibi: Piucquid benuen naimbi, cac: Naic cho, caquid nibedsho isun chuiquid dapan: Nanu, cauidquido piucquid meniac bedambo ictsiash.
23-01	Padnuen: Naic cho, cac daedpen chonoadacsho piucquid menequin. Chonoadquido abitedishun tauac padquido aidtedishun nainacsho piucquid ated-atedbidi menebaniac bedambo ictsiash.
23-02	Ma aton nabo pemequinc, dasiuinquinc, shubu uaquinc canu, quequin chieshenquiocquin chonoadquid piucquid daedpen meniac bedambo ictsiash. Piucquid daedpatsec meniac aton nabo pistsec pemequinc, disiuinenquiocquinc, shubu uatsecquinc cac icsambo ictsiash. Adec icsambocsho isun chuiquid dapan: Piucquid menenuna, cac bedambo ictsiash.
23-03	Chonoadquido: Ebi chonoadac padec chonoadquidobed onquecuedednuna. Ebi chonoaoaquidon piucquid daedpatsec menesho chushcanuna, quesho: Chen. Onquecuededenda. Cuidchitono, cac icsambo ictsiash. Ai, miqui chiac padota, cac bedambo ictsiash - quequin chuipanedash nidaid abi tedinoesh cho-choquidon.
24-00	Chiaid 24.
24-01	Tibocamianenquiocquin chonoaoanquiac icsambo ictsiash. Padnuen: Padi. Nebadiadash tiboenuna, cac bedambo ictsiash. Dia eeriado caiden matses abitedi tiboequid. Asho Chonoaoaquiden dia eeriado caic: Aid ushembi chonoadacbimboecnuc adted piucquid menenu, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
25-00	Chiaid 25.
25-00	Aton pete icnuc, aton dashcute icnuc, aton shubu icnuc, aton daue icnuc aton nabobedi matses bedamboec tabadtsiash. Adac bedambo ictsiash. Utsibi chonoadtiapimbo icquin aton piucquid bedtiapimbo yec bedamboec tabadtiapimbo iquec. Neidtedi matses chonoadtiapimbocquido nec. Neidic Naid cho, cacmaido. Neidic dada icsatsaido. Neidic niantebo. Neidic tsusiompibo. Neidic machompibo. Aidtedi chonoadtiapimbocsho isun chuiquid dapan aton piucquid meniac bedambo ictsiash.
25-01	Ani aton bacuebobed tabadquido bedamboen isquin bedamboen dayun uac bedambo ictsiash. Benen tishmiaido bacuebo bedamboen isquinc abembi uaiden tishaidotsen bedamboen isquinc cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
26-00	Chiaid 26.
26-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Con matses dada uate shubun puduedash mequiadnu, quesho: Ai, adta, cac bedambo ictsiash. Taeyec mequiadquid dada uate shubun puduedacsho: E'~mbi mibi mequiacsho ebi piucquid mene, cac icsambo ictsiash. Yuecash mequiadquiden mequiacquid piucquiud meniac bedambo ictsiash. Bacuebo abitedi dada uaquin mequiacnuna, cac bedambo ictsiash. Dada uaic bedamboec mequiadash: Dada uaid daedpenquio tantiatiadquio iquebi. Dada uate shubu utsin puduednu, quesho: Ai, adta, cac bedambo ictsiash. Utsibi nacnenec mequiadash: Nacnenquidenquio ismesho istanu, quesho: Ai, adota, cac bedambo ictsiash.
26-01	Dada uate shubun puduedshun mequiacquidon: Matses utsi-utsiquetsecquiec iquec. Abitedimbo bedambo iquec. Utsibo abitedi bedamboen isnuna. Chieshnanenquio yec cuesun secananenquio icnuna. Adec bedamboec tabadnuna - quequin mequiadquido bedamboen chiac bedambo ictsiash.
26-02	Amebetan anin: Neid dada uate shubunoshon ~equiacquiden embi tantiaidbidi chioshe. Ambo con bacuebo yuednu, quesho: Ai mimbi chiac padota, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
27-00	Chiaid 27.
27-00	Con matses cuedenacno istanu, quesho: Ai, mimbi chiac padota, cac bedambo ictsiash. Utsibi: Con matses mamenacno istanu, quesho: Chen. Cuidchitono, cac icsambo ictsiash. Utsibi: Con matsesen nacnenaid istanu, quesho: Ai, adotanta, cac bedambo ictsiash. Utsibi: Con matsesen nacnenaid bednu, quesho: Chen, mibipadquid bedmetiapimbo iquebique, cac icsambo ictsiash.
27-01	Dada uaquido nacnenquidobeta bedamboen isac bedambo ictsiash. Utsibombi ambi tantiaid dada uaquid. Utsibombi ambi tantiaid nacnenquid. Adoquidon: Embi nacnenaid bednuen ebi piucquid mene, quesho bedquin piucquid meniac bedambo ictsiash. Padnuen utsin dada uaidi caic muaquido: Embimbo dada uaid nec, quesho chuiquiden cuidac bedambo ictsiash. Muaquid utsibi: Embibo nacnenaid nec, quesho adembidi chuiquiden cuidac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
28-00	Chiaid 28.
28-01	Nidaid abichobi icquiden tabadquido chieshnanenquio yec bedamboec tabadac bedambo ictsiash. Matses aton matses utsibobedi chieshnanac icsambo ictsiash. - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
29-00	Chiaid 29.
29-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Min shubu yacno bedamboec tabadtiadquio yec bedamboec nashunanta, cac bedambo ictsiash.
29-01	Chuiquid dapabon aton matses bedamboec tabadte bonquin chiaid aton matsesen nac bedambo ictsiash. Chuiquid dapabon aton matses meyante bonquin chiaid aton matsesen niacacsho cuidac icsambo ictsiash.
29-02	Embi chuiboed isun: Bedamboec tabadnuna, cac bedambo ictsiash. Padnuen embi chuiboed ismeshun: Embi naiduidi nanu, shepi, cac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
30-00	Chiaid 30.
30-01	Neid dada uaid isash, Icsa uanquionona, cac icsambo ictsiash. Padnuen neid dada uaid isun, Nidaid abichobi icquiden tabadquidobedi bedamboec isnanec bedamboec tabadnuna, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
