00-00	Me tonun asaria yen adunia noosiabu
03-01	Tonu baawere u waarun saria mo ka tii moru, ka sere me ba koo wii yina.
04-00	Damba 4
04-01	Ba n goo yoru muamo, bu sere wii dendi. Ba yoru diisiabu ka yoru muaba yina.
05-00	Damba 5
05-01	Ba n goo takaasi mo, ba n ma goo noni swaaru soosino, bu sere goo nuku kosuru, ka sanani ka ma sere ye n n weene bu ton wundeko ni kuaa siimaa ko.
06-00	Damba 6
06-01	Baawere asaria mo yan kpuro bu wii tuburi u n siribun tonu.
07-00	Damba 7
07-01	Tombu kpuro ba newa woodan bera (swaa soo) n maa weene tii yina bi ba ko ka be yina, bun saa tia bu ku goo suu wuna, n da ma ba saria ye sara, bu ka wa bu be taki di ka bu be noo kuuri be kpuro wooda ya ko be gane.
08-00	Damba 8
08-01	Tonu baawere u saria mo u win tem siru ye feagiru faaba kana ma ba wi toraa swee yi soo wooda ya wi noo ka.
09-00	Damba 9
09-01	N n koro bu tonu yorasia, bu wii nua n kun me bu wii tem yara.
10-00	Damba 10
10-01	Tonu baawere u saria mo, naa nebu wolluyee, u win mem gere bu noo dee dee samaan noni, kpa siri yeru te ta n gonnu ka yaa murenamo, tu wunana u n gem mo, ye n win baa ka win tirasi, tora te ba ma wi waasi ta n gem, sirikobu bu asaria ko.
11-00	Damba 11
11-01	Tonu wi ba toraru waasi, ma ba n gina ten see da noma tura, yen yero kun gina gee mo. Ba n koo wi siria n saria mo u goo kasu wi u koo ka wii yina.
11-02	N n weene bu tonu taare we yen so u gaanu kua n kun me yen so u gaanu duari ni nu n waa toraru ka asarian swaa soo, saname u ni kua Yen biru, n n weene bu yero taare we ya n kpaaru kere nde ye ba ko raa wii we saa ye u tora.
12-00	Damba 12
12-01	Tonun waarun gari, win yenu win noosina ka win berusebu ya n goo wa. Mena maa n n weene bu tonu beere biasia kam soo. N weene asaria yu ka tonu yina ka kookoo si sa sia mi.
13-00	Damba 13
13-01	Tonu baawere u saria mo u da mi u ki, kpa u win yenu bani win temo.
13-02	Tonu baawere u saria mo u tem gam n di see, ka da win tin tem, u koo ma kpi u wure u wuraa mi.
14-00	Damba 14
14-01	Ba n tonu takaasi mo, u saria mo u waayeru kasu tem gam gia, kpa u tem min baruka di.
14-02	Ba n kpe bu asaria ye gbiisia ma ba seeda kua ba wa ma u torawa. N n maa kooro bu asaria ye gbiisia ma win kookoosu kun saa dee dee n de me yigbe baka te ONU ya yii.
15-00	Damba 15
15-01	Tonu baawaren sariawa u n saa tem gam tonu.
15-02	Ba n goo yinarimo u n saa tem gam tonu, bu sere wii yinari u tem sweyna.
16-00	Damba 16
16-01	Saa tonu saa gaa tura, ba n bweseru garu, tem gam tondu, gusu no saaru garu suu wune, ton kuro ka ton duro ba saria mo bu suana kpa bu bibu ma. Ben saria ya ne wa suanaan swaa soo.
16-02	Be ba ki bu suana sere bu gina noosina n kun tirasi.
16-03	Sa seewa sa tonun bweseru deemawa tem mi, bwese tera ta gbiiya n ma weene bu ka te yina.
17-00	Damba 17
17-01	Baawere, a, wi turowaa a be dabinaa, u kon win baa mowa.
17-02	Ba n kpe bu tonu win gaanu worari ka dam.
18-00	Damba 18
18-01	Tonu baawere u ayeru mo: u bwisiku nde me u ki, u n dasabu mo, kpa u gusuno sa; aye te ta dera u koo kpi u gusuno saaru garu deri u garu swii, nde me u koo kpi u gusuno saa wi turo, n kun me sannu sannu, samaan wuswaao n kun me win berao nde me u ki.
19-00	Damba 19
19-01	Tonu baawere u saria mo u gere me u wa, u kun nande, kpa u gari ka dabaaru ye u nua tem pusi me u kpia ka mi u ki.
20-00	Damba 20
20-01	Tonu baawere saria mo u menno ka yigberu ko ta kun naanaanu ganu mo.
20-02	2. Ba n goo tirasi mo u yigberu garu du.
21-00	Damba 21
21-01	Tonu baawere u saria mo u win tem tombun wunanosu soo du u n ki win tii tii, n kun me u somobu gabu wuba be u ki bu wi wunana.
21-02	Tonu baawere koo kpi u samaa somburu (bature somburu) ko, nde me ba yen kpuna yii.
21-03	Me samaa ya yii mi soora tem dam mu tasa. Swaa ye soo ba ko n da tete to, taki sari, sanam ka sanam, tombu kpuron noni biru n kun me bokusao, bu ku goo tirasi ko u ka goo tete toowa.
22-00	Damba 22
22-01	Tonu baawere u saria mo u nom keru wa, mi win baa ya waa kpuro. Ka win tem kookari, ka mi noosina ye ya waa ka tem tukun dam, n wa win waaru tan girima mo.
23-00	Damba 23
23-01	Tonu baawere u saria mo u som buru ko, u gosi te u ki, ka ten ye ta mo n koo ka wi naawa keru wa somburu ta n ra yora gaso.
23-02	Tombu kpuro, ba kosia teeru mo bu mua saa ba ka som bwese te eru mo
23-03	Wi u somburu mo kpuro u saria mo u koriaru mua me n weene, sere tu wi win yenugibu turi me ba kon ka waaru dimo dee dee, n koo koora buka be yina.
23-04	Tonu baawere u saria mo wi ka gabu bu som kowobun yigbe te ta ra ka be yine swii, kpa bu kpan yigbe merosu soo du si su ko nda ka be sune.
24-00	Damba 24
24-01	Tonu baawere u saria mo u wera, u dwee, u somburu ko u ku saka sarasia, kpa u weraru ka kosiaru giru mau sanam ka sanam.
25-00	Damba 25
25-01	Tonu baawere u saria mo u waaru diisina me u koo ka win bwaa dobu, win bwe, ka win yenugibugia noori, nde dianun bera, yanu waayeru, dokotoro tim. Win somburu ta n yora, u n bara u n yemo kua, ka sere ye u mo ya n buera n kun ka win goru kiru, u saria mo nom kerun yigberu tu wii dera.
25-02	Yooniru ka biru ta saria mo bu te noori gem gem. Kuro wi na ka kuro kpaaru mo win bibu, ka wi na n ka kuro kpaaru mo n bibu, be kpuro somi tee tera ba ko be ko.
26-00	Damba 26
26-01	Tonu baawere weene u keu ko. Keu ya weene bu ye ko n kun ka gobi, n n man kere keu dii piibinugia. Kei dii piibinunkeu ya saa tirasi. Keu noman som meeribu gia ka gbankoko som meeeribugia n weene bu n saa tombu kpurongia, saa ba ka yen saka tura.
26-02	Ye tonu kasu keu soo yera bwee dora, n wa tonum asaria ka win tiin morun noni dokebu bu dam sosi. Keu ya weene yu somi me noosina, suuru, ka kiru ta kon ka waa tem kpuro, bwese wuunu kpuro n kun me gusuno saarugibun mi. Kpa yu kpam yigbe baka te ba soka ONU somi ten wori soo me ta koo ka sina seeru swii andunia soo.
26-03	Biin tundo ka biin mero ba ayeru mo bu ben bibu keu doke swaa ye ba ki soo.
27-00	Damba 27
27-01	Tonu baawere koo kpi, dwee bi tomba mo u bi du ma u ki, kpa u bin baruba di. Tonu baawere koo kpi u kasoo soo du kpa u yen arufaani di.
27-02	N weene su ka tabu yari, n wa wi u kasoo mo (gaanun gosiabun bera, tire yoran beran) u yen arufaani di.
28-00	Damba 28
28-01	Tonu baawere u saria mo u ko me u koo ko, tombu soo ka tem tukumo, baayere ya n ka noo ne saria ka tii moo ten gari ba kpara mi soo kpa tombu ka ye somburu ko.
29-00	Damba 29
29-01	Tonu, tirasi, sombura, wi yiiye u samaa kua domi mi soora u ko win baayere siisia me u ki.
29-02	Tonu a n asaria ka tii moru mo a n maa winsingia geriti, a n tii ye n wa goo u ku ka googia menna kpa wuu gu ka sina see. Ba ne mi be tonun ayera yora, mi n dia googiru ta torua.
29-03	Saria be ka tii moo te, ye kpuro, ba n ka yo somburu mo bunanam. Nde me yigbe bakate ONU ya yii mesuma ba koo sua.
30-00	Damba 30
30-01	Ye ka ye ba yii tonun asarian bera mi baasi, kpunaa gaa ka kookoosu gasu maa sari, si ba koo tusia nenem, tem gam, bu ka saria ka tii moo te ba kpara mi kpeera - sia pai.
