00-00	VISPAREJA CILVEKA TIESIBU DEKLARACIJA
17-01	Nevienam patvaligi nedrikst atnemt vina ipasumu.
18-00	18. pants
18-01	Ikvienam ir tiesibas uz domu, apzinas un religijas brivibu; brivibu mainit religiju vai parliecibu, brivibu nodoties savai religijai un parliecibai tiklab vienatne, ka ari kopa ar citiem publiski vai noskirti, piekopt religiju vai ticibu, sludinot macibu, izpildot, pieludzot un ieverojot to.
19-00	19. pants
19-01	Ikvienam ir tiesibas uz parliecibas un izteiksmes brivibu; sis tiesibas ietver brivibu bez iejauksanas palikt pie saviem uzskatiem un meklet, sanemt un izplatit informaciju un idejas ar jebkuriem informacijas lidzekliem neatkarigi no valstu robezam.
20-00	20. pants
20-00	Ikvienam ir tiesibas uz miermiligu sapulcu un asociacijas brivibu.
20-01	Nevienu nedrikst piespiest piederet kadai asociacijai.
21-00	21. pants
21-00	Ikvienam ir tiesibas piedalities savas valsts parvalde tiesi vai ar brivi izveletu parstavju starpniecibu.
21-01	Ikvienam ir tiesibas uz lidztiesigu pieejamibu valsts dienestam sava zeme.
21-02	Tautas gribai ir jabut valdibas varas pamatam; sai gribai jaizpauzas periodiskas un nefalsificetas velesanas, kam janotiek uz vispareju un vienlidzigu velesanu tiesibu pamata, aizklati balsojot vai ari citas lidzvertigas brivas balsosanas proceduras.
22-00	22. pants
22-01	Katram ka sabiedribas loceklim ir tiesibas uz socialo drosibu un vinam ir tiesibas istenot ar nacionalo centienu palidzibu un starptautiskas sadarbibas cela, un atbilstosi katras valsts strukturai un resursiem, vina pascienai un personibas brivai attistibai nepieciesamas ekonomiskas, socialas un kulturas tiesibas.
23-00	23. pants
23-00	Ikvienam ir tiesibas uz darbu, uz brivu darba izveli, uz taisnigiem un labveligiem darba apstakliem un uz aizsardzibu pret bezdarbu.
23-01	Ikvienam, bez jebkadas diskriminacijas, ir tiesibas uz vienadu atlidzibu par lidzvertigu darbu.
23-02	Katram stradajosam ir tiesibas uz taisnigu un pienacigu darba algu, kas nodrosina cilveka cienigu dzivi vinam un vina gimenei. Nepieciesamibas gadijuma ta japapildina ar citiem socialas nodrosinasanas lidzekliem.
23-03	Katram ir tiesibas dibinat arodbiedribas un iestaties tajas savu interesu aizsardzibai.
24-00	24. pants
24-01	Ikvienam ir tiesibas uz atputu un brivo laiku, ieskaitot sapratigu darbadienas ierobezojumu un apmaksatu periodisku atvalinajumu.
25-00	25. pants
25-00	Ikvienam ir tiesibas uz vina un vina gimenes veselibas uzturesanai un labklajibai atbilstosu dzives limeni, ieskaitot uzturu, apgerbu, majokli, mediciniskos pakalpojumus un nepieciesamo socialo apkalposanu, un tiesibas uz nodrosinajumu bezdarba, slimibas, darba nespejas, atraitnibas, vecuma vai citos iztikas lidzeklu zaudejumu gadijumos, kas radusies no vina neatkarigu apstaklu del.
25-01	Matem un berniem ir tiesibas uz ipasu aizsardzibu un palidzibu. Visiem berniem, lauliba un arlauliba dzimusajiem, ir jabauda vienada sociala aizsardziba.
26-00	26. pants
26-00	Ikvienam ir tiesibas uz izglitibu. Izglitibai, vismaz pamata un visparejai izglitibai, ir jabut bezmaksas. Pamatizglitibai ir jabut obligatai. Tehniskajai un profesionalajai izglitibai ir jabut vispar pieejamai, un augstakajai izglitibai jabut vienadi pieejamai visiem atbilstosi spejam.
26-01	Izglitibas merkim jabut pilnigai personibas attistibai, ka ari cilveka tiesibu un pamatbrivibu respektesanas stiprinasanai.
26-02	Izglitibai ir jasekme saprasanas, iecietiba un draudziba starp visam tautam, rasu vai religiskajam grupam un jasekme Apvienoto Naciju Organizacijas miera uzturesanas pasakumi.
27-00	27. pants
27-00	Ikvienam ir tiesibas brivi piedalities sabiedribas kulturas dzive, baudit makslu, piedalities zinatnes progresa un izmantot ta labumus.
27-01	Ikvienam ir tiesibas uz moralo un materialo interesu aizsardzibu, kas izriet no zinatniskajiem, literarajiem vai makslas darbiem, kuru autors vins ir.
28-00	28. pants
28-01	Ikvienam ir tiesibas uz socialo un starptautisko kartibu, kura var tikt pilniba istenotas saja Deklaracija izklastitas tiesibas un brivibas.
29-00	29. pants
29-00	Ikvienam ir pienakumi pret sabiedribu, kura vienigi ir iespejama vina personibas briva un pilniga attistiba.
29-01	Izmantojot savas tiesibas un brivibas, katram cilvekam ir japaklaujas tikai tadiem ierobezojumiem, kas ir noteikti ar likumu, vienigi ar merki nodrosinat citu cilveku tiesibu un brivibu pienacigu atzisanu un cienisanu un morales, sabiedriskas kartibas un visparejas labklajibas taisnigu prasibu apmierinasanu demokratiska sabiedriba.
29-02	Sis tiesibas un brivibas nekada zina nedrikst izmantot pretruna ar Apvienoto Naciju Organizacijas merkiem un principiem.
30-00	30. pants
30-01	Neko saja Deklaracija nedrikst tulkot tadejadi, lai kadai valstij, personu grupai vai atseviskam personam butu tiesibas iesaistities jebkada pasakuma vai veikt jebkuru darbibu, kuru merkis ir iznicinat saja Deklaracija izklastitas tiesibas un brivibas.
