00-00	Adaeimadzhy Barty AEkhsaenad: Adaeimadzhy Barty AEppaetiumaeiag Deklaratsi.
13-01	Aly adaeimagaen daer is bar khibaraei tsaeuynaen aemae iaekhitsaen tsaeraenbynat aevzarynaen kaetsyfaendy paddzakhady daer.
13-02	Aly adaeimagaen daer is bar kaetsyfaendy paddzakhadaei atsaeuynaen, uyimae iaekhi paddzakhadaei daer, aemae faestaemae iaekhi paddzakhadmae syzdaekhynaen.
14-00	UATS 14.
14-01	Aly adaeimagaen daer is bar iaekhitsaen innae paddzakhaedty aembaekhsaen bynat agurynaen aemae uytsy aembaekhsaen bynataei paida kaenynaen.
14-02	Atsy baraei naei paida kaenaen, Iugond Natsity Organizatsiyy nysantimae aemae uagaevaerdimae bast tsy naeu, akhaem fydrakaend kuy skaena, uaed.
15-00	UATS 15.
15-01	Aly adaeimagaen daer is grazhdanindzinady bar. Khuamae makaemaen ua ist iae grazhdanindzinad kaenae iae grazhdanindzinad aivyny bar.
15-02	[Missing 15.2]
16-00	UATS 16.
16-01	Iae kary chi batsyd, uytsy sylgoimaegtae aemae naelgoimaegtaen aenae isty kuylympyiy, naedaer adaemykhattmae gaesgae, naedaer dinmae gaesgae, is moimae tsaeuyny aemae binonty kaenyny bar. Uydonaen is aemkhuyzon bartae kuyd binonty tsardy, aftae, kuy rakhitsaen uoi, uaed.
16-02	Binontae sty aekhsaenady bynduron khai, aemae syn is aekhsaenad aemae paddzakhady `rdygaei khakhkhaenynad isyny bar.
16-03	[Missing 16.3]
17-00	UATS 17.
17-01	Aly adaeimagaen daer is bar, kuyd iaekhaedaeg, aftae innaetimae daer, mulkaei paida kaenynaen.
17-02	Khuamae machi ua aenaebary iae mulkaei khitsaengond.
18-00	UATS 18.
18-01	Aly adaeimagaen daer is bar iaekhi khuydy, namys aemae dinaen; ardaem khauy din aemae faendtae ivyny bar, kuyd iunaegaei, aftae innaetimae bastaei dinon aemae ritualon aegdaeuttae aekhkhaestgaengaeiae.
19-00	UATS 19.
19-01	Aly adaeimagaen daer is iaekhi razaengarddzinady bar aemae sae saeribaraei ravdisyn daer; atsy barmae khauy khi razaengarddzinadyl khaetsyn aemae khibaraei aguryn, isyn aemae parakhat kaenyn informatsi aemae faendtae tsyfaendy madzaelttaei paddzakhadon araentaei khitsaenaei.
20-00	UATS 20.
20-01	Aly adaeimagaen daer is bar aembyrdtae aemae assotsiatsitae arazynaen. Khuamae machi ua tykhaei isty assotsiatsimae kond.
20-02	[Missing 20.2]
21-00	UATS 21.
21-01	Aly adaeimagaen daer is bar iae paddzakhady razamyndy arkhaiyn, khibaraei kaenae ta aevzaerst adaemy aekhkhuysaei.
21-02	Aly adaeimagaen daer aemkhuyzonaei is bar paddzakhadon kuystmae batsaeuyn iaekhi paddzakhady.
21-03	Adaemy faendon khuamae ua khitsaudzinady byndur, atsy faendon khuamae aevdyst tsaeua aevzaerstyty, kaetsytae khuamae araezt tsaeuoi aemkhuyzon aevzaerstadon barty bynduryl, susaeg khaelaes daettynaei kaenae aendaer aemnysanon madzaeltty aekhkhuysaei, kaetsytae daettynts saeribaraei khaelaes kaenyny bar.
22-00	UATS 22.
22-01	Aly adaeimagaen daer, kuyd aekhsaenady uaengaen, is bar sotsialon aekhkhuysaen, staei iae namysy, khibaraei raezty ekonomikon aemae kulturon uavaerty natsion, aekhsaenadaemon aemae aly paddzakhady madzaeltty aekhkhuysy bar.
23-00	UATS 23.
23-01	Aly adaeimagaen daer is faelloi kaenyny bar, khibaraei kuyst ravzarynaen, raestdzaevin aemae zaerdaemaedzaeugae kuystadon uavaertaen, staei khi aeguystaei bakhkhaenynaen.
23-02	Aly adaeimagaen daer is bar iae kuystaen aembaelgae myzd raisynaen.
23-03	Aly kusaegaen daer is bar aembaelgae khaerziuaeg raisynaen, kaetsy fag kaena iaekhitsaen daer aemae iae binontaen daer, aemae kaetsy aekhkhaestgond tsaeua khaeugae zamany aendaer sotsialon madzaelttaei.
23-04	[Missing 23.4]
24-00	UATS 24.
24-01	Aly adaeimagaen daer is bar ulaefynaen aemae iae raestaeg aervitynaen, uimae kusaen bon aembaelgae kaddaer kaenynaen aemae fidgae aervylazon ulaefaen raestaegaen.
25-00	UATS 25.
25-01	Aly adaeimagaen daer khuamae ua akhaem tsardy uaelvaez, uyrdaem khauynts khaerd, dzauma, tsaeraenbynat, meditsinon aekhkhuys, aembaelgae sotsialon aekhkhuys, kaetsytae khaeuynts aenaenizdzinad khakhkhaenynaen iaekhitsaen aemae iae binontaen, aeguysty raestaedzhy aekhkhuysy bar, rynchynaei, sakhataei, idaedzaei, zaerondaei kaenae aendaer isty khabary, iaekhitsaei aenarazgae fadaetty.
25-02	[Missing 25.2]
26-00	UATS 26.
26-01	Aly adaeimagaen daer is akhuyrady bar. Akhuyrad khuamae ua laevar, aeppynkaddaer raidaiaen aemae astaeuykkag akhuyrgaenaendaetty. AEnaemaeng khuamae ua raidaiaen akhuyrad. Tekhnikon aemae professionalon akhuyradmae khuamae ua iumaeiagaei aentson batsaeuaen, uaellag akhuyrad daer khuamae ua akhaem, aetsaeg alkaei zonyndzinaedty bynduryl.
26-02	[Missing 26.2]
26-03	[Missing 26.3]
27-00	UATS 27.
27-01	Aly adaeimagaen daer is bar aekhsaenady kulturon tsardy arkhaiyn, aivadaei zaerdaerukhs uyn, zonadon progremmy arkhaiyn aemae iae faestiudzhytaei paida kaenyn.
27-02	Aly adaeimagaen daer iae bon u moralon aemae materialon bartae, kaetsytae sty iae zonadon, literaturon kaenae aivadon kuysty faestiudzhytae bakhakhaenyn.
28-00	UATS 28.
28-01	Aly adaeimagaen daer is bar sotsialon aemae aekhsaenadaemon faetkaen, kaetsyiy atsy Deklaratsiyy aevdyst bartae uydzysty aenaekhaenaei aekhkhaestgond.
29-00	UATS 29.
29-01	Aly adaeimagaen daer is khaestae aekhsaenady raz, aermaest kaetsyiy is iae saeribar aemae aekhkhaest tsardy madzaelttae.
29-02	Iae bartae aekhkhaestgaengaeiae aly adaeimag daer khuamae ua iae bartaei khitsaen aermaest zakonmae gaesgae, innae adaemy bartae aemae domaentae, aekhsaenadon faetk aemae amond bakhakhkhaenyny tykhkhaei demokraton aekhsaenady.
29-03	[Missing 29.3]
30-00	UATS 30.
30-01	Atsy Deklaratsiyy fyst uatstae khuamae ma uoi aembaerst kuyd laevaerd bartae tsavaerdaer paddzakhadaen, adaemy kordaen kaenae khitsaen adaeimaegtaen isty arkhaid arazyn, kaetsy tsaeua atsy Deklaratsiyy aevdyst barty nykhmae.
