00-00	Nifosaal yiko-nba nba g nganduna muand
12-01	Nil kan kuan u mob u lua maam ninng, lann i kaa u lua ngaag maam n ninng, lann i kaa u lua donntaanu n ninng, g bual wan maad g biil u lua sann yen u nimond. Yikod guu nil kul bona ne kul po.
13-00	Ikod 13
13-01	Yikod cab nil kul yen wan gii waa naan buol kul k u bua u doug ninng g bie maa u ngaag naan buol kul k u bua.
13-02	Nil kul mog yiko yen wan nya u doug n ninng lann i kaa doufann n ninng g bie guan g kua yaa youg k u bua.
14-00	Ikod 14
14-01	L gii sua k b mabn nil u doug n ninng, yikod cab k wan san g kpaan linlaanbuol dingbonfann.
14-02	Yaa yikod ne g mog paalu nba bu kon g guul sua l gii sua k u kpi kuum lann i kaa g biil biilu nba g tuag doi kul motaaog ne moni sonu.
15-00	Ikod 15
15-01	Nifosaal kul mog yiko yen wan gii mog maasiomaalite.
15-02	Nil kul mog yiko yen wan g i mog maasiomaalite, b kan bel sua yen wan tien u maasiomaalite.
16-00	Ikod 16
16-01	Yal tie puokuand yen ja kund maam po, yikod maad g sua kan bel naasen g bual sipaann n ba dagd yen’n g dugn u lua doug, u buolu yen u jaandi po. Jua yen puo yikod ja i youg nba k b taan g be yen lieb yen youg nba k b bu yad lieb.
16-02	Puo kuand yen jakund bogda bu tien yaa youg n ba g jua yen puo kul ngon k b bua b lieb yen moni i.
16-03	NGaag tie yendu tagm i g bie tie bonmonjal doug n. L po, l bual g doug yudanm yen u niib kul n gii guu’ug u.
17-00	Ikod 17
17-01	Nil kul mog yiko yen wan gi mog u yend. L bu fid g i tie u yul po yal lann i ka tintaan yal.
17-02	L po b kan fiel sua yend fam fam g siel yaa moni maam g maad g l po.
18-00	Ikod 18
18-01	Nil kul mog yiko yen wan ngon u maalm n saa naan po. Nil kul mog yiko g guan u jaandi po. Yikod maad g sua kul bu fid g lebd jaandi, u maalm n saa naan po, g be nyan u maalm g wan salafam ninng wan o kua ko yen lieb. Lan tie tundl ninng bi jaandi bogda tienu ninng.
19-00	Ikod 19
19-01	Yal n kua yikod cab g nil kul n ngon u maalm, g nil kul n maad wan mog yal u pal n. Yaa yikod ne ngon k b ji kan mabn nil g dugn u malm yen u maam po, b kan mabn sua g dugn u kpaan lann i kaa u gaal g bie siel yaa boutilied lann i kaa bogdsiel.
20-00	Ikod 20
20-01	Nil kul mog yiko yen wan kua tintaann nba kul ninng k u bua l gii sua k l g tie kunkonn yal.
20-02	B kan niin sua g kuan’o tintaansiel n ninng.
21-00	Ikod 21
21-01	Nil kul mog yiko yen wan kua u doug maam n ninng, l g i sua k b yiin’o lann i kaa doug yaa b taan g kpien tila n g lugd’o.
21-02	Sua g mog yiko g cie u lua yal nyuan doug gobna tuona po.
21-03	Doug niib kul buam n ba tie gobnand paalu fiegl ; b ba ngonng b buam til kpieen ninng i, l ba mog youg n ba k yikod sen i g b ba kpieend tila i. L til kpieen ba tuag moni sonu, naan buol g sua buam g yab g cie lua yal. Nil kul bu ngon u buam ama g yen dagd u kua buol i.
22-00	Ikod 22
22-01	Daan nba kul be doug n ninng, bual k wan gii be g daa mog jijei i, g bie daa tie siel k l baad yen jijei lieb po. L kul ne bu nya doug n yab bont tied n ni g guan cincann u nanyel po donn taanu, doug kul n ngmagd u kua nand, u mogm n, u bogda n,u yikod n. L kul ne mon k l maa lann n bu tod u yudaand yen u kua kpaadu.
23-00	Ikod 23
23-01	Sua kul mog yiko yen wan sun tuonn, yen wan lugd tuonn nba k u bua, sua kul mog yiko k u tuonn n’gii tuag yen yikod sonu, g yikod n kon u po l gii sua k b bel’o tuonn n ninng.
23-02	Sua kul mog yiko k wan gaal tuonn nba k u gaan ngmaapaaog g siel yaa lugdm n daa be.
23-03	Daan nba kul suan tuonn mog yiko k wan gii gaan ngmaapaaog nba bu dagd wano yen u ngaag yab ban fo manfuol nba dagd yen nifosaal manfuol, g bie pugn u ngmaapaaog po, l gii bu fiid, u tuonn canba nba bu guul’o g jiin bonfana po.
23-04	Nil kul mog yiko yen wan kua kpinkpenda tintaan g fiid g guul u mogm l n daa buod. U bie gii mog fidu, yikod cab’o yen wan kaan tintaann kpinpkeonng sonu ninng.
24-00	Ikod 24
24-01	Yikod cab g nil kul tuonn n gii tieno feim, g pugn dana nba g nil kul ban k l tie feim dana po. Ama g bie yen pa l dana tuonn ngmaapaaog.
25-00	Ikod 25
25-01	Yikod maad k l dagd g nil kul man fuol n gii mog ngand g jiin u laafia, u binbenng yen u ngaag yab, g pugn jied, tied, ngaag yen dogda, yen l nba kul bual u manfuol n ninng. Yiko be g gobnand n kon u po u tuonn i gii biil, u yielu ninng, u taladm youg, u pekuadm ninng, u ciendug n ninng yen l nba kul cie u paalu po.
25-02	Binaa nba yen bid kul po l bual todl. Bid kul mog yiko yen i doug n ninng, lan tie k u be u naa buol i bii waun g be u danm nuu n ninng.
26-00	Ikod 26
26-01	Nil kul mog yiko yen wan gad kalaatu. Binyidi kalaatu kul baa tie faala i. L tie mabl i g te nil kul k wan gad cilg kalaatu. Bon t tagd yen tuonbanngl kalaatu baa be g te nil kul i doug ninng, sua kul mog yiko yen wan gad kalaatucieonng ninng g gaal tunda l gii sua k u banm dagd yenn.
26-02	Kalaatu ba tie yal bu cien nil wan kpaad i banm ninng g bie pugn panng u colung yal jiind nil yiko yen u yal n kua po. L tie yal bu muand lieb gbadu, juab cabu yen donn taanu niib kul ninng, buoli yen jaandi caga, yen l n ba pugn g tie digbana ne tin taan n ba bu baal yen laafia tuona po.
26-03	Bid danm n tie yab mog cincinn yiko yen ban lugd yaa tundl n ba k b bua ban te b bid.
27-00	Ikod 27
27-01	Nil kul mog yiko yen wan taan yen lieb b danm jaanm tuona n ninng. G la pa nann yal jiin banm yen yanfuom bontitagd, yen l kpaadu yen l nyuad lanu po.
27-02	Nil kul mog yiko yen wan guul u nuu yen u banm tuonn, lan tie dieni lan tie bontitagd n ninng.
28-00	Ikod 28
28-01	L bual g nil kul n  coln yaa yikod ne kul i
29-00	Ikod 29
29-01	Nil kul bual k wan sun g kpaad doug nba ninng k u gaal u tundl yen u tuonn banm yen  wano mono kpaadu i.
29-02	Yen nil yiko yen u yal n kua binbenu n ninng, sua kul n coln yenm nba g yikod se’n g dugn lieb colunng yen niib ninng binbem po. G fid t kul n taan gi be lan gii man.
29-03	L yikod nba, yen l yal n kua nba kan g i tie bonfann g kand digbana kul n taan lieb g sen yikod nba.
30-00	Ikod 30
30-01	Nil g be, dingbann g be, tintann g be g bu nyan yikod, lann i kaa g tien siel g bua wan biil yaa yikod nba kul dien kadaog ne ninng.
