00-00	Danezana gerduni ya mafen mirov
08-01	Herkes maf heye ku li hemberi kirinen ku mafen bingehi yen ku qanuna bingehi an qanun je re dinasin ihlal dikin, seri li mehkemeyen neteweyi yen selahiyetdar bixe.
09-00	Bend 9
09-01	Tukes nikare bi awayeki kefi be girtin, hebs an sirgun kirin.
10-00	Bend 10
10-01	Herkes, di wekheviyeke temami de, maf heye ku doza wi li ber mehkemeyeke serbixwe u be ali bi awayeki adil u eshkere be bihistin ji bo diyarkirina maf u waciben wi u ya her tawana curmi li diji wi.
11-00	Bend 11
11-00	Her kese ku bi kirineke curmi te tawanbar kirin beri te hesibin ta ku suce wi di mehkemeyek eshkere, ku hemu garantiyen ji bo parastina wi pewist ewle kiribe, bi awayeki qanuni were isbat kirin.
11-01	Tukes naye ceza kirin ji ber kirin an nekirinen ku di gava pekhatina xwe de li gora qanuna neteweyi an navneteweyi ne suc bune.
12-00	Bend 12
12-01	Nabe ku tukes bibe amanca tekilbunen kefi yen nav jiyana wi ya arizi, malbata wi, mala wi an nameyen wi, an ziyangihandina sheref u shana wi. Herkes xwediye mafe parastina qanun e li hemberi tekilbun u ziyangihanen wilo.
13-00	Bend 13
13-00	Mafe her kesi heye ku di nav tixuben dewleteke de bi serbesti hatusune bike u cihe mayina xwe bibijere.
13-01	Herkes maf heye ku ji her welati, ye wi bi xwe ji te de, derkeve u vegere welate xwe.
14-00	Bend 14
14-00	Herkes maf heye ji ber zordestiye li welaten din daxwaza penahe bike u bibe penaber.
14-01	Ev maf nikare be xwastin ji bo taqibaten bi rasti ji ber suceke adi an ji ber kirinen diji amanc u bingehen Neteweyen Yekbuyi.
15-00	Bend 15
15-00	Herkes maf heye bibe xwediye netewahiyeke (miliyeteke).
15-01	Tukes nikare bi awayeki kefi ne ji netewahiya xwe ne ji ji mafe netewahi guhartine bete bepar kirin.
16-00	Bend 16
16-00	Ji temene (emre) balixiye pe ve, mer u jin, be tu tahdiden ji ber nijad, netewahi an ole, maf hene ku hev mehr bikin u malbatek deynin. Li hemberi zewace, di domahiye zewace u di dema berdane de ew xwedi mafen wekhev in.
16-01	Mehr tene bi erekirina serbest u temami ya jin u mer dikare bete birrin.
16-02	Malbat hemana xwezayi u bingehi ya civake ye u xwedi maf e ku ji ali civak u dewlete ve bete parastin.
17-00	Bend 17
17-00	Herkes maf heye ku bi sere xwe an tevi kesen din bibe xwedi mulk.
17-01	Tukes nikare bi awayeki kefi ji mulke xwe bete bepar kirin.
18-00	Bend 18
18-01	Herkes mafe azadiya fikr, wijdan u ole heye; azadiya ol an baweri guhartin u azadiya ol u baweriya xwe bi tene an bi hev re him eshkere him arizi, bi hinkirin, emel, ibadet u bicihanina ayinan nishandane ji di nav vi mafi de ne.
19-00	Bend 19
19-01	Herkes mafe azadiya fikr u ifade heye; mafe ji ber ramanen xwe nehatin eshandin u herweha mafe bei nasina tu sinoran u bi her cure navginan li agahdariyan u fikran gerin, wan bi dest xistin u ifade u belavkirin dikevin nav vi mafi.
20-00	Bend 20
20-00	Herkes mafe azadiya aramane civin u komele danine heye.
20-01	Tukes nikare bete mecbur kirin ku bibe endame komeleyeke.
21-00	Bend 21
21-00	Mafe her kesi heye ku rasterast an ji bi riya neminendeyen xwe yen bi serbesti helbijarti di hukumeta welate xwe de beshdar bibe.
21-01	Herkes maf heye ku di mercen wekheviye de ji xizmeten gishti yen welate xwe kelk (istifade) bigire.
21-02	Viyana (iradeya) gel bingehe otoriteya hukumete ye; dive ku ev viyan xwe di helbijartinen durust en ku di demen dewri de, bi raya gerduni, wekhev u dengdana dizi an li gora awayeke hevrumet a ku azadiya dengdane ewle bike, xwe diyar ke.
22-00	Bend 22
22-01	Herkes, weki endame civaki, mafe ewleyiya sosyal heye; Ew mafdar e ku bi riya xebata neteweyi u hevkariya navneteweyi u li gora tenzim u hatiniyen her dewlete, doza bidestxistina mafen abori, civaki u sandi yen ku jo bo weqara wi u geshbuna serbest a shexsiyeta wi ferz in, bike.
23-00	Bend 23
23-00	Herkes mafe xebate, serbest bijartina xebata xwe, sherten adil u musaid en xebate u parastina li diji bekariye heye.
23-01	Herkes, bei tu ciheyi, maf heye ku ji bo xebateke wekhev heqek wekhev bistine.
23-02	Herkese ku dixebite mafe meashek adil u terker e ku dikaribe ji wi u ji malbata wi re jiyaneke shayane weqara mirovi ewle bike u heke pewist be bi imkanen din en parastina sosyal be temam kirin, heye.
23-03	Herkes maf heye ku ji bo parastina menfaeten xwe sendika deyne u bikeve nav sendikan.
24-00	Bend 24
24-01	Herkes mafe bihndan (istirahet) u demen serbest u nemaze tahdideke maqul a dema xebate u tatilen dewri yen bi meash heye.
25-00	Bend 25
25-00	Herkes mafe sewiyeke jiyane ku tera ewlekirina saxi u rehetiya wi u ya malbata wi bike heye, nemaze ji bo xwarin, lixwekirin, mal, lenerina tibbi, wisa ji ji bo xizmeten sosyal en pewist u mafe ewleyiye di rewsha bekari, nexweshi, seqeti, biti, piri an di rewshen din en windakirina imkanen xwe yen jiyane ji ber sedemen dervavi viyana wi.
25-01	Deyiti u zaroti mafen arikari u lenerineke taybeti hene. Hemu zaro, si yen di zewace de buyi si yen dervayi zewace, xwediyen eyni parastineke civaki ne.
26-00	Bend 26
26-00	Herkes mafe hinbune heye. Dive ku hinbun belash be, qet nebe hinbuna destpeki u bingehi. Dive ku hinbuna teknik u mesleki bi firehi belav be u xwendina bilind bi wekheviyeke temami ji hemu kesan re, li gora shehrezayiya wan, vekiri be.
26-01	Dive ku hinkirin geshkirina temami ya shexsiyeta mirovi u xurtkirina siyaseta mafen mirovi u azadiyen bingehi amanc bigre. Dive ku ew arikari bide tegihishtin, musameha u dostaniya nav hemu netewe u hemu komen nijadi an oli, wisa ji peshvesuna salakiyen Neteweyen Yekbuyi ji bo xwedikirina ashitiye.
26-02	De u bav xwediye mafe peshiki e bijartina cureye hinbuna zaroken xwe ne.
27-00	Bend 27
27-00	Herkes mafe bi serbesti beshdarbuna jiyana sandi ya civake, ji huneran kelkgirtine u beshdarbuna peshvesuna zanisti u encamen we heye.
27-01	Herkes mafe parastina menfaeten manewi u maddi yen ku ji ber berhema zanisti, edebi u huneri ya ku ew bi xwe sekere we ye heye.
28-00	Bend 28
28-01	Mafe her kesi ye ji bo nizameke civaki u navneteweyi ya wisan heye ku maf u azadiyen di ve Danezane de berpeshkiri bikaribin te de bi temami bene cih.
29-00	Bend 29
29-00	Herkes erk (wezife) hene li hember civake, ya ku tene te de geshbuna serbest u temami ya shexsiyeta wi mimkin e.
29-01	Di bikaranina maf u azadiyen xwe de heryek tene bi hukmen ku qanun tene ji bo ewlekirina nasin u qedre maf u azadiyen kesen din u ji bo bicihanina xwastiniyen rast en exlaq, pergala gishti u refeha gelemper di civakeke demokratik de daniye, te tahdid kirin.
29-02	Ev maf u azadi, di tu rewshe de, nikarin li diji amanc u bingehen Neteweyen Yekbuyi ben bi kar anin.
30-00	Bend 30
30-01	Tu hukmeki ve Danezane nikare be tefsir kirin weki ku tu maf dide dewleteke, komeke u keseki ji bo kirina kareki an pekanina kirineki ku rakirina maf u azadiyen ku te de hatine berpesh kirin amanc bigre.
