00-00	'alvav'ltl'k' d'ql'ar'atsy' fֿvn m'ntshnr'kt
01-00	'artyql 1
01-01	y'd'r m'ntsh vav'rt g'voyrn fֿryya avn glyyak ayn kvֿvd avn r'kt. y'd'r vav'rt v'ashanqn myt fֿ'arsht'and avn g'vavysn; y'd'r zal zyk fֿyrn myt 'a tsvavyytn ayn 'a g'myt fֿvn vrvd'rsh'afֿt.
02-00	'artyql 2
02-01	y'd'r ayz v'ar'ktyqt aoyp dy 'al' r'kt avn fֿryyahyytn vavas shtyy'n g'shryvn ayn at d'r d'ql'ar'atsy', nyt g'qvqt aoyp vavas'r-nyt-ayz avnt'rshyyd, zal zyyan fֿalq, hoytfֿ'arv, lshvn, r'lygy', palytysh' ad'r 'and'r' g'd'anq'n, n'atsyan'alyt't, qvltvr, fֿ'armag, g'vvrt, ad'r vavas'r-nyt-ayz 'and'rn st'atvs.
02-02	nakm'r, tar nyt zyyan qyyn avnt'rshyyd tsvlyv d'r palytysh'r, g'z'tsyq'r, ad'r aynt'rn'atsyan'al'r l'ag' fֿvn d'm l'and vavu 'r vavoynt, zal das l'and zyyan avmaph'ngyq, aph'ngyq, ad'r avnt'r vavas'r-nyt-ayz v'agr'n'tst'r suvav'r'nyt't.
03-00	'artyql 3
03-01	y'd'r hat r'kt aoyp l'vn, fֿryyahyyt, avn p'rz'nl'k'r fֿ'arzyk'rvng.
04-00	'artyql 4
04-01	qyyn'm tar m'n nyt h'altn ayn qn'ktsh'afֿt tsy shql'afֿ'ryya; das shql'afֿ'ryya avn d'r shql'afֿn-h'andl zaln zyyan shtr'ng fֿ'arvatn ayn 'al' fֿarm'n.
05-00	'artyql 5
05-01	qyyn'm tar m'n nyt pyyanyqn ad'r aoyssht'ln aoyp 'a shtrap vavas zal zyyan avmm'ntshl'k, 'achzvryvtdyq, ad'r d'gr'adyrndyq.
06-00	'artyql 6
06-01	y'd'r hat avm'tvm das r'kt aoyp d'm, m'n zal aym an'rq'n'n vavy 'a m'ntsh loytn g'z'ts.
07-00	'artyql 7
07-01	'al' m'ntshn zyyan'n glyyak loytn g'z'ts, avn 's qvmt 'al', an avnt'rshyyd, glyyak' shvts loytn g'z'ts. 'al' zyyan'n v'ar'ktyqt aoyp 'a glyyak'r shvts q'gn vavas'r-nyt-ayz dysqrymyn'atsy' vavas zal vr'kn dy-a d'ql'ar'atsy' avn q'gn aoyfֿryytsvng aoyp 'az'a dysqrymyn'atsy'.
08-00	'artyql 8
08-01	y'd'r hat das r'kt aoyp tsv vav'ndn zyk tsv dy g'h'ryq' n'atsyan'al' g'ryktn tsvlyv vavas'r-nyt-ayz 'aqtn vavas havn aym apg'zagt dy grvntl'k' r'kt vavas zyyan'n aym v'avavylyqt loyt d'r qanstytvtsy' tsy g'z'ts.
09-00	'artyql 9
09-01	qyyn'm tar m'n nyt 'arvytr'arysh 'ar'styrn, h'altn ayn g'fֿ'ng'nysh, ad'r fֿ'arshyqn fֿvn zyyan l'and.
10-00	'artyql 10
10-01	y'd'r hat 'a r'kt, ayn fֿvl'r glyyakqyyt, aoyp 'a yvshrdyqn, 'fֿ'ntl'kn fֿ'arh'r fֿvn 'an avmaph'ngyqn, avmp'artyyyishn g'rykt vyyam g'r'knt vav'rn zyyan' r'kt avn fֿ'ar'antvavartl'kqyytn, avn vav'n m'n v'atr'akt vavas'r-nyt-ayz qrymyn'l' v'ashvldyqvng vavas vav'rt aym fֿ'arvavarfֿn.
11-00	'artyql 11
11-01	y'd'r vavas m'n v'ashvldyqt ayn 'a fֿ'arvr'kn hat 'a r'kt aoyp d'm vavas m'n zal aym dn zyyan lkp zkvt vyz m'n vav't aym g'fֿyn'n shvldyq loytn g'z'ts ayn 'an 'fֿ'ntl'kn prats's aoyp vav'lkn 'r hat 'al' nyytyq' g'ar'anty's aoyp zyyan fֿ'artyydyqvng.
11-02	qyyn'm tar m'n nyt g'fֿyn'n shvldyq tsvlyv vavas'r-nyt-ayz 'aqt tsy dvrklaz, vavas m'n hat nyt g'r'knt fֿ'ar qyyn n'atsyan'aln tsy aynt'rn'atsyan'aln ayv'rshpryyaz vav'n m׳ayz 's v'ag'ang'n. m'n tar aoyk nyt 'aroyfֿlyygn qyyn gr's'r' shtrap ayyd'r dy, vavas ayz g'vav'n gyltyq tsv d'r tsyyat vav'n m' ayz v'ag'ang'n d'm ayv'rshpryyaz.
12-00	'artyql 12
12-01	qyyn'm tar m'n nyt sht'rn dy pryvav'atqyyt, dy mshpchh, dy hyym, ad'r dy qar'spand'nts. qyyn'ms kvֿvd tsy shm tar m'n nyt 'at'aqyrn. y'd'r hat 'a r'kt aoyp d'r shvts fֿvn g'z'ts q'gn 'az'lk' sht'r'nyshn ad'r 'at'aq's.
13-00	'artyql 13
13-01	y'd'r hat 'a r'kt aoyp fֿryyahyyt fֿvn v'avav'gvng avn vavoynart tsvavyshn dy gr'n'tsn fֿvn y'd'r mlvkh.
13-02	y'd'r hat 'a r'kt aoyp fֿ'arlazn vavas'r-nyt-ayz l'and, 'aryyang'r'knt zyyan ayygn l'and, avn zyk tsvryqq'rn ayn zyyan ayygn l'and.
14-00	'artyql 14
14-01	y'd'r hat 'a r'kt aoyp v'tn avn zyk aoysnytsn myt 'azyl fֿvn fֿ'arfֿalgvng ayn aoysl'and.
14-02	das dazyq' r'kt ayz nyt gyltyq ayn fֿ'al fֿvn praqvryrvng'n vavas qvm'n l'gytym 'aroys fֿvn nyt-palytysh' fֿ'arvr'kns, ad'r fֿvn 'aqtn vavas zyyan'n 'aq'gn dy tsyln avn pryntsypn fֿvn dy fֿ'arayynyqt' fֿ'lq'r.
15-00	'artyql 15
15-01	y'd'r hat 'a r'kt aoyp 'a n'atsyan'alyt't.
15-02	m'n tar nyt tsvn'm'n vyya qyyn'm zyyan n'atsyan'alyt't ad'r apzagn das r'kt ayv'rtsvvyyatn zyyan n'atsyan'alyt't.
16-00	'artyql 16
16-01	d'rvav'aqs'n' m'n'r avn fֿroy'n, nyt g'qvqt aoyp fֿalq, n'atsyan'alyt't, ad'r r'lygy', havn 'a r'kt aoyp m'an-avn-vavyyav l'vn avn aoyfֿhad'vav'n 'a mshpchh. zyy zyyan'n v'ar'ktyqt aoyp glyyak' r'kt vnvg' m'an-avn-vavyyav-l'vn, vsh't zyy zyyan'n m'an avn vavyyav, avn vyyam ts'shyydn zyk fֿvn d'r zyvav'gsh'afֿt.
16-02	vloyz myt d'r fֿryya'r avn fֿvl'r hskmh fֿvn chtn avn klh q'n m'n 'aryyan ayn zyvav'gsh'afֿt.
16-03	dy mshpchh ayz das n'atyrql'k' avn grvntl'k' ayyns fֿvn d'r g'z'lsh'afֿt avn ayz v'ar'ktyqt aoyp shvts dvrk d'r g'z'lsh'afֿt avn dvrk d'r mlvkh.
17-00	'artyql 17
17-01	y'd'r hat 'a r'kt aoyp fֿ'armagn hav-avn-gvts, ay 'alyyns ay ayn shvtfֿvt myt 'and'r'.
17-02	fֿvn qyyn'm tar m'n nyt 'arvytr'arysh 'avav'qn'm'n zyyan hav-avn-gvts.
18-00	'artyql 18
18-01	y'd'r hat 'a r'kt aoyp fֿryyahyyt fֿvn tr'aktn, g'vavysn, avn r'lygy'. das r'kt n'mt aoyk 'aryyan dy fֿryyahyyt aoyp ayv'rvyyatn r'lygy' avn gloyvn avn dy fֿryyahyyt, ad'r 'alyyn ad'r vshvtfֿvt myt 'and'r', ad'r 'fֿ'ntl'k ad'r vychydvt, 'aroysvavyyazn dy r'lygy' ad'r gloyvn dvrk l'rn'n, pr'aqtyq, tfֿylh, avn apryktvng'n.
19-00	'artyql 19
19-01	y'd'r hat 'a r'kt aoyp fֿryyahyyt fֿvn myynvng avn zyk aoysdryqn. das r'kt n'mt 'aryyan fֿryyahyyt tsv havn myynvng'n an sht'rvng'n avn tsv zvkn, v'aqvm'n, avn ayv'rg'vn aynfֿarm'atsy' avn g'd'anq'n dvrk vavas'r-nyt-ayz m'dyvm, nyt g'qvqt aoyp l'andgr'n'tsn.
20-00	'artyql 20
20-01	y'd'r hat 'a r'kt aoyp fֿryyahyyt fֿvn fֿrydl'k'r fֿ'arz'amlvng avn fֿ'arayynyqvng.
20-02	qyyn'm tar m'n nyt tsvavyngn tsv vav'rn 'a mytglyd fֿvn vavas'r-nyt-ayz fֿ'arv'and.
21-00	'artyql 21
21-01	y'd'r hat 'a r'kt aoyp antyyl n'm'n ayn d'r r'gyrvng fֿvn zyyan l'and, ad'r dyr'qt ad'r dvrk fֿryya aoysg'qlyv'n' r'pr'z'nt'antn.
21-02	y'd'r hat 'a r'kt aoyp glyyakn tsvtryt tsv dy ayyanardnvng'n avn aynst'antsn fֿvn zyyan l'and.
21-03	d'r vavyln fֿvn dy v'afֿ'lq'rvng zal zyyan d'r grvnt fֿvn d'r aoytaryt't fֿvn d'r r'gyrvng. at d'r vavyln zal zyyan aoysg'dryqt dvrk p'ryadysh' avn amtdyq' vav'aln ayn vav'lk' 's zal zyyan 'an avnyvav'rs'al' shtymr'kt, avn vav'lk' d'arfֿn g'h'altn vav'rn dvrk g'hyymyshn shtym'n ad'r glyyakvav'rtyq' prats'dvrn fֿvn fֿryya'r apshtymvng.
22-00	'artyql 22
22-01	y'd'r, vavy 'a mytglyd fֿvn d'r g'z'lsh'afֿt, hat 'a r'kt aoyp satsy'aln fֿ'arzarg avn ayz v'ar'ktyqt aoyp mqyym zyyan, dvrk n'atsyan'al'r v'amyvng avn aynt'rn'atsyan'al'r myt'arv't, avn loyt d'r arg'anyzyrvng avn dy r'svrsn fֿvn y'd'r mlvkh, dy r'kt, ay 'qanamysh', ay g'z'lsh'afֿtl'k', ay qvltvr'l', vavas zyyan'n nyytyq fֿ'ar zyyan kvֿvd vav'gn avn fֿ'ar d'r fֿryya'r 'antvavyqlvng fֿvn zyyan p'rz'nl'kqyyt.
23-00	'artyql 23
23-01	y'd'r hat 'a r'kt aoyp 'arv't, aoyfֿn fֿryya'n aoysqlyyav fֿvn v'ash'fֿtyqvng, aoyp yvshrdyq' avn gyntsyq' 'arv't-v'adyngvng'n, avn aoyp shvts q'gn 'arv'tlazyqyyt.
23-02	y'd'r, an qyyn shvm dysqrymyn'atsy', hat 'a r'kt aoyp glyyakn g'tsalt fֿ'ar glyyak'r 'arv't.
23-03	y'd'r vavas 'arv't hat 'a r'kt aoyp yvshrdyqn avn gyntsyqn g'tsalt vavas zal fֿ'arzyk'rn aym avn zyyan mshpchh 'an 'qzyst'nts vavas p'ast tsvm m'ntshl'kn kvֿvd, myt 'a tsvgav, aoyv nyytyq, fֿvn 'and'r' mytl'n fֿvn g'z'lsh'afֿtl'k'r fֿ'arzyk'rvng.
23-04	y'd'r hat 'a r'kt aoyp fֿarmyrn avn vav'rn 'a mytglyd fֿvn prafֿfֿ'aryyn'n kdy tsv fֿ'artyydyqn zyyan' aynt'r'sn.
24-00	'artyql 24
24-01	y'd'r hat 'a r'kt aoyp rv avn aoyp fֿryyatsyyat, 'aryyang'r'knt das r'kt aoyp 'a g'h'ryq'r v'agr'n'tsvng fֿvn 'arv'ts-sh'h'n avn p'ryadysh' v'atsalt' vav'aq'atsy's.
25-00	'artyql 25
25-01	y'd'r hat 'a r'kt aoyp 'a l'vns-shtyyg'r g'nvgndyq aoyfֿn g'zvnt avn vavoylzyyan fֿvn zyk avn fֿvn d'r mshpchh, ayyanshlysndyq 'snvav'arg, qlyyd'r, v'ahoyzvng, m'dytsynysh' fֿ'arzargn, avn nyytyq' satsy'al' fֿ'arzargn, avn 'a r'kt aoyp zyk'rqyyt ayn fֿ'al fֿvn 'arv'tlazyqyyt, qr'anqyyt, fֿ'arqryplvng, 'almnhsh'afֿt, tyfֿn 'lt'r, ad'r fֿ'ln fֿvn prnsh ayn avmsht'andn vavas zyyan'n aoys'r zyyan qantral.
25-02	m'am's avn qynd'r zyyan'n v'ar'ktyqt aoyp v'azvnd'rn aphyt avn hylp. 'al' qynd'r, tsy dy m'am' hat chtvnh g'h'at tsy nyt, zaln g'nysn fֿvn d'r z'lvyq'r g'z'lsh'afֿtl'k'r v'ashytsvng.
26-00	'artyql 26
26-01	y'd'r hat 'a r'kt aoyp d'rtsyvng. d'rtsyvng zal zyyan avmzyst, lpchvt ayn dy 'l'm'nt'arysh' avn fֿvnd'am'nt'al' st'ady's. 'l'm'nt'ar' d'rtsyvng zal zyyan avlyg'atarysh. t'knysh' avn fֿ'akm'n'rysh' d'rtsyvng zaln vryyt tsvg'sht'lt vav'rn, avn h'k'r' vyldvng d'arp zyyan tsvtrytl'k tsv 'al'm'n loytn 'aq'ad'myshn vav'rt.
26-02	d'r tsyl fֿvn d'rtsyvng zal zyyan dy fֿvlfֿ'akyq' 'antvavyqlvng fֿvn d'r m'ntshysh'r p'rz'nl'kqyyt avn dy fֿ'arsht'arqvng fֿvn r'sp'qt tsv m'ntshnr'kt avn grvntl'k' fֿryyahyytn. dy d'rtsyvng zal d'rmvtyqn fֿ'arsht'and, tal'r'ants, avn fֿryyandsh'afֿt tsvavyshn 'al' fֿ'lq'r, r'asn- avn r'lygy'z'- grvp's, avn zal avnt'rshtytsn dy 'aqtyvavyt'tn fֿvn dy fֿ'arayynyqt' fֿ'lq'r aoyp aoystsvh'altn shlvm.
26-03	dy 'lt'rn havn 'a r'kt aoyp aoysqlyyavn ayn fֿaroys vavas fֿ'ar 'a d'rtsyvng zyy'r' qynd'r zaln v'aqvm'n.
27-00	'artyql 27
27-01	y'd'r hat 'a r'kt v'atyylyqn zyk aoyp 'a fֿryya'n aoyfֿn ayn d'm qvltvr'ln l'vn fֿvn d'r qhylh, hnah havn fֿvn qvnts, avn havn 'a chlq ayn vavysnsh'afֿtl'k' 'avav'ansyrvng'n avn ayr' v'n'fֿytn.
27-02	y'd'r hat 'a r'kt aoyp d'r v'ashytsvng fֿvn zyyan' mar'alysh' avn fֿyn'antsy'l' aynt'r'sn vavas qvm'n 'aroys fֿvn zyyan vavysnsh'afֿtl'k'r, lyt'r'arysh'r, ad'r qyntsl'k'r pradvqtsy'.
28-00	'artyql 28
28-01	y'd'r hat 'a r'kt aoyp 'a g'z'lsh'afֿtl'k'r avn aynt'rn'atsyan'al'r ardnvng myt vav'lk'r dy r'kt avn fֿryyahyytn fֿ'artsyyknt ayn at d'r d'ql'ar'atsy' zaln havn 'a fֿvlsht'ndyqn qyvm.
29-00	'artyql 29
29-01	y'd'r hat chvvֿvt tsv d'r g'z'lsh'afֿt vavas nar ayn ayr q'n zyk fֿryya avn fֿvlsht'ndyq 'antvavyql'n zyyan p'rz'nl'kqyyt.
29-02	vyyam aoysnytsn zyk myt zyyan' r'kt avn fֿryyahyytn, zal y'd'r zyyan v'agr'n'tst vloyz aoyp vavyfֿl dy g'z'ts zal v'ashtym'n kdy dy r'kt avn fֿryyahyytn fֿvn 'and'r' m'ntshn zaln aoyk v'aqvm'n p'asyq' r'sp'qt avn kvֿvd, avn tsvlyv dy yvshrdyq' fֿad'rvng'n fֿvn mar'alyshqyyt, fֿvn 'fֿ'ntl'k'r ardnvng, avn fֿvn 'alg'myyn'm vavoylzyyan vavas zyyan'n gyltyq ayn 'a d'maqr'atysh'r g'z'lsh'afֿt.
29-03	ayn qyyn shvm fֿ'al tar m'n zyk nyt aoysnytsn myt dy-a r'kt avn fֿryyahyytn ayn q'gnsht'l tsv dy tsyln avn pryntsypn fֿvn dy fֿ'arayynyqt' fֿ'lq'r.
30-00	'artyql 30
30-01	garnyt ayn d'r dazyq'r d'ql'ar'atsy' tar m'n nyt tyyatshn myt d'r aymplyq'atsy', 'az vavas'r-nyt-ayz mlvkh, grvp', tsy m'ntsh hat 'a r'kt aoyp fֿ'arn'm'n zyk myt vavas'r-nyt-ayz 'aqtyvavyt't, ad'r aoysfֿyrn vavas'r-nyt-ayz 'aqt, vavas ayz g'tsylt aoyp d'r ts'sht'rvng fֿvn vav'lkn-nyt-ayz fֿvn dy r'kt avn fֿryyahyytn vavas zyyan'n fֿ'artsyyknt da aoyvn.
