00-00	DURNYANG KIKE BE KEYILI KPRA TA LANGE DIMEDI KIKE BE KUMU SO BE ASHYENG NE MOBE KASHINTENG AKPA
02-02	N nang tii so, nkpieto kike e sa mang woto ta a yo kumu be kekeni to, demu-ji to, nko efuli ne fo shi be eyilikpa durnyang to ne long be efuli nna suwe kumo kumu a keni kumo kumu so, nko efuli ko e naa keni kumu so ekpa ko so.
03-00	Demu 3
03-01	Ekama ko kashenteeng ne mobe efute ne mobe kumu be kekung.
04-00	Demu 4
04-01	A mang daga ne eko e baa wo kenyanya nko kanyang to. Kenyaya, kenya-to ne kenya-fa be ekpa kama so daga ku ju.
05-00	Demu 5
05-01	A mang daga bu ka nyang eko nko n woto mo ebasa to, nko n gberge mo kusoe.
06-00	Demu 6
06-01	Ekama ko kashinteng, kaple-kama ne e wo ne bu pin fane esa e la mo mbra be ekpa so.
07-00	Demu 7
07-01	Ekama na la kukongwule nna mbra be ekpa so, a daga ne mbra na e kung ekama ne nkpieto mang woto.
08-00	Demu 8
08-01	Ekama ko kashinteng ne bu yolge mo ashi efuli na be demu-ji akpa ne e ya do kashinteng kpra ne mbra yili mo nna so.
09-00	Demu 9
09-01	Ekama mang daga ne bu pe mo jiga-jiga so, nko ne bu tii mo ebu nko n ju mo jiga-jiga so.
10-00	Demu 10
10-01	Ekama ko ekpa ne edemu-ji kpa ne a wo amobe amu so, a maa kpie to na ne a mige mo to nene ne jama kike e nu ta a lange mobe kashinteng, asheng daga so ne kusoe gberge ne bang sa mo.
11-00	Demu 11
11-01	Ekama ne bu fa fo, fo ko kashinteng ne fo keni kefa nna, amo bu ji na mbri fo mbra be ekpa so jimaa to ne fo mang ting che fo kono.
11-02	A mang daga ne bu fa ekama nkpal kesheng ne ku mang daga kusoe gberge so ashi efuli na nko efuli-ana kike be mbra so, sange ne e woro la be kesheng na. A mang nang daga ne bu gberge esa kusoe ne ku baa cho kumo ne bu junkpar n sa mo sange ne e woro long be kesheng nna.
12-00	Demu 12
12-01	A mang daga ne fo luri fo barkasa be asheng to jigajigaso, mo dawule, mobe keyale nko mobe keboaya akpa, nko ne fo tige fo barkasa be jilma ne mobe eyilikpa so. Ekama ko kashinteng ne mbra na e kung mo ashi baasa be kebaa luri mobe asheng to ne ketige nko nduwe mobe jilma so.
13-00	Demu 13
13-01	Ekama ko kashinteng ne e baa nite mobe kumu so yelyela n nang ting chena mobe efuli so.
13-02	Ekama ko kashinteng ne e ler efuli kike so, ne mobe efuli so gba n nang ting m beta m ba mobe efuli so.
14-00	Demu 14
14-01	Ekama ko kashinteng ne e yo efuli ko so n ya molwe mobe kumu.
14-02	Ne bu fa esa kumobe ekpa so nkpal ashung lubi ne e maa lie efuli na be kumu be kekeni be ekpaso nko asheng ne a bee doo konokongwule be mbra na so, le be kashinteng mang woto.
15-00	Demu 15
15-01	Ekama ko kashinteng ne e shi efuli ko so.
15-02	A mang daga kekini eko mobe efuli so be keshi jiga-jiga nko n kini mobe kecherga efuli ne e shi na so.
16-00	Demu 16
16-01	Benyen ne beche ya bulo, bu ko kashinteng ne bu kil n tange kanang ne sheng maa kung bumo fane yiri, efuli ne bu shi na so, nko kanane baa bunyang ebore. Bu ko kashinteng kongwule ashi kakil to ne kakil gbengi so to.
16-02	Poe ne baasa e kil abar, a daga ne bumo-wura-ana be kenyi kike e baa wo kakil na to.
16-03	Kanang la ebore so be kesheng na n naa la baasa to be katung junkpar po ne a daga ne jamaa ne efuli kike e baa kung kumo.
17-00	Demu 17
17-01	Ekama ko kashinteng ne e baa ko mobe kumu so be kapite nko mo ne mo bra-ana.
17-02	A mang daga kepuni nko m mon eko mobe kapite.
18-00	Demu 18
18-01	Ekama ko mobe kumu so be mfera be kashinteng, lakal ne kanane e bee bunyang ebore. La be kashinteng tii mobe kecherga kanane e bee bunyang ebore nko mobe yerda, ne mobe kumu so be keshung ebore-shung mo nawule nko mo ne mo bra-ana.
19-00	Demu 19
19-01	Ekama ko mobe mfera ne kamalga be kashinteng. La be kashinteng tii kumu so be mfera be kefe ne sheng maa kung mo, e naa ko mobe kashinteng ne e fin, n nya nko n sa keboaya ne lakal ekpa kike so ne mbarga kike mang woto.
20-00	Demu 20
20-01	Ekama ko mobe kashinteng ne e ba wo kagbenewushi be nsher to.
20-02	Bu maa nyang eko a woto nsher ko to.
21-00	Demu 21
21-01	Ekama ko kashinteng ne e baa wo efuli so be awura-sheng to mo gbagba nko ne bu lara ba sa yelyela so ne bu yili bumo be ntilemu.
21-02	Ekama ko kashinteng ne eji mobe efuli so be kusone ku la ekama peye be tuno kanane eko gba beeng ji kumobe tuno nna.
21-03	Baasa be aparsheng a daga a ka la awura-sheng be egbel tulwase la be aparsheng daga ne a shi sange sange be konkong be kele kashinteng be ekpa so n naa la ekama be kesheng ne baa le konkong nna kegblanto nko kumo ne ku be konkong be kele be mbra so.
22-00	Demu 22
22-01	Fo kama ne fo wo baasa to, fo ko kashinteng ne baasa e kung fo, a daga ne fobe efuli so ne efuli-ana kike ka pe abar be kasher to, efuli-ana be keblase to ne amobe kapite be albarka to ne fo nya eyilikpa ne nangkur ne ku daga fo dimedi ne dankare be ekpa so.
23-00	Demu 23
23-01	Ekama ko kashinteng ne e shung kushung, ne e fin mobe kumuso be kepar ke Kushung n nang shung kushung mbra be ekpa so n nang kung mobe kumu ashi ketase fulong to.
23-02	Ekama ko kashinteng ne bu ka mo kakoka kongwule ne kushung kongwule ne nkpieto kike mang woto.
23-03	Ekama ko kashinteng ne e ji mobe kushung be tuno, mo nawule nko mo ne mobe keyale ne e naa wo kebawoto ne ku daga dimedi, n nang fin kecheto ko ne ku daga ashi baasa kuto.
23-04	Ekama ko kashinteng ne e baa wo beshumpo be konokongwule to ne bu baa kung mobe aparsheng.
24-00	Demu 24
24-01	Ekama ko kashinteng ne e wushi ashi mobe kushung akpa ne mobe ketase fulong to, kushung na be jemane e sa mang poo eshumpo na so ne e nang nu ebel ashi sange sange be ewushi ne ku ko kakoka.
25-00	Demu 25
25-01	Ekama ko kashinteng ne e ba wo kebawoto lela to, mo ne mobe keyale, ta alange eyur be alemfia, ajibi-ji so, aso-buuso, kowu chena so to ne kuso kama ne ku la jamaa peye, e naa ko kashinteng ne e kung mobe kumu sange ne e mang naa wo kushung to, ne e ka wo kulo to, ne kekulwu to, ne kenimu to nko kebawoto ko ne ku mang duli mo.
25-02	Kenio to ne kebia to, kike daga kekeni so nene n nang daga keche to. Mbia ne bu kurwe kakil to nko kejipo to daga kakung kongwule.
26-00	Demu 26
26-01	Ekama ko kashinteng ne e nya kebala ne kabii. Kebala ne kebii daga ne bekekarso na e nya kumo yelyelya. Kebala ne kebii kekarso beeng ba la boshine. A daga ekama ka nya eno to ne broni be ashung be kebala ne kebii; benimu male be kebala ne kebii male daga ne ku be kenyi so.
26-02	Kebala ne kebii beeng lie dimedi be eyur kudu-anyo kike, n nang woto eleng to, jilma ta a lange dimedi be kashinteng ne mobe kumu so be asheng kpra ere. Ku beeng tengi kenu-n-sa-abar so, kanyiti ne kenakpa efuli-anan to, yiri nko ebore be beshumpo be ntungso-ana to, n nang tengi. Durnyang be efuliana be konokongwule be kebawoto kike ne kangbene wushi e baa woto.
26-03	Benawura-ana ko kashinteng ne ekpa ne bu lara kebala ne kebii be ekpa ne ku daga bumobe mbia.
27-00	Demu 27
27-01	Ekama ko kashinteng mobe kumu so ne e ting woro mobe baasa be adankaresheng n nang ting ji adankare be aso longe so ne kabre be kache be kinishi buwi be kenyi be tuno.
27-02	Ekama ko kashinteng ne ekpa ne e kung mobe kumu so ne kebeleng be kushung.
28-00	Demu 28
28-01	A daga ne ekama e nya dimedi ne efuli-ana kike be kebawoto, ne kashinteng ne kumu so be asheng ne a wo keyili kpra ere to e kurwe ebi lela.
29-00	Demu 29
29-01	Ekama ko mobe kushung baasa to, bumo to ne e bee kii esa lela.
29-02	Ne esa bee bo mobe kashinteng ne kumu so be asheng so a daga ne e baa de mbra so, sange na so e maang tor mo barkasa ko be geshi to, long e beeng woro kusone ku daga ne asheng e be abar so nene ne ye-ne-n-ye be kebawoto e nya edesekpa baasa to.
29-03	Kashinteng ne kumu so be asheng ere mang daga ku woro amo m foe ekpa kanane durnyang be efuli-ana be konokongwule yili kumo nna.
30-00	Demu 30
30-01	Sheng mang wo kawol ere to a ngini fane efuli ko pkeleng, baasa nko esa ko dawule peye nna, amoso eko mang ko ekpa ne e woro kesheng ko ne ku beeng jija kashinteng ne kumu so be asheng ne a wo kawol ere to.
