00-00	selasabeawi mabetoche lamaasetamaare  yamiradu anedaanede zadeewoche.
16-01	gaabechaa yamifatsamawe gaabechaa lamafatsame bamifalegu hulatume waganoche bamiyaadaregute natsaanaa mulu sememenate masarate bechaa nawe.
16-02	beetasabe baxabera sabe yatafateronaa masarataawi kefele selahona baxaberasabunaa bamanegesetume dahenenatu eneditebaqelate yegabaale.
17-00	aneqatse 17;
17-00	eyaanedaanedu sawe bechaawene wayeme kaleeloche gaare baxaberate hono yaxaberate baalabeetenate mabete alawe.
17-01	maaneme sawe yaalaferede neberatu ayewasadebateme.
18-00	aneqatse 18;
18-01	eyaanedaanedu sawe yahaasaabe yahhelinaanaa yahaayemaanote natsaanate mabete alawe. yeheme mabete haayemaanotune wayeme emenatune yamalawate natsaanatenenaa bechaawene wayeme kaleeloche gaare baxaberate bayefaa wayeme bagele hono haayemaanotune wayeme emenatune yamaasetamaare, batagebaare yamagelatse yamaamelakenaa yamaakebare natsaanatene yechameraale.
19-00	aneqatse 19;
19-01	eyaanedaanedu sawe yahhasaabenaa hhasaabune yamagelatse mabete alawe. yeheme mabete yaalataaleqaa gabenate bahhasaabe yamatsenaatenenaa zeenaane wayeme hhasaabochene yaalaanedaache yadenebare gadabe yamaagenyatene yamaqabalenenaa wayeme yamaakaafalene natsaanateme yechameraale.
20-00	aneqatse 20;
20-00	eyaanedaanedu sawe basalaame yamasabesabenaa genenyunate yamaaderage natsaanate mabete alawe.
20-01	maaneme sawe yaanede maaxabare abaale enedihone ayegadademe.
21-00	aneqatse 21;
21-00	eyaanedaanedu sawe baqatetaa wayeme natsaa bahona manegade batamaratu enedaraaseewoche amaakaanyenate baagaru manegesete yamakaafale mabete alawe.
21-01	eyaanedaanedu sawe baagaru yahezebe agalegelote ekule yamaagenyate mabete alawe.
21-02	yamanegesete seletaane masaratu yahhezebu faqaade mahone alabate. yeheme faqaade lahulume ekule bahona bamesetire bamidarage yademetze masetete merechaa wayeme batamasaasaaye huneetaa bayagizeewenaa batekekele bamifatsamu merechaawoche enedigalatse mahone alabate.
22-00	aneqatse 22;
22-01	eyaanedaanedu sawe yaxabera sabe abaale enedamahonu baxabera sabe dahenenatu eneditebaqe mabete alawe. enedihume babehheeraawi teratenaa bainetarenaashenaale matabaabare amaakaayenatenaa baeyaanedaanedu manegesete derejeteme yahabete menechoche masarate lakeberunaa lasabeaawi aqemu natsaa edegate yagede asefalaagi yahonute yaeekonomi yamaaxabaraawi nuronaa yabaahele mabetoche batagebaare enedigalatsulate mabete alawe.
23-00	aneqatse 23;
23-00	eyaanedaanedu sawe yamaseraate yaseraa natsaa merechaanaa laseraame tekekelanyaanaa tasemaami yaasaraare huneetaawochenaa seraame enedaayaataa mabete alawe.
23-01	eyaanedaanedu sawe yaalaanedaache leyunate maaderage laanede aayenate seraa ekule yahona damawaze yamaagenyate mabete alawe.
23-02	baseraa laaye yaala sawe laeraasunaa labeetasabu lasabeaawi kebere tagabi yahona nurone yamiyaaseganyelatenaa kaasefalagame baleeloche yaxaberasabe dahenenate matebaqiyaa zadeewoche yatadagafa tekekelanyaanaa tasemaami waagaawene yamaagenyate mabete alawe.
23-03	eyaanedaanedu sawe teqemochune lamaasekabare yamuyaa maaxabarochene lamaaqwaaqwaamenaa maaxabaretanyaa lamahone mabete alawe.
24-00	aneqatse 24;
24-01	eyaanedaanedu sawe yaerafetenaa yamazenaanaate enedihume baagebaabe yatawasanu yaseraa saaatoche enedinorutenaa bayagizeewe yaerafete gizeeyaatene kadamawaze gaare yamaagenyate mabete alawe.
25-00	aneqatse 25;
25-00	eyaanedaanedu sawe laeraasunaa labeetasabu teenenatenaa dahenenate megebe, lebese, beetenaa hhekemenaa asefalaagi yamaaxabaraawi nuro agalegelotocheme chemere yamibaqaa yanuro darajaa lamaagenyate mabete alawe. seraa saayeqatere biqare bitaamame lamaseraate baayechele baale wayeme misete bimote biyaaraje wayeme kaquteteru weche bahonu mekeneyaatoche masanaakale bigatemawe dahenenatu eneditebaqelate mabete alawe.
25-01	walaadenatenaa hhetsaanenate leyu teneqaaqeenaa eredaataa yamaagenyate mabete alaachawe; bagaabechaa wayeme yaalagaabechaa yamiwaladu hhetsaanaateme yatamasaasaaye yadahenenataachawe matebaqe mabete alaachawe.
26-00	aneqatse 26;
26-00	eyaanedaanedu sawe yamamaare mabete alawe. temeherete biyaanese biyaanese baanedanyaa darajaanaa bamasarataawi darajaawoche banatsaa lihone yegabaale. yaanedanyaa darajaa temeherete mamaare gedeetaa nawe. yateekenikenaa yaleyu leyu muyaa temeherete bateqelaalaawe yakafetanyaa darajaa dagemo bachelotaa masarate lahulume ekule masatete alabate.
26-01	temeherete laeyaanedaanedu sawe huneetaa maashaashaayaanaa lasabeaawi mabetocheme masarataawi natsaanatoche kebere maadaabareyaa yamiwele mahone alabate. enedihume yatalayaaya zare wayeme haayemaanote baalwachawe hhezeboche makaakale hulu magebaabaatene tachaachelo yamanorenenaa yamatabaabarene manefase yamiyaatenakerenaa yatabaabarute manegesetaate derejete salaamene lamatebaqe yamifatsemaachawe tagebaaroche enedisefaafaa yamiyaabarataatu mahone alabate. 
26-02	walaajoche lalejochaachawe lamasetete yamifalegutene temeherete lamamerate yaqedemiyaa mabete alaachewe. 
27-00	aneqatse 27;
27-00	eyaanedaanedu sawe baxabera sabu yabaahele nuro banatsaa makaafalenaa bakina tebabe lamateqame basaayenese eremejaanaa bateqemochume lamasaatafe mabete alawe. 
27-01	eyaanedaanedu sawe kadarasawe maanenyaaweme yasaayenese yaderesatenaa yakina tebabe seraa yamiyaaganyawe yamoraalunenaa yahaabete teqemoche enedikabarulate mabete alawe.
28-00	aneqatse 28;
28-01	eyaanedaanedu sawe bazihe wesaane wesete yatazarazarute mabetochenaa natsaanatoche bamulu batagebaare enediwelu lamidaragebaachawe yaxaberasabenaa yainetarenaashenaale sereaate yamateqame mabete alawe.
29-00	aneqatse 29;
29-00	eyaanedaanedu sawe yaraasu natsaanatenaa mulu mashaashaale bamiyaaganyebate xaberasabe wesete yamifatsemaachawe gedeetaawoche yenorubataale.
29-01	eyaanedaanedu sawe bamabetochu banatsaanatochu bamiteqamebate gizee yamitaagadawe yaleelochene mabetochenaa natsaanatoche bamigabaa lamaasakabare bechaa batadanagagu hhegochenaa yagebera gabenatene yateqelaalaawene hhezebe tzatetaanaa dahenenate badeemokeraatike maaxabaraawi nuro tekekelanyaa yahonawe tafalaagi gudaaye lamaarekaate batawasanawe bechaa nawe.
29-02	enazihe mabetochenaa natzaanatoche bamaanenyaaweme huneetaa yatabaabarute manegesetaate derejete masarate aalaamaawoche taqaaraani bahona manegade lifatsamu ayegabaachaweme.
30-00	aneqatse 30;
30-01	bazihe wesaanee kalaaye yatazarazarawe hulu bazihu wesete yatateqasutene maanaachaweme mabetoche wayeme natsaanatoche lamaabalaashate bataasaba maanenyaaweme aayenate tagebaare lamaawaale wayeme deregitene lamafatsame lamaanenyaaweme manegesete wayeme derejete wayeme sawe yatabaalu ayetaragomume.
