00-00	Di Stetment Bot Di Rayt Den We olman na Di Wol Fo Get
11-00	enibodi we den ker go kot fo ting we den se i du agens di lo fo get di rayt fo se in no du da ting de en di kot fo biliv am. I go lef wit di kot naw fo pruv se i du am na poblik trayal usay insef go get in yon Loya den we go fet in kes fo am.
11-01	Nobodi no fo pas jojment se posin gilti o iponish da posin de fo lek big ofens we pas wetin i du e sef, we notoofens insay in yon kontri ooda kontri den na di wol.
12-00	Atikul Twelv
12-01	Nobodi no get rayt fo intafia as i lek wit oda posin in kolat, in fambul, in om en in leta den we oda pipul rayt to am, o ivin tray fo pwel in gudnem o in respekt. Di lo fo protekt evribodi fo den kanaba molesteshon yaso.
13-00	Atikul Totin
13-00	evribodi get rayt fo go enisay en tap enisay na eni pan di kontri den we de na di Yunayted Neshon; pantap dat, i fri fo komot na in kontri oeniwan pan di kontri den na di Yunayted Neshon en ton bak kam na in yon kontri we i pliz.
13-01	[Missing?]
14-00	Atikul Fotin
14-00	enibodi we tink se in layf de pan denja get di rayt fo aks mek den alaw am, en in fo get da pamishon de fo tap na eni oda kontri na di wol. Bot, if di rizin we mek da posin de wan komot na in kontri go tap odasay no get natin fo du with politiks, o na ting we di Yunayted Neshon stetment de agens, den i no go get da rayt de.
14-01	[Missing?]
15-00	Atikul Fiftin
15-00	evribodi get rayt fo get wan kontri we i go kol in yon.
15-01	Nobodi no get rayt, jes bikos i fil so, fo, mek sombodi no ebul fo kol in kontri in yon igen, en, pantap dat, nobodi no get da pawa de fo tap enibodi we want fo chenj di kontri we i go kol in yon.
16-00	Atikul Sikstin
16-00	eNi man en uman we don ofej, no mata if den tu no to di sem trayb, kola o rilijon, get di rayt fo mared, bon pikin en bigin den yon famili. Den fo get di sem rayt as maredman en mareduman, ivin if di mared brok sef.
16-01	Fo mek di mared get minin, di man en di uman fo no plen wan wetin den de du en den fo gri fo bi man en wef.
16-02	[Missing?]
17-00	Atikul Sevintin
17-00	evibodi get rayt fo get propati fo insef o fo joyn wit oda pipul den en get di propati.
17-01	Nobodi no fo tek eni posin in yon propati komot na in an we i jes fil nomo fo du so.
18-00	Atikul Etin
18-01	evibodi get rayt fo tink aw i want, fil aw i want bot enitin we de apin enisay, en joyn eni grup o choch oeni oda God wok fo prez God di we i fil, igen sef, i fri fo chenj in grup o choch en ivin di we aw i fil bot God; pantap dat, i fri fo woship in wangren o wit oda pipul den na poblik o prayvet.
19-00	Atikul Nayntin
19-01	evribodi get rayt fo tink wetin i fil en fo se wetin i fil. Dis min igen se nobodi no fo ambogin eni oda posin bikos of wetin i fil o biliv. I get di raty fo sho, tok bot, fala o ivin tich wetin i biliv to oda posin den, ilek usay o uskayn we i pas di wod.
20-00	Atikul Twenti
20-00	evribodi fri fo bi memba of eni grup we i chuz wans nomo den no de du eniting de fo bring ambog o trobul na di kontri.
20-01	Nobodi no fo fos eni posin fo jony eni grup we i no want fo joyn.
21-00	Atikul Twenti Wan
21-00	evribodi get rayt fo du wetin i ebul du foep di govament of in kontri. I kin du dis if i wok wit di govament o if i vot fo pipul den we go wok wit di govament.
21-01	evribodi get di sem rayt fo yuz ol govament propati we de fo di poblik.
21-02	Wetin di pipul den want nain di govament fo du. Di pipul den go sho wetin den want we den wan we don big du fo vot go vot na jenaral ilekshon from tem to tem. Nobodi no fo fos den, nobodi no fo tap den fo fri fo vot usay nobodi no go si den, en fo udat den want.
22-00	Atikul Twenti Tu
22-01	evribodi get rayt foekspekt in kontri fo protekt am en gi am chans fo divelop insef enisay en bi sombdi wit respekt en we go ebul insef pan wok o biznes o stodi te in kontri kin si am as wan posin we fo abop pan.
23-00	Atikul Twenti Tri
23-00	evribodi get rayt fo wok, fo du di wok we i lek en fo get gud pe fo di wok we i de du.
23-01	evribodi fo get di sem pe fo di sem wok.
23-02	evribodi we de wok get rayt fo get di kayn pe we go mek in en in famili ebul fo liv lek nomal motalman den, en if i posibul sef, den kin get oda kayn ep fo mek layf bete fo den.
23-03	evribodi get rayt fo form tred Yunion o joyn an as wokman o wokuman fo mek nobodi no tinap pan den rayt na di wokples.
24-00	Atikul Twenti Fo
24-01	evribodi get rayt fo rest en rilaks in bodi, insay dat, den fo rest afta den don wok don evride. Pantap dat, den fo get tem we den go go olide (evri ia liv) en get den pe fo da liv tem de.
25-00	Atikul Twenti Fayv
25-00	evibodi get rayt fo liv di kaynaba layf we go mek in en in famili den no sik, i fo ebul get tin fo it, klos, os, meresin en i fo ebul abop se if ting bad fo am na layf, leke i sik, in patna o pikin sik, i lef wok, day mit am o i kam ol tumos, i go get ep from di govament.
25-01	Lili pikin en mami we get pikin get rayt fo get speshal ep en dis ep no fo difren ivin if noto di maredwef ben di pikin. Maredwef pikin en switat pikin fo get di sem tritment en benifit olsay.
26-00	Atikul Twenti Siks
26-00	evribodi get rayt fo get edyukeshon; elimentri en praymari fo bi fri, en elimentri en praymari edyukeshon fo bi bay fos, bay kompel. enibodi we want, kin get di kayn edukeshon we go tren am fo speshal jab den. Yunivasiti edyukeshon go de foenibodi we want am, en we fit fo get am.
26-01	edyukeshon go tren di lana fo gro fo respekt di rayt en fridom we oda pipul den get. I go mek pipul den ebul fo liv togeda no mata weda den de na di sem kontri o som bi from oda kontri, weda den get di sem kola o den ivin joyn di sem rilijon; dis go ep mek di Yunayted Neshon den wok fo get pis en kolat olsay na di wol izi.
26-02	Na di mami en di dadi fo disayd uskayn edyukeshon den pikin fo get; if den no ebul o den no de, den, oda posin kin du am.
27-00	Atikul Twenti Sevin
27-00	evribodi get rayt fo tek pat pan ol den kaynaba aktiviti we blant in kontri leke di singen dans, di dresin en di picho droin den we de sho ting den bot in kontri. I get di rayt igen sef fo tek pat en benifit from di gud tings den we sayens don bring kam na in kontri.
27-01	evribodi get rayt fo kip en enjoy as in yon enitin we insef fenot, du o rayt insay sayeens, raytin drama ple akting.
28-00	Atikul Twenti Et
28-01	evribodi get rayt fo benifit from grup we get pawa oloba di wol fo mek sho se evribodi go enjoy den rayt en fridom den we dis stetment tok bot.
29-00	Atikul Twenti Nayn
29-00	evribodi get in yon wok we in fo du na in sosayti fo mek sho se i go liv api en ful layf insay de.
29-01	We posin de tray foenjoy in rayt den en in fridom den na sosayti, i fo memba se di lo de fo mek sho se i memba se oda posin densef get den yon rayt en fridom we i fo respekt so dat oda en kolat go de olobot (olsay).
29-02	Den rayt en fridom den ya we de na dis stetment we komot na Yunayted Neshon na fo mek pipul den get pis en kolat na den kontri. Nobodi no fo tray fo mek pipul den fo get oda ting pas dat.
30-00	Atikul Tati
30-01	Natin no de insay pan den stetment yaso we min bad foeni posin o grup of posin insay eni kontri so, mek nobodi no fil dat.
