00-00	Declarasyoony x:te:e'n Deree'ch x:te:e' Ra'ta' Bu:unny
04-01	Nye:e'c te'ihby bu:unny quei'ty na:a pahr ga'c sclaab; nye:e'c te'ihby bu:unny quei'ty na:a pahr yto:o' steeby bu:unny, nye:e'cza' si:i:i' bu:unny sa'ni'.
05-00	Ga:a'y (5)
05-01	Nye:e'c te'ihby bu:unny quei'ty na:a pahr ga'c torturaar o ga'c bu:unny castigaar demaasta'.
06-00	X:o'p (6)
06-01	Ra wbyee'rnn na:a pahr gunybe:e' ra'ta' bu:unny te'bloh zi'cy bu:unny.
07-00	Ga:az (7)
07-01	Ra le'i na:a pahr guuny trataar ra'ta' bu:unny te'blohihzy. Ra'ta' bu:unny na:a pahr ga'c protejeer zi'cy nih canni:i:i' Declarasyoony re:e'.
08-00	X:o:on (8)
08-01	Ra'ta' jusgaad x:te:e' gax:lyuh na:a pahr ga:ann dehqueh ra deree'ch nih rde:e:i'dy constitusyoony x:te:e' lahahzh: ra bu:unny ra bu:unny na:a pahr ga'c cumplier-rih.
09-00	Ga:a:a' (9)
09-01	Nye:e'c te'ihby bu:unny quei'ty na:a pahr gyihah liahz gyi:e'b digahtihzy o cwe:e'reng bu:unny lahzh:ni' digahtihzy.
10-00	Tse:e'(10)
10-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ga'p te'ihby jwi'isy jua'st chih ra:a'p bu:unny te'ihby dema'aann co'nnr bu:unny.
11-00	Tsebteeby (11)
11-01	Ra'ta' bu:unny nih ra:a'p dema'aann ra:a'prih deree'ch pahr ga'crih trataar zi'cy inose'enn a'xta' canoo ga'crih culpa'bl zi'cy na:a le'i x:te:e'n te'ihby jwi'isy nih quei'ty na:a x:gaa'ts.
11-02	Nye:e'cy te'ihby bu:unny quei'ty na:a pahr ga'c casti'u pahr lo'c nih be:i'nyih ba:all quei'ty na:ih co'nnr le'i chih be:i'nyih ni:i. Nye:e'cza' ga'cih casti'u ro:o'ru' deh nih ruhnytocaar la:ih pahr lo'c nih be:i'nyih tye'eemm chih be:i'nyih delye't.
12-00	Tsebtyo'p (12)
12-01	Nye:e'c te'ihby bu:unny quei'ty na:a pahr digahtihzy gyu'tiih wbyee'rnn liihahz bu:unny o yxe'illy wbyee'rnn x:cye:e'ts bu:unny o ysa:a'naxtiu'uh bu:unny. Na:a pahr guuny le'i protejeer bu:unny co'nnr ra nnde:e'.
13-00	Tsee'iny (13)
13-01	Ra'ta' bu:unny ra:a'p deree'ch pahr chu'uh bu:unny lahtyihzy rca:a'z bu:unny lahahzh: bu:unny.
13-02	Ra'ta' bu:unny ra:a'p deree'ch ydi:i:a' bu:unny nih na'cdihzy laht, cohntood lahahzh: bu:unny. Chiru' ra'ta' bu:unny ra:a'p deree'ch pahr gyii'cy lahahzh:ni'.
14-00	Tsedah (14)
14-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ynda:a:a'reng bu:unny gyu' steeby nasyoony chih cadina:allreng bu:unny.
14-02	Bu:unny quei'ty ra:a'pdi' deree'ch re:e' ba:all rzhu:u'nny bu:unny loh nih nzee:e'by bu:unny lahzh:ni' nih quei'ty na:a ra co's x:te:e' poli'ticah.
15-00	Tse:e:i'ny (15)
15-01	Ra'ta' bu:unny ra:alyne:e te'ihby na'syonalidaa.
15-02	Nye:e'cy te'ihby bu:unny quei'ty na:a pahr digahtihzy ybica:a na'syonalidaa x:te:e'n-ni' o ga'c negaar deree'ch pahr ychu:u na'syonalidaa x:te:e'n-ni'.
16-00	Tse:e:i'ny Ahbteeby (16)
16-01	Zi'cy mnna:a:a' zi'cy ngui:u' ra:a'p deree'ch gu'xnnaa:a'rih chu' zhii'inyrih, quei'ty xi guuny tu ra's la:a'rih, xi na'syonalidaa la:a'rih, xi relijyoony ra:a'prih. Te'blohihzy deree'ch ra:a'p mnna:a:a' cehnn ngui:u', chih ru'xnnaa:a'rih o chih rla:a'sa'rih.
16-02	Nye:e'cy te'ihby bu:unny quei'ty na:a pahr yca:a' sa'ni' pehr jwe'rs.
16-03	Importa'anndaa:a'n na:a fami'lly ni:iih na:a pahr ga'cih protejeer pahr guee'ihzh cehnn wbyee'rnn.
17-00	Tse:e:i'ny Ahbtyo'p (17)
17-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p bu:unny xi x:te:e'n-ni', te'ihbyihzy bu:unny o cehnn steeby ra bu:unny.
17-02	Nye:e'c te'ihby bu:unny quei'ty na:a pahr ybica:a xi x:te:e'n-ni' digahtihzy.
18-00	Tse:e:i'ny Ahbcho:onn (18)
18-01	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny x:ga:ab zi'cy nih rca:a'zrih, guuny zi'cy nih na:a saalyb x:te:e'n-ni', ga:a'p relijyoony x:te:e'n-ni', cehnn deree'ch re:e' za:a'lle'eh ychu:u bu:unny reliyoony x:te:e' bu:unny o zi'cy nih ruhny bu:unny x:ga:ab. Ra'ta' bu:unny ra:a'p libertaa guuny zi'cy nih rnni:i:i' relijyoony x:te:e'nrih cehnn zi'cy nih ruhnyrih x:ga:ab.
19-00	Tse:e:i'ny Ahbta'p (19)
19-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p opinyoony x:te:e'n-ni', chiru' ynni:i:i'rih nih rca:a'zrih. Wbyee'rnn quei'ty na:adi' pahr ynni:i:i' xi opinyoony ga:a'p bu:unny. Chiru' ra'ta' bu:unny ra:a'p deree'ch pahr gu:a'll bu:unny nih na'cdihzy gye:e'ts, ycwa:a:a' bu:unny nih rca:a'z bu:unny.
20-00	Ga:ally (20)
20-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ydi:i'ah bu:unny cehnn steeby ra bu:unny.
20-02	Nye:e'cy te'ihby bu:unny quei'ty na:a pahr ga'c jwe'rs chu' loh te'ihby gru'p.
21-00	Ga:ally Ahbte'ihby (21)
21-01	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny bu:unny participaar loh wbyee'rnn x:te:e' lahahzh: bu:unny, bu:unnypag o cehnn bu:unny nih yzuu bu:unny guuny representaar bu:unny.
21-02	Ra'ta' bu:unny ra:a'p deree'ch pahr yde:ei'by bu:unny serbi'isy lahzh:ni'.
21-03	Wbyee'rnn na:a pahr guuny lo'c nih rnni:i:i' guee'ihzh; na:a pahr ga'c ra bo't x:ga:a'ts chih guuny botaar ; ra'ta' bu:unny ra:a'p deree'ch pahr guuny bo't.
22-00	Ga:ally Ahbtyo'p (22)
22-01	Ra'ta' bu:unny ra:a'p te'blohihzy deree'ch pahr ga'c zhii'iny guee'ihzh. Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p seguridaa x:te:e' cultuuar x:te:e'n-ni' ybaanyza'c bu:unny.
23-00	Ga:ally Ahbcho:onn (23)
23-01	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny bu:unny ze:e:i'ny, pahr ynna:a'az bu:unny ze:e:i'ny nih rca:a'z bu:uny, pahr ga:a'p bu:unny te'ihby lahty que'ihty guunyza'c bu:unny ze:e:i'ny. Chiru' ga'c bu:unny protejeer chih quei'ty ra:a'p bu:unny ze:e:i'ny.
23-02	Ra'ta' bu:unny ra:a'p deree'ch te'blohihzy paag pahr te'blohihzy ze:e:i'ny.
23-03	Ra'ta' bu:unny ra:a'p deree'ch te'ihby paag jwua'st pahr ze:e:i'ny nih ruhny bu:unny.
23-04	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny formaar o yzh:a:a:a'g loh sindicaa't pahr ga'c protejeer intere's x:te:e' bu:unny.
24-00	Ga:ally Ahbta'p (24)
24-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p desca'annz. Nye:e'c te'ihby bu:unny quei'ty guuny ze:e:i'ny demaasta'. Chiru' na:a pahr gaazh bu:unny bacasyoony.
25-00	Ga:ally Ahbga:a'y (25)
25-01	Ra'ta' bu:unny ra:a'p deree'ch pahr quei'ty ybaanyzi:i'di'. Chiru' ga:a'p bu:unny deree'ch nih ga'uni', lahidy nah, yu'uh nah, do'ctoor nah, seguridaa nah, chih quei'ty ze:e:i'ny chih nu' gahll guihzh nah, chih quei'ty xi chi:i'lle'eh guuny bu:unny nah, chih ga'ty chii:el bu:unny nah, chih gyu:u'x bu:unny nah.
25-02	Ra mnii'iny cehnn ra x:nnaa:an-ni' na:a importa'ann pahr gax:lyuh. Ra'ta' mnii'iny, conntood nih ra:aaly chih aady gu'xnnaa:a' x:awzahnnrih, na:a pahr ga'crih protejeer.
26-00	Ga:ally Ahbx:o'p (26)
26-01	Ra'ta' bu:unny ra:a'p deree'ch pahr chiia bu:unny scweel. Scweel na:a pahr ga'c digaa'ihzy, ma'sa' primaary. Scweel primaary ra'ta' mnii'iny na:a pahr chiia. Na:a pahr chi:ille'eh chiia bu:unny scweel te'cnicah cehnn profesyona'll. Chiru' ra'ta' bu:unny nih na:a bween studya'aann chi:i'lle'eh gyu' scweel ro:o'oh.
26-02	Educasyoony na:a pahr chi:i'lle'eh yxe'illy gue'ehcy bu:unny, chiru' yse:e:i'dyih rrespei'ty x:te:e'n deree'ch cehnn libertaa x:te:e' ra'ta' bu:unny; yse:e:i'dyzaguih chu' pasye'ennzy cehnn amistaa cehnn sa' bu:unny. Chiru' educasyoony na:a pahr yse:e:i'dy dehqueh Naciones Unidas ga'pdo:o pa's.
26-03	Wzahahn ra:a'p deree'ch guuny escojeer xi cla's deh educasyoony ga:a'p zhii'inyrih.
27-00	Ga:ally Ahbga:az (27)
27-01	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny participaar loh cultuuar x:te:e' guee'ihzh.
27-02	Ra'ta' bu:unny ra:a'p deree'ch gunybe:e'reng bu:unny ballnu' xi bcwa:a:a' bu:unny o ble:e'ca:a bu:unny zi'cy te'ihby liebr o te'ihby co's syenti'ficoh. Ra:a'pagza' bu:unny deree'ch mu:uuly nih to:o' ra co's re:e'.
28-00	Ga:ally Ahbx:o:on (28)
28-01	Ra'ta' bu:unny ra:a'p deree'ch chu' gax:lyuh lahty nu' ra deree'ch cehnn ra libertaa nih canni:i:i' Declarasyoony re:e'.
29-00	Ga:ally Ahbga:a:a' (29)
29-01	Ra'ta' bu:unny na:a pahr yde:e:i'dy ze:i'ny la:a:i' lahzhni'.
29-02	Ra le'i na:a pahr chu'ihzy pahr ga'pdo:o ra deree'ch cehnn ra libertaa x:te:e' ra'ta' bu:unny, o quei'ty, quei'ty ra bu:unny chi:i'lle'eh guuny zi'cy nih canni:i:i' Declarasyoony re:e'.
29-03	Ra'ta' bu:unny na:a pahr chu' zi'cy nih canni:i:i' Declarasyoony x:te:e' Naciones Unidas.
30-00	Ga:ally Ahbtse:e' (30)
30-01	Nye:e'cy te'ihby nasyoony nye:e'cy te'ihby bu:unny quei'ty za:a'lle'eh ytse'illy ra deree'ch cehnn ra libertaa nih canni:i:i' Declarasyoony re:e'. Declarasyoony re:e' quei'ty rni:i'izhdyeng deree'ch pahr guuny nasyoony o bu:unny ni:i.
