00-00	NASA YA'NWE'WEWA'TE NAA KIWETE UTA IPEHKSA YUWE'S NEWE'WEN'I WEH'A
01-01	Ya'nwe'wewa'te' maa nasapa ha'dacehk hi'pku up'hi', wette u'huwa'hi'pta', eena' eena' f'i'zewa' hi'pta', ueus hi'pta' d'ik'the hi'pta' naapa'kate. Sa' h'ukaysa ueus hi'pcehktha'w sa' pyakhna'we f'i'ze hi'ptha'w.
02-00	F'i'n'i pe'la 2.
02-01	Naa nwe'wen'ite pu'kithc'a maa nasapa k'uka yupn'ime u'huwa' hi'pc'a ya'nwe'wewa'pa hi'pa' d'i'wen'ime: ueskiwen'i ma'we hi'psama'kyuu; nasa kuec'ma'kyuu, nasa waasma'kyuu, nasa ma'we ikwehkwesama'kyuu; u'yma'kyuu, pihcma'kyuu; nasa kuhsa ipeyn'itewe's' ma'wesate hi'psama'kyuu, khimec'a' ipeyn'i ma'we ueusyaak'sama'kyuu; mayuh nasa kuhtewe's'ma'kyuu; v'uwe's'ma'kyuu; mte up'hsama'kyuu; ma'wete fiysapa h'uka.
03-00	F'i'n'i pe'la 3.
03-01	Maa nasapa it'i f'i'ze hi'pa', kimyuhpa pt'hiden'ime u'huwa' hi'pa', kihytepa aeh kaf'i'ze'n'i u'huwa' hi'pa'.
04-00	F'i'n'i pe'la 4.
04-01	Kimyuhpa nasanwe's'a's nasanwe's'a's yaamumena, kimyuhpa nasanwe's'a's k'uultec'a kaselpi'pamena; yaamun'isa, nasanwe's'a's k'wayn'isa' yuuwesa', ma'wetepa h'uka.
05-00	F'i'n'i pe'la 5.
05-01	Kimyuhpa nasanwe's'a's pk'uuya' huuna' yuuya' ewumena.
06-00	F'i'n'i pe'la 6.
06-01	Maa nasapa h'uka Ec Ne'hwe's' d'i'pte aeate u'huwa' hi'pa', maa kiwetepa h'uka.
07-00	F'i'n'i pe'la 7.
07-01	Maa Ec Nehwe's'hu yuhsapa h'ukat' k'a'weyc'a yu', sa' maa nasat'pa h'ukat' k'a'weyc'a nwe'we. Sa' maa nasapa d'i'wen'iya'samakyuu, khimec'a' d'i'wen'iyuya' uessa' ayte newe'wen'i weh'ate pu'kithwa' hi'pa'.
08-00	F'i'n'i pe'la 8.
08-01	Eete eena' eena' kaf'ize'sa kwekwe d'i'pte maa c'hab wala kiwetepa maa nasapa maa nasapa ya'nwe'wewa'ha's pakwewa' hi'pa', nasa's huuna' yuucte', Ec Ne'hwe's'tewe's' yuwete k'teme yuucte'.
09-00	F'i'n'i pe'la 9.
09-01	Kimyuhpa's yuwe hi'pume u'hute kyuhu'mena, k'aaphpamena, u'hkanpa c'at'hmena sa' k'ah' uesn'i kiwehupa newuuya' ewumena.
10-00	F'i'n'i pe'la 10.
10-01	Eetewe's' aeate kaf'i'ze'ya' ikahsa kwekwe', nasa wala d'i'pte kimyuhpa paikahn'imete puuk' k'ana'wec'a nwese'he hi'pa', teec'sa hu'ghuc'a tup'hime kihy aehme yuun'i's ew aeate nv'ihtpkac', makwe sena' ktuthe'c'a akac'hictepa.
11-00	F'i'n'i pe'la 11.
11-00	F'iika yuu p'an'i nasa', isa k'tezwa'te yuwet' ew kaha'da'na kuehme ha'dayu'; yuuwesamek kasehe'. Ec Ne'hwes'tewe's' d'i'pteyu' k'a yuuwesa hin'isapa ikha'khudeya' paswa' yuwe hi'pa', sa' k'a'spa nasa wala d'i'pte yu'skhewwa'ha'.
11-01	Ec Ne'hwe's'tewes' f'i'n'i yuwe kasehmeyna' yuwe hi'pusa nasa's k'tezya' ya'ewumena, maa c'hab wala kiwema'kyunapa. Sa' f'i'n'i pe'la thaaw huunamesahu ya'akac'hina.
12-00	F'i'n'i pe'la 12.
12-01	V'ite nasa fiisa f'i'zen'ite' v'ite nasayu' kimyuhpa yuwe ipi'k'n'imete huuna' p'hahcc'a yatwe's'we's' yasete kuk'the' yuuya' ewumena, maa yatwe's' yatka huuna' u'kaya', teec'sahic'a kahn'i ec pa'hsa's phadec'a thegya', peku'su kaz' nuywe'weya'. Maa nasapa naa theysu ya'duna u'huc'a' Ec Ne'hwes'hu yuhsa yuwesu ya'nwe'wewa'ha's pakwewa' hi'pa'.
13-00	F'i'n'i pe'la 13.
13-00	Maa nasapa peek' pekuhna f'i'zewa' hi'pa', khic'a k'ah' ueus peyite maa c'hab wala kiwetema'k yuhuwec'a' yuhu napa ewuna.
13-01	Maa nasapa peek' ueushu maa c'hab wala kiwehu kasehna u'hwec'a' ewuna, peek' c'hab wala kiwehuma'kyuu napa, ki' s'awedwec'a' s'awedna.
14-00	F'i'n'i pe'la 14.
14-00	Peek' kwekwe's suwya' pakwena ueste', pemaa kiwete isuthwa' pakwewa' hi'pa' maa c'hab wala kiwetema'kyuu napa, khic'a maasuhme uesya'.
14-01	Napa k'awe ya'newe'wa'teyu' i'ne c'hab wala kiwepwe's' pkhakhec'a newe'wen'i ueustemeteyu' pu'kithya' ewumena.
15-00	F'i'n'i pe'la 15.
15-00	Maa nasapa teec' c'hab wala kiwehuwes' yuu hi'pa'.
15-01	Kimyuhpa teec' c'hab wala kiwehuwe's' yuun'i's kuse'ya' ewumena. Nasa' ma'wente teec' c'hab wala kiwehuwe's' yun'i's yu'pthewec'a' yu'ptheya' ewuna.
16-00	F'i'n'i pe'la 16.
16-00	1 Pihcma'kyuu, u'yma'kyuu sa' ptamuwa'te aeh walaana kabasa' ptamuya' ewuna; kimyuhpa ueskiwe'n'i f'iiysa hi'ppa'ka. c'hab wala kiwe f'ihuwe's'pa'ka, ueusa's ya'newe'wen'i ma'wesa hi'ppa'ka pt'hiden'ime yuuna ptaamun'ite' pihcma'kyuu, u'yma'kyuu sa' k'ana'wec'a ya'nwe'wewa' hi'pta'. T'utepc'ahte' t'utema't' napa k'a'weyc'a.
16-01	Pihca's, u'ya'sma'kyuu napa ipehkac' ya'kaba'mena k'awe's' ueusyuu k'a'we' yahk'meteyu'.
16-02	Ptaama' maan yatwe's'ya'ta' sa' k'a ya'we's'in'iyakhku c'hab wala yuuna pa'ha', sa' maa c'hab wala kiwe kwekwepa yatwe's't'i nwe'we hi'pa'.
17-00	F'i'n'i pe'la 17.
17-00	Maa nasama'kyuu napa naamu yuuwa' hi'pa', peek'c'ama'kyuu, pkhakhec'ama'kyuu napa.
17-01	Kimyuhpa hi'pun'i's huuna' kuse'ya ewumena.
18-00	F'i'n'i pe'la 18.
18-01	Kimma'kyuu napa nasa' ma'wepa ueusyaak'wa' hi'pa' sa', ueusa's ya'newe'wen'i; sa' ueusa's ya'newe'wen'i's maat'ipa hwe pta's'ya' ewuna; teec'a'sma'kyuu, nasa kuht'ima'kyuu, ps'imc'a ueustema'kyuu, nasa wala yuhu'hun'isuma'kyuu, kapiya'nma'kyuu, kyu'hu'nma'kyuu, kthegu'nma'kyuu, ueusa's' ya'newe'wen'i's k'tey v'itna.
19-00	F'i'n'i pe'la 19.
19-01	Maa nasapa ma'we ueus yaak'wec'a, ma'we we'wewec'a', we'we hi'pa'. Sa' k'apa'kac'a f'iv'itn'ime u'hu hi'pa', v'itesa ptas's'n'i'spa wese'na, v'itesa ueusyaak'n'i'spa wese'na, ki' hwe pta's'napa yuuna, mtepa'c'a we'wene'ga hin'ime, kihyyakhpa hwe we'weya' ipik'wec'a' ipik'wec'a' ipik'ya' ewuna.
20-00	F'i'n'i pe'la 20.
20-00	Maa nasapa kimyuhpa pt'hiden'ime pkhakhewa' hi'pa', sa' kuk'me ueswa' pkhakhen'i v'itna.
20-01	Yu'pkhakhen'isu kimyuhpa huuna' yuupkhakh yu't'an'ime u'huna.
21-00	F'i'n'i pe'la 21.
21-00	Maa nasapa the' kabasa' peek' c'hab wala kiwete' ikahn'i kwekwe's ipa'kaya', yuuya' ewuna, khimec'a' t'hit'hc'a kwekwe kaipa'ka'ya', Yuwe Dukhsa's kwekwe usna yuuya' ewuna.
21-01	Maa nasapa peek' c'hab wala kiwete' ikahn'i kwekwesu k'ana'wec'a ha'dac'a u'kaya' ewuna nasa wala d'i'pte selpiwa'ha's k'tey yuuna, v'itesana'wey.
21-02	C'aba' eckwete kt'hit'hi'n'iyakh ya'yu'skhewuna npicthe' ki'pwa' een kuehisa, na'we yuun'iyu' naa kiwete uta na'wecehk yu'skhewya' neesn'isa', k'a'weyc'a nasaisa peek' ueustecehk t'hit'hwa'ha's khimec'apa peek'c'a t'hit'hite v'ite nasayu' kuc'yuhpa pahiyuna kuehu hi'pmeta' kim hu'ghu t'hit'hn'i's.
22-00	F'i'n'i pe'la 22.
22-01	Maa nasapa maa nasa kuhtewe's'pa'ka, k'awe's' hi'pun'i makwe hi'put'na sa' kim theyte uesc'a' k'a nasa pu'c'hn'iyuuwa' hi'pa'; wette f'i'zewa' hi'p; f'iin f'iin ipe'n'isa hi'p; nasa kuhsa maa c'abtewe's'yuuwa' hi'p; wet ueskiwe'n'itewe's' yuuwa' hi'p; peek' nasa c'huute ki' hwe vite c'hab wala kiwepa c'huun'iyakh.
23-00	F'i'n'i pe'la 23.
23-00	Maa nasapa mhi hi'puwa' hi'pa', k'ah' ueushu mhia's t'hit'hwa', maz mhisac'apa teec'sana'wec'a ma'wesupa ha'da mahina skhewut'na, ki' wec'ayuhte. Sa' mhina uesn'ihu huuna' kuki'hictepa ya'nwe'wewa' hi'pa'.
23-01	Maa nasapa's mhisa kuhte h'ukaysa teec'sa na'wec'a mahiwa' ueste' maayuht'ipa pe'lame dewet'na.
23-02	Maa nasapa mhipa'ka ew dewen'i u'hu hi'pa' ma'we mhi ha'da sa' wec'ayuhte sa' k'ah' tas'te nasakwet'ipa eena' ip'hwa' hi'p, sa' k'te aehmete' nasa walawe's's kaha'da'n'i yuuna ma'we peeh'te'.
23-03	Maa mhisapa h'uka mhisapwe's' yu'pkhakhen'i v'itu hi'pa' k'awe's' ithaesn'it' ya'nwe'weya'.
24-00	F'i'n'i pe'la 24.
24-01	Mhisa' maa nasapa h'uka ikaaswa' hi'pa', ec'wa' een hi'puwa', thaakwe kmahi'me ueus huthe ha'dac'a kmahi'n'i yuuwa', ki' kaykase'n'i'spa dewen'iyuu hi'pa'.
25-00	F'i'n'i pe'la 25.
25-00	Maa nasapa ew kaf'i'ze'n'i u'huwa' hi'pa' k'ah' tas'tewe's'pa ew ipe'hna kaf'i'zen'i u'huwa', kaet'h ueswa' hi'p, ue'wa' weh' peeh'me ueswa' hi'p, at'h athwa' hwe peeh'me, yatkwe hi'p, yu'ce'sa hi'p, nasa walahi kihy ueste'ha'dac'a ipa'kana; k'a'weyc'a kihypa hwe peeh'me f'i'ze hi'pa', ma'wente ec' pihc nenyuc'a, ma'wente ec' u'y nenyuc'a, hwe ithakwe the'te, kihy pa'ka it'i f'i'zewa'yu hi'pme theyte nenyuuc'apa.
25-01	Luuc' n'hi't'i, luuc'kwet'i sena ew ipe'hwa' uesa'. Maa luuc'ma'kyuu kaban'itewe's', kaban'imetewes'ma'kyuu napa ha'dac'a k'a'sa nasa wala sena ew ipe'he hi'pa'.
26-00	F'i'n'i pe'la 26.
26-00	Maa nasapa yaf'te piyawa'ha's hi'pa', piyan'i yactewe's'c'apa's luuc'a' v'upa'kame piyawa' hi'pa'. Sa' thakweyuh hiiyuwa' peehin'itewe's't'i' luuc'a' ma'wetepa piyawa' hi'pa'. Ki' kusete aeh yuupkac' piyan'isa' mte mtepa k'ahn'iyuut'na, sa' mtepa pa'ha hi'pa'. Maa nasapa walate piyan'i yatte pa'hya' ewuna, v'itepa ma'we piyana uesta' k'a'wey k'asu aehsayu'.
26-01	Kapiya'n'isa' nasat'i kac'haec'ha'wa'te neeswa'ha', eena' eena' f'i'zeya' nuyte'na, nasa' kuk'the' yuume f'i'zeya'k neesu', puuk' twehiwa'te neesna, nasa' kuk'the' yuuya' yahk'me f'i'zeya' nesna; c'hab wala kiwepwe's'a' aeate id'i'p ueswa'te neesn'i'. Nasa' ueskiwen'i f'iy hi'psa uesta', ueusa's ya'newe'wen'i f'iy hi'psa uesta'; k'a kapiya'n'i' nasat'i nuuyc'haec'hana, puuk' eena' eena' id'ip f'i'zeya' neeswahaa, c'hab wala kiwepwe's' yu'pkhakhesa ikahn'i yuwete.
26-02	Luuc' neywe's'a' luuc'we's' piyawa'ha'sa' ma'we piyawa'ha's ithaec'a' kapiya'wa'ha's t'hit'hi hi'pta'.
27-00	F'i'n'i pe'la 27.
27-00	Maa nasapa nasa wala ueskiwen'ite uche hi'pa', kusehu z'ic'kwe v'itna mhin'isu wec'ayuhte k'a'we uesn'i ks'av'su pkhakhena, naa kiwete makwe wala hiiyuun'i ueste k'a'spa kaselpi'na.
27-01	Nasa, d'ik'thehu wala ueus ki'pna wala hiiyuuwa' ec v'itsa, kusehu z'ic'kwe v'itna mhisa, d'ik'thehu wala z'ic'kwe yahk'na f'i'sa' k'awe's' yase's nwe'wen'iyuut'na, k'a'weyc'a k'a'we mhic'a hi'pun'it'ipa.
28-00	F'i'n'i pe'la 28.
28-01	Ayte newe'wen'i yuwete, maa nasapa nasa wala ks'av'su kimyuhpa kuuc'i'n'ime u'hu hi'pa', v'ite c'hab wala kiwesupa kuc'i'n'ime u'hu hi'pa', aehmekayuu hiwa' hi'pme u'hu hi'pa'. C'habma't'yuu nasama't'yuu pkhakhec'a uessa nasama't'yuu napa ayte newe'wen'i's k'tey yuu hi'pta' naa weh'a's.
29-00	F'i'n'i pe'la 29.
29-00	Maa nasapa nasa wala d'i'pte puuk' k'tey yuuwa' hi'pa', naas k'teyuc'ak nasa' eena' eena' f'i'zewa'te nasa' neesna kaeha' naapa'ka.
29-01	Maa nasapa k'tey yuumeya' ewuna Ec Ne'hwe's'suwe's' yuweic'a eena' eena'te f'i'zecte, peek' wette f'i'zeckit' pekwecte; nasapwe's' huuna'me f'i'zecte; nasa kuhsayu ecyakh t'hit'hc'a npicthe' ki'pute yu'skhewya' neesn'i's pekwecte.
29-02	Naa wette eena' eena' f'i'zekahn'i yuwesa' ma'weteyuhpa aehme yuume f'i'zekahn'i' c'hab wala kiwepwe's' pkhakhec'a ikahn'i yuwe'sa'.
30-00	F'i'n'i pe'la 30.
30-01	Ayte ikahna newe'wen'isa's teec'sama'kyuu, nasa kuhsama'kyuu, teec' c'hab wala kiwete ikahsa kwekwema'kyuu, sa' iv'ituwec'a' kimyuhpa kihyc'a' yuuya' ewumena. Naa newe'wen'i weh'ate' eena' eena' u'hun'i's, wet wet u'hun'i's mteyuhpa aytey newe'wen'i's hu'gme u'h pu'c'hya' ewumena. Nasa teec'sama'k k'a'hi, pkhakhec'a uessama't' k'a'hi khimec'a' c'hab wala kiwete ikahsa kwekwema'k k'a'hi napa.
