00-00	OPSTA DEKLARACIJA O PRAVIMA COVEKA
04-01	Niko se ne sme drzati u ropstvu ili potcinjenosti: ropstvo i trgovina robljem zabranjeni su u svim oblicima.
05-00	Clan 5.
05-01	Niko ne sme biti podvrgnut mucenju ili svirepom, necovecnom ili ponizavajucem postupku ili kazni.
06-00	Clan 6.
06-01	Svako ima pravo da svuda bude priznat kao pravni subjekt.
07-00	Clan 7.
07-01	Svi su pred zakonom jednaki i imaju pravo bez ikakve razlike na podjednaku zakonsku zastitu. Svi imaju pravo na jednaku zastitu protiv bilo kakve diskriminacije kojom se krsi ova Deklaracija i protiv svakog podsticanja na ovakvu diskriminaciju.
08-00	Clan 8.
08-01	Svako ima pravo da ga nadlezni nacionalni sudovi efikasno stite od dela krsenja osnovnih prava koja su mu priznata ustavom ili zakonom.
09-00	Clan 9.
09-01	Niko ne sme biti proizvoljno uhapsen, pritvoren, niti proteran.
10-00	Clan 10.
10-01	Svako ima potpuno jednako pravo na pravicno javno sudenje pred nezavisnim i nepristrasnim sudom koji ce odluciti o njegovim pravima i obavezama, i o osnovanosti svake krivicne optuzbe protiv njega.
11-00	Clan 11.
11-01	Svako ko je optuzen za krivicno delo ima pravo da bude smatran nevinim dok se na osnovu zakona krivica ne dokaze na javnom sudenju na kojem su mu obezbedene sve garantije potrebne za njegovu odbranu.
11-02	Niko ne sme biti osuden za dela ili propuste koji nisu predstavljali krivicno delo po nacionalnom ili medunarodnom pravu u vreme kada su izvrseni. Isto tako ne sme se izricati teza kazna od one koja se mogla primeniti u vreme kada je krivicno delo izvrseno.
12-00	Clan 12.
12-01	Niko ne sme biti izlozen proizvoljnom mesanju u privatni zivot, porodicu, stan ili prepisku, niti napadima na cast i ugled. Svako ima pravo na zakonsku zastitu protiv ovakvog mesanja ili napada.
13-00	Clan 13.
13-01	Svako ima pravo na slobodu kretanja i izbora stanovanja u granicama pojedine drzave.
13-02	Svako ima pravo da napusti bilo koju zemlju, ukljucujuci svoju vlastitu, i da se vrati u svoju zemlju.
14-00	Clan 14.
14-01	Svako ima pravo da trazi i uziva u drugim zemljama utociste od proganjanja.
14-02	Na ovo pravo se niko ne moze pozvati u slucaju gonjenja za krivicna dela koja nisu politickog karaktera ili progona zbog dela koja su u suprotnosti sa ciljevima i nacelima Ujedinjenih nacija.
15-00	Clan 15.
15-01	Svako ima pravo na drzavljanstvo.
15-02	Niko ne sme samovoljno biti lisen svog drzavljanstva niti prava da promeni drzavljanstvo.
16-00	Clan 16.
16-01	Punoletni muskarci i zene, bez ikakvih ogranicenja u pogledu rase, drzavljanstva ili vere, imaju pravo da sklope brak i da osnuju porodicu. Oni su ravnopravni prilikom sklapanja braka, za vreme njegovog trajanja i prilikom njegovog razvoda.
16-02	Brak se zakljucuje samo slobodnim i potpunim pristankom lica koja stupaju u brak.
16-03	Porodica je prirodna i osnovna celija drustva i ima pravo na zastitu drustva i drzave.
17-00	Clan 17.
17-01	Svako ima pravo da poseduje imovinu, sam kao i u zajednici s drugima.
17-02	Niko ne sme biti samovoljno lisen imovine.
18-00	Clan 18.
18-01	Svako ima pravo na slobodu misli, savesti i vere; ovo pravo ukljucuje slobodu promene vere ili ubedenja i slobodu da covek, bilo sam ili u zajednici s drugima, javno ili privatno, upraznjava svoju veru ili ubedenje putem nastave, vrsenja kulta i obavljanja obreda.
19-00	Clan 19.
19-01	Svako ima pravo na slobodu misljenja i izrazavanja, sto obuhvata i pravo da ne bude uznemiravan zbog svog misljenja, kao i pravo da trazi, prima i siri obavestenja i ideje bilo kojim sredstvima i bez obzira na granice.
20-00	Clan 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruzivanja.
20-02	Niko ne moze biti primoran da pripada nekom udruzenju.
21-00	Clan 21.
21-01	Svako ima pravo da ucestvuje u upravljanju svojom zemljom, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svako ima pravo da na ravnopravnoj osnovi stupa u javnu sluzbu u svojoj zemlji.
21-03	Volja naroda je osnova drzavne vlasti: ova volja treba da se izrazava na povremenim i slobodnim izborima, koji ce se sprovoditi opstim i jednakim pravom glasa, tajnim glasanjem ili odgovarajucim postupkom kojim se obezbeduje sloboda glasanja.
22-00	Clan 22.
22-01	Svako, kao clan drustva, ima pravo na socijalno osiguranje i pravo da ostvaruje privredna, drustvena i kulturna prava neophodna za svoje dostojanstvo i za slobodan razvoj svoje licnosti, uz pomoc drzave i medunarodne saradnje, a u skladu s organizacijom i sredstvima svake drzave.
23-00	Clan 23.
23-01	Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravicne i zadovoljavajuce uslove rada i na zastitu od nezaposlenosti.
23-02	Svako, bez ikakve razlike, ima pravo na jednaku platu za jednaki rad.
23-03	Svako ko radi ima pravo na pravednu i zadovoljavajucu naknadu koja njemu i njegovoj porodici obezbeduje egzistenciju koja odgovara ljudskom dostojanstvu i koja ce, ako bude potrebno, biti upotpunjena drugim sredstvima socijalne zastite.
23-04	Svako ima pravo da obrazuje i da stupi u sindikate radi zastite svojih interesa.
24-00	Clan 24.
24-01	Svako ima pravo na odmor i razonodu, ukljucujuci razumno ogranicenje radnog vremena i povremeni placeni odmor.
25-00	Clan 25.
25-01	Svako ima pravo na zivotni standard koji obezbeduje zdravlje i blagostanje, njegovo i njegove porodice, ukljucujuci hranu, odecu, stan i lekarsku negu i potrebne socijalne sluzbe, kao i pravo na osiguranje u slucaju nezaposlenosti, bolesti, invalidnosti, udovistva, starosti, ili drugih slucajeva gubljenja sredstava za izdrzavanje usled okolnosti nezavisnih od njegove volje.
25-02	Majke i deca imaju pravo na narocito staranje i pomoc. Sva deca, rodena u braku ili van njega, uzivaju jednaku socijalnu zastitu.
26-00	Clan 26.
26-01	Svako ima pravo na skolovanje. Skolovanje treba da bude besplatno bar u osnovnim i nizim skolama. Osnovna nastava je obavezna. Tehnicka i strucna nastava treba da bude opste dostupna, a visa nastava treba da bude svima podjednako pristupacna na osnovu utvrdenih kriterijuma.
26-02	Skolovanje treba da bude usmereno punom razvoju ljudske licnosti i jacanju postovanja ljudskih prava i osnovnih sloboda. Ono treba da unapreduje razumevanje, trpeljivost i prijateljstvo medu svim narodima, rasnim i verskim grupacijama, kao i delatnost Ujedinjenih nacija za odrzavanje mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vrstu skolovanja za svoju decu.
27-00	Clan 27.
27-01	Svako ima pravo da slobodno ucestvuje u kulturnom zivotu zajednice, da uziva u umetnosti i da ucestvuje u naucnom napretku i u dobrobiti koja otuda proistice.
27-02	Svako ima pravo na zastitu moralnih i materijalnih interesa koji proisticu iz bilo kog naucnog, knjizevnog ili umetnickog dela ciji je on tvorac.
28-00	Clan 28.
28-01	Svako ima pravo na drustveni i medunarodni poredak u kojem prava i slobode objavljeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	Clan 29.
29-01	Svako ima duznost prema zajednici koja jedina omogucava slobodno i puno razvijanje njegove licnosti.
29-02	U vrsenju svojih prava i ostvarivanju sloboda svako moze biti podvrgnut samo onim ogranicenjima koja su predvidena zakonom u cilju obezbedenja nuznog priznanja i postovanja prava i sloboda drugih i u cilju zadovoljenja pravicnih zahteva morala, javnog poretka i opsteg blagostanja u demokratskom drustvu.
29-03	Ova prava i slobode ni u kom slucaju ne mogu se izvrsavati protivno ciljevima i nacelima Ujedinjenih nacija.
30-00	Clan 30.
30-01	Nijedna odredba ove Deklaracije ne moze se tumaciti kao pravo za ma koju drzavu, grupu ili lice da preduzima bilo koju aktivnost ili da vrsi bilo kakvu radnju usmerenu na ponistenje prava i sloboda koji su u njoj sadrzani.
