00-00	ILAKA LYA MAHANGA LYA SEKGE YA BAMUNHU
12-00	Luhilili 12
12-01	Nduhu munhu uyo adakililwe kwingililwa sagala mu mbisila yakwe yoseyose, budugu, kaya yakwe na nduhu munhu uyo adugije kwingijiwa ikujo lyakwe ilo alinalyo. Buli munhu adakililwe gulanghanwa na Jilagilo ja nsi atizingililwa sheniko.
13-00	Luhilili 13
13-01	Buli munhu alinawiyabi bo guja uko alitogwa na guzenga hosehose mu nsi yakwe.
13-02	Buli munhu alinawiyabi bo gusama, gwinga na guja nsi yoseyose nulu nsi yakwe. Hangi, alinawiyabi bo gushoka hangi mu nsi yakwe.
14-00	Luhilili 14
14-01	Buli munhu alina wiyabi bo gupelela nsi yingi atizubulagwa.
14-02	Wiyabi wenubu butiho kuli munhu uyo olamulwa gubulagwa mu Jijilo ja nsi gu shitwa ijo jiti ja buyombeji bo mihayo ya nsi nulu ijo jitujaga somani na Ihane lya Mahanga.
15-00	Luhilili 15
15-01	Buli munhu alina wiyabi bo kubi n’Ihanga lyakwe.
15-02	Nduhu munhu adakililwe gwing’wa Buhanga bo nsi yakwe nulu wiyabi bo gugalucha buhanga ubo abutogilwe ng’wenekili bomakala.
16-00	Luhilili 16
16-01	Banhu bose bakima na bagosha balina Sekge ya gutola na gubi na kaya buli nduhu gulonja ihanga, mfumo nulu dinhi muwitoji wabo nulu mugulekana gwabo.
16-02	Witoji bugubiza buliwigelwe ulu giki abitoji bizunilijaga gumala winga bobo.
16-03	Budugu buliho gwinga – kale, huguhaya budakililwe bulang,hanwe na ns’iyose.
17-00	Luhilili 17
17-01	Buli munhu alinayo Sekge ya gubiza na busabi bokwe na sabo jakwe yiyene nulu n’isangi na banhu bangi abo atogilwe ng’wenekili.
17-02	Buli munhu adadakililwe gutajiwa nsabo jakwe bo gwibonelwa.
18-00	Luhilili 18
18-01	Buli munhu alinayo Sekge ya gwiganika na gubi na kiganikile ga miganiko ayo alikola g’wenekili nulu mu Luganda. Alinayo Sekge ya gugalucha wiganiki bokwe munhu alinayo Sekge ya guleka wiganiki nulu kahayile kakwe na buzunya bokwe, yaya gwingililwa.
19-00	Luhilili 19
19-01	Buli munhu alinayo Sekge ya kubi na gufunya miganiko gakwe na gugayomba miganiko genayo na nduhu gwingililwa. Munhu alinayo Sekge ya gwinhwa miganiko ga bangi gubitila mu bandiki na bahayi ba mihayo.
20-00	Luhilili 20
20-01	Buli munhu alinayo Sekge ya gumanhya na banhu bangi mu lubango.
20-02	Munhu adadakililwe guhadikijiwa gubiza na luganda ulo atalutogilwe.
21-00	Luhilili 21
21-01	Buli munhu alinayo Sekge ya mu butongeji bo nsi yakwe jihamo, nulu gubitila mu buchagulwa
21-02	Buli munhu alina Sekge ya gupandika matwajo ga jimunhu mu nsi yakwe.
21-03	Ihanga lyoselyose lidakililwe libize na budula bolyo gu bamunhu benekili gwingila mu busolanhyiwa ubo bugwitiwa ung’wikanza ilo litulilwe mu busolanhyiwa wenubu mu wiyabi na bubi buli bo wibise.
22-00	Luhilili 22
22-01	Buli munhu mu nsi alina Sekge ya gubiza na nzubuka na hangi alina Sekge ya mhandika gubitila mu widomaniji na budula bo nsi na wambilija bo nsi jingi muwelelo, na nsi ili na nimo gwa gubona banhu pye baligasha mu mhola na Sekge ya mhandika na kajile ka mu Luganda ijio jidakililwe, ng’wikujo na mhandika ya nghana ya banhu bose.
23-00	Luhilili 23
23-01	Buli munhu alina Sekge ya gutumama, Sekge ya gutung’wa, Sekge ya gusolanhy nimo uyo agutogilwe, Sekge ya ha butumamilo bowiza na adakililwe buli ng’wene atulwe mu ng’hana gubiza na nimo gwa gutumama.
23-02	Buli munhu adakililwe gupandika inongho gumilimo iyo alita, inongho lyenilo libize litina busolanhya bo munhu na munhu.
23-03	Buli munhu adakililwe gupandika inongho bo Sekge ya gumilimo iyo alita likomile gwigelelwa gulang’hana kaya yakwe n’ikujo lyakwe, na ulu giki idulikanile, jongejiwe na nzubuka yingi-ho.
23-04	Buli munhu alinayo Sekge ya gwandya nulu gwingila mu luganda lo batumani bo gwitumanila gulwa gulang’hana matwajo gaha-ng’wakwe.
24-00	Luhilili 24
24-01	Buli munhu abize na wisunhya mu milimo yakwe na manongho gakwe apandike mu wisunhya bokwe.
25-00	Luhilili 25
25-01	Buli munhu alina Sekge ya kikalile kasoga, abi mhola na banhu bakwe, alye shiza, azwale shiza, alale ha ng’wa wiza, na apandike bulagulwa nhana na matwajo ga jimunhu agapandike na abina Sekge ya bulonjiwa ulu oganyiwa nimo, nulu ali nsatu, nulu gulemaala, buchilwa, bunamhala nulu Bugikulu nulu kikalile kangi kabi mu gigasje gakwe ako adadulile gwigunnha ng’wenekili.
25-02	Wisanye bogubi nkima myaji nulu bunigini jidakililwe gwinhwa bulonja butale bo kalongeje. Bana abose babi babyalilwe mu bukwiwa nulu mu ndayabu pye abose bali bana ba gulonjiwa bulenganile.
26-00	Luhilili 26
26-01	Buli munhu alina Sekge ya gupandika isoma. Isoma libi liti lya gufunya manong’ho uguwandijo wisoma na yibizeha hadi yisoma uguwandijo wenubo. Libizeho isoma kul’uyo alina budula na butizubizaho wisolanhya bosebose.
26-02	Isoma lyose lidakililwe gung’winha matwajo munhu na ikujo na wiyabi bokwe na gwenha bunwani bo mahanga na wezu bose, na mhola ya welelo ngima.
26-03	Babyaji babi na budula gusolanhya isoma ilo batogilwe bana babo balipandike.
27-00	Luhilili 27
27-01	Buli munhu alina Sekge ya gusangila mukajile ka guduja mu luganda lokwe, kulya wiyabi bo malika gose, na gupandika matwajo ga mu sayansi.
27-02	Buli munhu alina Sekge ya gulang’hanilwa shikolo jakwe ijo wajibeja nulu gujibyaja ng’wenekili mu nzila ya wiganiki mushandikwa nulu mu nzila ya sayansi.
28-00	Luhilili 28
28-01	buli munhu alinyo Sekge ya sele mu Luganda lokwe na mahanga agose.
29-00	Luhilili 29
29-01	Buli munhu adakililwe gwibona giki ali umo wa Luganda, wiyabi bokwe na matwajo ayagadulile gwilonga na aliumo oho umu welelo.
29-02	Buli munhu adakililwe, umu gatumamile ga Sekge na wiyabi ubuyombilwe ngw’Ilagilo lyenili, gwita widedeng’Lanya ubo buli mu Jilagilo gunguno ya gulanghana Sekge na wiyabi bo banhu bangi n’Ikujo lyakwe ng’wenekili, na sele ya Luganda lokwe.
29-03	Sekge na wiyabi wenubu itizutumilwa mu shitwa shabubi hanze n’Ilagilo lya Mahanga.
30-00	Luhilili 30
30-01	Nduhu nsi nulu Luganda lose ulo ludulile gugema gululunghyanya gubipya kayombele ga mhayo gwenuyo, wiyabi na Sekge ijihayiwe ngw’Ilaka lyenili lya Mahanga.
