00-00	shijierenquanxuanyan
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi,youquanyouhegedeguojiafatingduizhezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenbudejiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun,yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe,zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzuiyiqian,youquanbeishiweiwuzui. 
11-01	renherenderenhexingweihuobuxingwei,zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe,budebeipanweifanyouxingshizui. xingfabudezhongyufanzuishishiyongdefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, jiating, zhuzhaihetongxinbuderenyiganshe,taderongyuhemingyubudejiayigongji. renrenyouquanxiangshoufalubaohu,yimianshouzhezhongganshehuogongji. 
13-00	di13tiao
13-00	renrenzaigeguojingneiyouquanziyouqianxihejuzhu. 
13-01	renrenyouquanlikairenheguojia,baokuoqibenguozainei,bingyouquanfanhuitadeguojia. 
14-00	di14tiao
14-00	renrenyouquanzaiqitaguojiaxunqiuhexiangshoubihuyibimianpohai. 
14-01	zaizhenzhengyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudeqingkuangxia,budeyuanyongcizhongquanli. 
15-00	di15tiao
15-00	renrenyouquanxiangyouguoji. 
15-01	renherendeguojibuderenyiboduo,yibudefourenqigaibianguojidequanli. 
16-00	di16tiao
16-00	chengniannannu,bushouzhongzu, guojihuozongjiaoderenhexianzhiyouquanhunjiahechenglijiating. tamenzaihunyinfangmian,zaijiehunqijianhezaijiechuhunyueshi,yingyoupingdengdequanli. 
16-01	zhiyoujingnannushuangfangdeziyouhewanquandetongyi,cainengdihun. 
16-02	jiatingshitianrandehejibendeshehuidanyuan,bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-00	renrendeyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-01	renherendecaichanbuderenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxinhezongjiaoziyoudequanli;cixiangquanlibaokuogaibiantadezongjiaohuoxinyangdeziyou,yijidanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaihejielubiaoshitadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou,hetongguorenhemeijiehebulunguojiexunqiu, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-00	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-01	renherenbudeposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	renrenyouzhijiehuotongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingyidingqidehezhenzhengdexuanjuyuyibiaoxian,erxuanjuyingyijupubianhepingdengdetoupiaoquan,bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren,zuoweishehuide1yuan,youquanxiangshoushehuibaozhang,bingyouquanxiangshoutadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian,zhezhongshixianshitongguoguojianuliheguojihezuobingyizhaogeguodezuzhiheziyuanqingkuang. 
23-00	di23tiao
23-00	renrenyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhengheheshidegongzuotiaojianbingxiangshoumianyushiyedebaozhang. 
23-01	renrenyoutonggongtongchoudequanli,bushourenheqishi. 
23-02	mei1gegongzuoderen,youquanxiangshougongzhengheheshidebaochou,baozhengshitabenrenhejiashuyou1gefuherendeshenghuotiaojian,biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-03	renrenyouweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxihexianxiadequanli,baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-00	renrenyouquanxiangshouweiweichitabenrenhejiashudejiankanghefulisuoxudeshenghuoshuizhun,baokuoshiwu, yizhe, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozaiqitabunengkongzhideqingkuangxiasangshimoushengnenglishi,youquanxiangshoubaozhang. 
25-01	muqinhertongyouquanxiangshoutebiezhaoguhexiezhu. 1qiertong,wulunhunshenghuofeihunsheng,douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-00	renrendouyoushoujiaoyudequanli,jiaoyuyingdangmianfei,zhishaozaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelejie, rongrenheyouyi,bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-02	fumuduiqizinusuoyingshoudejiaoyudezhonglei,youyouxianxuanzedequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuidewenhuashenghuo,xiangshouyishu,bingfenxiangkexuejinbujiqichanshengdefuli. 
27-01	renrenduiyouyutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi,youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuideheguojidezhixu,zaizhezhongzhixuzhong,benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu,yinweizhiyouzaishehuizhongtadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-01	renrenzaixingshitadequanliheziyoushi,zhishoufalusuoquedingdexianzhi,quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong,bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-02	zhexiequanliheziyoudexingshi,wulunzairenheqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanderenhetiaowen,budejieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingwei. 
