00-00	DICHJARAZIONI UNIVIRSALI DI I DIRITTI DI L’OMU
26-01	Ogni parsona ha dirittu a l’educazioni. Devi essa di gratisi l’educazioni, almenu par cio chi tocca a un insignamentu elementari e fundamintali. U insignamentu elementari he ublicatu. U insignamentu tecnicu e prufissiunali ci voli a giniraliza lu; a l’alti studii ci devinu pude ghjugna tutti a paru, sicondu u meritu.
26-02	U fini di l’educazioni devi essa ch’ella si spanni a parsunalita umana da veru e ch’ellu piglii forza u rispettu di i diritti di l’omu e di i liberta fundamintali. Devi fa ch’elli si capischinu, ch’elli s’accettinu e ch’elli sianu amichi tutti i nazioni e tutti i gruppi raziali o rilighjosi, ch’elli si sviloppinu l’attivita di i Nazioni Uniti par mantena a paci.
26-03	A’i parenti tocca prima a sceglia a forma d’educazioni da da a i figlioli.
27-00	Articulu 27
27-01	Ogni parsona ha dirittu a participa di modu libaru a a vita culturali di a cumunita, a goda si l’arti e a participa a u prugressu scentificu e a l’avantaghji ch’ellu porta.
27-02	Ugnunu ha u dirittu ch’elli sianu prutetti i intaressi murali e matiriali chi nascinu da ogni pruduzzioni scentifica, literaria o artistica ch’ellu ni he ellu l’autori.
28-00	Articulu 28
28-01	Ogni parsona ha dirittu ch’ellu regni, in la sucita e tra i Stati, un ordini chi dessi tuttu u so pesu a i diritti e liberta ch’ella sprimi issa dichjarazioni.
29-00	Articulu 29
29-01	Ha i duveri l’individuu ver di a so cumunita chi in ella sola si po fa u sviloppu libaru e pienu di a so parsunalita.
29-02	Esercitendu i so diritti e gudendu i so liberta, un he sottumissu ugnunu ca a i limitazioni da a leggi stabiliti, solu da assicura ch’elli sianu ricunnisciuti e rispittati i diritti e i liberta di l’altri, e di da sudesfu a i dumandi ghjusti di a murali, di l’ordini publicu e di u binista di tutti ind’una sucita dimucratica.
29-03	Issi diritti e issi liberta in nisun casu si pudaranu utiliza contru a i fini e i principii di i Nazioni Uniti.
30-00	Articulu 30
30-01	Nisuna dispusizioni d’issa dichjarazioni po essa capita cum’e s’ella dessi ad unu Statu, ad un gruppu o ad u individuu un dirittu qualunqua d’ave una attivita o d’agiscia cu u scopu di fa spariscia i diritti e i liberta chi ci si trovanu scritti.
