00-00	segyeingweonseoneon
11-01	modeun saramyi modeun haengdong ddoneun buhaengdong, oneun siganeseo narabeob ddoneun gugjebeobeuro modu hyeongsa beomjoe animyeon, hyeongsa beomjoega isseumeul simpanhaji mal ara. hyeongbeol i beomjoehanunsiganeseo sayonghaneun beobryuleul cogwahaji mal ara.
12-00	yeol duljjae
12-01	saramyi sasaenghwal, jib, jugeoyonggwa tongsineul imyiro ganseobhaji malara. myeongseonggwa pyeongpaneul gonggyeoghaji malara. i ganseob ddoneun gonggyeogeul piryeo, saramdeuleun beobe bohobadneun gweonriga issneunda.
13-00	yeol sesjjae
13-00	modeun saram modeun naraeseo jayuhan ijuhago jeongcaghaneun gweonriga issneunda.
13-01	saram geu jasinyi naraga issneun modu narabuteo ddeonago jasinyi narae ganeun gweonriga issneunda.
14-00	yeol nesjjae
14-00	saramdeuli baghaereul pihareo oegugeseo mangmyeongeul tamsaeghago badneun gweonriga issneunda.
14-01	jeongmal bijeongcijeogyi beomjoe ddoneun ryeonhabgugyi mogjeoggwa weoncigeul wibanhan haengdongeuro gisobadmyeon i gweonrireul sseuji mal ara.
15-00	yeol daseos jjae
15-00	saramdeuli modu gugjeogi issneun gweonriga issneunda.
15-01	saramyi gugjeogeul imyiro bagtalhaji malgo gugjeogeul byeonhaneun gweonrieul buinhaji mal ara.
16-00	yeol yeoseosjjae
16-00	seongsughan namnyeoga jongjog, gugje ddoneun jonggyoyi hanjega eobsgo gihongwa gajogeul seoljeonghaneun gweonriga issneunda.
16-01	namnyeoyangmyeoni jayuhago wanjeoneuro dongyihaaya gyeolhonhanda.
16-02	gajogi jayeoneungwa giboneun sahoedanwiga igo sahoehago narae bohobadso.
17-00	yeol ilgobjjae
17-00	saramdeuli modu jasinyi jaesansoyugweoni issgo, namdeulgwa gongyuhaneun soyurweoni issneunda.
17-01	imyiro saramyi jaesaneul bagtalhaji mal ara.
18-00	yeol yeodeolbjjae
18-01	saramdeuli modu sasang, yangsimgwa jonggyojayuyi gweonriga issneunda. i gweonrieseo geuyi jonggyo ddoneun sinangeul byeonhaneun jayuga issgo, honjaro ddoneun jibdaneuro, gonggaero ddoneun eunmilhi gyori yeonseub, yebaehago gyemyeongeuro geuyi jonggyo ddoneun sinangeul daepyohaneun jayuga issneunda.
19-00	yeol ahobjjae
19-01	saramdeuli modu yigyeoneul jujanggwa balpyohaneun jayuga issneun gweonriga issneunda. i gweonrieseo jujangi issgo ganseobbadji anhneun jayuga, issgo modeun maegaero guggyereul musihayeoseo sosiggwa sasangeul tamsaeg, suraggwa habgyeoghaneun jayuga issneunda.
20-00	seumujjae
20-00	saramdeuli modu pyeonghwaro jibhoehago hyeobhoehaneun jayuga issneun gweonriga issneunda.
20-01	modeun sarami gangjero danceeseo issji mal ara.
21-00	seumu ceosjjae
21-00	modeun sarami jigjeobeuro ddoneun jayuro goreun daepyoro jasinyi narareul gwanrihameul camyeohaneun gweonriga issneunda.
21-01	modeun sarami pyeongdeungeun gihoero jasinyi narayi gongmureul camyeohanun gweonriga issneunda
21-02	inminyi wil jeongbugweonryeogyi gi joida. i wil jeonggiyihago jeongmaleun seongeoro pyohyeonhaso seongeoga gongtongeungwa pyeongdeungeun yigyeolgweoneuro bimil tupyo ddoneun biseushan jayun tupyo jeolcaro oso.
22-00	seumu duljjae
22-01	sarami sahoeyi seongweoneuroseo saoebohoreul badneun gweonriga issgo, geuyi gaeinjoneomgwa gaeseongyi jayun gaebali yoguhaneun gyeongje, sahoehago munhwayi modeun gweonriyi silhyeoneul badneun gweonriga issgo narayi noryeoggwa gugje hyeobryeogeuro, modeun narayi jojiggwa jaweon sanghwange silhyeonhaneunda.
23-00	seumu sesjjae
23-00	saramdeuli modu ilhaneun, jayuro jigeobeul goreuneun, geunyanggwa jeoghabhan geunmu jogeoneul badneun, sileobeul pihaneun bohoreul badneun gweonriga issneunda.
23-01	saramdeuli modu gateun geunmuro gateun imgeumeul badgo modeun cabyeoleul pihaneun gweonriga issneunda.
23-02	ilhaneunsarami jasingwa gajogi saramyi joneome majcweon saenghwal jogeoni isseureo geunyanggwa jeoghabhan imgeumeul badnun gweonriga issneunda. pilyoga isseumyeon dareun yangsigyi sahoebohoreul badso.
23-03	jasinyi ijareul bohohareo, saramdeuli modu gonghoereul jojighaneun gweonrihago gonghoee deulneun gweonriga issneunda.
24-00	seumu nesjjae
24-01	saramdeuli modu swineungwa yeoga sigani issneun gweonriga issneunda. i gweonrieseo ilhaneun sigani habrin handoga issgo, gyucigjeogeuro imgeumeul badaseo swihaneun gweonriga issneunda.
25-00	seumu daseosjjae
25-00	saramdeuli jasingwa gajogyi geonganggwa bogjireul yujihaneun pilyon saenghwal sujuneul badneun gweonriga issgo, eumsig, os, jib, yiryohago pilyon sahoebugmuga issneunda, sileob, alheum, byeongsin, sabyeol, nohwa ddoneun gita tongjehaji moshaneun ileuro saenggyereul ilheumyeon, bohoreul badneun gweonriga issneunda.
25-01	eomeonihago ai teugbyeoleun jogohago jiweoneul badneun gweonriga issneunda. aideul, amuri honsaeng ddoneun bihonsaeng, modu pyeongdeungeun sahoebohoreul badso.
26-00	seumu yeoseosjjae
26-00	saramdeuli modu gyoyugeul badneun gweonriga issneunda. gyoyugi coesohan cosimgwa gibondangyeeseo musangiso. codeunggyoyugi yimuiso. gisul gwa jigeobgyoyugeul keugero seoljeonghaso. daehaggyoyugeul jeomsuro modeun saramege pyeongdeungeuro yeolso.
26-01	gyoyugyi mogjeogi saramyi gaeseongeul jeoncero gaebalhamgwa ingweongwa gibonjayue jonjungeul ganghwahami ida. gyoyugi modeun nara, modeun jongjog ddoneun modeun jonggyo danceyi ihae. gongcahago ujeongeul cogjinhago, ryeonhabgugi pyeonghwareul bohohaneun modeun hwaldongeul cogjinhaso.
26-02	abeojihago eomeoniga geudeulyi aiga badneun gyoyugyi beomjueseo meonjeo goreuneun gweonriga issneunda.
27-00	seumu ilgobjjae
27-00	saramdeuli modu jayuro sahoeyi munhwa saenghwale gaibhago, yesuleul hyangsuhago, gwahagyi jinbohago i jinboga mandeuleun bogjireul gongyuhaneun gweonriga issneunda.
27-01	sarami geuege mandeuleun modeun gwahag, munhag ddoneun yesuljagpumeuro isseun jeongsingwa jaeryoyi ijae bohoreul badneun gweonriga issneunda.
28-00	seumu yeodeolbjjae
28-01	saramdeuli modu han sahoeyihago gugjeyi jumuneul yoceonghaneun gweonriga issneunda. i jumuneseo, i seoneoneseo sseun modeun gweonrihago jayuga jeoncen silhyeoneul badgessda.
29-00	seumu ahobjjae
29-00	sahoeeseo isseumyeon saramyi gaeseongi jayuhago jeoncero gaebalhanda. ie, modeun saram sahoee yimuga issneunda.
29-01	sarami geuyi gweonrihago jayureul undonghaeumyeonseo, beobe hwagjeongbadanheumyeon, jehani eobsneunda. i sehaneul hwagjeonghan mogjeog ojig gita saramyi gweonrihago jayue pilyon seungingwa jonjungeul jumeul bojeunghami igo, minjun sahoeeseo dodeog, gonggong jilseohago bopyeonbogjiyi pilyohaneul jeogeunghami ida.
29-02	i gweonrideulgwa jayudeuleul haengsamyeonseo modeun sanghwangeseo ryeonhabgugyi mogjeoggwa weoncigeul wibanhaji mal ara.
30-00	seoreunjjae
30-01	i seoneonyi modeun jomuneun eoddeohan nara, jibdan ddoneun sarami i seoneoneseo sseun eoddeohan gweonrihago jayureul pagoehal hwaldong ddoneun haengdongeul haneun gweonriga isseumeul insuhameul seolmyeongbadji mal ara.
