00-00	RUNAKUNAPAK HAYNITA WILLAY
17-00	Tukuy runamimaypi kawsana kikin allpata, kikin wasita, nipakunatapash charina haynita charin. Shinallatak tukuypak tiyachun haynitapashmicharin
17-01	Pipash paykunapak allpata, wasita, imatapash mana kichunkallachukan.
18-00	18 niki
18-01	Tukuy runami kishpirishka yuyayta, shunkuyuyayta(conciencia), iniyna haynita charin. Shuktak ininaman yallinata, pay munashka pachakamakta katina haynitapash charinmi. Shinallatak shuklla, tantarishpapash shuk iniyta katina haynitami charin. Tukuykunapak nawpakpi payllapash shuk iniyta rikuchina haynitami charin.
19-00	19 niki
19-01	Tukuy runami imatapash willana, rimana haynita charin, kaytaka mana pipash katirayashpa harkanata ushanchu. Taripayta, willayta, alli yuyayta chaskinatapash ushanmi. Pay winachishka sumak yuyaykunataka: ankimanta, karurikuchikmanta(television), shuktak nanmantapash mana saywarishpalla willanatami charin.
20-00	20 niki
20-00	Tukuy runami tantanakuna kishpita, kasiklla tantanakuyta winachina kacharishka haynita charin.
20-01	Mana pipash shuk tantanakuyman munay, mana munay pushashka kankachu.
21-00	21 niki
21-00	Tukuy runami paypak Ilaktapi kamachik tukuna haynita charin. Payllatak sapalla, mana kashpaka akllashka kashpapash kamachik tukuna haynita charin
21-01	Tukuy runami paypak lIaktapika, shuktak runakuna shinallatak Ilaktallankaypi (funciones publicas) paktapakta Ilankana haynita charin
21-02	LLaktakunapak munaymi tukuy runakunapak tiksi kamachi ushay kan, kaytakakikin watanta tukuy lIaktakunapi kamachikunata paktapakta akllaypimi rikuchina kan. Kaytaka pakalla, pipash mana yuyachishka kikinllatakmi shutita kushpa shinata kan. Shinallatak nishanik shuktak sami akllaykunapash kishpirishkami kan.
22-00	22 niki
22-01	Llaktapak ayllu kashkamantaka, tukuy runakunami kamashka kaws,ana haynita charin. Allita kawsankapaka payllatakmi nakarina kan, paypak mamallaktapash, kay ayllutaka shuktak lIaktakunapash yanapanatami charin. Paypak Ilaktapi tiyashka kullkiwan, nipakunawan yanaparishpa sumakta kawsana haynitami charin. Kacharishka kawsayta charishpa, pay munashka winarina haynitapashmi charin.
23-00	23 niki
23-00	Tukuy runami lIankana, Ilankayta akllana kishpirishkahaynita charin. Kikin munashka paktapakta Ilankaytami chari.na kan. Llankaymanta mana shitashka kankapakka, paypak Ilankaytaka payllatak kamarayanami kan.
23-01	Tukuy runami mana akllarishkakana, paypak Ilankashakamantapash paktapakta kullkitaka chaskina haynitami charin.
23-02	Tukuy Ilankak runami pay lIankashkamantaka munashka paktapakta kullkita hapinata charin. Shina paypak aylluman alli kawsayta kuchun, paypash alli kawsayta charichun. Kay illakpika mayhansami kamaywanpash paktachishkami kanka.
23-03	Tukuy runami tantanakuyta winachina hayniya charin, chay tantanakuyka paykunapak charishkatalla kamankapakka mana kanchu.
24-00	24 niki
24-01	Tukuy runami samarina haynita charin~ kacharishka samaypachata amikta kushiyarina haynitapash charinmi. Tawka watakama, shaykunkakama lIankana kuskatami charin, samarishkamantapash kullkita hapinami kan.
25-00	25 niki
25-00	Tukuy runami payta kamak, alli kawsayta kuk patapi kana haynita charin. Shinallatak paypak aylluta, allikawsayta, allikayta, alli mikuyta, alli churarinata, alli wasita, alli hampirinata, mitacoita (servicio) charina haynita charin. Shinallatak mana Ilankayta charishpa, unkushka kashpa, wakllirishka kashpa, sapalla kashpa, payayashpa, shuktak lIakikunata charishpapash yanapachun haynita charinmi.
25-01	Chichu warmipash, Ilullu wawakunapash alli kawsayta charina, allinta kamashka kana haynitami charin. Tukuy kariwarmi wawakuna sawarishkayayamama ~ wachashka kashpa, kuytsa wachashka sapalla warmi wachashka kashpapash paktapakta kacharishka haynitami charin.
26-00	26 niki
26-00	Tukuy runami yachana haynita charin. Tiksi yachay, shuktak tiksi yachaymantapash mana kullkita kuna kanchu. Tiksi yachayka tukuykunapak yachanatakmi kan, yachanamantaka mana 'pipash sakirinachu. Rurayyachay, sumakyachaypash hatunyashpa tukuy Ilaktamanmi chayanka. Hatun yachaykunaman yaykunaka tukuypak paktami kanka, shinami paykuna chaskina kashkata paktachinka.
26-01	Yachayka runakuna yuyaypi may alli winarinatami yanapanka, runakunapak haynipi iniyta, tiksi kishpirinatami sinchiyachinka. L1aktapura, runakawsaypura, inikpura hamutayta, hikullayta (tolerancia) mashiyarina sinchiyachunmi yanapanka. Tinkirishka mamallaktakuna kasiklla kawsayta charirayachunmi willashpa runakuman yachachinka.
26-02	Taytamamaka imasami yachayta churikunaman kunkapakka akllana haynitami charin.
27-00	27 niki
27-00	Tukuy runami kishprishka yuyaywan ayllullaktawan kimirishka kawsana haynita charin, makiruraykunawan taripaykuna amawtariy lIankaypipash chaypimi kanata chaTin. Pay lIankashkamantapash imallatapash hapinatami charin.
27-01	Tukuy runami paypak alli shutita, amawta lIankaymanta rikurishka nipakunata kamana haynita charin. Pay killkashka arawikunata lIankashka makiruraytapash kamana haynitami charin.
28-00	28 niki
28-01	Tukuy runami tukuy paypak lIaktapi kawsak runakuna, istallaktapi kawsak runakunapash nikishka kawsayta charichun yanapana haynita charin. Shina kay hayni, kishpiriypash tinkirishka lIaktakuna willashka haynikuna tukuy Ilaktaman paktachun.
29-00	29 niki
29-00	Tukuy runami ayllukunaman kanakayta(deber) ayllullaktaman kunata. charin. Paypak ayllullaktapillami kishpiriy hunta kawsayta, kikinkayta charishpa may allita winarinka.
29-01	Paypak haynita, kishpiriyta hapishpaka kamachikuna nishkapilla watarishpami saywarishka kanka. Payka, kikin haynita, kishpiyta, inina yuyayta; allirunakayta, sumaychayta(respeto), tukuypak yuyayta paktachina raykumi saywarishka kamachi kanka. Kipaka: ayllukuna, lIaktakuna sumaklla tiyachun, mana mashikunata kichushpa, kamishpa, millishpa kawsachun yuyashpami kamachi nishkata paktachinka.
29-02	Tinkirishka Ilaktakuna yuyarishkata tiksi hayniwan, kishpiriywan, nimamantapash takarishpa lIakichina yuyaytaka mana charinachu. Tukuykunami mashiyarishpa kishpirinakunkapak Ilankana kan.
30-00	30 niki
30-01	Kay tinkirishka lIaktakuna willashka haynikunata, kishpiriykunataka, shuklla runamanpash, tantanakuymanpash yankaka, mana pantata willanallachu. Runakunapak haynita, kishpiriy yuyayta pichana yuyaytaka na charinachu.
