00-00	INSAN SHHUGUGLARY SHHAGGYNDA UMUMI BeJANNAMe
01-01	Butun insanlar  lejaget ve shhuguglaryna kore azad ve beraber doghulurlar. Onlaryn shuurlary ve vichdanlary var ve bir-birlerine munasibetde gardashlyg rushhunda davranmalydyrlar.
02-00	Madde 2
02-01	SHHer bir shekhs irginden, derisinin renkinden, chinsinden, dilinden, dininden, sijasi ve diker egidesinden, milli ve ja sosial menshejinden, emlak, sosial movge ve diker vezijjetinden asyly olmajarag bu Bejannamede  elan olunmush butun shhugug ve azadlyglara malik olmalydyr.
02-02	Bundan elave, shhemin shekhsin mensub oldughu olkenin ve ja erazinin, shhemin erazinin mustegil, gejjumlug altynda olan, ozuidareolunmajan ve ja suverenliji shher shhansy shekilde meshhdudlashmysh olmasyndan asyly olmajarag, sijasy, shhugugi ve bejnelkhalg statusundan asyly olarag shhech bir ajry-sechkilik gojulmamalydyr.
03-00	Madde 3
03-01	SHHer bir shekhsin jashamag, azadlyg ve shekhsi tokhunulmazlyg shhugugu var.
04-00	Madde 4
04-01	SHHech kim kole ve ja asyly vezijjetde sakhlanyla bilmez; guldarlyg ve gul tichareti butun formalarda gadaghan edilir.
05-00	Madde 5
05-01	SHHech kim ishkencheje ve ja geddar, gejri-insani ve ja onun lejagetini alchaldan munasibete ve chezaja meruz galmamalydyr.
06-00	Madde 6
06-01	SHHer bir shekhs shharada olmasyndan asyly olmajarag ozunun shhugug subjektltilijinin tanynmasy shhuguguna malikdir.
07-00	Madde 7
07-01	Butun insanlar ganun garshysynda beraberdirler ve ganun terefinden beraber mudafie shhuguguna malikdirler. Butun insanlar bu Bejannameni pozan shher shhansy ajry-sechkilikden ve bele ajry-sechkilije shher shhansy cheshhdden beraber mudafie olunma shhuguguna malikdirler.
08-00	Madde 8
08-01	SHHer bir shekhs Konstitusijanyn ve ja ganunun ona verdiji shhuguglaryn pozulmasy zamany seleashhijjetli milli meshhkemeler terefinden shhuguglarynyn berpa olunmasy shhuguguna malikdir.
09-00	Madde 9
09-01	SHHech kim ozbashyna shhebse, tutulmaja ve ja surkune meruz gala bilmez.
10-00	Madde 10
10-01	SHHer bir shekhs onun shhugug ve vezifelerinin tejini ve ona garshy ireli surulmush chinajet ittishhamynyn esaslylyghynyn muejjenleshdirilmesi uchun onun ishinin mustegil ve biteref meshhkemede, tam beraberlik esasynda, ashkarlyg ve edaletin butun teleblerinin kozlenilmesi sheraitinde bakhylmasy shhuguguna malikdir.
11-00	Madde 11
11-01	CHinajet toretmekde ittishham olunan shher bir shekhs kunashhy ona mudafie uchun butun imkanlaryn temin olundughu achyg meshhkeme istintagynda ganuni shekilde subut olunanadek kunashhsyz shhesab edilmek shhuguna malikdir.
11-02	SHHech bir kes milli ganunverichilik ve ja bejnelkhalg shhuguga esasen toredildiji zaman chinajet shhesab edilmejen shhereket ve ja shhereketsizlik uchun chinajetde ittishham oluna bilmez. Ejni zamanda chinajetin toredildiji  zaman tetbig oluna bilechek chezadan dashha aghyry tetbig oluna bilmez.
12-00	Madde 12
12-01	SHHech kim shekhsi ve aile shhejatyna mudakhileje, evinin tokhunulmazlyghyna, mektublashmasynyn kizlilijine, sheref ve nufuzuna ozbashyna gesde meruz gala bilmez. SHHer bir shekhsin bele mudakhile ve gesden ganun terefinden mudafie olunmag shhugugu var.
13-00	Madde 13
13-01	SHHer bir shekhs shher bir olke shhududunda serbest shhereket etmek ve jashajysh jeri sechmek shhuguguna malikdir.
13-02	SHHer bir shekhs oz olkesi de dakhil olmagla istenilen olkeni terk etmek ve oz olkesine gajytmag shhuguguna malikdir.
14-00	Madde 14
14-01	SHHer bir shekhs diker olkelerde tegibden syghynachag akhtarmag ve bu syghynachagdan istifade etmek shhuguguna malikdir.
14-02	Bu shhugug shhegigeten de gejri-sijasi chinajet ve ja Birleshmish Milletler Teshkilatynyn megsed ve prinsiplerine zidd shhereket toredilmesine esaslanan tegibler zamany istifade oluna bilmez.
15-00	Madde 15
15-01	SHHer bir shekhs vetendashlyg shhuguguna malikdir.
15-02	SHHech kim ozbashyna olarag vetendashlygdan ve vetendashlyghyny dejishmek shhugugundan meshhrum edile bilmez.
16-00	Madde 16
16-01	Jetkinlik jashyna chatmysh kishiler ve gadynlar irgi, milli ve dini elametlerine kore shhech bir meshhdudijjet gojulmadan nikashha dakhil olmag ve aile gurmag shhuguguna malikdirler. Onlar nikashha dakhil olarken, nikashh muddetinde ve onun pozulmasy zamany ejni shhuguglardan istifade edirler.
16-02	Nikashh, nikashha dakhil olan shher iki terefin azad ve tam razylyghy olarsa baghlana biler.
16-03	Aile chemijjetin tebii ve bashlycha grup vashhididir ve chemijjet ve dovlet terefinden mudafie olunma shhuguguna malikdir.
17-00	Madde 17
17-01	SHHer bir shekhsin shhem tekbashyna, shhem de dikerleri ile birlikde mulkijjete sashhib olma shhugugu var.
17-02	SHHech kim ozbashyna olarag mulkijjetden meshhrum edile bilmez.
18-00	Madde 18
18-01	SHHer bir shekhs  dushunche, vichdan ve din azadlyghy shhuguguna malikdir; bu shhuguga oz dinini ve etigadyny dejishmek azadlyghy ve oz dinine ve inanchlaryna teshhsil, dua ve dini ve ritual ajinler zamany teklikde ve ja bashgalary ile birlikde, ashkar ve ja ferdi shekilde etigad etmek azadlyghy dakhildir.
19-00	Madde 19
19-01	SHHer bir shekhs egide ve onu serbest ifade etmek azadlyghy shhuguguna malikdir; bu shhuguga maneesiz olarag egideje malik olmag ve informasija ve idejalary dovlet sershhedlerinden asyly olmajarag istenilen vasitelerle akhtarmag, elde etmek ve jajmag azadlyghy dakhildir.
20-00	Madde 20
20-01	SHHer bir shekhs dinch jyghynchaglar ve assosiasijalar azadlyghy shhuguguna malikdir.
20-02	2.SHHech bir shekhs shher shhansy bir assosiasijaja goshulmagha mechbur edile bilmez.
21-00	Madde 21
21-01	SHHer bir shekhs dovletin idare olunmasynda bilavasite ve ja azad shekilde sechilmish numajendeler vasitesile ishtirak etmek shhuguguna malikdir.
21-02	2.SHHer bir shekhs oz olkesinde dovlet khidmetinde gullug etmek uchun beraber  imkana malik olmag shhuguguna malikdir.
21-03	Khalgyn iradesi igtidar shhakimijjetinin esasy olmalydyr; bu irade oz  ifadesini kizli sesverme jolu ile, umumi ve beraber sechki shhugugu ve ja sesvermenin azadlyghyny temin eden diker ejnimenaly formalar esasynda kechirilen mutamadi ve sakhtalashdyrylmamysh sechkilerde tapmalydyr.
22-00	Madde 22
22-01	SHHer bir shekhs chemijjetin uzvu kimi sosial mudafie shhuguguna ve milli sejler ve bejnelkhalg emekdashlyg jolu ile ve shher bir dovletin strukturu ve resurslaryna ujghun olarag onun lejagetinin mudafiesi ve shekhsijjetinin azad inkishafy uchun igtisadi, sosial ve medeni sashhelerde shhuguglara malikdir.
23-00	Madde 23
23-01	SHHer bir shekhsin emek, serbest ish jeri sechmek, edaletli ve jakhshy ish sheraiti ve ishsizlikden mudafie shhugugu var.
23-02	SHHer bir shekhs shhech bir ajry-sechkilik olmadan ejni ish uchun ejni emek shhaggy almag shhuguguna malikdir.
23-03	SHHer bir ishlejen shekhs, emejinin lazym kelerse diker sosial mudafie vasitelerile tamamlanan, onun ozunun ve ailesinin lajigli dolanyshyghyny temin ede bilen edaletli ve genaetbekhsh odenilmesi shhuguguna malikdir.
23-04	SHHer bir shekhsin shhemkarlar ittifagy jaratmag ve oz sosial maraglaryny  mudafie etmek uchun shhemkarlar ittifaglaryna dakhil olmag shhugugu var.
24-00	Madde 24
24-01	SHHer bir shekhsin istirashhet ve asude vakht, o chumleden ish kununun aghlabatan shhududu ve odenilen mutamadi mezunijjet shhugugu var.
25-00	Madde 25
25-01	SHHer bir shekhs onun ozunun ve ailesinin seshhshhet ve rifashhyny temin etmek uchun lazym olan, gida, kejim, tibbi khidmet ve lazymi sosial teminat da dakhil olmagla shhejat sevijjesi shhuguguna ve ishsizlik, khestelik, elillik, dul galma, gochalyg ve ondan asyly olmajan sebebler uzunden jashajysh vasitelerinin itirilmesi zamany teminat shhuguguna malikdir.
25-02	Analyg ve ushaglyg khususi gajghy ve jardym almag shhuguguna malikdirler.  SHHem nikashh netichesinde shhem de nikashhdan kenar doghulmush ushaglar ejni sosial mudafieden istifade etmelidirler.
26-00	Madde 26
26-01	SHHer bir shekhsin teshhsil shhugugu var. en azy ibtidai ve umumi teshhsil pulsuz olmalydyr. Ibtidai teshhsil ichbari olmalydyr. SHHer kes tekhniki ve peshe teshhsili almag imkanyna malik olmalydyr, ali teshhsil de shher kesin gabilijjeti esasynda shhamyja ejni derechede mujesser olmalydyr.
26-02	Teshhsil insan shekhsijjetinin tam inkishafyna ve insan shhuguglary ve  esas azadlyglara shhormetin artyrylmasyna joneldilmelidir. Teshhsil khalglar, irgi ve dini gruplar arasynda garshylygly anlashmanyn, dozumlulujun ve dostlughun moshhkemlendirilmesine ve Birleshmish Milletlerin sulshhu goruma sashhesinde fealijjetine jardym etmelidir.
26-03	Validejnler oz azjashly ushaglarynyn teshhsil novunu sechmekde ustunluje malikdirler.
27-00	Madde 27
27-01	SHHer bir shekhs chemijjetin medeni shhejatynda serbest ishtirak etmek,  inchesenetden shhezz almag, elmi tereggide ishtirak etmek ve onun fajdasyndan istifade etmek shhuguguna malikdir.
27-02	SHHer bir shekhs muellifi oldughu elmi, edebi, ve inchesenet eserlerinin netichesinde mejdana chykhan maddi ve menevi menafelerinin gorunmasy shhuguguna malikdir.
28-00	Madde 28
28-01	SHHer bir shekhsin bu Bejannamede eks olunmush shhugug ve azadlyglaryn tam temin olundughu sosial ve bejnelkhalg duzum shhugugu var.
29-00	Madde 29
29-01	SHHer bir shekhs jalnyz onun azad ve tam inkishafy mumkun oldughu chemijjet garshysynda vezifeler dashyjyr.
29-02	Oz shhugug ve azadlyglaryny shhejata kechirerken shher bir shekhs jalnyz ele meshhdudijjetlere meruz gala biler ki, onlar ganun terefinden dikerlerinin shhugug ve azadlyglarynyn tanynmasy ve shhormet olunmasynyn  temin edilmesi ve demokratik chemijjetin ekhlagi, ichtimai asajish ve umumi rifashh teleblerini odemek megsedile tejin edilmish olsun.
29-03	Bu shhugug ve azadlyglaryn shhejata kechirilmesi Birleshmish Milletler Teshkilatynyn megsed ve prinsiplerine zidd olmamalydyr.
30-00	Madde 30
30-01	Bu Bejannamede shhech ne shher shhansy dovlete, shekhsler grupuna ve ajry-ajry shekhslere Bejannamende elan olunmush shhugug ve azadlyglaryn meshhvine  jonelmish shher shhansy fealijjetle meshghul olmag ve ja shher shhansy shhereketi toretmek shhugugunun verilmesi kimi tefsir oluna bilmez.
