00-00	JEEGNIT NE ADNA FEE NDEERNA NI KE WARNA O KIIN
14-00	Oxuu jegeerna o daay me genoona, waagaa o naap saax laa waagoona o gen.
14-01	A sopangaa a pi'a paaxeer o reefeel la ref kaa jegna waagatiro o muc no ke eteena o lay gaaga a pi'of a guutatira fa taap ale mbokatoor ni keet ke njab na.
15-00	Ar 15
15-00	Oxu refna a wara jeg o andiloor saax um.
15-01	O leng waraand o fanit o andiloor saax um mbaat a coosax mo saax la kas.
16-00	Ar 16
16-00	O koor fo tew a kiid den a daawangaa a totax too ta mbugir a mbaaga o njegir. deeteer ee mbogee xeet, mbaat saax mbaat diina te njeg kaa warna den kam I ngolnir ne boo maa te daykaa.
16-01	Ndonir ne waagee deg to refee wee ndeernuna mbugun.
16-02	Pasil ten ref a pay ale xupna o njiriin no noow a wara o aarel na kenand axe fa kam saax le.
17-00	Ar 17
17-00	O kiin nuu ga'oona wo andu o ref sengof, mbaat kam mbokatoor (fog) waraa jegood kaa xooluna.
17-01	O leng waraanal o fanit o jeg um.
18-00	Ar 18
18-01	O xuu refna a ware o waas foo yiif um fa diina um. Na ne te bugitna, boo yaa ta bugna joosoox na diina fa lakas la waasel a laywaa, fi'waa boo yaa le naapaa waa ndeefuuna teen.
19-00	Ar 19
19-01	O xuu refna a wara was fa xalaat um a layin, waree jeg teen o njaaxid o leng, tam nuu te bugna ta nanel fat a layin kam saax le fa kataa saax.
20-00	Ar 20
20-00	O kiin mu refna a wara retaa no xet fi mbo katoor naa jam a refna.
20-01	O leng waraand o jibin na fog ni mbokatoor.
21-00	Ar 21
21-00	Oxuu refna a wara fog ni ke naa naaynaa saax of a waaga ref wo mbaat oxaa jiloona to doyom.
21-01	O kiin mu refna a waaga fog ni callel kaa maat maa ni saax of.
21-02	We ngenna ni saax ke te mbugna, kaaga naa geennaa we naa saqaa a nuxur axe ne te andteel ten ref mban nuu ngap onqaa fadtiina oote datfo jeg wiin we njil we mbelna den na ne te waritna (eleksiong).
22-00	Ar 22
22-01	O kiin mu refna o noowaa kam ngentand um a ware aar a maakooyel no noow'um no jeg um. Na aada um no ngentand um baa waag o andid xooxum kam saax le.
23-00	Ar 23
23-00	O kiin nuu refna a wara o jal, fa ke ta bugna jal too ta ref kaa dooneena na t at, a ware aar no nako jal.
23-01	Fop mbodu teen jegee samtir callel nuu refna fi ndafidum.
23-02	Oxuu naa jallaa rawaa jeg munoor kaa saqtoona pasil of boo te mbaag o yeeg o noow fel na keen den.
23-03	Oxuu refna a waaga sos mbaat ta fog mbokaloor (sendikaa) ndi te waag o dax ke waruuna na pi'mbaat o jeg.
24-00	Ar 24
24-01	O xuu refna a wara o nootnooxaa, a nootin yiifum na ngap o mbodu yaa da njalna baa nger.
25-00	Ar 25
25-00	Oxuu refna a wara jeg o noow olaa fadna fo ten, a topatoox o wod-o-daal um fi pasil um: no naamel, na tikoorite, no genand, na baadin. A ware maakooy yaa ta nakna callel um mbaat ta b oowid mbaat taamala daawin.
25-01	Yaay ke fi ngoor ke a mbare maakooyeel a paax ngoor ke ndimeena kam a tolax ta we ndimaan deena kam a tolax den fop mbodu.
26-00	Ar 26
26-00	Oxuu refna a wara jang. A cang a ware yooban ni kaa jofna na cang a peraand ale no ngoor ke. Te ref kaa warna na teb axe ndimeena ta mbaang o njang fop mbaru mbod na cangu maak axe mbaat a cangu xe na mece ke.
26-01	A cang ale wara jeg o njiriin o maak ni wiin we, a baat a den boo to and a qoox den, ndax da mbaag o noow ni munanir ni mbokatoor, ni nanir fa kaa jofondna a paam callel ke ni pokatoor ke xeet kembugna jam.
26-02	Baajur ke den mbaru njil a cang ale na piy axe.
27-00	Ar 27
27-00	Oxuu refna a wara fog ni mbokatoor ni cosaan, ndax kaa jofandna a paam a yiif ake fi pi' el ke.
27-01	Oxuu refna a wara geenoox no kaa waagna yaq callel ke mbaat a yiif ake mbaat and ole xalna no xooxum.
28-00	Ar 28
28-01	Oxuu refna a wara o gay kam saax le mbaat kam adna fee kaa taxna boo jam a jegaa kom ne yeegnit neene bistiiduuna.
29-00	Ar 29
29-00	Oxuu ga'oona a jega kaa waruna kam ngentand um kam yaa ta jegna o daay, faa and I xoox um na ke te bugna.
29-01	Ni ke warna mu refna te fi'an, nuu refna teen a jega maa waroona day, na ne luwaa (tat ale) bistiiduuna ndax nu refna, a andangaa mete warna day, dalkee no kend um a fi'angaan o noow de xan a fel.
29-02	Keene warna in fa ke i njegna teen i andangaan guutartirkee fa naacnoot ale ni mbokatoor ne xeet ke.
30-00	Ar 30
30-01	Ke yeegnit neeke a bisiidna, waraand o bakand ni saax leng mbaat i mbokatoor, leng mbaat o kiino leng boo te tax ta fesooraa naa te warteerna ni ke warna jeg.
