00-00	KUZANGA CHA KAYE HALUSESA LWA MUTU
06-01	Mutu wosena atela kupwa nalusesa lwajingolo jakulisolola kwosena kupwa nge mutu shimbu kanda jishimbi.
07-00	Chihanda 7
07-01	Vatu vosena vaneseka hamwe shimbu kanda jijishimbi kaha vanalusesa lwakuvakinga kujishimbi. Vosena vaneseka hamwe kaha kakwechi kupwa wumwe mwahambakana mukwavokoko kwesekesa nalushiko kuhona kuyanjisa chipwe kumuhandununa kuvakwavo.
08-00	Chihanda 8
08-01	Mutu wosena analusesa lwakumukinga kuvikungulwilo vyosena navipwangako vyakutala hakuyanjisa chamutu halushimbi vahana mutu lwakupwa wakulimanyina muchiyoyela chenyi kwesekesa nalushimbi.
09-00	Chihanda 9
09-01	Kakwechi kukakpwa kulikwachila chamutuko, kumutumbika mutolongo chipwe kuchinyina kweka.
10-00	Chihanda 10
10-01	Mutu wosena analusesa lwakwivwilila chihande chenyi ku zango yayinene yakaye yakulimanyina, nge vanawane mutu kana anamulonga wunapandama kuchiyoyelo chenyi.
11-00	Chihanda 11
11-00	Wosena navawana namulonga wawunene anajingolo jakuvangila kumuwana nge anamulonga shimbu kanda vamusopese, kaha atela kulihakwila yavene.
11-01	Kakwechi kukapwa kuwanyina mulonga mutuko mwomwo hakuhona kumuwanyina chihande chamulonga wawunene, kwesekesa najishimbi jamuze mulifuchi chipwe kaye, halwola kana alvulumwine wuze mulonga. Chipwe kakwechi kukahana mulonga wawunene wuze mutuko kuhambakana wuze mulonga avulumine halwola kana lwakavanga.
12-00	Chihanda 12
12-01	Kakwechi kukapwa kuyanjisa mutu kwasekesa namukutwama chenyiko, tanga yenyi, limbo lyenyi, chipwe mukusonejeka chipwe kumusawula. Mutu wosena analusesa lwajingolo lwakumukinga lwalushimbi lwakuhona kumwivwisa woma.
13-00	Chihanda 13
13-00	Mutu wosena analusesa lwakulitambukila nakutwama kala kungalila mukachi kalifuchi lyenyi.
13-01	Mutu analusesa lwakufuma mulifuchi lyosena nazange chipwe mulifuchi lyenyi nakukinduluka cheka muze mulifuchi lyenyi atwama.
14-00	Chihanda 14
14-00	Kala mutu analusesa lwakuzanga kuwahilila muchiyoyelo chenyi mumafuchi eka kuchina kuhona kumusopesa.
14-01	Lusesa kana kalwechi kupwa nge mujila yize nayijila kwesekesa najijila jajipi javihande vyamafuchi chipwe kavetavila kwesekesa navishinganyeka vyakava United Nations.
15-00	Chihanda 15
15-00	Kala mutu analusesa lwakupwa mutu wamulifuchi kana.
15-01	Kakwechi kupwa kukafumisa mutu wuze nalisonekesa nakupwa mutu wamulifuchi kana chipwe kumukanyisa kwalumuna mutu kana kupwa wamulifuchi nazange.
16-00	Chihanda 16
16-00	Malunga namapwevo vanamyaka yakutumo yakusemuka, chakuhona kuvakanyisa mwomwo wamiyachi navikova, mazu akalunga chipwe numba kavafuma mulifuchi kanako, vanalusesa lwakulimbata nakupwa najitanga. Vanalusesa lwakulimbata, mukutwama chavo chosena hakulimbata kaha nomu nawafwa aze malwavo.
16-01	Kulimbata chosena navakachitavisa kwesekesa nakwitavila chavisemi jalunga napwevo vaze vanakuzanga kulimbata.
16-02	Tanga kana navakayikinga kuvyuma vyosena mangana vapwenga vatu vakuliyoyela muchiyoyelo kana chalifuchi.
17-00	Chihanda 17
17-00	Kala mutu analusesa lwakupita wupite wukawenyi kaha numba nakulifutula navakwavo.
17-01	Kakwechi kukapwa kunyanga wupite wamutuko.
18-00	Chihanda 18
18-01	Mutu wosena analusesa lwakulitambukila nakushinganyeka, mukutwama chenyi namumazu akalunga, lusesa kana elu lwakwitavisa wuze mutu kufuma kala muchikungulwilo chamazu akalunga eka nakwingila kweka, chipwe numba wukawenyi numba navakwavo muze mungalila, kuhasa kutwalaho namazu kana nakutangisa namuvilombelo vyenyi.
19-00	Chihanda 19
19-01	Mutu wosena analusesa lwavishinganyeka nakuhajika, lusesa kana lunapu lwakushinganyeka vishinganyeka vyenyi chakuhona kupwa nawoma kaha nakuzanga kutambula nakunangula mazu navishinganyeka kuhichila mukala mazu amijimbu chakuhona veka kumukinga.
20-00	Chihanda 20
20-00	Mutu wosena anajingolo jakuhasa kulikungulula chakuhona woma kaha namumawuka.
20-01	Kakwechi kupwa kushinjila mutu kwingila muchikungulwiloko.
21-00	Chihanda 21
21-00	Mutu wosena analusesa lwakuhanjika vihande mufulumende yalifuchi lyenyi, yikiye chipwe kuhichila muli vatu vasakula navamwimanyinako.
21-01	Kala mutu analusesa lwakupwa hamwe kutachikiza vyuma mumilimo yamulifuchi lyenyi.
21-02	Kuzanga chavatu chikiko nachihasa kuneha jingolo jafulumende jalifuchi lyosena nachipwa chakusweka hakuvwota, chipwe kukavangiza jijila jikwavo jakuvwotelamo.
22-00	Chihanda 22
22-01	Mutu wosena hakupwa wamuchiyoyelo analusesa lwakupwa najijila jimwe jakuhasa kupwa wakilikinga, kupwa nalisesa lwakupwa nawupite mujila yatela lifuchi chipwe kaye yetavila muluheto, mukutwama chavatu hamwe nachisemwa kaha hawulemu nalusesa lwakulizachila lwakutwala milimo kana kulutwe kuli wuze mutu.
23-00	Chihanda 23
23-00	Mutu wosena ali nalusesa lwakuzata milimo kwosena nazange, kukavangiza jijila jamwaza jakuzachilamo yize milimo kaha nakumukinga wuze mutu kuchina mwahona kuwana milimo.
23-01	Kala mutu chakuhona kulihandununa atela kutambula fweto yakutamo.
23-02	Wosena anakuzata analusesa lwakutambula fweto yakutamo kwesekes namilimo anakuzata mwahasa kulikafwa nawo natanga yenyi kwesekesa nachiyoyelo chenyi, chipwe kuwana jijila jikwavo mwahasa kuwanyinamo mali akulikafwa nawo.
23-03	Mutu wosena analusesa lwakuputuka chipwe kwingila muchikungulwilo nachihasa kumuhanjikilako nakumukinga mukuyoya chenyi.
24-00	Chihanda 24
24-01	Mutu wosena analusesa lwakupwa nalwola lwakunoka lwaviseke, kupwa nalwola lwamweseke lwakuzachilamo milimo kaha najilwola nawa jakunoka vatela wuze mutu kumuhana fweto.
25-00	Chihanda 25
25-00	Mutu wosela analusesa lwakupwa nachiyoyelo chakutamo kupwa mutu wamulemu hamwe natanga yenyi mukulya, mukuvwala nakulikangula kumijimba hamwe navyuma vyazangiwa kukuyoya chamutu, lusesa lwakumukafwa halwola mwapwa tuliwe, kashinakaji chipwe mwahona vyuma vyatela kupwa vyakumukafwa mukuyoya chenyi.
25-01	Mapwevo navanyike vavandende vatela kupwa nalusesa lwakuvatala kanawa, kaha mwana wuze nasemukila kweka kechi wamuze muzuvoko vatela kumulama kanawa apwenga nachiyoyelo chamwaza.
26-00	Chihanda 26
26-00	Mutu wosena analusesa lwakutanga. Kutanga chosena chatela kupwa chawana, kufuma kukuputuka nakuheta kwakamwihi nakukukuma chakutanga. Kutanga chakuputukishilako chetala kupwa chawana. Kutanga chakulinangula Milimo nachipwako kaha kutanga chize chakuhambakanyisa nachipwa lika kuvat vosena kwesekesa namangana avovali nawo.
26-01	Kutanga chosena nachipwako kwesekesa namangana amutu mangana apwenga wakulimanyina muchiyoyelo chenyi chajingolo jamutu. Nachinehesa mutu kuhasa kumutwala kulutwe, kumuwanyisa wusepa mukachi kamafuchi, vatu veka naveka mawuka eka avakakwitava, kaha nachitwala milimo yavaka United Nations kulutwe mukuneha kuwunda.
26-02	Visemi vanalisesa lwakusakula shikola muka chipwe kutanga muka anakuzanga chawuze mwanenyi.
27-00	Chihanda 27
27-00	Kala mutu analisesa lwakuhasa kutwala chisemwa kulutwe changalila kana, kuwahilila chavyuma vyachisemwa kaha nakutambasana chisemwa kana nakuwana kuwaha chacho.
27-01	Mutu wosena analusesa lwakukinga chisemwa chenyi, kwesekesa nomu navahasa veka kuhasa kuchalumuna chipwe numba kuchisoneka kwesekesa nomu nachisoneka yavene.
28-00	Chihanda 28
28-01	Mutu wosena wukwechi lusesa muvyuma vyachiyoyelo cheyi omu mukwechi jingolo jajishimbi vanavuluka kwesekesa nalushiko elu vanafwelela.
29-00	Chihanda 29
29-00	Mutu wosena anamulimo mungalila yize anakuyoyela yinakuya kulutwe.
29-01	Mulusesa kana lwachiyulo, mutu wosena mwakapwa nalusesa lwakukavangiza lushimbu kwesekesa najishimbi jize navaketavila nakulilemesa vatu vavene nakupwa nakavumbi muchiyoyelo chavo.
29-02	Lusesa lwajingolo kana eji jakwitavila jachiyulo kanda kala lwola kujisachisa nakuzomboka kwesekesa najishimbi javaka United Nations.
30-00	Chihanda 30
30-01	Kanda kuchifwelela nge echikulikasa kana chalufwelelo chinapandama kulifuchi limwe kahako, liwuka chipwe mutu kala lisesa lwa jingolo mwahasa kulilingila vyuma chipwe chuma echi nachihasa kupihisa jishimbi kana jalusesa vanasonekako.
