00-00	maanavasvatvamula saarvalaukika prakattana
02-00	anuccheedamu 2.
02-01	jaati, varnnamu, limgabheedamu, bhaassa, matamu, raajakiiyaabhipraayabheedamu, raassttriiyamu leeka saamaajikamunagu jananamu, aasti, kuliinata, pratissttha,---ityaadi yetttti vibheedamu gaani paattimpabaddaka,- ii prakattanaloo pomduparrupabaddiyunna svatvasvaatamtryamula kannittikini prati yokariki nadhikaaramu kaladu.
02-02	svatamtramuganu, nyaasamuganu, aasvaayattashaasakaksseetramuganu, leeka, avadhitaadhiraajyamunaku loobaddinadiganu numddu nettttideeshamunaku gaani, raajyaksseetramunaku gaani oka vyakti cemdiyunna kaarannamunubatttti aa deeshamuyokka leeka, aa ksseetramuyokka raajakiiyaadhikaarika amtar raassttriiya pratisstthalaku sambamdhimcina yetttti vibheedamugaani paattimpabaddadu.
03-00	anuccheedamu 3.
03-01	jiivitarakssannaku, sveecchaku, deeharakssaku, prati yokarikini hakku galadu.
04-00	anuccheedamu 4.
04-01	ee vyaktini gaani baanisatanamunakunu daasyamunakunu loonugaavimpaguuddadu. anni vidhamulayina baanisatanamulunu, baanisa vyaapaaramulunu nisseedhimpabaddavalenu.
05-00	anuccheedamu 5.
05-01	ee vyaktinigaani, kruuramu, amaanussamu, nikrssttamu nagu prayoogamunakunu shikssakunu guri ceeyaraadu.
06-00	anuccheedamu 6.
06-01	sarvatra, vidhisamakssamuna noka vyaktigaa amgiikarimpabaddu nadhikaaramu prati yokarikini galadu.
07-00	anuccheedamu 7.
07-01	vidhi samakssamuna nellarunu saamaanulu. mariyu, netttti vibheedamugaani paattimcaka, vidhi yoosagu samaanamagu parirakssannanu pomdu nadhikaaramu ellarakunu galadu. ii prakattananu vyatikramimcu netttti vibheedamunumddigaani, atttti vibheedakaarakamagu nee preerannanumddigaani parirakssimpabaddutta kellarakunu samaanamagu hakku galadu.
08-00	anuccheedamu 8.
08-01	samvidhaanamucee gaani vidhicee gaani yoosagabaddina muulasvatvamulanu vyatikramimcu kaaryamula vissayamuna, samarthamagu raassttriiya nyaayaadhikaranna sabhacee phalapradamagu pratikriyanu pomduttaku, prati vyaktikini hakku galadu.
09-00	anuccheedamu 9.
09-01	ee vyaktinii vidhi viruddhamaina nirbamdhamunakugaani, niroodhamunakugaani, nirvaasamunakugaani loobarupaguuddadu.
10-00	anuccheedamu 10.
10-01	prati vyaktikini, atani svatvamulayookkayu aabhaaramuyokkayu nirnnayamunamdunu, atanipainunna ee doossaaroopannayokka nirnnayamunamdunu, svatamtramu, nisspakssapaatamunagu nyaayaadhikaranna sabha yedutta, nyaayamu, bahiramgamu nagu vicaarannanu pomduttaku samaanamagu samagrasvatvamu kaladu.
11-00	anuccheedamu 11.
11-01	damddaniiyamaina neeramaaroopimpabaddina pratiyookarunu, tana pratirakssaku aavashyakamulagu abhayamula nannittini pomdiyumddi, bahiramga vicaarannaloo vidhinanusarimci doossigaa niruupimpabaddunamtavaraku, nirdoossigaa parigannimpabadduttaku hakkunu kaligiyunnaaru.
11-02	ee kaaryamuyokka aacarannagaani, tadaacarannaloopamugaani, raassttriiyamu leeka amtarraassttriiyamu nagu vidhi nanusarimci damddaniiyamaina neeramugaa, aa neeramu jarigina samayamuna vidhimpabaddiyumddaleedoo, atttti yee neeramunakai gaani, yevarunu damddanaarhulugaa parigannimpabaddakuuddadu. damddaniiyamaina neeramu jarigina samayamuna aa neeramunakai vidhimpabaddina shaastikamttee nadhikamagu shaastini vidhimpakuuddadu.
12-00	anuccheedamu 12.
12-01	aamtaramgika, kuttumba, grha, leekhaavyavahaaramulaloo, vidhi viruddhamayina jookyamunakugaani, gauravapratissthalanu bhamgaparacu pracaaramulakugaani yevarini guriceeyaraadu. atttti jookyamu numddiyu, aa pracaaramula numddiyu vidhi dvaaraa parirakssimpabadduttaku prati yokkarikini hakku galadu.
13-00	anuccheedamu 13.
13-01	prati raajyamu yookkayu haddula loopala sveecchaasamcaaramunakunu, nivaasamunakunu, prati vyaktikini hakku galadu.
13-02	svadeeshamunumddigaani, ee itara deeshamunumddugaani praveeshimcuttakunu, svadeeshamu marali vaccuttakunu prati yokkarikini hakku galadu.
14-00	anuccheedamu 14.
14-01	parapiiddanamunumddi rakssannaashrayamu nanyadeeshamulaloo nanveessimcuttakunu, atttti aashrayamu nanubhavimcuttakunu prati vyaktikini hakku galadu.
14-02	raajakiiyamulugaanatttti neeramula valana yadaarthamuga nutpannamulagu nattttiyu, leeka, ii aikyaraassttrasamiti yokka prayoojanamulakunu suutramulakunu viruddhamulu ayina kaaryamula valana utpannamulagunattttiyu, abhiyoogamula vissayamuloo pai hakkulanu arthimcuttaku viilu leedu.
15-00	anuccheedamu 15
15-01	prati vyaktikini oka raassttriiyataku hakku galadu.
15-02	ee vyaktini gaanii, vidhi viruddhamugaa mariyu, tana raassttriiyatanu maarcukonuttakataniki gala hakkunu leedanakuuddadu.
16-00	anuccheedamu 16.
16-01	yuktavayah paripuurnnulayina striipurussulellarakunu,- jaatiiya raassttriiya mataadika parimitatvamu paattimpa baddaka,- vivaahamulu ceesukonuttakunu, kuttumbasthaapana ceeyuttakunu hakku galadu. vivaaha vissayamunanu, vivaahakaalamunanu, vivaahavishleessa vissayamunanu striipurussulaku samaanamulagu hakkulu galavu.
16-02	uddissttulagu satiipatulu tama sveechchaapuurvaka sampuurnnaamgiikaaramu toddanee vivaaha vidhi prayuktulu gaavalayunu.
16-03	kuttumbamu, samaajamunaku sahajamunu, praatipadikamunagu pramaapakamuulamai yunnadi. kanuka nadi samaajamu ceetanu raajyamu ceetanu parirakssitamaguttaku adhikaaramu kaligiyunnadi.
17-00	anuccheedamu 17.
17-01	svatamtramugagaani, itarulatoo ceerigaani, aastini kaligiyumdduttaku prativyaktikini hakku galadu.
17-02	vidhi viruddhamugaa ee vyaktini gaani aastibhrassttuniga ceeyaraadu.
18-00	anuccheedamu 18.
18-01	prati vyaktikini bhaavasvaatamtrya, amtahkarannasvaatamtrya, matasvaatamtryamulaku hakku galadu. tana matamunu pratyayamunu maarcukonuttayunu, omttariga gaani, saamghikamuga gaani, bahiramgamuganu, aamtaramgikamuganu upadeesha, anusstthaana, aaraadhana, aacarannalacee tana matapratyayamulanu vyaktiikarimcuttayunu, ii hakkuloo nimidiyunnavi.
19-00	anuccheedamu 19.
19-01	prati vyaktikini abhipraayasvaatamtryamunakunu, bhaava prakattana svaatamtryamunakunu, hakku galadu. parula jookyamu leeka, svaabhipraayamunu galigiyumdduttaku svaatamtryamunu, raajyasiimaanirapeekssamugaa, netttti madhyastha maargamunanaina samaacaara, samsuucanalanu anveessimcuttaku, pomduttaku, upapaadimcuttaku, svaatamtryamunu ii hakkuloo nimidiyunnavi.
20-00	anuccheedamu 20.
20-01	prati vyaktikini shaamtiyuta samaaveeshamunaku, saahacaryamunaku hakku galadu.
20-02	evvarinigaani, oka samaajamunaku ceeriyumddavalenani nirbamdhimpaguuddadu.
21-00	anuccheedamu 21.
21-01	prati vyaktikini, svayamugaa gaani, sveecchagaa ennukonabaddina pratinidhula dvaaraa gaani, tana deesha prashaasanamunamdu paalgonuttaku hakku galadu.
21-02	prati vyaktikini tana deeshamunamdali lookaseevalaloo samaana praveeshaadhikaaramu galadu.
21-03	prabhutvaadhikaaramunaku prajala samkalpa shaktiyee aadhaaramai yumddavalenu. saarvajaniinamu samaana mataadhikaarayutamunagu, niyatakaalika yathaartha nirvaacanalaloo prajala samkalpamu suvyaktamu kaavalenu. ii nirvaacana, guuddhashalaakaapaddhati nanusarimci gaani, tatsamaanamayina sveecchaa matadaanaprakriyananusarimci gaani, jarugavalenu.
22-00	anuccheedamu 22.
22-01	samghamunamdali sabhyuddugaa, prati vyaktikini saamaajika rakssaku hakku galadu. raassttriiya prayatna, amtar raassttriiya sahakaaramula dvaaraa, prati raajyamuyokkayu vyavasthaapanaa saadhana saamagri nanusarimci, tana pratipattikini tana vyaktitvamuyokka sveecchaabhivrddhikini atyaavashyakamulayina, aarthika , saamghika, saamskrtika svatvamula sampaadanaku ataniki adhikaaramu galadu.
23-00	anuccheedamu 23.
23-01	panikini udyoogamu pemcukonuttaloo sveecchakunu, pani vissayamuna nyaayamu nanukuulamunagu paristhitulakunu, nirudyoogamunumddi parirakssimpabadduttakunu, prati vyaktikini hakku galadu.
23-02	samaana kaarya nirvahannamunaku, samaana veetanamunu, vibheeda rahitamuga, pomduttaku prati vyaktiki nadhikaaramu galadu.
23-03	maanava pratipattiki arhamagu jiivanamunu tanakunu tana kuttumbamunakunu sunishcitamu ceeyunattttidiyunu, aavashyakamayinacoo saamaajika parirakssaa saadhanaamtaramulacee paripuurtini pomdinattttidiyu, nyaayamu nanukuulamunayinadiyunagu, paaritoossikamunu pomduttaku pani ceeyu prati vyaktikini hakku galadu.
23-04	prati yokarikini, sviiya hita rakssannaarthamu vyaapaara samghamulanu guurcuttakunu, vaaniloo ceeruttakunu hakku galadu.
24-00	anuccheedamu 24.
24-01	pani kaalamu yokka yuktaparimitatvamunakunu, veetana sahitamulagu niyatakaalikamulayina selavu dinamulakunu, vishraamti viraamamulakunu, prati vyaktikini hakku galadu.
25-00	anuccheedamu 25.
25-01	aahaara, vastra, aavaasasthala, vaidyoopacaara, aavashyaka saamghika paricaryalatoo guuddinattttidiyu, tanayookkayu tanakuttumbamuyokkayu aaroogyamunakunu svaasthyamunakunu paryaaptamagunadiyunagu, jiivanapramaannamunakunu, prati vyaktikini hakku galadu. mariyu nirudyooga, rugmataa, asamarthataa, vaidhavya, vaardhakyamulanumddiyu, leeka tana vashamunakatiitamulayina samdarbhamulamdu galugu jiivika loopamunumddiyu, rakssanu pomduttaku, prati vyaktikini hakku galadu.
25-02	vishisstta upacaara sahaayamulanu pomduttaku, maatrtva shaishavamulaku adhikaaramu galadu. vaivaahika sambamdhamuna janimcina vaarainanu, tadanyamuga janimcinavaarainanu, shishuvulu ellarunu samaanamayina saamaajika parirakssanna nanubhavimturu.
26-00	anuccheedamu 26.
26-01	prati vyaktikini vidyaku hakku unnadi. praathamika praatipadika dashala yamdainanu vidya shulka rahitamai yumddavalayunu, praathamika vidya nirbamdhamu gaavalenu. yoogyata nanusarimci, yellarakunu paaribhaassika vrtti vidyalu, saadhaarannamugaa, nupalabhyamuluganu, mariyu, nunnata vidya, samaanamuga nellarakunu, sugamamuganu ceeyabaddavalayunu.
26-02	maanava vyaktitva samagra-abhivrddhikini, maanava svatva praatipadika svatamtrataa vissayika gauravamunu drddhaparacuttakunu, vidyanu pravartimpa jeeyavalayunu, anni raassttramulakunu, jaati, leeka mata sambamdhamayina vargamulakunu madhya, samyagbhaava, sahana, sauhaardabhaavamulanu, pempomdimcavalayunu. mariyu, shaamti samrakssannakai aikyaraassttramula kaaryakalaapamunu carimpajeeyavalayunu.
26-03	tama biddddalaku ee vidhamagu vidya avasaramoo nirnnayimcukonu praagadhikaaramu tallitamddrulaku galadu.
27-00	anuccheedamu 27.
27-01	samaajamuyokka saamskrtikajiivitamunamdu sveecchagaa paalgonuttakunu, kallaa vissayikaanamdamu nanubhavimcuttakunu, shaastra pragamanamulamdunu, tatphalitamulamdunu sahabhaagi yaguttakunu, prati vyaktikini hakku galadu.
27-02	tana kartrtvamucee samutpannamulayina shaastra, saarasvata, kallaa, racanala valana siddhimcina naitika-aarthika laabhamulanu rakssimcukonuttaku prati yokarikini hakku galadu.
28-00	anuccheedamu 28.
28-01	ii prakattana yamdu pomduparupabaddiyunna svatva svaatamtryamulu sampuurnnamugaa siddhimpagala oka saamghika amtar -raassttriiyavyavasthaku, prati vyaktiki nadhikaaramu galadu.
29-00	anuccheedamu 29.
29-01	samaajamunamdu maatramee maanava vyaktitvamu sveecchagaa, sampuurnna vikaasamu nomduttaku avakaashamu galadu. kanuka, samaajamu nedda pratiyokarunu nirvahimpavalasina kartavyamulu galavu.
29-02	tama svatvamulanu, svaatamtryamulanu, prayoogimcuttaloo pratiyokarunu, itarula svatva svaatamtryamula yedda arhaamgiikaaragauravamulanu surakssitaparucu nuddeeshamutoonu, mariyu, prajaasvaamika samaajamunamdu niiti, saamaajika vyavastha, saarvajanikasvaasthyamulaku, nyaayamuga avasaramulagu vaanini kuurcu nuddeeshamutoonu maatramee, vidhicee nishcayimpabaddinatttti nibamdhanalaku maatramee aadhiinulayiyumduru.
29-03	ii svatvamulu, svaatamtryamulu, aikya raassttramula aashayamulakunu niyamamulakunu viruddhamugaa nennaddunu brayuktamulu gaaraadu.
30-00	anuccheedamu 30.
30-01	ii prakattanaloo pomduparupabaddiyunna ee svatva svaatamtryamulanainanu naashamu ceeyuttakuddissttamagu netttti kaaryamunayina naacarimcuttakugaani, atttti kaaryaacarannamuna pravartimcuttaku gaani, ee raajyamunakainanu, leeka vargamunakainanu, vyaktikainanu, adhikaaramu kaligimcunadiga vivakssitamayiyunnattlugaa, ii prakattanamu namdunna deenikini vyaakhyaanamu ceeyakuuddadu.
