00-00	Munextia muchi ipal ne tehtechan tay tupal
27-01	Muchi tehemet tiwelit tikchiwat tay gichiwa ne techan tagamet, pal welit mu yulqesuwat tay yehemet welit gichiwat, wan weli nemit ne ga gimati ina tay gichiwa wan tay gimaga ipatiw tay yaha gichiwtuk.
27-02	Muchi tehemet tiwelit tigitat su yek u te, tay tehemet tikchiwtiwit, tay yaha ipal pal yaha gichiwtuk tik ne tay tesu aga gimati, tawawasua wan tilqilua, mihtutia, gixpiza.
28-00	Pewa ina se pual chiqey (28)
28-01	Muchi tehemet tiwelit tiktahtamit ma gichiwagan tay inatiwit ga giawi gichiwat tay tupal tamagixti tay inextiwit tik tay inatiwit ma gichiwagan pal te naga maya tik amat.
29-00	Pewa ina se pual chiknawi (29)
29-01	Muchi tehemet tiwelit tikchiwat tay ipal ne techan ga maya ipal yaha weli gichiwa tay yaha weli gamumaxtihtuk.
29-02	Tik ta yaha gichiwa pal te aga gilwia datka, muchi tehemet weli nemi tay gilwiat chupi ta ina ne tanawatiani, wan pal maya gita ga ta yaha ipal wan tamagixti ipal muchi wan mumati yek tay gilwiat ma gichiwa ipampa uk seyuk, tay yek tatuktiat, tay yek, ne tatuknianit pal muchi wan pal nemi yek muchi tik se gan tinemit gan tesu aga techilwiat datka.
29-03	Ini tay tupal wan tamagixti tesu weli qak tesu tiknegit qak te tiknegit tay su tiawit tinat tay tesu yek pal ne sen talmet.
30-00	Pewa ina se pual mahtati (30)
30-01	Tesu datka tay ginechtiwit welit inat tesu welit gimatit gen gimaga ta ipal pal se gan musempuzuat u pal ne techan, pal pewat gichiwat u gichiwat tay pal gitahtani tay tesu ginegi gikchiwat pal ne tay inatiwit tigini tay ginechtiwit.
