00-00	<<ghad bob did doub nangd renl njanl xand yanl>>
04-01	Jex gangs geud jid leb chud noul lil, jex gangs mex jid guant nis ghob nhangb nangd noul lil zhib doub, jex gangs nious gaot mes noul lil.
05-00	did blab qaox
05-01	Jex gangs yongb kub xinl, yongb jid nanx neas nangd gaot jex mex renl daob nangd, wud roul nangd deb yub gaot xinl fal.
06-00	did zhaut qaox
06-01	Jex guant nib did dob, leb leb mex njanl lib gangs nex chenl renb wud nib fal lil geud neul nangd renl gail.
07-00	did jongs qaox
07-01	Nib fal lil geud neul leb leb nis ad sheit nangd, mex njanl lib jid daot fal lil nangd pinx dent paot hub, jex zhaos nex end jex niangs. Leb leb mex njanl lib jid daot pinx dent paot hub, ghad mangs zhaos ad gaod end jid daot niangs nex nangd nex nangd jid heab.
08-00	did yil qaox
08-01	Ad leb nex, xanb fal gaot fal lil gangs wud nangd jid benx. njanl lib zhaos nex qinb heib nangd ghox ngangx, mex njanl lib gangs hol gel nangd guel. giad fal tinl deib ad baob had loub nend chud mex xaob guox nangd but gioub.
09-00	did jox qaox
09-01	Jex guant nis jid leb sat jex gangs chud ad baob jid noul, jid keb gaot jid choud nex jid sheb nangd sib.
10-00	did gul qaox
10-01	Leb leb ad sheib nangd mex njanl lib gangs ad leb doul lil nangd, jex mex piand send nangd fal tinl chud max danx nangd gaot gongd kaid nangd xent xunb, lol jid danb wud nangd njanl lib nhangs nib wub, jid danb wud pud nangd yad yad nangd xinl sib zhit kongb.
11-00	did gul ad qaox
11-00	Zhaos xinl sib zhit kongb nangd nex, jid xiangd jid danb wud mex zeib nangd ghob ngangx, wud nis jex nex zeib nangd.
11-01	Ad leb nex chud ghob nbangb jex chud ghob nhangb, nganb guel giad nangd gaot guel jil nangd fal lil sat jex mex dianx zeib nangd ghob ngangx, jex gangs jid danb wud nis mex zeib nangd. Xinl fal jex gangs bit fal lil jid sheit nangd ghad hend.
12-00	did gul oub qaox
12-01	Leb leb nangd sid shend hol, jib bloud gaot tongd senb, jex gangs zhaos ghob nhangb gand sheb,wud nangd rongl yil gaot minl yil jex gangs zhaos gongd jil. Leb leb mex njanl lib jid daot fal lil nangd paot hub, lol jex zhaos ad baob sib qinx nend.
13-00	dib gul bub qaox
13-00	Leb leb nib wud nangd guel giad goud nhangs mex njanl lib jid youx wud yanb nib did jongt.
13-01	Leb leb mex njanl lib jid sheub blongl wud nangd guel giad, wud yab mex njanl lib jid nzhangd lol.
14-00	did gul bleib qaox
14-00	Leb leb mex njanl lib nib nex nangd guel giad jid chat paot hub ghad mangs zhaos jid heab.
14-01	Jex mex nis zhenb zhib nangd zeib,gaot weib beib jul lianl hol guel nangd zongd zid nhangs yanl zel nangd had loul, jex gangs yongb ad zhongx njanl lib nend.
15-00	did gul blab qaox
15-00	Leb leb mex njanl lib mex guel jil.
15-01	Jex gangs jid tout nex nangd guel jil, jex gangs jid kat nex jid lieas guel jil nangd njanl lib.
16-00	dib gul zhaot qaox
16-00	Deb mpad deb nit liox jul, jex guant nis ghob nhangb zongx cul, guel jil gaot jid senb ghob nhangbghunb,wud deit mex njanl lib jid janx bod oud lanl. Jex guant nis dangl qub nhangs lib fend, wud deit mex ad sheit nangd njanl lib.
16-01	Dangl qub lies ghob mpad ghob nit oub leb yad yad ndongx yil.
16-02	Jid bloud nis shend chenx nangd gaot jid benx nangd sheb huib dand yanl,lies mex sheb huib gaot guel gial nangd paot hub.
17-00	did gul jongs qaox
17-00	Leb leb mex njanl lib mex bad dud nangd mis gul mis gians gaot nhangs nex ad goud nangd mis gul mis gians.
17-01	Jex gangs jid ghueut nex nangd mis gul mis gians.
18-00	did gul yil qaox
18-01	Leb leb mex jid nbanx, jid khub gaot jid senb ghunb nangd njanl lib, wud jid lieas wud nangd ghunb seat chud dut. Wud mex leb dud, dab xib , gongd kaid nangd gaot jex gangs nex jid nianl nangd biaox shib wud nangd zongd giob nangd zib youl.
19-00	did gul jox qaox
19-01	Leb leb mex pud dut nangd zib youl, ad zhongd njanl lib nend baod guad mex bad dud nangd zhux zhangd yab jex zhaos jid cot nangd zib youl, yab baod guad zhad mil shib mil yangb nangd meil geib jid chat gaot giel shaob xaod xid nhangs sid xiangt nangd zib youl.
20-00	dib oub gul qaox
20-00	Leb leb mex zib youl nhangs nex jid zeix gaot giel sheb.
20-01	Jex gangs jid nanx nex cand giad tanl tix.
21-00	dib oub gul ad qaox
21-00	Leb leb mex njanl lib jid dant mongl gaot gangs nex qit wud mongl zhib lix bad dud nangd guel giad.
21-01	Leb leb mex njanl lib ad sheit nangd cand giad bad dud guel giad nangd gongd wub.
21-02	Renl minl nangd yib zhib nis zhenb hut njanl lib nangd ghob jongx bid gaod, ad baob yib zhib nend lies zhad xanx jux lol biaox xanb, leb leb lies mex ad sheit nangd toul piaob nangd njanl lib, toul piaob lies ghad mangs nib leut geul sheit nhut.
22-00	dib oub gul oub qaox
22-01	Leb leb mex njanl lib jid daot sheb huib nangd jid heut, mex njanl lib jid daot wud fal zanx wud bad dud nangd zend yanl gaot renl gail nangd ghob ngangx lies nangd jind jid, sheb huib gaot wenl huab nangd njanl lib.
23-00	dib oub gul bub qaox
23-00	Leb leb mex njanl lib chud dongb, jid xant goud dongb , jid daot gongd zhenb gaot hox shib nangd goud dongb nangd qaox njanb lies mex jex zhad goud dongb nangd baot zhangb.
23-01	Chud ad sheit nangd goud dongb, lies mex ad sheit hliob nangd jid dangt.
23-02	Chud dongb nangd nex, lies daot hox shib nangd jid dangt, lies gangs wud bad dud nhangs wud jib bloud nangd nex mex max raot nangd qaox njanb.
23-03	Jid weib bad dud nangd lib yib, leb leb mex njanl lib jid zeud gaot cand giad gongd huib.
24-00	did oub gul bleib qaox
24-01	Leb leb mex njanl lib Jid xaot, chud dongb nangd ghob ngangx, lies mex gangs jib dangt nangd giat qid.
25-00	dib oub gul blab qaox
25-00	Leb leb mex njanl lib daot weib wud bad dud gaot wud jib bloud nangd nex nangd shend hol sheix zhent, ad baob nend baod gual mex max nongx , max hnend, bloud, ngab, gaot sheb huib ful.wub. Jex mex goud dongb jul, daot mongb jul, chud jex daot goud dongb jul, daot mongb jul, das bod jul, ghot jul, deit lies mex njanl lib daot paot zhangb.
25-01	Ned nhangs deb mex njanl lib jid daot ghad ceat nangd zhaob gub. Yad yab nangd deb deb, jex guant nis janx bloud goud zheit bix nangd heab deit nis janx bloud goud neul bix nangd, deit lies jid daot ad sheit nangd sheib huib paot hub.
26-00	dib oub gul zhaot qaox
26-00	Leb leb lies mex zhaos jid sheab nangd njanl lib, ngoub ndeud lies jex xoud jid dangt, zhib shaot nib cud jil nangd ghob ngangx lies nangd nangd chud. Jib shub nhangs zil niel nangd jaob youl lies jid liob, gaod denx jaob youl lies jid nkhed chenl jil deib leb leb ad sheit nangd ked fangb.
26-01	Jaob youl nis jid weib fal zhanx nex nangd gaob xinb, end jid niangs renl njanl nhangs zib youl. Jaob youl lies jid gangs leb leb guel giad, minl cul gaot jex jid ndongx ghunb nangd nex lol jid nianl , jid rut, jid heut lianl hol guel chud rut goud dongb.
26-02	Ned mat deib deb deb nangd jaob youl nangd zhongt leib, mex ghaox doub jid sant nangd njanl lib.
27-00	dib oub gul jongs qaox
27-00	Leb leb mex njanl lib cand giad shed huib nangd wenl huab send hox, jid daot kod xol nhangs wud canx send nangd hot chub.
27-01	Ad leb nex wud chud nangd kod xol, wenl xol nhangs meis shub cant send nangd jind senx nangd nhangs wul zil nangd lib yib, mex njanl lib jid daot baot hub.
28-00	dib oub gul yil qaox
28-01	Leb leb mex njanl lib lies ad zhongx sheib huib nangd gaot guel jil nangd zhib xub, mex ad zhongx zhib xub nend, ad leb xand yanl nend jid pud nangd njanl lib gaot zib youl del jid daot jul.
29-00	dib oub gul jox qaox
29-00	Leb leb lies jid heut sheb huib chud geud dongb, neax nis nib sheib huib dad nzhongb wud nangd gaob xinb chead kox nenb zib youl fal canx.
29-01	Ad leb nex nib xinl six wud nangd njanl lib nbangs zib youl nangd ghob ngangx, mex fal lil lol xanb zib wud, ad zhongx xanb zib nend nis jid weib goud neul goud zheit nangd nex nangd njanl lib nhangs zib youl, yeab nis nib ad leb minl zhut nangd sheb huib dad nzhongb nangd xid yaob.
29-02	Nib jid chud ad baob njanl lib nhangs zib youl nend, jex guant mex ghob nhangb qenx kuangb, seat jex gangs weix beib lanl hol guel nangd zongd zix nhangs yanl zel.
30-00	did bub gul qaox
30-01	Ad leb xand yanl nend nangd yad yad nangd qaox wenl, jex gangs jid pud nis gangs ad leb guel giad did, ad leb jil tanl did gaot ad leb nex did mex njanl lib jid chud ad boab hol dongb, lol jid bab ad leb xand yanl nend jid pud nangd njanl lib nhangs zib youl nangd.
