00-00	7IBIMENYESHEJWE N'AMAKUNGU KU NGINGO ZUBAHIRIZA ZINA MUNTU WESE
07-01	Abantu bose barangana imbere y'amategeko kandi bategerezwa kwubahirizwa kimwe kugirango ntihagire uwurengnwa canke ngo ahirahire atume hari uwurenga izi ngingo zimenyeshejwe.
08-00	Ingingo ya 8.
08-01	Iyo hari uwurenganijwe mu ngingo ngenderwako zimwubahiriza nk'uko bitegekanijwe mw'ibwirizwa nshingiro canke mu mategeko y'igihugu, umuntu wese arashobora kwitwara imbere y'amasentare yose abifitiye ububasha kandi akumvirwa.
09-00	Ingingo ya 9.
09-01	Nta muntu n'umwe ashobora gufatwa, gutabwa mw'ibohero canke kwangazwa bidaciye mu mategeko.
10-00	Ingingo ya 10.
10-01	Umuntu wese arashobora gusaba ko urubanza rwiwe ruja imbere ya sentare itagira aho yegamiye kandi itaraba nkunzi, izoheza igatomora ari ingingo zimwubahiriza n'ivyajejwe, canke ko ivyo yagirizwa hari aho bifatiye.
11-00	Ingingo ya 11
11-01	Umuntu wese yagirizwa icaha abameze nkuwuhorwa ubusa gushika bakimwemeje mu rubanza ruciwe icese kandi yarekuriwe kwiburanira uko bikwiye.
11-02	Nta muntu n'umwe ashobora guhanirwa ivyo yakoze canke atakoze kandi bitari ivyaha igihe yabikora canke atabikora hishimikijwe amategeko y'ubutungane akurikizwa mu gihugu arimwo canke mu makungu. Vyongeye, nta gihano kiruta icari gutangwa igihe icaha cakorwa kizotangwa.
12-00	Ingingo ya 12.
12-01	Bidaciye mu mategeko, nta muntu n'umwe azoterwa mu vyerekeye ubuzima bwiwe, umuryango wiwe, urugo rwiwe canke kwaburirwa amakete arungika canke aronka, canke ngo artyozwe mw'iteka n'akabanga vyiwe. Hategerezwa kuba amategeko yubahiriza umuntu wese muri ubwo buryo.
13-00	Ingingo ya 13.
13-01	Umuntu wese ashobora kugenda aho ashatse kandi agashinga urugo aho ashimye mu gihugu.
13-02	Umuntu wese ararekuriwe kuva mu gihugu ico ari co cose, na rwiwe ndetse, akagaruka mu gihugu c'amavukiro.
14-00	Ingingo ya 14.
14-01	Umuntu wese, igihe acurwa bufuni na buhoro, ararekuriwe kwaka agatako akaronka indaro mu bindi bihugu.
14-02	Ariko iyi ngingo ntishobora kuba icitwazo iyo umuntu akwirikiranwa bikwiye ku kibi yakoze canke yigenjeje kubiri n'imigambi n'ingingo vy'Ishirahamwe Mupuzamakungu.
15-00	Ingingo ya 15.
15-01	Umuntu wese ategerezwa kugira igihugu akukira.
15-02	Nta muntu n'umwe ashobora kwonkorwa ku gihugu akukira canke ngo yamburwe ububasha bw'uguhindura igihugu ashaka gukukira, bidaciye mu mategeko.
16-00	Ingingo ya 16.
16-01	Kuva bageze mu bigero, umuhungu n'umukobwa barashobora kwabirana bagashinga urwabo, ata ntambamyi n'imwe yerekeye ubwoko, amamuko canke idini. Barangana kuvyerekeye ukwabirana, igihe bubatse n'igihe batandukanye.
16-02	Abashaka kwabirana bategerezwa kumvyumvikanamwo ubwabo ata gahato.
16-03	Umuryango ni wo nkomoko y'abantu n'inkingi y'abanyagihugu. Utegerezwa gukingirwa n'abantu be n'igihugu.
17-00	Ingingo ya 17.
17-01	Umuntu wese aba wenyene canke afatanije n'abandi arashobora kwitungira ivyiwe.
17-02	Nta n'umwe ashobora kunyagwa ivyo yitungiye bidaciye mu mategeko.
18-00	Ingingo ya 18.
18-01	Umuntu wese arashobora kugira ivyiyumviro vyiwe n'ugukwirikira idini ashatse n'ukuvuga rero ko ashobora kuja mu rindi dini n'ukwemera ibindi agashobora n'ugukwirikiza idini ashimye n'ivyo nyene yemera, ari wenyene canke afadikanije n'abandi, iwe canke icese, mu kuvyigisha, mu kubigendera icese, mu gusenga no mu gukwirikiza ibindi bijana na vyo.
19-00	Ingingo ya 19.
19-01	Umuntu wese arashobora guserura ivyiyumviro vyiwe, n'ukuvuga ko adashobora kugira umutima uhagaze kuvyerekeye ivyiyumviro vyiwe, ko ashobora kurondera, kuronka n'ukumenyesha amakuru n'ivyiyumviro mu mihingo yose, mu buryo ubwo ari bwo bwose.
20-00	Ingingo ya 20.
20-01	Umuntu wese arashobora kugira inama hamwe n'abandi, n'ugushinga amashirahamwe, ariko bidahungabanya amahoro.
20-02	Nta n'umwe ategetswe kuja mw'ishirahamwe ku gahato.
21-00	Ingingo ya 21
21-01	Umuntu wese arafise ijambo mu ntwaro y'igihugu ciwe, akabigira yiserukiye wenyene canke abicishije kubamuserukira batowe ata gahato.
21-02	Umuntu arashobora, hatarabwe nkunzi, gushingwa amabanga mu ntwaro y'igihugu ciwe.
21-03	Ishaka ry'abanyagihugu ni ryo ritegerezwa kuba ishingiro ry'ububasha bwabarongora igihugu, iryo shaka ritegerezwa kugararagarizwa mw'itora nyakuri ritegerezwa kwama riringanizwa uko ikiringo cashinzwe kigeze atawukumiriwe, biherereye canke bakwirikije ubundi buryo butuma batora uko bavyipfuza.
22-00	Ingingo ya 22.
22-01	Umuntu wese ategerezwa gukingirwa. Ategerezwa gushimishwa mu vyerekeye ubutunzi, imibano n'imico kama, ivyo bikaba ari vyo shimikiro ry'agateka n'iterambere ryiwe, bivuye ku mwete w'igihugu no kugufashanya kw'amakungu bigashimikira kw'itunganywa n'amatungo vy'igihugu kimwe kimwe.
23-00	Ingingo ya 23.
23-01	Umuntu wese ategerezwa kuronka akazi, gukora akazi ashatse we nyene, gukora mu buryo buzira akarenganyo kandi nyabwo.
23-02	Abantu bose bakoze bimwe bategerezwa kuronka agahembo kamwe ata nkunzi.
23-03	Umukozi wese ategerezwa kuronka agahembo gakwiranye n'imirimo arangura kandi nyako, komutunga we n'abiwe bakibeshaho mw'iteka, kakongezwa, mbere bishobotse bakamuha n'utundi tujana n'amategeko amwubahiriza.
23-04	Umuntu wese arashobora kwiyungunganya n'abandi kugira bashinge amashirahamwe y'abakozi. Arashobora kandi kuba umunywanyi wayo kugira aharanire ineza yiwe.
24-00	Ingingo ya 24.
24-01	Umuntu wese akeneye kuruhuka n'ivyo vyose bimuruhurira, ntakore ikiringo c'umurengera, akama aronka akaruhuko kandi akaguma ahembwa.
25-00	Ingingo ya 25.
25-01	Umuntu wese ategerezwa kuronka ibikwiye bimufasha kubungabunga neza amagara yiwe n'ay'umuryango, mu ngaburo, mu vyambarwa, mu buraro, mu kwivuza n'ibindi nkenerwa ku muntu; ategerezwa kubungabungwa mu gihe atagira akazi, arwaye, amugaye, apfakaye, mu gihe atagishobora gukora kubera ubusaza, no mu bindi bihe atagishobora gukora kubera ubusaza, no mu bindi bihe atagishobora kwitunga kandi bitamuturutseko.
25-02	Umuvyeyi yibarutse n'umwana bategerezwa kwitabwaho kurushiriza. Abana bose bavutse ku babiranye canke kubatabiranye bategerzwa kwitabwaho kimwe.
26-00	Ingingo ya 26.
26-01	Umuntu wese akwiye kuronka inyigisho ataco atanze, cane cane mu y'intango ari yo ngenderwako. Inyigisho y'intango itegerezwa gutangwa vyanse bikunze. Inyigisho yerekeye ubuhinga n'imyuga itegerezwa gukwizwa hose, inyigisho yo mu mashule yisumbuye itegerezwa guhabwa ababishoboye bose, ata nkunzi.
26-02	Intambwe inyigisho itegerezwa kwitwararika gushikako n'uko zina muntu ashikira iterambere nyakuri n'uko ingingo zimwubahiriza zirushirizaho kwubahirizwa. Itegerezwa gufasha amakungu yose amoko n'amadini yose kwumbikana, kwihanganiranira n'ugucudika, ikongera igafasha Ishirahamwe Mpuzamakungu mu vyo irangura kugirango ibungabunge amahoro.
26-03	Abavyeyi ni bo bategerezwa kwitorera indero abana babo bakwiye kuronka.
27-00	Ingingo ya 27
27-01	Umuntu wese arashobora gukwirikirana ata nkomanzi ivyerekeye imico n'utugenegene vy'aho aba be no guteza imbere ubuhinga akagira n'ico avyungukako.
27-02	2. Umuntu wese ategerezwa kwubahirizwa kavyavuye mu bwenge bwiwe ari ivy'ubuhinga, ibitabu yanditse canke ivy'utugenegene.
28-00	Ingingo ya 28
28-01	Umuntu wese arakeneye ko mu gihugu abamwo no mu makungu hasasagara amahoro kugirango ingingo zubahiriza zina muntu wese zitegekanijwe mu bimenyeshejwe zubahirizwe hose.
29-00	Ingingo ya 29.
29-01	Umuntu wese ari n'ivyo ajejwe aho aba, ari naho honyene ashobora gushikira iterambere nyakuri yipfuza.
29-02	Nta muntu n'umwe ashobora kwitwaza ingingo zimwubahirirza mu gihe ashaka kurenganya abandi, gurtyoza imigenzo mwiza, kudurumbanya umutekano n'ineza biranga intwaro rusangi.
29-03	Izo ngingo zubahiriza zina muntu wese ntizishobora gukwirikizwa mu buryo budurumbanya imigambi n'ingingo vy'Ishirahamwe Mpuzamakungu.
30-00	Ingingo ya 30.
30-01	Nta ngingo n'imwe y'ibi bimenyeshejwe ishobora gufatwako icitwazo n'igihugu, umurwi w'abantu canke umuntu mugukora ibisambura izi ngingo zubahiriza zina muntu wese.
