00-00	LLAJTANCHEJNINTINPAJ QHELQESQA TUKUY RUNAJPA ATIYNINKUTA SUT'INCHASPA
20-00	Pillapis atiyniyoj runa masisninwan khuska tantakuypi kananpaj, paykunawantajri, sumaj kawsaypaj kanqa chayqa, ujllachakuyta.
20-01	Mana pipis kallparparisqachu kanqa, mayqen runa qollumantapis ujnin kaj kananpajqa.
21-00	Iskay chunka ujniyoj kaj rimay (21)
21-00	Mayqen llajtayojllapis atiyniyoj llajtanta cheqa yanninta puriysichinanpaj, pay kikin kamachispa chayri munayninmanta chijllasqa llajta masisninnejta.
21-01	Pillapis atiyniyoj, kikin derechosllawantaj, llajtanpa llajta kamachis qotuman yaykunanpaj.
21-02	Llajta masikunaj munayninkuqa, tukuynin aylluspata sapin kasqanrayku, chay munayqa mana imaynapi kallpasqachu nitaj jark'asqachu kanqa, llajta masikuna mana manchikuyniyojta, walej kasqallanta qhawaspataj apusninta chijllanankupaj, chay chijllasqa runa llajtanku ukhupi, leyes rimasqanman jina kamachinankupaj. Kay elecciones sutiyojqa, sapa llajta kamachista chijllarina mit'a chayamujtillan ruakunan tian.
22-00	Iskay chunka iskayniyoj kaj rimay (22)
22-01	Pillapis, llajta masisnin qotumanta ujnin kasqanrayku, atiynin tial llajtanpi qhawaykachayta tukuy ima walej kananpaj jina, puriytataj yacharinankama imawanchus, imaynatachus, payllamantachus chayri waj laajtaswan yanapachikuspachus llajtan kawsasqanta, chaykunata unanchaspa, allin kayta ruaspataj tukuy imapi kikin llajta masi astawan astawan runayayta atinanpaj.
23-00	Iskay chunka kinsayoj kaj rimay (23)
23-00	Tukuy runaspata atiynin tian munasqanman jina llank'ananpaj, maynejllapipis llank'aspa kaswayninta mask'ananpaj, llank'aspallapunitaj kawsakuyman; chay llank'asqanmantatajri yupachikuyta, llank'ay patapitaj wasinpitaj runa jina kawsakuyta atinanpaj.
23-01	Ujkunawan khuska llank'ay patapi ruasqanmantaqa, pillapis a tiyniyoj kikin lllank'asqanmatna, ujkuna jap'isqankuman jina kikillantataj yupachikunanpaj.
23-02	Mayqen llank'aj runallapis llank'asqanmanta walej sonqochasqa kanan tian, paytaj yawar masisnintaj p'unchaymanta p'unchay runayaspallapuni kawsakunankupaj jina.
23-03	Pillapis atiyniyoj, ima sajra kaymantapis jark'arikunanpaj, uj sindicatupi apuntachikuspa chay sindicatumanta ujnin kananpaj, chayri munaspa pay kikin uj sindicatuta rikhurichispa.
24-00	Iskay chunka tawayoj kay rimay (24)
24-01	Mana ujllachu, tukuy atiyniyoj kanku samarinkunankupaj samarikusaspataj munaynillanku ruasqa kunanpaj, na ruanasninta junt'aykuspaqa pillapis atiyniyoj mana munanpaj, ruasqan patapi asllawan unayta llank'anallantapuni munanqanku chayqa. Watapi uj kuti samarikuy mit'a kanqapuni, chay samarikuy mit'amantapis llank'aj runa qolqeta jap'inapuri tian, samarikuy mit'atinta lllank'anmanpis karqa jina.
25-00	Iskay chunka phishqayoj kaj rimay (25)
25-00	Pillapis atiyniyoj, allin kay kawsay patapi tiakuyta munananpaj llawar masisninwan khuska, mana imamanta usurispalla runa jina kawsakuyta atinanpaj, mana mikhunamanta, mana piachamanta nillataj jampichikuymanta; kikin atiyniyojllataj llajtanpa Seguro Social nisqawan yanapachikunanpaj, mana paypaj ima ruanapis kasqanraykuchus, onqorparisqanraykuchus, manana llank'ananpaj jina qheparparikusqanraykuchus, imanta k'irikusqanraykuchus, warmi mana qosayoj qharichus mana warmiyoj qhepakusqankurayku, icha machuyarparisqanrayku chaychus mana paymantapuni kapuyninta runa jina kawsakunanpaj jina chinkachisqanraykuchus manana llank'ayta atinqa chayqa.
25-01	Onqoj warmikunawan, wawatana uywasanku warmikunawan, tukuy wawaswan imaqa, atiyniyoj kanku may chhika sumaj qhawasqa kanankupaj, tukuy ima rijch'aj millay sajrakunamantataj jark'asqa kanankupaj. Wawaspis tukuy atiyniyoj kanku, k'ipa wawasnintin rejsisqa tatasniyoj wawasnintin, tukuypuni atiyniyoj kanku llajtanku ukhupi tiakujkunawan yanapachikunankupaj.
26-00	Iskay chunka sojtayoj kaj rimay (26)
26-00	Tukuypata atiynin tian uj yachay wasipi kaspa runayanankama yachakunanpaj. Pillapis qhasilla, mana uj phatata manarispalla yachachinanku leeytawan qhelqeytawan yupaytawan yachakunankukamallapis. Kay nisqataqa mana ujniyoj qhatinanku tian. Instruccion tecnica y profesional castellani simipi sutiyojqa tukuy taripanankupaj jina kanan tian. Aswan yachayniyoj kayta munajkunapajqa jatun yachay wasispa punkusnin kicharisqa kanan tian.
26-01	Educacion sutiyoj yannin tukuy runa masista, uj munakuyllapi ujllachasqa kawsakunankupaj jina, pusanantaj yanapanantaj tian p'unchaymanta p'unchay allinta runayanpaj. Educacion nisqaqa yanapanan tian tukuy runa ujllachakunankupaj, mana pipis chijllaspalla may llajtayojchus runa masin kasqanta, ima religiontachus apasqanta chayri ima ayllumantachus kasqanta, jina kaspa tukuy uj llajtayojllapis kankuman jina uj munakuyllapi kawsakunankupaj Ujllachasqa Llajtaspa ruanasninta kallpachaspa, tukuy allin kayllapipuni tiakunankupaj.
26-02	Tataswan mamaswanqa aswan atiyniyoj, ujkunamanta nisqa kanqanku, chijllanankupaj mayqen yachay wasillatapis wawasninku munayninkuman jina yachakunakupaj.
27-00	Iskay chunka qanchisniyoj kaj rimay (27)
27-00	Pillapis atiyniyoj, kikin munayninmanta, khuskachakunanpaj pejtukunanpajtaj llajtanpa yachasqasninwan, yuyasqasninwan imachus llajtanpi k'acha kasqanwan ima, llajtanpata ujnin kaj kasqanraykuri atiyniyojllataj, kawsaqe masisninwan khuska, llajtanmanta sumaj kayninta jap'ikuyta, piunchaymanta p'unchay astawan astawan jatunyachiytataj.
27-01	Pillapis imata jinasqanmanta, ruasqanmanta, imata qhelqesqanmanta chayri parlaspa yuyayta qosqnmanta kikin pay chay nisqata ruaj jina, ruasqasninmanta jinaqasmantapis tukuy atiyniyoj qhawakapunanpaj jayk'ajllapis poqoyninta pallananpaj.
28-00	Iskay chunka pusajniyoj kaj rimay (28)
28-01	Pillapis atiyniyoj, kay Declaraciones ama nisqalla jina qhepaykukunanpaj, sayachiyta ima rijch'aj runa qotusllatapis kay Declaraciones tukuy runakunaj kawsayninta allinchananpajpuni.
29-00	Iskay chunka jisq'onniyoj kaj rimay (29)
29-00	Tukuj runa kaj chhika, comunidadmanta ujnin kasqanrayku, ashkha obligacionesniyoj comunidad ukhupi: runa masisnillanwan khuska kawsakuspa pillapis sumaj kayninta tariparqoytataj runayaytataj atisqanrayku.
29-01	Democraciayoj llajta ukhupiqa pillapis leyes rimasqallanman purinqa, waqaychanapaj runaj derechosnintam ama pejtus kananpaj, tukuy llajta masikuna cheqan yannillantapuni purisqankuraykutaj llajta masikunapaj mana walej kay chinkapunanpaj.
29-02	Tukuy kay derechostawan libertadestawanqa, mana imarayku pipis apaykachanqachu Ujllachasqa Llajtas rimasqanta wajninchayta munaspa.
30-00	Kinsa chunka raj rimay (30)
30-01	Mana mayqen kay Declaracionpi rimasqa kasqan unanchakunanchu tian yuyaspa Estadowan, ima qotullamanpis, chayri pillamanpis atiyta qosqanta, mayqen rimasqa derechosnillanpis mana yupasqa kananpajqa.
