00-00	Universal Deklaro di Homal Yuri
10-01	Omnu darfas recevar komplete egale yusta e publika audienco da nedependanta e senpartisa tribunalo, determinante lua yuri ed obligi e pri irga kriminal akuzo kontre lu.
11-00	Artiklo 11
11-00	Omnu akuzita pri kriminal delikto darfas esar supozata kom senkulpa til ke on pruvas lu kom kulpoza segun la yuro en publika proceso che qua lu havis omna garantii necesa por lua defenso.
11-01	Nulu esez deklarata kom kulpoza pri irga punisebla ofenso pro irga ago o omiso qua ne konstitucis punisebla ofenso, segun nacional o internacional lego, kande ol esis facata. Nek esez impozata plu severa puniso kam esis aplikenda kande la ofenso esis facata.
12-00	Artiklo 12
12-01	Nulu esez submisat ad arbitrial interfero ye lua privateso, familio o korespondo, nek ad ataki kontre lua honoro o reputeso. Omnu darfas recevar protekto da la yuro kontre tala interfero o ataki.
13-00	Artiklo 13
13-00	Omnu havas la yuro movar libere o lojar libere interne di la frontieri di singla stato.
13-01	Omnu havas la yuro livar irga lando, inkluzante sua propra, e retroirar a sua lando.
14-00	Artiklo 14
14-00	Omnu havas la yuro serchar e posedar en altra landi azilo de persekuto. Ica yuro ne darfas esar advokata kaze di persequi reale efektigita da ne-politikal krimini o da agi kontrea a la skopi e principi dil Unionita Nacioni.
14-01	[missing?]
15-00	Artiklo 15
15-00	Omnu havas la yuro posedar nacionaleso.
15-01	Nulu esez arbitriale privacata de sua nacionaleso, ed a nulu esez refuzata la yuro chanjar sua nacionaleso.
16-00	Artiklo 16
16-00	Viri e mulieri di adulta evo, sen irga limitizo pro raso, nacionaleso o religio, havas la yuro mariajar su e fondar familio. Li es yurizita per egala yuri relate mariajeso, dum mariajeso e pos dissolvo.
16-01	Mariajeso eventez nur kun la libera e plena konsento dil intencanta spozi. La familio es la natural e fundamental grup-uneso di la socio ed es yurizita per protekto da la socio e la stato.
16-02	[missing ?]
17-00	Artiklo 17
17-00	Omnu havas la yuro proprietar posedaji sole, ultre asocie kun altri.
17-01	Nulu esez arbitriale privacata de sua posedaji.
18-00	Artiklo 18
18-01	Omnu havas la yuro posedar libereso di penso, koncienco e religio; ica yuro inkluzas libereso chanjar onua religio o kredo, e libereso, o sole o komune e publike o private, manifestar sua religio o kredo per docar, praktikar, adorar ed obediar.
19-00	Artiklo 19
19-01	Omnu havas la yuro opinionar ed expresar libere; ica yuro inkluzas libereso tenar opinioni sen interfero e sendar, recevar e komunikar informi ed idei per irga moyeno e ne-egardante frontieri.
20-00	Artiklo 20
20-00	Omnu havas la yuro posedar libereso di pacoza asemblo ed asocio.
20-01	On ne darfas koaktar ulu apartenar ad asociuro.
21-00	Artiklo 21
21-00	Omnu havas la yuro partoprenar la guvernado di sua lando, direte o per libere elektita reprezentanti.
21-01	Omnu havas la egala yuro acesar publika ofico en sua lando.
21-02	La volo di la homi esez la bazo dil autoritato di guvernado; ica volo esez expresata per periodal ed autentika elekti qui eventez per universal ed egala voto-yuro ed esez exekutata per sekreta voto o per equivalanta libera voto-procedi.
22-00	Artiklo 22
22-01	Omnu, kom membro di la socio, havas la yuro recevar social sekureso ed es yurizita per realigo, per nacional esforco ed internacional koopero e segun la organizeso e resursi di singla stato, dil ekonomial, social e kultural yuri nekareebla por lua digneso e la libera developo di lua personeso.
23-00	Artiklo 23
23-00	Omnu havas la yuro laborar, libere selektar employeso, juar yusta e favoroza labor-kondicioni e protekto kontre ne-employeso.
23-01	Omnu, sen irga distingo, havas la yuro recevar egala pago pro egala laboro.
23-02	Omnu qua laboras havas la yuro recevar yusta e favoroza rekompenso garantianta por lu ipsa e lua familio existo necesa por homal digneso e suplementita, se necesa, per altra moyeni di social protekto.
23-03	Omnu havas la yuro formacar ed unionar su kun mestier-sindikati por protektar sua interesti.
24-00	Artiklo 24
24-01	Omnu havas la yuro juar repozo e liber-tempo, inkluzante racionoza limitizo di labor-hori e periodal vakanci kun pago.
25-00	Artiklo 25
25-00	Omnu havas la yuro juar vivo-kondicioni suficanta por la saneso e bonstando di su ipsa e di sua familio, inkluzante manjajo, vesti, hemizo e medikal sorgo e necesa social servi, e la yuro juar sekureso okazione di ne-employeso, maladeso, invalideso, vidveso, oldeso, o altra manko di vivo-pekunio en cirkonstanci exter lua povo.
25-01	Kaze di matreso o puereso on es yurizita recevar aparta sorgo e helpo. Omna filii, naskinta sive en, sive exter mariajeso, juez la sama social protekto.
26-00	Artiklo 26
26-00	Omnu havas la yuro esar edukata. Edukado esez gratuita, adminime la primara e fundamental etapi. Primara edukado esez obligal. Teknikal e profesional edukado esez igata generale disponebla e plu alta instrukteso esez egale acesebla ad omni segun merito.
26-01	Edukado esez direktat al ampla developo di la homal personeso ed a la plufortigo di respekto pri homal yuri e fundamentala liberesi. Ol avancigez kompreno, tolero ed amikeso inter omna nacioni, rasal o religial grupi, ed avancigez l'aktivesi dil Unionita Nacioni por la manteno di paco.
26-02	Genitori havas priora yuro selektar la speco di edukado quan lia filii recevos.
27-00	Artiklo 27
27-00	Omnu havas la yuro libere partoprenar la kultural vivo di la komuneso, juar l'arti e profitar per ciencal avanco e lua benefici. Omnu havas la yuro recevar la protekto di sua etikal e material interesti rezultanta de ula ciencal, literatural o artal produkturo di qua lu es l'autoro.
27-01	[missing?]
28-00	Artiklo 28
28-01	Omnu es yurizita per social ed internacional ordino en qua la yuri e liberesi enuncita en ca Deklaro povas esar plene realigata.
29-00	Artiklo 29
29-00	Omnu havas devi a la komuneso en quo unike la libera e plena developo di lua personeso es posibla.
29-01	Exercante sua yuri e liberesi, omnu esez submisata a nur la limitizi determinita da la yuro nur por sekurigar meritat agnosko e respekto pri la yuri e liberesi di altri e por atingar la yusta postuli di etikaleso, publika ordino e la general bonstando en demokratial socio.
29-02	Ica yuri e liberesi nulkaze darfas esar exercata kontree a la skopi e principi dil Unionita Nacioni.
30-00	Artiklo 30
30-01	Nulo en ca Deklaro darfas esar interpretata kom implikanta por irga Stato, grupo o persono, irga yuro partoprenar irga aktiveso o facar irga ago vizanta la destrukto di irga yuro o libereso hike enuncita.
