00-00	Declarachion di droue de l’omo por tui le pa-i dou moundo.
11-01	Nioun chare coundana po de j’achion ou bin de j’omechion ke, ou moman ke i’an eitha coumetoueu, iran pa ponecheible d’apre lo droue nachional ou internachional. Topary, chare pa inflejia de pein-ne mi forte ke hleu k’iran aplecaye ou moman ke le fauta i’a eithaye cometoua.
12-00	Arteclo doze 12
12-01	I’e defindou d’alla ch’in-mela chin reijon de la via de tsecoun, de cha fameuille, de anvoueu eithe, di leutre ke rechei ou bin k’invauye. I’e defindou de metre a ma a choun onoou e a cha repotachion. Tota perchon-na ia droue a la proteichion de la loue countre tote hleu maude.
13-00	Arteclo treze 13
13-00	Tota perchon-na ia lo droue de voyajieu libramin e de choeiji choun indrei por eitha in per oun Eta.
13-01	Tota perchon-na ia lo droue de kita to pa-ic, topary lo chio, e de torna in choun pa-ic.
14-00	Arteclo katoje 14
14-00	In ca de persecochion, tota perchon-na ia lo droue de tserca oun recoeic e de poei che retooudic in per oun atre pa-ic.
14-01	Che droue pou pa ethre demanda in ca de poursuite reelamin fondaye chou r’oun ma de droue comoun ou bin chou de coumportemin countrero ou but e i principe di Nachion Reoneite.
15-00	Arteclo kinze 15
15-00	Tsecoun ia droue a ona nachionalita
15-01	Oun pou pa preva nioun de cha nachionalita, ni dou droue de tsanjieu de nachionalita
16-00	Arteclo cheze 16
16-00	A becau ke i’an l’ajio, l’omo e le femala, chin ocona restrichion de rache, de nachionalita ou de relijion, i’an droue de che maria e de fonda ona fameuille. I’an le memo droue vi j’ a vi dou mariazo, dou tin dou mariazo ou bin dou divorce.
16-01	Le mariazo pou pa ethre fe, chin lo libro e plin counchintemin di j’effoouc.
16-02	Le fameuille i’e le veretablo fondemin de la societe e i’a droue a la proteichion de la societe e de l’Etat.
17-00	Arteclo dijechat 17
17-00	Tota perchon-na ke foche deperliei ou bin in comunaute i’a droue a la propriete
17-01	Oun pou pa prindre a nioun, lo bin chin bonna reijon.
18-00	Arteclo dijeouet 18
18-01	Tsecoun i’a lo droue a la liberta de moja, de counchieince e de relijion ; che droue i’ou dere ke i’a lo droue de tsanjieu de relijion ou bin de counvichion e la liberta de manifesta cha relijion e che j’ide, cholet ou bin in comoun, chei in public ou in prive, pe l’inseniemin, le prateke, lo culte e la fason de fere le seremounie.
19-00	Arteclo dijenou 19
19-01	Tsecoun i’a droue a la liberta d’opinion e d’ exprechion. Chin i’ou dere ke i’a lo droue de pa ethre cancana a cauja de che j’opinion e lo droue topary de tserca, de recheei e d’invoua, chin parla de frontire, le jinformachion e le j’ide per tui le moyin d’exprechion ke che chei.
20-00	Arteclo vin 20
20-00	Tota perchon-na i’a la liberta de ch’associeu po la bonna cauja.
20-01	Nioun i’e th’oublijia de fere partie d’ona associachion.
21-00	Arteclo vintchi’oun 21
21-00	Tota perchon-na i’a lo droue de partesepa a la dereichion di j’afere pobleuke de choun pa-ic, chei directamin, chei pe l’intermediere d’oun representan libramin choeijeic.
21-01	Tote perchon-ne i’an lo droue d’asseda, din le coundichion d’egaleta, i founchion pobleke de choun pa-ic.
21-02	Le volonta dou poplo i’e le fondemin de l’autorite di poei poublic ; hla volonta dei ch’exprema pe de j’eleichion onethe ke deivouon che tini periodicamin a la majorite di voue chei per on voto checrei, ou o n’ atra fason d’achourieu la liberta de voto.
22-00	Arteclo vintedau 22
22-01	Tota perchon-na, in tin ke mimbro de la societe, pou pretindre a la securite sociala ; e pou aei la satisfachion d’obteni de la societe to chin ke i’a bejoin po vivre counvenablamin, po teni choun ran, po che colteva de maniere a vouarda tota cha denieta d’omo, e fere libramin valic che propre capacita. Po chin, dei poei counta chou l’effo nachional e a la coperachion internachionala, in tenien counto de l’organizachion e di moyen de tseke pa-ic.
23-00	Arteclo vintetreu 23
23-00	Tota percho-na ia droue ou tra-au, de choeiji choun tra-au, a de coundichion jioste e counvenable de tra-au, e a la proteichion countre lo chomaje.
23-01	Tui i’an droue, chin diferince, a ona paye pary po lo memo tra-au.
23-02	Che ke traille i’a droue a ona paye jiosta ke li achiouriche a luic e a cha fameuille ona via counforma a la denieta de l’ omo, e coumpletaye che fau pe d’atro moyen de proteichion sociala.
23-03	Tota perchon-na i’a lo droue, po defindre che j’intere a fonda ou bin de ch’afiliyeu a de syndica.
24-00	Arteclo vintekatro 24
24-01	Tota perchon-na i’a droue ou repou e y pachatin e topary a ona lemetachion reijonabla di j’ooure de tra-au, e de conje paya regoille.
25-00	Arteclo vintsin 25
25-00	Tota perchon-na i’a droue a oun nivau de via ke pouiche achiouriyeu la sante, lo beneje a luic e a cha fameuille, in chin ke counserne lo vivre, le j’aillon, lo lozemin, le freu de medesin e i chervechio sociau nesesero ; i’a droue d’ethre achouria in ca de chomaje, de maladic, d’invalideta, de vevazo, de vieilleusse ou din d’atro ca de perda de che moyen de vivre, suite a de tsauje ke depindon pa de cha volonta.
25-01	Le mare e le popoun i’an droue a ethre eijia specialamin. Tui le j’infan ke fochan nehouc din oun mariazo ou bin in foura dou mariazo, deivouon aei la mema proteichion sociala.
26-00	Arteclo vintchiche 26
26-00	Tota perchon-na i’a droue a l’edocachion. L’edocachion dei rin cotha dou moin in chin ke counserne l’inseniemin chimplo e le baje dou chaeic. Oun e th’oublijia d’insenieu le premieure baje dou chaeic. L’inseniemin tecnic e profechionel dei ethre jeneralijia ; l’acse i ate j’etude dei ethre ouvoue in plin-ne egalita a tuic in founchion de loou mereto.
26-01	L’edocachion dei eijieu ou plin epanouissemin de la perchon-na e ou respe di droue de l’omo e di liberta foundamentale. Dei favorijieu la coumpreenchion, la tolerance e l’amitie intre le nachion e tui le groupe de rache ou de relijion, e topary lo developemin di tra-au di Nachion Reoneite po manteni la pe.
26-02	Ch’on le parin ke chon le premieu a aei lo droue de choeiji lo janre d’edocachion ke i’olon bailleu a loou j’infan.
27-00	Arteclo vintechat 27
27-00	Tota perchon-na i’a lo droue de prindre pa libramin a la via coltorela de la comunaute, de ch’implere di beule tsauje e de partesepa ou progre de la science, e i bienfe ke chin loou porte.
27-01	Le cha-in, le j’artiste e le scientefeco, i’an droue a la proteichion de loou j’intere morau e materiel ke rechorton de loou tra-au.
28-00	Arteclo vinteouet 28
28-01	Tota perchon-na i’a droue ke i’oche chou lo plan social e internachional, oun ordre tel ke le droue e le liberta, ehric in la prejinta Declarachion pouiche fere choun effe.
29-00	Arteclo vintenou 29
29-00	Le moundo i’an de devoue in ver la comunaute, rin ke che le libro e plin developemin de cha personalita ie pouchiblo.
29-01	In exersin che droue e in dispojin de che liberta, tsecoun i’e choumetouc rin ke i lemetachion etableite pe la loue, in yaua d’achiourieu de reconiethre e de respecta le droue e le liberta di j’atro, po chantrefere chin k’exije le morala, l’ordre poublic e le beneje jeneral in per ona societe gouernayepe lo poplo.
29-02	Hloou droue e liberta, porin in okoun ka ch’egzerchieu de fason coutrere i principe e i but di Nachion Reoneite.
30-00	Arteclo trinta 30
30-01	Ocona despoujichion de la prejinta Declarachion pou ethre interpretaye comin implekin por oun Eta, oun groupemin, ou oun individu, oun droue de che levra a ona activita ou bin d’akoumpli oun acto ke vise a la destrouchion di droue e di liberta ke chon exprema.
