00-00	Insan Haklarin Cuemlae Deklaratiyasi
27-01	Herbir insanin var haki serbestli pay almaa cuemlenin kultura yashamasinda, hoshlanmaa incae zanaatlan, pay almaa bilim ilerlemesindae hem faydalanmaa onun hayirlarinnan.
27-02	Herbir insanin var haki korunsun onun moral hem material interesleri, kaynaklanan oiiun yaptii bilim, literatura ya artistik yaratmalarindan.
28-00	Yazi 28
28-01	Herbir insanin var haki oelae bir sotial hem halklararasi duezenae, aiigisinda buetuen haklar hem serbestliklaer, siralanan bu Deklaratiyada, gersek olabileceklaer.
29-00	Yazi 29
29-01	Herbir insanin cuemlae karshisinda borslari var, sade cuemledae olur gerseklensin kishiliin serbest hem buetuen ilerlemesi.
29-02	Haklarini hem serbestliklerini gersekleshtiraerkaen herbir insana sade oelae sinirlama yapilabilinir, angisi kanona goera uygiilanmish saade neetlaen gersekleshtirmaeae aalemin haklarinin hem serbestliklerinin taninmasini hem saygilanmasini hem da demokratik toplumunda dooru moral isteklerinae, cuemlae duezeninae hem cuemlae yashamak bolluuna uygun olmasi isin.
29-03	Bu haklarin hem serbestliklerin gersekleshtirilmesi hisbirtuerlue diil laeaezim aykiri gitsin Birleshmish Milletlaer Kurulun neetlerinae hem printiplerinae.
30-00	Yazi 30
30-01	Bu Deklaratiyada bishey yok nasil yorumnansin osoy, sansin bir devletae, kishi grupasina yada ayiri kishilerae veriler hak oelae bir salishmada bulunmaa, angisi oennendiriler bu Deklaratiyada siralanan haklari hem serbestlikleri yok etmaeae.
