00-00	AMANSAN MPAEMUKA A EFA ONIPA BIARA KYEFA HO
02-02	Bio, worenye nyiyim biara esiane obi amanyo anaa oman anaa asase a obi fi so no nti. Emfa ho hwee se oman no de ne ho anaase ebata oman foforo bi ho, anaa nso enni n; ankasa ho so, anaase Oman foforo bi na edi won so.
03-00	Ahyede 3
03-01	Obiara wo nkwa, ahofadi ne ne nipaban ho ahobanbo.
04-00	Ahyede 4
04-01	Woremfa obiara nko nkoasom anaa nkoaye mu. Woabara nkoasom ne nkoato ne nea etete saa nyinaa.
05-00	Ahyede 5
05-01	Ense se wode aninyanne, atirimoden, ne nea emfata se wode ye nnipa anaa ayayade biara twe obiara aso.
06-00	Ahyede 6
06-01	Mmara mu no, onipa biara wo ho kwan se wogye no tom se onipa.
07-00	Ahyede 7
07-01	Nnipa nyinaa ye pe wo mmara anim, na ese se wonam mmara so bo obiara ho ban a nyiyim biara nni mu. Obiara wo banbo koro no ara a esiw nyiyim a esee Mpaemuka kwan no kyefa no bi.
08-00	Ahyede 8
08-01	Obiara wo nea ne man asennii mmara ahyehye ato ho a woye de pata nea obi afom no no hokwan anaa kyefa.
09-00	Ahyede 9
09-01	Worenkyere obi, mfa no nto afiase anaa worempam no mfi ne man mu okwa are kwa.
10-00	Ahyede 10
10-01	Obiara wo hokwan se asennifo a wonni obiara afa a wonye nyiyim di n'asem wo peteem senea woye onipa biara, de kyere ne kyefa ne n'asede ahorow wo mmarato bi a wode tia no ho.
11-00	Ahyede 11
11-00	Asem a obi di na odi mu fo ma wotwe n'aso no woremfa nto onipa biara so gye se wonam mmara so adi onii no asem wo n'akyigyinafo anim abu no fo ansa.
11-01	Se obi ye bone bi na akyiri yi wohu se anka ese se wotwe n'aso, nanso bere a onii yo yee saa bone no, na ne man anaa ne man ne aman foforo bi mmoo mu nyee mmara bi a etia bone no a, ende ense se wotwe odeboneyefo no aso. Saa ara nso na woreemfa asotwe a emu ye duru mma bone bi nsen nea ewo ho bere a woyee saa bone no.
12-00	Ahyede 12
12-01	Woremfa nea mmara nnim biara so nhiahia obiara ho wo ne kokoamsem, n'abusua, ne fi ne ne mfefo ntam asem bi ho. Saa ara na worentiatia ne nidi ne n'anuonyam so. Obiara wo banbode yi kyefa a mmara taa akyi.
13-00	Ahyede 13
13-00	Obiara wo kyefa anaa hokwan se okyinkyin anaa otena baabiara wo nea ne man ahye ano koka.
13-01	Obiara wo ne kyefa anaa hokwan se ofi oman biara mu, a n'ankasa de ka ho, na osan ko ne man mu bio.
14-00	Ahyede 14
14-00	Obiara wo kyefa anaa hokwan se esiane amanyesem ho otaa bi nti oko oman foforo bi mu kope guankobea.
14-01	Saa Kyefa anaa hokwan yi yera bere a guanko no nnyina amanyesem mu amanenya anaa Amanaman Nkabom gyinae so.
15-00	Ahyede 15
15-00	Obiara wo kyefa anaa hokwan se oye omanba wo baabiara.
15-01	Woremfa biribi a ennam mmara so nsiw obiara manbaye ho kwan. Se obi pe se osakra ne manbaye fi baabiara nso a, worensiw no kwan.
16-00	Ahyede 16
16-00	Se mmarima anaa mmea bi du won mpanyin afe so, na won abusua, won man anaa won asore mu nhyehyee nsiw won mu ni kwan a, ende wowo kyefa anaa hokwan se woware kyekye abusua. Won nyinaa wo aware mu kyefa pe wo won aware ne won awaregu berem.
16-01	Okunu ne oyere nko ara na ese se wopene so ka won aware bom se awarefo.
16-02	Okunu ne oyere ne mma abusuabo no ne kuwye abose fekuw biara mu, ese se fekuw anaa oman no bo saa abusuakuw yi ho ban.
17-00	Ahyede 17
17-00	Obiara wo ho kwan se ono nko ara pe ahonyade anaase one afoforo pe bi.
17-01	Woremfa nea eenyina mmara so nnye obi ahonyade mfi ne nsam.
18-00	Ahyede 18
18-01	Obiara wo adwenem nsusuwii, ahonim ne nyamesom biara a ope ho kyefa anaa eho kwan. Saa kyefa anaa hokwan yi ma obi de ne ho se obesakra ne nyamesom anaa ne gyidi, ema obiara de ne ho se ohwehwe ankorankoro anaa ododow nyamesom, anaa one afoforo bom som wo peteem anaa kokoam, nam so yi ne nyamesom anaa gyidi adi wo kyerekyere, nneyee ne osom mu.
19-00	Ahyede 19
19-01	Obiara wo ne kyefa anaa hokwan se oka n'adwene ne nsusuwii. Saa kyefa yi ma obiara kura ne nsusuwii mu a obiara nnye no asabawmu. Owo hokwan se ohwehwe anaa otie adesuade ne nsusuwii biara, na ono nso nam okwan biara so ma afoforo te a aman ahye nsiw eyi ho kwan.
20-00	Ahyede 20
20-00	Obiara wo hokwan se oko asomdwoe nhyiam ase anaa odom fekuw biara.
20-01	Ense se wohye obiara se onkodom fekuw bi.
21-00	Ahyede 21
21-00	Obiara wo hokwan se onya kyefa wo ne man mu Aban mu, se eye tee anaa enam ananmusifo so.
21-01	Obiara wo kyefa koro wo ne man nu osom adwuma ho.
21-02	Omanfo no pe na ebeye Aban no nnyinaso. Wonam abatow a wonam so paw nnipa a eye kokoam ododow adeye a woahyehye ne bere ato ho so na ebeda ope yi adi.
22-00	Ahyede 22
22-01	Onipa biara, se oye fekuw muni yi, wo ne kyefa wo akyigyina a oman no anaa oman no ne aman afoforo abom apere anya no ho senea oman no nhyehyee ne sikasem te. Onipa biara wo sikasem, omanbaye ne amammere ho kyefa a eho hia ma ne nidi ne ne nipasu.
23-00	Ahyede 23
23-00	Obiara wo adwumaye ho kyefa, ode ne ho se opaw adwuma a ope se oye, owo adwumaye mu nhyehyee pa ne emu banbo no ho kyefa.
23-01	Obiara wo adwumaye ne eso akatua a wode ma no ho kyefa a nyiyim biara nni mu.
23-02	Obiara a oye adwuma no wo ne kyefa a ese se onya wo akatua a efata a ebema one n'abusuafo anya atenaye a efata onipa nidi ho. Se ehia nso a, ese wode fekuwbo mu akyigyina ka ho.
23-03	Eye obiara kyefa se ohye adwumayefo fekuw ase anase nso odom bi, na onam so bo ne yiyedi ho ban.
24-00	Ahyede 24
24-01	Obiara wo ohome ne bonnodi bere ho kyefa. Nnonhwerew a woahyehye se wode ye adwuma a emmoro so ne adwuma mu akwamma bere a wotua odwumayeni no ka nso ka ho.
25-00	Ahyede 25
25-00	Obiara wo ne kyefa anaa hokwan se one n'abusuafo nya asetena yi mu yiyedi a ema one n'abusuafo nya ahooden ne asetena pa. Aduan, adurade, afi, ayaresa ne fekuw mu osom adwuma nso ka ho. Saa ara nso na eye obiara kyefa se onya akyigyina a wode ma obi a onni adwuma bi ye anaa oyare anaa odi kuna anaa wabo akora anaa aberewa anaa asetena mu ahyiakwa mma n'ani nwie gye wo asetena mu ho.
25-01	Ese se wode ohwe pa hwe obaatan ne oba biara. Emfa ho hwee se mmofra bi ye awarefo mma anaa mpenafo mma. Ese se won nyinaa nya won kyefa wo asetena mu banbo ho.
26-00	Ahyede 26
26-00	Obiara wo ho kwan se osua ade. Anye yiye koraa no, ese se obiara nya sukuuko anaa adesua kwa wo ne mmofraase wo nneema nketenkete bi ho. Ese se wode ohye to ho ma obiara nya mmofraase adesua. Mfiridwuma ho adesua ne dwumadi ahorow no sua anaa sukuupon mu adesua ho de, obiara benya ne kyefa senea n'adwene ne ne mmodenbo kyere.
26-01	Ese se adesua nyinaa botae ye nea ehwehwe nkoso ma onipadua ne obu mu denhye ma adesamma kyefa a efa nnipa ahofadi horow no ho. Eyi bema ntease, denye ne ayonkofa aba aman, mmusua anaa asore horow nyinaa ntam. Ebehye Amanaman Nkabom no den ama asomdwoe aba wiase.
26-02	Awofo wo kyefa anaa hokwan a eso se wobepaw nhomasua ko a wope ama won mma.
27-00	Ahyede 27
27-00	Obiara wo ne kyefa anaa hokwan se ode ne ho fra kwasafo amammere mu. Owo ne kyefa anaa hokwan wo mfaso a efi nyansasua ne abodemuhwehwe mu ba no mu.
27-01	Obiara wo nnepa a efi abodemuhwehwe, nhomasua anaa nsaanodwuma adeye bi a ode ne nsusuwii ama aba no mu kyefa.
28-00	Ahyede 28
28-01	Obiara wo ho kwan se onya fekuw anaa amanaman nhyehyee a ekura kyefa ne ahofadi horow a woabobo din wo Mpaemuka yi mu no mu.
29-00	Ahyede 29
29-00	Obiara wo ne kwasafo asede a eno mu na se oye a, onam so ma onyin a ne nipadua nyin no wie peye.
29-01	Ansa na obiara benya ne kyefa ne ahofadi no, gye se ono nso aye nea mmara hwehwe wo ne ho se oye ma afoforo ma won nso nya won kyefa ne ahofadi. ese se onii no bo obra pa, na okyere obu ma guasodeyo ne ododow amammu mu yiyedi.
29-02	Ense se saa kyefa anaa ho kwan ahorow yi ye nea ene Amanaman Nkabom no atitimpow ne gyinapen bo abira.
30-00	Ahyede 30
30-01	Ense se onipa biara kyere nsem a ewo Mpaemuka yi mu no ase se eye ade bi a ema Oman, fekuw anaa onipa bi kyefa anaa tumi, nam so see kyefa ne ahofadi horow a woabobo din wo nhoma yi mu no.
