00-00	’Kwani gi mony’cesh tor gi gwo mo gom to jin cila wathimpa en’thi/ mo.
25-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mini ta gi embul mo mmo’koki/e mo gom is piti ki ’bore/ mo dhali mmokar bunggwar is piti ki dhelel dhelel mo dhali Awak piti mo, inyakki tonte/ mo dhali burrinye/ jin hi’thu i is mo dhali gu’b mo dhali thosona guruush goma dhawa/ mo dhali miiya tu’c ka ngul’kup mo, dhali ca’bki ’dantar e to kun pu’dkin mo e uni kun darga tu’c mo, uni kun ’ba’than mo dhali ’kwani kun atha is mo dhali a’bom jin wun ma kathim piti mo dhali kun cakin ki yil mo walla a’di jin gamki monyca’b piti mo e mii kun tuk ’ban mo kun jiki a’di mo.
25-01	Ata’da mo dhali ushi uci mo uni yukunu mo mmodhip ki ’bore/ mo dhali wotha woth mo. Aris ushi uci i’baar mo kun dho’thkunu mo e bwaman gi miimash mo walla ka pije/ gi miimash mo, uni mina bwa ’kuny inyakki ’kwani kun ceshkunu ka po/ mo.
26-00	’Ban 26
26-00	Aris uni ’baar mo ka ’dete/ ’dete/ uni dhala gwongkan bway mo mmomiiya awarka/ mo. Mo ma warka/ miinu mii ki me’d mo, isi ciki/ ki montel ’pen gi Mo ma warka/ jin minu mii mo. Mmo/uk to mo dhali mo ma warka/ minu nyang ki ’bore/ mo dhali Mo ma warka/ jin miinu e gu’ba caaga/ imontal ’de/ mo e mongka’b jin minu mii miim ’boro’d mo.
26-01	Mo ma warka/ minu mii tor gi ’kwaniny’cesh mo mmothim mo dhali ’bi’th ’kwani is mo mmodhu is ki gwa’d mo mmotak ’kwani kun miikina tu’c mo mmoci ’kwani bway mo e gwong kar/e mo dhali mmoci mo jin ’konu ki ’kus mo. A’di midi hal ’kwani mo jin mishu gwo ’ban mo, mmoku’c bwa ki ’kari’th mo dhali mmota mugu gi kal gi ’kwani gi mony’cesh mo, walla angul’kup mo walla ’kwani kun lungkina lung mo, dhali mii ki nyanye/ mo e ’kwani gi mony’cesh mo uni kun miiki mongku’th is mo.
26-02	Ibaba dhali ita’da uni tan gi embul mo mmokwany Mo ma warka/ jin ’boro’d mo jin mina uni dhu ucim buni nycine/ mo.
27-00	’Ban 27
27-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni ’kokin ki ’kus mo mmomii miim buni mo e bwaman ma Awak mo, dhali lo’b mo mmo’kuny bwa mo dhali mii mondhelele’d bway twa/a mo dhali mii miim ’boron buni mo.
27-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mini tik miim buni e jin midi wu mo dhali aris ton tiya kun ena uni kun dhelelin mo, awarka/ mo walla to kun uku mo e a’di jin ta’da aman’kwar to mo.
28-00	’Ban 28
28-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni yukunu mo dhali aris ’kwaniny’cesh kun thoson ki to mo e mii ma ising gana/ mo dhali ’ko ki ’kus mo e mo jin torkunu gwo mo jin toru gwo eya tente/ mo.
29-00	’Ban 29
29-00	Aris ’kwani i’baar mo ka ’dete/ ’dete/ uni tan ga tu’c e ’kwani mo e mo jin mina a’di di a’di ’de/ ki ’kus mo dhali jin mina a’di misha atu’c piti mii mo mmomar a’di is mo.
29-01	E mii ma ising ganam piti mo dhali di ki ’kus mo, aris uni ’baar mo ka ’dete/ ka ’dete/ minu ’koki mii ki miiny cingkina/ mo jin minu jiya ji jasi ’te/ mo me’d jin torkunu gwo ki gwongkan gom wathin tal ’deng kamu/ mo gom mii kun ’konu ki ’dantar mo ki mii jin minu pi gwo mo dhali dhu is ki gwa’d mo gom mii ma ising gana/ mo dhali ’ko ki ’kus inyakki kun tiya mo dhali montul is jin dotu gwo gom miim ’boro’d mo, mmothoson ’kwani mo dhali mmokal ’kup ngwa/ pa mo mmomii ka para po/ mo.
29-02	Mii ma ising gana/ yansan mo minu ’koki mii mo gom jasi a’di mo, dhali gom ’kup gwo gi ’kwani gi mony’cesh mo.
30-00	’Ban 30
30-01	Tongkamu/ yisa di’da jin minu ’koki tor mo mmo’koki tor ’pemen eya tente/ goma ris bampan tiya mo, ’kwani kun ’kon ka non she/ mo walla wathin ’deng kamu/ jin ona bwa ki miiya tu’ca tiya mo walla a’di jin ona bwa ki uk ton tiya mo mmo’ce’da ’ce’d sho’k mo e ton tiya jin ona bwa a’di mo dhali ca’b ’bakany e mondim piti mo.
