00-00	HUKLLAWASQA NACIONKUNAPA REQSICHISQAN LLAPA RUNAKUNAPA DERECHONKUNA
12-01	Manam pipas yanqapas yanqaqa chaqwanmanchu vidanchiktaqa nitaq ayllunchikkunapatapas, manam yanqapuniqa yaykukuykunmanchu wasinchikmanpas, manataqmi cartanchiktapas yanqaqa pipas Ieekurunmanchu. Lliwmi derechoyoq kanchik kaykunamanta leywan amparachikunanchikpaq.
13-00	CHUNKA KIMSAYOQ (13)
13-01	Lliw runakunam maypipas purinanchikpaq derechoyoq kanchik, derechoyoqtaqmi kanchik nacionninchikpiqa maypi wasichakunapaqpas.
13-02	Lliw runakunapam derecho kapuwanchik kikin nacionninchikmanta otaq maylaw nacionmantapas lloqsinanchikpaq hinaspa kikin nacionninchikman kutimunanchikpaq.
14-00	CHUNKA TAWAYOQ (14)
14-01	Sichum huk runa persiguisqa kanman nacionninpa gobiernon hina mana piensasqanrayku, hinaspaqa payqa derechoyoqmi huklaw nacionman ayqekuspa amparasqa kananpaq.
14-02	Nacionninpi cheqap hucha rurarusqanmanta justiciapa qatikachasqan runaqa manam runakunapa derechonman hapipakunmanchu huklaw nacionman ayqekuspa chaypina libre kawsakunanpaq.
15-00	CHUNKA PICHQAYOQ (15)
15-01	Sapakama runakunam derechoyoq kanchik huk nacionman pertenecenanchikpaq.
15-02	Kay derechonchiktaqa manam pipas yanqamantaqa qechuwachwanchu. Kantaqmi derechonchik nacionmanta cambiakuyta munaptinchik mana pipas harkakuwananchikpaq.
16-00	CHUNKA SOQTAYOQ (16)
16-01	Qaripas warmipas casarakuy tiempoman chayaruptinchikqa kannam derechonchik casarakuspanchik familiayoq kananchikpaq, manam imananchu ima castamantam otaq maylawmantam kayninchikpas, qaripas warmipas igual derechoyoqmi kanchik casado kayninchikpi allin kawsakunanchikpaq chaynataq rakinakunanchikpaqpas.
16-02	Qaripas warmipas mana munaspaqa manam casarakuchwanchu.
16-03	Tayta-mamam llapa familiantin estadopa waqaychasqan kananchikpaq derechoyoq kanchik, noqanchikqariki nacionta winachiq huk hatun ayllum kanchik.
17-00	CHUNKA QANCHISNIYOQ (17)
17-01	Lliwmi derechoyoq kanchik sapallanchikpas otaq iskay kimsa runakunawan kuskapas kapuqniyoq kananchikpaq.
17-02	Manam kapuqninchiktaqa yanqaqa pipas qechuwachwanchu.
18-00	CHUNKA PUSAQNIYOQ (18)
18-01	Lliw runakunam derechoyoq kanchik imayna formapipas piensananchikpaq, conciencianchikman hina kawsakunanchikpaq hinaspa ima diospi creenanchikpaqpas. Kay derechonchikman hinaqa librem kanchik ima religiontapas chaskinanchikpaq hinaspa imayna formapipas creesqanchikta ruwananchikpaq. Sapallanchikpipas otaq huk hununakuypipas ruwachwanmi chay creesqanchiktaqa hinaspapas yachachichwanmi wasinchikpi otaq maypipas.
19-00	CHUNKA ISQONNIYOQ (19)
19-01	Lliw runakunam imayna piensasqanchiktapas rimarinanchikpaq derechoyoq kanchik, erechoyoqtaqmi kanchik mana pipa harkakusqan chaykunata willakunanchikpaqpas, chaskichwantaqmi hukkunapa piensasqantapas.
20-00	ISKAY CHUNKA (20)
20-01	Kanmi derechonchik hununakunapaq chaynataq ima hununakuyta hawkalla hatarichinapaqpas.
20-02	Manam pipas obligasqaqa kachwanchu ima hununakuymanpas mana munastin pertenecenanchikpaqqa.
21-00	ISKAY CHUNKA HUKNIYOQ (21)
21-01	Lliw runakunam derechoyoq kanchik nacionninchikpa gobiernonpi servikunanchikpaq, chaytaqa rurachwanmi kikinchikpunipas otaq munasqanchikta akllaspapas.
21-02	Lliw runakunam igual derechoyoq kanchik gobiernonchikpa atiendenan wasikunaman yaykuspa chaypi atiendechikunanchikpaq.
21-03	Gobiernopa atiyninqa kachkan lliw llaqtakuna munaspanchik chay autoridadta qoptillanchikmi, chay munasqanchiktam reqsichinchik librepuni votaspanchik; chay vototam ruwayta debenchik mana pipa yachasqanta chaynapi munasqanchikpaq votananchikpaq.
22-00	ISKAY CHUNKA ISKAYNIYOQ (22)
22-01	Llapallan runakunam derechoyoq kanchik educacionpi, kupuqninchikpi hinaspa imayna kawsayninchikpipas amparasqa kananchikpaq chaynapi tukuy allin kayman chayananchikpaq. Chay seguridadtam chaskinchik kaykunawan: Gobiernom organizasqa kaspan noqanchikpaq atisqanta ruranan imakunam nacionninchikpi kaqkunawan, allinninchikpaqmi ruranan kallpanman hina otaq huklaw nacionkunapa yanapasqanpas.
23-00	ISKAY CHUNKA KIMSAYOQ (23)
23-01	LIiw runakunam munasqanchikpi iiamkananchikpaq derechoyoq kanchik, derechoyoqtaqmi kanchik mana ilamkayniyoqkunapas llarnkayta maskaspa tarinanchikpaq, manam pipas munarispanqa qarqowachwanchu llamkayninchikmantaqa.
23-02	LIiw runakunam derechoyoq kanchik mana ima sayapakuykunawan trabajonchikman hina pago chaskinanchikpaq.
23-03	Lliw runakunam derechoyoq kanchik sasapas facilpas iiarnkasqanchikman hina pagonchik chaskinanchikpaq, chaynapi allin kawsakuyman hina familiantin allin kawsananchikpaq; mana chayqa chaskinam yanapakuyta chaypaq hina hatarichisqa yanapakuqkunamanta.
23-04	Lliw runakunam derechoyoq kanchik lamkaq-masinchikkunaWan grupota formaspa otaq chayna grupokunaman pertenecespa derechonchik vechikunanchikpaq.
24-00	ISKAY CHUNKA TAWAYOQ (24)
24-01	Lliw runakunam derechoyoq kanchik samananchikpaq hinaspa samarispa asirikunanchikpaq, derechoyoqtaqmi kanchik atisqanchikman hinalla sapa punchaw llamkananchikpaqpas hinaspa vacacionalninchik chaskinanchikpaqpas.
25-00	ISKAY CHUNKA PICHQAYOQ (25)
25-01	Lliw runakunam derechoyoq kanchik allin kawsayta tarispa familiantin allin mikusqa, allin pachasqa hinaspa sano kawsakunapaq. Derechoyoqtaqmi kanchik amparasqa kananchikpaq, invalido kaspapas, viudo otaq viuda kaspapas, machu otaq paya kaspapas; derechoyoqtaqmi kanchik trabajota mana tarispapas otaq qonqayta ima mantenikunanchikpaq kaqta pierderuspapas amparasqa kananchikpaq.
25-02	Wiksayoq warmikunapas chaynataq warmachakunapas derechoyoqmi kanku allin mantienesqa kanankupaq. Casadomanta otaq mana casadomanta kaspapas lliw warmachakunaqa igual derechoyoqmi kanku amparasqa kanankupaq.
26-00	ISKAY CHUNKA SOQTAYOQ (26)
26-01	Lliw runakunam derechoyoq kanchik educasqa kananchikpaq. Mana qollqellapaqmi primariaqa chaymi obligatorio primariayoqllapas lliw kanankupaq. Allin notanchikman hinaqa lliwmi mastaraq educakuchwanchik chaynapi imam munasqanchikman chayananchikpaq.
26-02	Educacionpa rurunqa kanan runakunapa allin kawsakuyninmi hinaspa lliw derechonkuna sumaq reqsiymi chaynapi libre kaynin allin respetasqa kananpaq. Hawkalla kaspanchikmi comprendenakunanchik huklaw nacionkunawan, wakin castakunawan hinaspa ima diospi creeqkunawanpas. Hununasqa nacionkunatapas yanapananchikmi tukuy kay pachapi hawka kawsakuy kananpaq.
26-03	Tayta-mamakunaqa derechoyoqmi kanchik imayna educacionta familianchik chaskinanpaqpas.
27-00	ISKAY CHUNKA QANCHISNIYOQ (27)
27-01	LIiw runakunam derechoyoq kanchik maymi yachasqanchikpi ima ruray kaptinpas yanapakunanchikpaq. Yanapakuchwanmi tukuy imapi llaqtanchik sumaqilatana winananpaq hinaspapas derechoyoqmi kanchik chay llaqtapa imapas qowasqanchikta chaskikunapaq.
27-02	Sichum umallanchikmanta imapas valorniyoq kaqta horqoruchwan otaq pipapas manaraq rurasqanta imatapas chayraq ruwaruchwan, hinaspaqa derechoyoqmi kanchik chay paqarichisqanchikkunapa valorniyoq kasqanta amparachinanchikpaq.
28-00	ISKAY CHUNKA PUSAQNIYOQ (28)
28-01	Derechoyoqmi kanchik nacionninchikpi hinaspa lIiw nacionkunapipas runakunapa derechon valechiq organizacion kananpaq, chaynapi kay tukuy qawasqanchik derechonchik hinaspa libre kasqanchik haypananchikpaq.
29-00	ISKAY CHUNKA ISQONNIYOQ (29)
29-01	Lliw runakunam llaqtanchikpi qespinchik, chayraykum llaqtanchikpaq deberniyoq kanchik.
29-02	Derechonchik otaq libre kayninchik valechikunanchikmantaqa leyllam harkakuwachwan, chaynaqa kanman wakinpa derechonkuna otaq libre kayninku mana usurpasqa kananpaqmi, chaynapi chaqwakuna mana kananpaq. Chaynapitaq lliw runakunaqa sapakama kikin nacionninchikpi hawkalla kawsakunanchikpaq.
29-03	Kay lliw derechonchikqa otaq libre kayninchikqa manam valechisqaqa kanmanchu, sichum imayna formapipas hukllawasqa nacionkunapa munasqanpa contranpi kaspaqa.
30-00	KIMSA CHUNKA (30)
30-01	Kay qeliqapa nisqankunaman hapipakuspaqa manam pipas otaq gobiernopas imatapas ruwanmanchu, derechonchikta hinaspa libre kayninchikta usurpanankupaqa.
