00-00	HATUN WILLAY DERECHONCHISKUNAMANTA LLAPAN RUNAPAQ
12-01	Manan pipas, qasi kaqtaqa, yanqapuni turiyamuwaswanchu, ni ayllunchistapas, nitaq wasinchistapas, nitaq cartanchistapas. Manan pipas yanqapuni k'amiwaswanchu, nitaq huchachawaswanchu tumpaspa, nitaq runa kayninchista qepachiwaswanchu. Chaykunamantan ley amparawanchis.
13-00	(13) CHUNKA KIMSAYOQ KAQ
13-00	Kanmi derechonchis libre purikunanchispaq maymanpas. Kantaqmi derechonchis maypipas tiyakunanchispaq, munasqanchisman hina.
13-01	Kanmi derechonchis Peru llaqtanchismanta lloqsinanchispaq, qepakama kaqmanta Peru llaqtanchisman kutimpunapaq, munasqanchisman hina.
14-00	(14) CHUNKA TAWAYOQ KAQ
14-00	Kan mi derechonchis llaqtanchispi nishuta nak'arichiwaqtinchis qatiykachaspapas, huk llaqtamanpas lloqsinanchispaq, hinaspa hawka tiyananchispaq.
14-01	[Missing?]
15-00	(15) CHUNKA PICHQAYOQ KAQ
15-00	Kanmi derechonchis llapanchispa nacionniyoq kananchispaq, noqanchischu Peruano kanchis chay hina kanapaq.
15-01	Kantaqmi derechonchis nacionninchismanta lloqsispaqa hu~k nacionniyoq kanapaq.
16-00	(16) CHUNKA SOQTAYOQ KAQ
16-00	Kanmi derechonchis, winayta ushaspa, llank'ayta yachaspa, kasarakunanchispaq, chaymanta wawakunayoq aylluyoq kananchispaq. Kasarakuswan piwanpas, munasqanchisman hina, ima rikuqwanpas, yuraqwanpas, yanawanpas, may llaqtayoqwanpas, ima Dios khuyaqwanpas. Hinaspataqmi warmipas qaripas kaq derechoyoqllan kanchis.
16-01	Qaripas warmipas mayqenpas mana munaspanqa, manan kasarakunmanchu, nitaq pipas obliganmanchu, - Kasaray, - nispa, mana munaqtaqa.
16-02	Chay tayta mama llapa wawankunayoqta estadoqa sumaqta yanapayta atin, huk tayta hinalla.
17-00	(17) CHUNKA QANCHISNIYOQ KAQ
17-00	Kanmi derechonchis kaqninchiskunayoq kanapaq, kantaqmi derechonchis hayk'a runapas kuska kaqniyoq kaspa kaqninchis kananpaq.
17-01	Manan pipas, qasi kaqniyoqtaqa, yanqapuni kaqninchiskunataqa qechuwaswanchu.
18-00	(18) CHUNKA PUSAQNIYOQ KAQ
18-01	Kanmi derechonchis imaynatapas, yuyayninchisman hina, piensananchispaq, hinaspa imayna piensasqanchisman hina kawsanapaq, hinaspa mayqen Diostapas khuyananchispaq, pacha mamatapas, hanaq pachatapas, huktapas. Kantaqmi derechonchis, sapallanchis otaq hayk 'apas runakuna kuska, hununakuspa kaspanchis, mayqen Diostapas adorananchispaq, kasunanchispaq, manakunanchispaq, mayqen Diosmantapas yachachinanchispaq, mana pi tapas manchakuspa, sut 'inta ruwaspa.
19-00	(19) CHUNKA ESQONNIYOQ KAQ
19-01	Kanmi derechonchis imaynatapas yuyayninchispi piensananchispaq, hinaspa chay piensasqanchiskunata rimarinanchispaq, ama pitapas manchapakuspa, nitaq pipas hark'awaswanchu. Kantaqmi derechonchis piensasqanchista rimarinanchispaq periodicopi qelqachispapas, radiopipas, televisionpipas, may llaqtapipas kaspanchis.
20-00	(20) ISKAY CHUNKA KAQ
20-00	Kanmi derechonchis hununakunanchispaq, asambleapi hina, rimanakunanchispaq. Kantaqmi derechonchis asociacionta cooperativata ruwananchispaq.
20-01	Manataqmi pipas yaykuchiwaswanchu ima asociacionmanpas, mana munaqtaqa.
21-00	(21) ISKAY CHUNKA HUKNIYOQ KAQ
21-00	Kanmi derechonchis llaqta kamachiq kananchispaq, otaq votacionpi llaqta kamachiqta akllananchispaq. Llapanchis llaqta kamachiyman yaykuyta atinchis, llaqtaq akllasqan kaspa.
21-01	Manan pipas llaqta kamachiyman yaykunmanchu, mana akllasqa kaspaqa.
21-02	Akllasun votacionpi, munasqanchisman votaspa. Manataqmi pipas obligawaswanchu, -Hukllaman sayasun, - nispa.
22-00	(22) ISKAY CHUNKA ISKAYNIYOQ KAQ
22-01	Kanmi derechonchis estadoqa yanapawananchispaq allin kawsaypi, allin taqyasqa, tukuyniyoq tiyanapaq, ama uywa hina kanapaq.
23-00	(23) ISKAY CHUNKA KIMSAYOQ KAQ
23-00	Kanmi derechonchis llank'ananchispaq ima llank'aypipas mayqen llank'aypas akllakunanchispaq, hinaspa mana llank'ayta tariqtinchistaq, estado yanapawananchispaq.
23-01	Kanmi derechonchis, chay llank'asqanchisman hina, kaqlla pagopas chaskinanchispaq, mana pimanpas llallichastin.
23-02	Llapan llank'aqpan kan derechonchis, llank'asqanchisman hina, allin pago chaskinapaq, familianchispas allin kawsaypi kananpaq, allin sumpayta chay pago aypananpaq.
23-03	Kanmi derechonchis llank'aq masinchiskunawan hununakunanchispaq, hinaspa ima derechonchistapas manakuspa valechikunanchispaq.
24-00	(24) ISKAY CHUNKA TAWAYOQ KAQ
24-01	Kanmi derechonchis ilank'aspa samananchispaq, samariq hina kusikunanchispaq, ima pukilaypipas. Manan chay llank'achiqpas ruwachiwaswanchu nishu unayta mana samarichistin. Kantaqmi derechonchis wakin samariy p'unchawkunapas, hatun p'unchawkunapas, ganananchispaq.
25-00	(25) ISKAY CHUNKA PICHQAYOQ KAQ
25-00	Kanmi derechonchis allin kusi kawsaypi kananchispaq, mikunanchis p'achanchis mana qesawananchispaq, wasinchis kananpaq, onqoqtinchis hampichiwananchispaq. Kantaqmi derechonchis pipas estadopas yanapawananchispaq, mana llank'aykuna kaqtinpas, onqoqtinchispas, manana llank'ayta atiqtinchispas, machuyaqtinchis0napas, qarinchis warminchis wanuqtinpas, ima llakipina kaqtinchispas. Hinaspa wachakuq warmikunapas wawakunapas derechonchis kan qawasqa yanapasqa kananpaq.
25-01	Hinaspataqmi kasarasqaq wawanpas mana kasarasqaq wawanwanpas kaq derechoyoqllan kanchis qawasqa yanapasqa kananpaq.
26-00	(26) ISKAY CHUNKA SOQTAYOQ KAQ
26-00	Kanmi derechonchis estudiananchispaq, hinaspa obligatorio escuela primariapi estudiananchispaq mana qolqeta pagaspalla. Kantaqmi derechonchis, allin estudiasqanchisman hina, secondariapipas, estudios superiorespipas estudiananchispaq.
26-01	Hinaspa escuelapi yachapanchis allin runa kayta. Hinaspa chay derechonchiskunata yachaspaqa khuyanakusun, may llaqtayoqna kaqtinchispas, may Diosniyoq kaspapas.
26-02	Tayta mamakuna derechoyoq kanchis.imayna laya educacionpipas wawanchiskuna educananchispaq, estadoqpipas, particularpipas, munasqanchisman hina estudiachinapaq.
27-00	(27) ISKAY CHUNKA QANCHISNIYOQ KAQ
27-00	Kanmi derechonchis allin kayta yachapaspa kananchispaq, yachayninchisman hina, fiestakunapipas kanapaq, tusupakuypi takipakuypi tocapakuypi kanapaq folklorninchisman hina huk artekunapipas kanapaq.
27-01	Hinaspa scienciaq nawpasqanman hina, llapanchis chay scienciaq ruwasqankunayoq kanapaq, mosoq hampikunapas, aparatokunapas, maquinakunapas, hukkunapas.
28-00	(28) ISKAY CHUNKA PUSAQNIYOQ KAQ
28-01	Llapa nacionkuna kuskalla ruwayta atinku, chay llapa qawasqanchis derechonchiskuna ruwaspa kanapaq.
29-00	(29) ISKAY CHUNKA ESQONNIYOQ KAQ
29-00	Llapanchispan deberninchis kan ayllupipas llaqtapipas ima comun ruwaykunapipas yanapanapaq, kay Peru llaqtapipas estadoman yanapanapaq, atiyninchisman hina.
29-01	Chay llapa ruwananchis derechonchiskunata ruwaspa, mana hukpa derechonwan qechupanakusunchu, cheqninakusunchu, saruchanakusunchu.
29-02	Mana llaqtatapas naciontapas tusnuswanchu nitaq t'uktiswanchu, chay derechonchiskunata ruwaspa.
30-00	(30) KIMSA CHUNKA
30-01	Manan pipas kay qawasqanchis derechonchiskunata qechuwaswanchu, nitaq pakawaswanchu yachananchismanta, maypi kaqtinchispas.
