00-00	[missing]
02-02	Rato partido politico tanahirahcanihqui, quiricayahocatzi quiricamahizrivi vutza nututzanohax vuharazi ja quiyoovi jato jaquinhsharaatimunhqui jaacavizrazi. Vutza nutun jato jaton nutu hinaahancun jato hinaayamahavohquicavizquin jato sharaaquin jaquinhtimunhqui.
03-00	Articulo 3
03-01	Tzova rutupanan jato quiyoovi hamamatimunhqui. Cuunyamahaito tzova hinaativo shinanquin jato hamamatimunhqui. Tzova muhutivo shinanquin jato hamamatimunhqui.
04-00	Articulo 4
04-01	Jamun haruzquin jonitzan tzova hinaati shinanquin jato hamamatimunhqui.
05-00	Articulo 5
05-01	Pishtacovin tzova muhuhoxanhquin hovaa yohinna haquicavizquin muhuyamatimunhqui. Januquinrivi tzova ranoomayamatimunhqui.
06-00	Articulo 6
06-01	Quiyoo nutunxon jato jaton nutun vonixo jaton nutun j ahahquicavizquin jato quinhtimunhcanquihnu, javi jaton quiricamahizha.
07-00	Articulo 7
07-01	Quiyoo jonimun derechoyahcanquihnu, jaacavizrazimunhcanquihqui jato jaquinhsharaatimunhqui. Nan quiricanan cunuunivo ja jahayamaquin jato hiromativo shinanquin jato chituyovaatimun ja nutun jaha hapohqui. Jonitzan jato jaton hapo janumapahain jato hamamatimunhnucanpu. Tuxu jato sharaatan, tuxu jato hiromapahato jato hamamatimunhnucanpu.
08-00	Articulo 8
08-01	Ja nutun jaha juesvaun jato quiyoovi jau yohihaito nincaayovaatimunhnucanpu. Jaton jato hiromativo shinanquin ja jahaquin jau cuzati yohiquin ja nutun jaha hapovaun quirica cunuuni jumaquin jato hiromativo shinanquin.
09-00	Articulo 9
09-01	Pishtacovin tzova jau cuzayamahaito haruzquin hachixon caravozomuran ninonhoxanhquin jan nutunoha nututzan catannon nichintimamunhnucanpu.
10-00	Articulo 10
10-01	Vutza sharaacunmun vutza hiromahqui yohiyamatimun juesqui. Jato rutuhaxquihcavan jonitzan jato chanicahanhain nincaatimun juesqui hontzahavo coonmacun.
11-00	Articulo 11
11-00	Cooncovin hiromaquin jau cuzahazquinhcain tzova chanicanyamatimunhnucanpu, cooncovin hiromahavaun honanhamahton. Cooncovin hiromaxo honanxon jamuncovinrocon mushtun yohinon yohihoxanhquin tzova jonitzan yohixonon yohitimunhqui. Hichaxon nincaanovo jato nincaaquihintimun juesnucanpu, cuzaquin yohihira jonihquiqui jatonrivi nincaanovo.
11-01	Tzova jonin hiromaquin jau cuzaxo vunaacovin chanicahantimamunhnucanpu, nan nutun j ayamahocatzi nututzan ja jahaqui hiromaquin jau cuzayamatimunhqui quin yohiquin quirica cunuunivo yamacun. Jau cuzaxo jato casticayovaayamatirivimunhqui. Ja jau cuzaxo jato casticati yohiquin quirica cunuunivo zununruz jato casticatimunhqui, chipo moha ramaama hiromaniivaun chipo quirica hunaa hiromaxo jato casticati yohiquin cunuunivo ja jahayamaquin.
12-00	Articulo 12
12-01	Pishtacovin tzova ja jahacomun min hainya min vacuvoxanhpuhxon, nan jaton tapazan jato jiquinyamaxon, nan jato quirica nichinxonavaun jato yohihama jato vupunahanxon jato hayamatimunhqui. Jatoqui yovanquin "hiromamun nan jonihnu" quin jato yohiyamatimunhqui. Nan quiricanan jau cuzati yohiquin cunuunivo ja jahaquin jau cuzaquin quiyoo jato chituyovaatimunhnucanpu, jaton hainvoya jaton vacuvo jato cuzahantivo shinanquin.
13-00	Articulo 13
13-00	Raquirazi vopahi vohax raqui japahi jaton nutun jatimunhcanquihnucanpu.
13-01	Jaton nutunohax nututzan vohax jaquiriviz vupahi vutimunhcanquihnucanpu.
14-00	Articulo 14
14-00	Jau cuzayamaxo jato hachipaiiquin jato vunahaivaun j aton nutunohax nututzan votimunhcanquihnucanpu, jarixon jato chitunonvo.
14-01	Coonrocon hiromaquin jau cuzahax jaton nutunohax joconvahin nututzan paxahi voyamaticanquihqui, jato jarixon chitunonvo. Ja jahanovomun cuunyamahi Naciones Unidasquihqui.
15-00	Articulo 15
15-00	Quiyoo jonivo nututzarazinohax ciudadadnotimunhcanquihnucanpu.
15-01	Tzova pishtacovin jato "min nutunoha jonimatimun minhnupuhxon vutza nututzanoha jonimatimun minhnupu" quin tzova yohiyamatimunhqui nomun haruzquin.
16-00	Articulo 16
16-00	Jonix moha puxcoonix hainhaivaun caahirivi xanox puxcoonix vunitimun xanovohnucanpu janovirazi vihannatimunhcanquihqui. Nan yora joxoya vihannahax, nan yora chahoya vihannahax, nan yora vinshinya vihannahax, nan yora panshinya vihannahaxqui vihannatimunhcanquihqui. Vutza nututzarazin jahatoxrivi vihannahax, vutza Dios tanahaivovutanrivi vihannatimunhcanquihqui. Ja jahaquin jau cuzati yohiquin jaton nutunxon quirica cunuunivo ja jahaquin ja vihannaharazi jato jamun haquin chitutimunhcanquihnucanpu jununnaxorivi jato chitutimunhcanquihqui.
16-01	Pishtacovin tzova vihannanon vihannamapatimamunhqui. Jamun cuunhax vihannapahi vihannatimunhcanquihqui.
16-02	Juman jaha joni vacuya jaquinhsharaatimunhqui. Ja jato nichinhai honivaun jato chituyovaatimunhnucanpu, joni vacuyamun sharaacovinhqui.
17-00	Articulo 17
17-00	Maiyatan jauyapanan tzova hamamatimamunhqui. Joni naharivi jaquizti jauyaha jato jaquizti jauyayamanon yohitimamunhqui.
17-01	Pishtacovin tzova jamun haruzquin jau nininyamatimunhcanquihqui.
18-00	Articulo 18
18-01	Jamun jaurazi shinanpaiquin shinannovo jatimunhqui. Jamun shinanquirivi ratora sharaahqui shinanxon ratora hironianqui shinannovo jatimunhqui. Jamun Dios coonhoxanhquin coonyamanovo jatimunhqui. Jamun jaton hitinrivi quiyoovinin jaton Dios sharaaquin yohinovo jatimunhqui ja jahaqui yohihaiton. Vutza jonivutan sharaaquin yohihoxanhquin j atoztipan vahinxon yohihoxanhquin jaton tapazmuranxon yohinovo jatimunhqui. Jaton hitin jato vutzarazi ja jahaquin jau cuzanon honanmanonvo jatimunhqui. Jamun jaton Dios cuzaquin sharaaquin yohitirahqui yohixon, jamun jaton cuunman fiestanonvo jatimunhqui.
19-00	Articulo 19
19-01	Jamun jaton shinanun jau shinanxon jau yohipaiiquin yohinovo jatimunhqui. Jamun jau shinanhaito jato mucaaqui jaquin hayamanonvo jatimunhqui. Jamun jau honanpaiiquin honanxon jau nincaahoxanhquin quirica cunuunivo yovanxon cuzaquin shinanhirahcanihqui jamun shinannovo jatimunqui. Quiyoovinin quirica cunuuhoxanhquin jau shinanxon yohinovo jatimunhqui. Nututzanxon quiricanan jovi nututzan nichinpanan jato hamamayamatimunhnucanpu. Ja jahapaquin cunuuxon nichinhoxanhquin radionon yohiquin vutzarazin jau cuzaxon jovi camatimunhqui.
20-00	Articulo 20
20-00	Jamun tziztocohoopaiihi joni naha jaquizti tziztocohoonovo jatimunhnucanpu, tzovarocon mucaaqui jaquin hayamahi.
20-01	Tzovan jonitza nahax tziztocohoohaivaun jatovutan tziztocohoomapatimamunhnucanpu, j umahaito.
21-00	Articulo 21
21-00	Jamun quiyoovinin jaton nutun jaha hapon jau cuzaxanhquin shinanhain jatonrivi ja jahaxanhquin shinantimunhcanquihnucanpu. Ja j atonvi jau cuzahoxanhquin vutzarivi jato jau cuzaxontanon nichintimunhcanquihqui.
21-01	Quiyoovi jato jaton hapon jau vinonvo jatimunhnucanpu, vutza jato jau hinanhaivo ja jahaquin.
21-02	Quiyoovinin tzovax jaton hapocatzirahquiqui catootimunhcanquihnucanpu. Cutzahtin pishta varixutuu vinoohainmun ratocatzira jaton hapo vunaahquiqui, jato catootimunhcanquihqui. Jato catooxanhquin "elecciones" hatimunhqui j atorocon paranyamaquin. Jamun j aton shinanuruz quiyoovinin tzovax jaton hapocatzirahquiqui catooxanhquin quirica cunuutan nanutimunhnu, tzovan tzova catooxanhquinra hacanihqui honanyamanovo. Jamun jaa jato cuunhaivo jaa jato catoonovo hiitimunhnucanpu.
22-00	Articulo 22
22-01	Nutuztipan jaha joni quiyoo jaun muronyamahi jarimunhcanquihnucanpu. Joni jau hichayahton jaumahiz jaha jato jau hinantimunhnucanpu. Vutza nuturazirivi jau hichanicaton vutza nututza jaumahizha jau hinantimunhcanquihqui. Jato noviyamaquin jato zinaayamahavo ranoyamahi jatovutan jahax shinansharaaya jahax sharaanovo.
23-00	Articulo 23
23-00	Joni quiyoo jamun yonoopaiiquin yonoo vunahax yonoonovo jatimunhnucanpu. Ranoyamasharaahi sharaanox yonootimunhcanquihqui. Yonoo vunahaito jato yonoo vunaxontimun jaton hapohqui.
23-01	Joni ravuu jaquizti yonooquin jacaviz ravuu yonoohaito jato ja ravuuvi zunun copiitimunhqui.
23-02	Jato yonooxonai joni vacuya jato copiiyovaatimunhcanquihnucanpu, jau maxcaayamahi ranoyamahi jaha jato zinaayamaquin jato jaquinhnovo. Yonooxon coriiqui vihax japanavan zununyamahaito hiinquin jato jau hinantimun hapohqui.
23-03	Ja yonoohai joni jaquizti tziztocohoohax cuzhax yonootirahqui yohihi yovannovo jatimunhnucanpu. Jato
24-00	Articulo 24
24-01	Joni yonoohai quiyoo jovinnon jatimunhqui. Jovinhi jaxon jamun jau cuzapaquin jau cuzanonvo jatimunhqui, cuzacatzi hora naha yonoonon jato yohitimamunhqui. Tii varixutuuztirazi vinootan yonooyonoohi jovinhaito jato javi yonooyamahi jaha jato copiitimunhqui.
25-00	Articulo 25
25-00	Joni quiyoo ja vacuyarazin hizintivo shinanquin jaton vacuvo chituyovaanonvo jatimunhqui. Nan jiriti maxcaayamahax, nan chopan muronyamahax, nan jaton jati tapazyahaxqui janonvo jatimunhqui. Hizinhax hirooxanhquin jato rahonnon hospital vunaxon doctor vunatimunhcanquihqui. Yonoomahiz jaha quiyoo joni yonoo hinantimun hapohqui. Nanrazirivi jato jau hinantimun hapovohqui, joni hizinya, xanovo vunu namani, yovaaxunivo, ja cuzhax yonootima jonivoya ja jamuncovin hiruzhi jaun muronyamahi yonoopanavaun cuzhax hitimacun jahatiya jato jau hinantimun hapovohqui.
25-01	Nan xanovo tohoyavi nan vacu maxcorivi chituyovaatimunhnucanpu. Mutzonanhamahton vacunivaun mutzonananhahton vacuvocavizquin vacuvo jaquinhtimunhnucanpu.
26-00	Articulo 26
26-00	Jamun quiyoo escuelahnonvo jatimunhnucanpu. Escuela Primariaya Basica Laboral jiquixanhquin copiiyamatimunhnucanpu. Escuela Primarian vuiinon vacuvo nichintimunhqui. Nan jau cuzati honanyovaahax, nan yonoo yovaayacatzi nan doctorpaiihax, nan abogadopaiiquin quirica honanyovaahavo haruzquinovo jatimunhnucanpu. Quirica honanyovaacatzi quiyoovinix Universidad vuiipanavaun vuiitimacun jaa honanyovaa mishtin jato vuiimatimunhnucanpu. Jaa honanma mishtin jaton japan jato coriiquinin copiixonha javi honanmahax vuiipaihaito jato vuiimayamatimunhcanquihqui, javi yovacux coriiquiya jaton japa jacun.
26-01	Colegionxon jato jau honanmahavaun joni quiyoovinix shinan sharaayaxanhquin onantimunhcanquihnucanpu. Yoratzan derechorivi respetaxonxanhquin honantimunhcanquihqui. Quiyoovinin jumahaito jato hinaayamatimunhquirivi honannovo jatimunhqui. Nututzan jahamunhcanquihqui tzova yohiyamaquin jovitzan yovanhaitorivi xocotzamunhcanquihqui, jato yohiyamaxanhquin honantimunhcanquihqui. Colegionxon jato jau honanmahavaun Dios coonhoxanhquin Dios coonyamahirahcanihqui jato yohiyamahi j axanhqui honantimunhcanquihqui. Naciones Unidasan jau yohimacun yohihaito ja jahaquin yohiquihinxahinnon jato honanmatimunhqui rutunnativo shinanquin.
26-02	Joni vacuvoya jamun jaton shinannun cuzaxon jaton vacuvo jau honanmahirahcanihqui jato jati honanmanonvo jatimunhnucanpu.
27-00	Articulo 27
27-00	Jamun jaton fiestan jaurazi cuzahi nan vuahax, nan cunuuhaxquin jau sharaavo cuzanonvo jatimunhqui. Jamun jaton shinannun tzovan jau cuzayamahi jau ramixon vutza jonitzan jau raminicahtonrivi jahon jau cuzatimunhcanquihqui.
27-01	Tzova pishtan jau rami sharaahoxanhquin tzovan jau ja jahaquin cunuuyamanicun cunuuxo jato copiiyovaatimunhcanquihqui. Jatoncovinqui hayamanivaun hayooquin jau cuzahax hixon coriiqui visharaxanhquin jau cuzanivo tananon jayamatimunhcanquihqui.
28-00	Articulo 28
28-01	Cooncovin nututzarazinxon joni quiyopan nan quiricanan ja jahaxon jau cuzaxanhquin cunuunivo ja jahaquin jau cuzahirahcanihqui hiintimunhcanquihqui.
29-00	Articulo 29
29-00	Nocun comunidad jaha hapovaun nocu jau cuzanon yohicun ja jahaquin jau cuzatimunhnucanpu. Ja jahaquin jau cuzahi ranoyama sharaahi jatimun nonhqui shinan sharaayahtox.
29-01	Caaquinrivinon nocun nutunxon jau cuzati cunuunivaun ja jahaquin jau cuzahain caaquinrivi nututzanxon jau cuzati cunuunivo ja jahaquin jau cuzatimunhcanquihnu, nocu cuunyamahaito hinaayamahavan nocunrivi jatox cuunyamahaito jato hinaayamatimun nonhqui. Joni shinansharaayatimun nonhnucanpu, shinan sharaayamun nonhqui nocu honannovo jaxon jato jau cuzahato nocun nutunxon haquintimun nonhnucanpu, ranoyama sharaahi jaxon nocun hapovo catooxanhquin.
29-02	Naciones Unidasxon tziztocohooxon nan quiricanan cunuunivorazi ja jahaxon jau cuzaxanhquin yohiyamanivan ja jahaquin jau cuzayamatimunhnucanpu.
30-00	Articulo 30
30-01	Nan quiricanan jau cuzati yohiquin cunuunivo quiyoo jumayamaquin ja jahaquin jau cuzatimun nonhnucanpu. Joniztipax jumahonon naha jonin nan quiricanan cunuunivo jumaquin ja jahaquin jau cuzayamahaitonmun hiromaquin shinanhihcanquihnucanpu.
