00-00	XALK-ANTALAP TIN PUTAT AN CHABAL XOH-NI NI KO-YAL AN INIKTSIK
01-01	Kuentsal nap wah-chinal tee ti chabal jayechek-i antip wah-chinal, ba tama maxak a pulik maxak in exlal, jununul ani ni chap ani jaxtam ko-yal kip le-naxin ani ki k-ana ti ba.
02-00	Articulo 2°
02-01	Junih inik in ko-yal in chalap in ko-yal in kal dhutsal uluts bal ba ka awich kin te-lah tin ba jun max junih nin xich-al max ejekni o dhakni uxum oy inik in kawintal on belomtal xoh-kich anta ch-at-el k-ali politica xoh-nin chalpayal o jelat an ti kwajat, xonti wah-chinenek in ko-yal i tumin owa ch-ontal jayechek-i jelat anti kwajat.
02-02	Jayechk-i, ba neech ki uluw bal ba wa eynal max ka wa-chin k-iat jun i uw in dha-nel k-al juni tak-ix tee ti bitsow o pilakich anta tak-nal o tak-yal tin ba.
03-00	Articulo 3°
03-01	Ehtal juni inik oy uxum in ko-yal juni tsubaxtalap ka xe-chin te ti chabal, ani in ko-yal bal jajah ka chu-tat nin beltal.
04-00	Articulo 4°
04-01	Ba tama ka awich ka ko-yatwik-ats ani balak juni inik a ko-nalk-i ti chot nal; na kin lee-na kin ko-oy jelatak max wik-ats bawa eynal xoh-kich an ti kin lee-na.
05-00	Articulo 5°
05-01	Ba tama ka awich ka yatsikat k-ali chauxtalap k-ali wik-axte k-ali yajal tin iniktal, o na bawa eynal.
06-00	Articulo 6°
06-01	Ehtal an inik ani an uwum in ko-yal i tsubaxtalap kin k-aniy tin ba xoh-kich anti kwajat exlantal nin iniktal ti junih dhe-lid.
07-00	Articulo 7°
07-01	Kuentsal jayechek-ini ey o ni jalbil ti juni dho-lid ani i ko-yal jaye ka chu-tat ani ka dha-jan ti kuenta k-alan ta-kix, ani kuentsal anti ko-yal kip chu-tat kip k-anyat bal ba kip lehyahtsikat o kin leh ulumk-i axe, i dhutslap o kin ani kin lee-na, tayil kin jalk-uy nin kawintal.
08-00	Articulo 8°
08-01	Juni inik o uxum in walal bal ka pi-dhan ti melu tam kwajat ti dho-lid na max in cho-op, balka tax-ka tam ka lee-na uwandha o ka taxk-antsin nan walalani kwajat dhu-tsat ani wa exlap anti codigo nati kwajat an tsubaxtalap.
09-00	Articulo 9°
09-01	Ba tama ka awich ka telaba yak wan dho-lid o ka wik-an o ka adhindha.
10-00	Articulo 10
10-01	Juni inik oy uxum in walal o ka chu-tat jayechek-i ani ko-yal ka och-owyal k-al tama, akich ani xoh-kich ani kalih tsubaxtalap ti juni dho-lid tin kuetemtal o tin yanel, bal kin leeh-kiyni nain walal ani in ko-yal kin dha-ja ti kuenta kin chalpay alwa, tam ka lee-nah ka utsbiyat tin leeh tal ani elbad.
11-00	Articulo 11
11-01	Juni inik oy uxum utsbid k-alin walap in ko-yal bal kin jek-a tin ba, kin uluw bal ba, walbid, lejatakix a xalk-anal max walbid o ba, k-alna dhu-tsatanti Constitucion tan ti kin elah, jun bal kin jek-a tin ba.
11-02	Ba tama ka awich ka walbiyat k-al xoh-ni ni wachin o bal in chuu, tan-dho ti k-aleh max ba-ja in taka, jelat anti ulal anti dhutsat uw ni ten ti bitsow o pilakich i chabal, ba ka awich max ka walbiyat k-al nay exlal an walaptalap.
12-00	Articulo 12
12-01	Ba tama ka awich ka telaba dha-tsin tandho an tin iniktal o kal nin chikamiltsik, anti k-imah ani balak bal ka utsan tandho, tama a kich in ko-yal ka taxk-a k-al an dho-lid tam ka lee-nah ka dhatsin tandho.
13-00	Articulo 13
13-01	Tamaakich in ko-yal bal ka xe-chin xoh-kich k-alin kanamtal, a ni kin aliy xontakah kwajay xoh-kich an bitsow.
13-02	Tamaakich in ko-yal bal-ka k-aleh tee, o pilhih chabal o kin lee-nah, ka witsiy tin chabalil.
14-00	Articulo 14
14-01	Tam kah lee-nah ka yak-wan jun in ko-yal bal kin aliy xentakah pitk-an ka kuajay alwa xoh-kich an bitsow.
14-02	Axe i tsubaxtalap dhutsame ba ka awich ka kontsinstin bal ka yak-wan k-alan dho-lid k-alin walap o tam ba waach i tsubaxtalapk-alan junux bitsow.
15-00	Articulo 15
15-01	Tamaakich in ko-yal bal ka kwajay xoh-kich an chabal ani kin lee-kiy nin uwil.
15-02	Ba tama ka awich ka utsan bal baka awich ka kwajay ti pil i chabal bal putat i k-ih.
16-00	Articulo 16
16-01	An iniktsik ani an uxumtsik tam ka ulich an ki balkip tomkin jay baye i ko-yal i tsubaxtalap ani k-alin chalap xokich nin xich-al xokich nin bitsow o xoh-ni in belal, kin ehtow ka tomkin ani kin ko-oy junin k-wahtal, ko-yal ki ko-oy chab-lam i tsubaxtalap k-alan tomkintalap ani max ki lee-nahkip tomkin.
16-02	Ehtal nay ko-yali chalap ani i kulbetal ki ehtow kin tomkin.
16-03	Juni k-imad jach an juniklap alwa ani tanah tujel junih bitsow ani ko-yal i tsubaxtalap bal ka k-anedha k-al xontah tak-nal nin bitsow.
17-00	Articulo 17
17-01	Tamaakich inik oy uxum in ko-yali tsubaxtalap k-al nin k-al ta-kix nin ko-yal tin kwetemtal on yaneik-al.
17-02	Ba tama ka awich ka telaba tay antsin xoh-nin ko-yal.
18-00	Articulo 18
18-01	Tamaakich inik oy uxum in ko-yali tsubaxtalap bal ka xe-chin ani kin ko-oy in chalap anin belomtal, axe i tsubaxtalap ka awich jaye kin jalkuy an belmach o nin chalap, ka awich kin aluw xoh-nin belal xoh-nin chalpayal tin kwetamtal o ti junih yanel, xontah bihtsinal xoh-nin exobnal, ani xoh-nin dha-jal.
19-00	Articulo 19
19-01	Tamaakich in ko-yali tsubaxtalap kin uluw xoh-nin chalpayal, ani ba ka awich ka takan k-al xoh-nin ulal, ka awich kin konowiy ani kin bach-uw i kaw dhutsat o oltsidki; ani ki olnah xoh-nin ach-a xohkich anti kin lee-nah dhutsat o k-al padtal kaw.
20-00	Articulo 20
20-01	Tamaakich in ko-yali tsubaxtalap ka k-aleh xontip junkunal yanel xontih ba waach i jek-axtalap.
20-02	Ba ka awich ka dha-jan tama ka ochich xontih ban lee.
21-00	Articulo 21
21-01	Tamaakich in ko-yali tsubaxtalap ka k-aleh kin dha-ja xoh-nin dha-jal junih ta-kix ka utsan o ka tak-wyat.
21-02	Tamaakich in ko-yal i tsubaxtalap ka ochich, jelat ni k-iat bal kin kwah-na, an ti ta-kix an ti bitsow o xontip kwajil an pak-dha ta-kix.
21-03	Nin chalap an bitsow jach nin akan an dho-lid aniy awiltalap, axe i chalap wa xalk-anal tam ka k-wahbah juni dho-lid nina, wa neech dha-nal jelat tam bit-yat ti dho-lid k-alan voto ani ki dha-ja bal ka k-akna an voto.
22-00	Articulo 22
22-01	Tamaakich an inik oy uxum in kwajatsik junik i pubel an bitsow in ko-yal i tsubaxtalap k-al nin chap an bitsow anih junaxtalap anih tolmixtalap tin pubel an chabal, xoh-nin ko-yal an tumin ti jun bitsow in k-alnal jaye an tsubaxtalap, an junaxtalap anih xoh-ni exlal alwa-jaye ani na neech in exlal tin iniktal.
23-00	Articulo 23
23-01	Tamaakich in ko-yal i tsubaxtalap k-ali dho-tlap ani kin aliy in dho-labil max alwa, max jalbid ani ka k-anedha, anih ba ka jilan bak-ali dho-tlap.
23-02	Tamaakich in ko-yali tsubaxtalap bal kin bach-uw in jalbil jayechek-i jelat na jalbinal alwa.
23-03	Tamaa na dho nal in ko-yal junih tsubaxtalap ka pi-dhan tin jalbil k-idhat ani max ka awich, ka pi-dhan jaye wee max, kin ko-oy leeh-kid nin dhe-labil, jelat nin k-imadhil ka kwajay alwa, anih ka chu-tat tam jajah, in ko-yali yejentsixtalap.
23-04	Tamaakich in ko-yali tsubaxtalap kin dha-ja junih sindicato xonta ka chu-tat anih ka tolmintsin k-al nin dho-labil.
24-00	Articulo 24
24-01	Tamaa na dho-nal in ko-yal ka koyoch tam jelat, anih tamaa dho-na ba ka awich ka dho-jon ti max, ko-yal kin ko-oy junih koytalap anih ka jalbin tam bawa dho-nal.
25-00	Articulo 25
25-01	Tamaakich na dho-nal in ko-yal tsubaxtalap bal ka kwajay alwa tin k-imah, k-alin in tomkil ka kwajay k-anat, anih kin ko-oy in k-apwal, in kwa-tsimal, in k-imah, ani ka ilaliat, ka chu-tat k-al nap ilalix, in ko-yal jaye ka kwajay alwa k-al nin dho labil tam ka talpinal, tam ka yaulme , o kin k-ipdha junih pejech in iniktal, tam ka chemech nin tomkil, tam ka pubexich, o tam ka k-ibeh nin dho-labil k-al junih k-ibeltalap na ban dhi-lom.
25-02	Am chikam na ka wachin ko-yal jaye ka chu-tat. Kuentsal na ka wachin k-alin pailom anih k-al in mim, o naba in ko-yal in pailom ko-yal jaye ka chu-tat anih ka wachin taman kip chu-xin.
26-00	Articulo 26
26-01	Tamaakich i inik oy uxum in ko-yali tsubaxtalap kin wid-ta ti ajum, an aymach ba jalbid an aymach ma de-kat jalbinchja, an ko-yal ja ka exoblach in lee o ban lee, an ok-tsixtalap bali dho-lap ko-yal ka k-aleh lujuts, anih kin ehtow ka ochich xonti max d-ekat an aymach, jayechek-i bal kwentsal an dho-lap jelat anti kin ehtow.
26-02	An aymach in ko-yal bal ka dha-jan yan i dho-lap bal jun, bal kin ko-oy jun in chap anih ka k-aknaanih ka tolmintsin anih ka och-owyat, k-al nin exlomnawal k-al xowaakich, anih k-al ehtal an yanel xokich nin kawintal en belomtal, ka awich kin dha-ja in dho-lap bal tin pubel an chabal bal ka belat-na an alwatalap.
26-03	An pailomlap i ko-yali tsubaxtalap bal ki takuy an aymach xenkih lee-na ban ni chikamil.
27-00	Articulo 27
27-01	Tamaakich i inik oy uxum in ko-yal kin takuy xontin lee-na kin dha-ja o kin exla xonti kwajal an ti bitsow, anih ki exobna, xonkin jha-na, kin dha-ja xontin exlal bal ka k-ale alwa.
27-02	Tamaakich in ko-yal an tsubaxtalap bal kin ko-oy anih kin taxk-ah xoh-nin ko-yali tumin oy chabal on chabal on k-ima o xoh-nin ko-yal max, jajan k-al xoh-nin wachindhal xoh-nin exlal in dha-jal on ahtal anin chalpayal.
28-00	Articulo 28
28-01	Tamaakich an inik oy uxum in ko-yal bal ka kwajay jelat tin lee an yanel na tee ti bitsow o pil i chabal anin ko-yal i tsubaxtalap xonti ulumeh ti junih dhutslap xonti ulu lujuts.
29-00	Articulo 29
29-01	Tamaakich an anik oy uxum in ko-yal junih dho-lap kin dha-ja anih kin k-akna nin bitsow i tajah an tin ko-yal ehtal kin dha-ja xoh-nin exlal nin iniktal.
29-02	Xoh-nin dha-jal k-al xoh-nin exlai tan tin ko-yal kin k-a, kwajay k-anat anih alobel k-al kuentsal exat ka kwajay lee-badk-i xoh-nin ulal an ta-kixtalap exat bal kin ko-oy anih ka exla, anih ka k-akna anih kin ko-oy i tsubaxtalap anih kip kwajay libre k-al na k-iat. Anih kin ko-oy alwa in chalap bal kin konoy junih kawimtalap bal kuentsal anih kwajay alwa kuentsal ti junih yanel lujuts.
29-03	Axe i tsubaxtalap anih alwatalap baka awich dha-jan max ban cho-op xonti tujenek an junax bitsow.
30-00	Articulo 30
30-01	Ba ka awich tamaa kin jalk-uy jelat ti dhutsat o jun anti kin chalpay, jelat antin ulal axeh dhutsalap antip bitsow o jun bolleh y yanel o tin kwetemtal bal kin tujuw kin dha-ja, o kin lee-na, kin teh-na, kin telabah, jalk-uy xoh-ni kwajat dhutsat anih uluts k-al axe i uw.
