00-00	Tibilii hv nirori dii fev ra
16-02	Cvor ra dvonn dii fev ra thvon ke Thangba tini, a dona cece thvon, si a hana hvo, a teena tibila la fev na dii ra fev in ber wor.
17-00	Varpar 17
17-00	Tibil woo tibil, aa ha biel yaa wv joore, a hanane hvo a hana oo konkonthien.
17-01	Tibil woo tibil na punu wv taa wor oo konkonthiean'.
18-00	Varpar 18
18-01	Tibil woo tibil hanane hvo a kpiera thien, a hana filwe si a kpa hvo ke  peni haar, si thien na fir wva'; di hv vre ra n nirore a punune a fi a kpa hv kpii si thien na fir wva'; di dikhan wo di n nirore a hanane hvo a 'la  niro gbelengbelen oo hv ke a kpani yaa thien ke a jini, ado dibara a  yaa wv bulle too, ado nake tee jo ra yi yaa dikhanpa yi, di ther diiri ra, cvvrpa caar caar ra,fvori ra, na hv'yiir caar caar ra si thien na fir wva'.
19-00	Varpar 19
19-01	Tibil woo tibil hanane hvo a pael bine si a mii oo binthimi si thien na fi wva'; di n nirore hvo a haro di wa tuu maar bvno di do oo kpierno  nooa'; di di n ka nirore hvo harore dii na 'yaal a na fv thin nirori  kpiernoo ke haani yvo si a na gba e a pununi a na miina di wa nie dii svno na fev si leeri na haro nake gbea'.
20-00	Varpar 20
20-00	Tibil woo tibil hanane hvo a gbevkha na tibila si a ha gbuluni na kaanke haar'yii hani, si thien na fir wva'.
20-01	Tibil woo tibil na punu wv fir wv wv pe gbuluni naa'.
21-00	Varpar 21
21-00	Tibil woo tibil hanane hvo oo thethe yaa a ti tibil oo irir ra wv bulkha na oo dida wv jvvr thien ke hani le oo dvo si thien na fir wva'.
21-01	Tibil woo tibil hanane hvo a do thoma biel thomadopar ra le oo dvo na tibila fev.
21-02	Thvon ke dii raa too nani dvonn cece thien n 'bani dihiindara jala di wv n 'li pununi. Thvon ke ra wv nani teenane di the mo tibila fev  phiirni, si mvoli na haroa', dihiindara boo ke wv 'laanikha,  kunkuuni na haroa'; di wa niro tibil in ji inte ke wv n phiirnia' yaa a cvv cvv ca dikha dii ho wv n firre tibila' phiirpar raa'.
22-00	Varpar 22
22-01	Tibil woo tibil mo a hani tibilaa thinthiinn, a hanane hvo waan ber wothin puu naa daan thomadopar raa'; wv tiire a thiinn a haa hvo di da wor a ji lenlen thien a naa fv, a hana berri thin puu ra le thomadopar ra, gbevkha na e wv hananikha jiir biel; er teena di difi wv di cvv wv a kho ba'a di do bvo ke ra dii ra n doni, na mo dii svno na bulnikha a do nobie dvonn noo; di da the mo di dvvnn n gbeensini oo thethe na lenlen thien ke a hanani.
23-00	Varpar 23
23-00	Tibil woo tibil hanane hvo a do thoma, a 'yaal thoma ke a nani si thie na fir wva', a hana nobor a makhana e thoma 'yaali la di da wor si wv jiil wor a hana thoma a naa do.
23-01	Er fev hanane hvo wv 'li 'lvmini wv makha na mo wv n doni thoma a makha si daenbael wer na haro nake sii do gbe di haa'.
23-02	Tibil woo tibil ke n doni thoma, a hanane hvo ado da punune wv ' wv hv kpii puuwe naa daan thoma dopar ra, a 'li 'lvmini a  di borokha di tie na oo cotoo, dikhan a difiro, oo teedo ra naa gaala wv 'yekvlvo.
23-03	Tibil woo tibil hanane hvo a gbevkha na ekha wv kur sintika si a makha na sintika ekha waan hiinn oo hv kaanke a n doni thoma.
24-00	Varpar 24
24-01	Tibil woo tibil hanane hvo a hiir si a hana boo a thana jie si nake wv wur boo ra oo thoma do lier si wv 'lvmi wv boo ke a gbani konje.
25-00	Varpar 25
25-00	Tibil woo tibil hanane hvo a 'li 'lvmini ke boronikha a punu a  tonbi boo ke di si worni, a berna yvv si a naa hiina oo cotoo nake wv  thien waan kho, waan to, wv yi copar ra, wv gal dotorocvor wv hiinn  me a hana hvo wv bul wv mo teenani thilciir na 'lii le thomadopar  a hanane hvo wv jiil wor a na kv bvo boo ke aa n doni thomaa'  thoma kvene wva', a na kv bvo boo ke di n khuunia', boo ke aa  pununi baan', boo ke a doni khikhera' yaa boo ke oo kher ' tin bvoa' yaa bo vkha ra mo aa hanani thien a tena oo thethea' da doni oo ji si a cvv yia'.
25-01	Kher ke koni bi na bisaann ke a khoni pia' hanane hvo wv bul ye  sar si wv te ye te sar. Bisana na fev n hanane ceeri a  thomadopar ra ado nake ee thi na ee ni herkha si a kon ye yaa 'wedaari ra wv kon ye.
26-00	Varpar 26
26-00	Tibil woo tibil hanane hvo a gal nakol a 'li diiri. A teenane di do pee wv diir wv. Bisan yira kee nakol wer nake na cece diiri a teena wv 'lv wara'. Bisana na a teena wv faa ye cvor sii do wa n gal nakola', di  fanga thien. Diiri kaanke wv n diirni thomaduur na diiri ke ra n ' thoma, teenane di thv tibila fev di can; nakolco kontin luunn teenani tibila fev in 'laa wv 'luru wv makha mo inte teena yeni.
26-01	Diiri ra teenane di to teeduur daan perre, daan gaala 'yekvlvo  si di cvv guuri ke wv n guurani Tibilii hv na mo ke cece ra thien a  firni tibil di n do deea', in ti. Diiri ra teenane a gbev tibila waan ni boboi; 'yeekha na kuuni dii svno naa thinthiinn, teebira raa thi yaa dabulo svno naa thinthiinn yaa hvo ke inte kpani, in yoo; si  wo diiri teenane di cvv, Dii svno ke ra kpani gbev di wv n 'yaal haar'yii in hana, ee thoma ke wv n doni naa 'li baeaeni.
26-02	Thire na nire svno na dvonn cece tibila ke hanani hvo wv ti diir caar ke n gbeensini ee bisan svno waan diira ye.
27-00	Varpar 27
27-00	Tibil woo tibil hanane hvo, si thien na fir wva', a gbevkha na e a toonanikha pa biel waan cvvkha ca thien; a hanane hvo a yiro defiri e ra wv jini di wv n cvv, wv bulkha jiir ra in khon daan gal 'yekvlvo si wv tinekha defiri ke wa 'lini.
27-01	Tibila fev hanane hvo wv cee yer wv 'li defiri, wa gba ye filwe na thie ke wv tini dii the ee jiir fev ke ra wv hanani yaa sebehiini na na nyir ra na thien ke wv jini di wv n cvva'.
28-00	Varpar 28
28-01	Tibil woo tibil hanane hvo le oo dvo na di kpii ra , a pier nyanyaani  daaan'; me da ha si tibilaa hv ke wv hanani na mo deeduur pini, soni kier Nirori ke ra , in punu di hana fanga mo teenani.
29-00	Varpar 29
29-00	Tibil hanane e teenani a cvv dapa ke a tooni; thien ke pununi di cvv  dapa ra a tooni ha mo oo teedo naa nyirni tibila fevv 'yekvlvo na mo thien na fir wvnia'.
29-01	Mo inte naa iirni oo hv ra, da doni thien ha le di n fir wva', aa teena a cvv thien a kaansina jofi raa'; jofi ra n sor 'bilami aa haann in to difa oo olonkha a naa saa nooa', a naa fir wv si a mvol wva' yaa a  daenbaela'. Di jofi ra n 'yaale di do kaanke dii raa too hanani pununi  wv n phiirna dihiindara, thien in yoo, tibila in hana cvvpa bo  teenani, wa 'yaal nyanyaani in lona tibilaa thinthiina' si wa ka na na bocvvri tibila fev ra.
29-02	Hvo ke ra tibila hanani na mo thien a n fir yenia' na punu na do ye,  ha nake gbe, si ado mo ke Dii svno ke kpani gbev n kpierni si a pe haar di hana yia'.
30-00	Varpar 30
30-01	Tibil naa punu fi jofi biel nake kier Nirori ke ra, a di ha mo nake, si a  di ho hv dikha 'laare, a ha gbuluni yaa tibil biel, a gbuu yvv thin di cvvri ra yaa a naa cvv thin puu ke n 'yaalni di nyanyaann tibilii hv ke a hanani na mo thien a n fir wvnia', soni le Nirori ra raa'.
