00-00	DICIARASION UNIVERSALE DI DRITI DE PERSONN-E
02-02	Pe de ciu, no se faia nisciunn-a diferensa fonda in scia condision politica, giuridica o internasionale do Paize o do teritoeio a-o quae e personn-e apartegnan, segge pe-i Paixi indipendenti che pe-i teritoei sott’aministrasion fiduciaia, sens’outonomia, o sotomissi a ogni atra limitasion de sovranitae.
03-00	Articolo 3
03-01	Tutti gh’an drito a-a vitta, a-a libertae e a-a seguessa personale.
04-00	Articolo 4
04-01	Nisciun o saia sotomisso a scciavitu ni a servitu; a scciavitu e a traeta de scciavi son proibie in tutte e forme.
05-00	Articolo 5
05-01	Nisciun o saia sotomisso a tortue ni a penn-e o punisioin crudeli, inumann-e o degradanti.
06-00	Articolo 6
06-01	Tutti gh’an drito, in ogni posto, a-o riconoscimento da seu personalitae giuridica.
07-00	Articolo 7
07-01	Tutte e personn-e son paege davanti a-a lezze e gh’an drito, sensa distinsioin, a egoale protesion da parte de quella. Tutti gh’an drito a-a maexima protesion contra ogni discriminasion ch’a segge in violasion da prezente Diciarasion, comme contra tutto quello che posse asimenta a ta discriminasion.
08-00	Articolo 8
08-01	Ogni personn-a a gh’a drito a l’efetiva poscibilitae de ricorso a di tribunali nasionali conpetenti, pe difendise contra i atti che segian in violasion di driti fondamentali a le riconosciui da-a costitusion o da-a lezze.
09-00	Articolo 9
09-01	Nisciun o poria ese arbitraiamente arestou, detegnuo o eziliou.
10-00	Articolo 10
10-01	Ogni individoo o gh’a o drito, in condision de conpleta egoaliansa, d’ese sentio publicamente e con giustisia da ’n tribunale indipendente e inparsiale, pe-a determinasion di seu driti e de seu obligasioin o de acuze penali contra le.
11-00	Articolo 11
11-00	Tutte e personn-e acuzae de ’n delitto gh’an o drito d’ese prezunte inocenti mentre a no segge prova a seu corpa, in moddo legale e in giudisio publico, into quae agen avuo tutte e garansie necesaie pe-a seu difeiza.
11-01	Nisciun o saia condanou pe di atti o de omiscioin che a-o momento d’ese comissi no foisan delitti segondo o drito interno o internasionale. No s’inponia manco de penn-e ciu gravi che quelle aplicae a-o momento into quae o delitto o l’e staeto comisso.
12-00	Articolo 12
12-01	Nisciun o saia sotomisso a de interferense arbitraie inta seu vitta priva, inta seu famiggia, abitasion o corispondensa, ni a di atacchi contra o seu oeno e reputasion. Ogni personn-a a gh’a drito a-a protesion da lezze contra tae interferense o lexoin.
13-00	Articolo 13
13-00	Tutti gh’an drito a-a libertae de movimento e rescidensa drento a-o teritoeio de ’n Stato.
13-01	Tutti gh’an drito a sciorti da ’n Paize, incluzo o propio, e de ritorna a-o seu Paize.
14-00	Articolo 14
14-00	In caxo de persecusion, ogni personn-a a gh’a o drito de serca e de goedi d’azilo in atri Paixi.
14-01	Questo drito o no poria ese invocou contra de asioin giudisiali couzae da di delitti no politichi o da de asioin contraie a-i propoxiti e prinsippi de Nasioin Unie.
15-00	Articolo 15
15-00	Tutti gh’an drito a ’na sitadinansa.
15-01	A nisciun se ghe poria leva a seu sitadinansa o o drito de cangia sitadinansa.
16-00	Articolo 16
16-00	I ommi e e donne, a parti da l’etae adegoa, gh’an o drito de spozase e de forma ’na famiggia, sensa nisciunn-a restrision de razza, sitadinansa o religion. Gh’an anche paegi driti rigoardo a-o maiezzo, durante o maiezzo e into caxo ch’o segge desfaeto.
16-01	O spozalisio o poria ese contraeto solo co-o consenso pin e libero di futuri spozoei.
16-02	A famiggia a l’e l’elemento naturale e fondamentale da socjetae e a gh’a drito a-a protesion da socjetae e do Stato.
17-00	Articolo 17
17-00	Ogni personn-a a gh’a drito a-a propietae, segge personale o in comun con atri.
17-01	Nisciun o saia arbitraiamente privou da seu propietae.
18-00	Articolo 18
18-01	Ogni personn-a a gh’a drito a-a libertae de pensceo, de coscensa e de religion; quello drito o l’includde a libertae de cangia religion o creddo, e a libertae de manifestali, individoalmente o insemme a di atri, segge in publico che in privou, atraverso l’insegnamento, a pratica, o culto e l’oservansa.
19-00	Articolo 19
19-01	Tutte e personn-e gh’an drito a-a libertae d’opinion e d’esprescion; quello drito o l’includde a libertae de sostegni de opinioin sensa interferense e de serca, riseive e inparti informasioin e idee atraverso ogni mezzo e sensa limitasioin de confin.
20-00	Articolo 20
20-00	Tutti gh’an drito a-a libertae de riunion e d’asociasion paxifica.
20-01	Nisciun o poria ese costreito a apartegni a ’n’asociasion.
21-00	Articolo 21
21-00	Ogni personn-a a gh’a o drito de partesipa into governo do seu Paize, diretamente o pe via de di raprezentanti liberamente sernui.
21-01	Ogni personn-a a gh’a drito d’acesso, in condisioin d’egoaliansa, a-e fonsioin publiche do seu Paize.
21-02	A voentae do popolo a l’e a baze de l’outoritae do poei publico; questa voentae a saia espressa inte de elesioin outentiche che s’avian da tegni in moddo periodico, pe voto universale e egoale, ch’o saia anche segretto o segondo de procedue pe garanti a libertae do voto.
22-00	Articolo 22
22-01	Ogni individoo, comme menbro da socjetae, o gh’a drito a-a seguessa sociale e, atraverso o sforso nasionale e a cooperasion internasionale, e in relasion con l’organizasion e e risorse d’ogni Stato, a-a realizasion di driti economichi, sociali e colturali indispensabili pe-a seu dignitae e pe-o libero sviluppo da seu personalitae.
23-00	Articolo 23
23-00	Ogni personn-a a gh’a drito a travagia, a serne con libertae o seu inpiego, a goedi de de condisioin de travaggio giuste e sodifaxenti e a-a protesion contra a dizocupasion.
23-01	Ogni personn-a, sensa discriminasioin, a gh’a drito a egoale retribusion pe egoale travaggio.
23-02	Ogni personn-a ch’a travaggia a gh’a drito a-a retribusion giusta e sodisfaxente ch’a ghe posse asegua a le e a-a seu famiggia l’existensa conforme a-a dignitae umann-a, a quae a saia conplementa, in caxo necesaio, da atri mezzi de protesion sociale.
23-03	Ogni personn-a a gh’a o drito de fonda di scindacati e d’aderighe pe-a difeiza di proppi interesci.
24-00	Articolo 24
24-01	Tutte e personn-e gh’an drito a-o ripoezo e a-a demoa, o quae o l’includde a limitasion raxonevole de oe de travaggio e e ferie periodiche pagae.
25-00	Articolo 25
25-00	Ognidun o gh’a drito a ’n livello de vitta adegoou ch’o posse aseguaghe, a le maeximo e a-a seu famiggia, a sanitae e o ben, e sorvetutto l’alimentasion, o vesti, l’abitasion, l’ascistensa medica e i servissi sociali necesai; a-o maeximo moddo, o gh’a drito a-e aseguasioin in caxo de dizinpiego, moutia, invaliditae, vidoansa, vegiaia e atri caxi de perdia di mezzi de sostentasion pe de circostanse indipendenti da-a seu voentae.
25-01	A maternitae e l’infansa gh’an drito a-a cua e a l’ascistensa speciale. Tutti i figeu, segge nasciui into maiezzo che feua de le, gh’an i maeximi driti a-a protesion sociale.
26-00	Articolo 26
26-00	Ogni personn-a a gh’a drito a l’educasion. L’educasion a gh’a da ese gratoia, a-o meno quante rigoarda l’istrusion fondamentale e de baze. Questa a saia d’obligo. S’avia da generaliza a disponibilitae d’istrusion tecnica e profescionale; e l’acesso a-i studdi de graddo superio o saia paegio pe tutti in baze a-o merito.
26-01	L’educasion a gh’avia comme meta o sviluppo pin da personalitae umann-a e o rinforsamento do rispetto verso i driti de personn-e e e libertae fondamentali; a favoria a conprenscion, a toleransa e l’amicisia fra tutte e nasioin, e razze e e religioin, e a promovia o sviluppo de ativitae de Nasioin Unie pe-o mantegnimento da paxe.
26-02	I poae e e moae gh’avian o drito preferente de serne o tipo d’educasion che s’avia da da a-i seu figgi.
27-00	Articolo 27
27-00	Tutte e personn-e gh’an drito a partesipa con libertae inta vitta colturale da comunitae, a goedi de arte e a partesipa into progresso scentifico e inti seu benefissi.
27-01	Ognidun o gh’a drito a-a protesion di interesci morali e materiali che corispondan a-e produsioin scentifiche, leteraie o artistiche de quae o foise l’outo.
28-00	Articolo 28
28-01	Ogni personn-a a gh’a drito a ’n ordine sociale e internasionale into quae i driti e e libertae proclamae inte questa Diciarasion vegnan conpletamente efetivi.
29-00	Articolo 29
29-00	Ognidun o gh’a di dovei verso a comunitae, perche solo inte le o peu svilupa a seu personalitae conpletamente e con libertae.
29-01	Inte l’ezercisio di seu dovei e libertae, tutti saian sotomissi unicamente a-e limitasioin stabilie da-a lezze co-o solo propoxito d’asegua o riconoscimento e o rispetto di driti e e libertae di atri, e de conpi co-e giuste ezigense da morale, de l’ordine publico e do ben generale inte ’na socjetae democratica.
29-02	Questi driti e libertae no peuan ese ezercitae, inte nisciun caxo, in opoxision a-i propoxiti e prinsippi de Nasioin Unie.
30-00	Articolo 30
30-01	Ninte inte questa diciarasion o poria ese interpretou comme inplicante do drito, pe quae se segge Stato, gruppo o personn-a, a ezercita de ativitae o a porta avanti di atti pe-a distrusion di driti o de libertae inte le proclamae.
