00-00	DECLARASYON INIVESEL DWA DE LOM
10-01	Chak moun gen dwa, egal ego, as ke yo koute koz li kou koz nenpot ki lot moun, devan yon piblik, devan yon tribinal ki pa depann de peson anpi ki baye bon pwa ak bon mezi, ki kab deside sou dwa ak devwa moun nan, o swa si akizasyon yo pote kontli la lwa konsiderel kom jis.
11-00	ArtikAtik 11
11-00	Nenpot ki moun yo ta akize de move zak sou yon lot, sipose inosan jiskaske la lwa rekonet ke li koupab, nan yon prose piblik, kote yo dwe bali tout garanti nesese pou li defann tet li.
11-01	Yo pap ka kondane peson pou aksyon o swa manklman ke, le moman yo tap komet yo, yo pat konsidere yo kom yon move zak, dapre dwa nasyonal oubyen ientenasyonal. Menme jan, yo pap ka mete diplius sou kondanasyon you moun ke sa la lwa te rekonet la le moman move zak-la te komet.
12-00	ArtikAtik 12
12-01	Yo pap ka ak la fos entre nan afe ki regade vi prive yon moun, fanmi-li, kay-li o swa let kel ekri o swa kel resevwa, ni sal lone li ak repitasyon li. Tout moun gen dwa gen pwoteksyon la lwa kont zak sa yo.
13-00	ArtikAtik 13
13-00	Tout moun gen dwa sikile libreman epi tou chwazsi kote li pral rezide-a nan peyi-a.
13-01	Tout moun gen dwa kite nenpot ki peyi, menm pal tou, epi retounen nan peyi l.
14-00	ArtikAtik 14
14-00	Lo gen pesekisyon, tout moun gen dwa cheche lazil epi beneefisie lazil nan lot peyi.
14-01	Dwa sa-a li pa ka aplike le se pouswiv yap pouswiv yon moun pou krim dwa komen o swa pou ajisman ki kontre ak entanNasyon epi princip Nasyon Zini.
15-00	ArtikAtik 15
15-00	Tout moun dwe genyen yon nasyonalite.
15-01	Yo pa sa wete nasyonalite yon moun ak la fos, ni yo pa sa anpechel chanje nasyonalite.
16-00	ArtikAtik 16
16-00	DDepi yo gen laj la, yon gason ak yon fanm, kel ke swa ras yo, nasyonalite yo o swa relijyon, gen dwa marie o swa fonde yon fanmi. Yo gen dwa egal ego devan mariaj, pandan mariaj epi le yap divose.
16-01	Mariaj pa sa fet si se pa ak lib konsantman moun ki pral marie yo.
16-02	La fanmi se eleman natirel ki pi enpotan la sosyete epi li gen dwa genyen pwoteksyon la sosyete ak leta.
17-00	ArtikAtik 17
17-00	Tout moun, kit li poukol kit li ak moun, gen dwa posede yon byen.
17-01	Yo pa gen dwa wete byen yon moun nan men li ak la fos.
18-00	ArtikAtik 18
18-01	Tout moun gen dwa poul gen libete panse, libete konsians li ak relijyon li; dwa sa-a konpran tou libete pou li chanje de relijyion obyen fason li pnanse, libete manifeste relijyion li o swa fason li pnanse, poukol osnon ak lot moun, kit li devan yon piblick kit li nan prive, pa mwayen lanseyman, pwatik, sevis-la ak seremoni-yo.
19-00	ArtikAtik 19
19-01	Tout moun gen dwa a libete lide yo ak lapawol yo, kidonk dwa pou yo pa enkiete yo a koz lide yo ak dwa tou pou yo cheche, resevwa epi tou piblye, san konsiderasyon fwontie, enfomasyon ak lide pa nenpot ki mwayen ki ekziste pou yo piblye yo.
20-00	ArtikAtik 20
20-00	Tout moun gen dwa gen libete fe reinyon ak asosyasyon san zam.
20-01	Yo pa ka oblije peson manm yon asosyasyon.
21-00	ArtikAtik 21
21-00	Tout moun gen dwa patisipe nan direksyon zafe piblik peyil, swa direkteman, swa pa lentemedie repreesantan kel chwazi an tout libete.
21-01	Tout moun gen dwa okipe, nan kondisyon egalite, pos piblik peyi li.
21-02	Volonte yon peup se baz otorite pouvwa piblik; volonte sa-a dwe manifeste li nan eleksyon onet ki dwe fet nan enteval fiks, ak patisipasyon tout sitwayen, ak vot sekre osnon ak yon metofd ki ta menm jan ak sa-a depi li asire libete vot-la.
22-00	ArtikAtik 22
22-01	Tout moun, kom manm la sosyete, gen dwa gen sikirite sosyal; sekirite sa-a, yo kreyel pou moun jwen satisfaksyon dwa ekonomik, sosyal ak kiltirel ki endispansab pou diyite ak devlopman lib pesonalitel, gras a jeefo nasyonal ak kooperasyon entenasyonal, depandan de oganizasyon ak resous chak peyi.
23-00	ArtikAtik 23
23-00	Tout moun gen dwa revandike dwa travay, gen dwa chwazi libreman travay li, nan de kondisyon ki bon, ki jis, ak pwoteksyon kont chomaj.
23-01	Tout moun gen dwa, san pati pri, aske yo peyel yon sale egal pou yon travay egal ak sa yon lot fe.
23-02	Tout moun kap travay, yo dwe bali yon sale jis epi ki satisfezan, ki kapab asirel, ansanm ak fanmi li, yon ekzistans ki an ako avek diyite moun epi completeetou, si gen posibilite, pou yo ta konpletel ak tout lot mwayen pwoteksyon sosyal.
23-03	Tout moun gen dwa fonde sendika ak lot moun osnon entre nan sendika pou defann entere yo.
24-00	ArtikAtik 24
24-01	Tout moun gen dwa gen repo ak amizman, ak yon limit rezonab pou dire travay-la epi, tout moun gen dwa tou a konje peye periodik.
25-00	ArtikAtik 25
25-00	Tout moun gen dwa pou yon nivo lavi ki kapab garanti lasante ak byenet yo ansam ak pa fanmi yo, epi tou garanti manje, abiye, kay, swen lasante avek sevis sosyal nesese yo; tout moun gen dwa pou yo genyen sikirite nan ka chomaj, maladi, paralesi, epi tou si mari o swa madanm mouri, nan ka vieyes o swa nan tout lot ka kote yon moun ta pedi mwayen poul viv, nan de sikonstans ke se pat volonte'l ki te vle li.
25-01	Matenite ak ti moun piti gen gen dwa a yon ed ak yon asistans espesyal. Tout ti moun, kit yo fet nan mariaj, kit se andeyo mariaj, gen menm pwoteksyon sosyal la.
26-00	ArtikAtik 26
26-00	Tout moun gen dwa a levasyon. Levasyon dwe gratuis, di mwens lo se anseyman elemanite epi fondalnatal. Anseyman elemente obligatwa. Anseyman teknik ak pwofesyonel dwe jeneralize; antre nan etid siperie dwe ouve pou tout moun egal ego depandan de vale yon moun.
26-01	Vizion levasyon dwe pou fe fleri pesonalite moun ak ranfose respe dwa de lom ak libete fondalnatal. Li dwe tou ankouraje konesans, tolerans ak lamitye ant tout nasyon, tout gwoup ras moun o swa tout relijyon, epi tou ankouraje devlopman aktivite Nasyon Zini pou mentni la pe.
26-02	Paran yo, en premie, gen dwa pou yo chwazi ki kalite levasyon pou yo bay pitit yo.
27-00	ArtikAtik 27
27-00	Tout moun gen dwa patisipe libreman nan aktivite sou la vi kiltirel kominote-a, jwi la vi atistik-la epi paticipe nan pwogre la sians ak avantaj ki soti nan pwogre sa-a. epi aux bienfaits qui en resultent.
27-01	Tout moun gen dwa genyen pwoteksyon entere lespri ak entere tout bon vre ki soti nan tout pwodiksyon la sians, literati epi tou atistik ke moun sa-a ta pwodwi.
28-00	ArtikAtik 28
28-01	Tout moun gen dwa aske ekziste, sou plan sosyal ak sou plan entenasyonal, yon lod kote dwa ak libete ki pwoklame nan Deklarasyon sa a kapab aplike tout bon vre.
29-00	ArtikAtik 29
29-00	Chak moun gen devwa padevan kominote-a, kote se sel kote devlopman lib tout bon pesonalite li kapab realize.
29-01	Nan itilizasyon dwa li yo epi nan la jwisans libete li yo, yon moun dwe soumet li devan limitasyon ke la lwa selman tabli, pou asire rekonesans ak respe dwa ak libete lot moun epi tou pou satisfie bon jan ekzistans regleman la sosyete, lod piblik ak byenet jeneral nan yon sosyete demokratik.
29-02	Dwa ak libete sa yo, yo pap kapab, nan okenn ka, itilize yo lot jan ke selon vizion ak pwencip Nasyon Zini.
30-00	ArtikAtik 30
30-01	Okenn nan disposisyon Deklarasyon sa-a pap ka entepwete kom kwa yon leta, yon gwoupman o swa yon moun, ta ka gen yon dwa kelkonk poul ta tanmen yon aktivite obyen komet yon zak ki ta vle abouti a destriksyon dwa ak libete ki pwoklame na Deklarasyon-an.
