00-00	shijierenquanxuanyan
18-01	renrenyousixiang, liangxinhezongjiaoziyoudequanli;zhexiangquanlibaokuogaibiangerendezongjiaohuoxinyangdeziyou, yijidanduhuojiti, gongkaihuoqiaoqiaodeyijiaoyi, shijian, libaihejielubiaoshigerendezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, hetongguorenhemeijiehebulunguojiexunqiu, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-01	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-02	renherenbudeposhilishuyumou1tuanti. 
21-00	di21tiao
21-01	renrenyouzhijiehuotongguogerenxuandedaibiaocanyuzhilibenguodequanli. 
21-02	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-03	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuyingyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshougerendezunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian, zhezhongshixianshitongguoguojianuliheguojihezuobingyizhaogeguodezuzhiheziyuanqingkuang. 
23-00	di23tiao
23-01	renrenyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhengheheshidegongzuotiaojianbingxiangshoumianyushiyedebaozhang. 
23-02	renrenyoutonggongtongchoudequanli, bukeyishoudaorenheqishi. 
23-03	mei1gegongzuoderen, youquanxiangshougongzhengheheshidebaochou, baozhengshitagerenhezijiarenyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-04	renrenyouweiweihugerendeliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxihexianxiadequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-01	renrenyouquanxiangshouweiweichigerenhejiashudejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozaiqitabunengkongzhideqingkuangxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-02	laomahewawayouquanxiangshoutebiezhaoguhexiezhu. 1qiertong, wulunhunshenghuofeihunsheng, douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-01	renrendouyoushoujiaoyudequanli, jiaoyuyingdangmianfei, zhishaozaichujihejibenjieduanyinggaishizhonggede. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelejie, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-03	laodielaomaduigerendewawasuoyingshoudejiaoyudezhonglei, youyouxianxuanzedequanli. 
27-00	di27tiao
27-01	renrenyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-02	renrenduiyouyugerensuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuideheguojidezhixu, zaizhezhongzhixulitou, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-01	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuilitoutadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-02	renrenzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-03	zhonggexiequanliheziyoudexingshi, wulunzairenheqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanlitouderenhetiaowen, budejieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingwei. 
