00-00	KITANGELU KYA NGONGO YA ITOKELU YA MUTHU
02-01	Muthu ni muthu utena kuditundisa mu itokelu yoso ni ufolo woso wakolo mu kitangelu kiki bha kambe katungu ka kikonda , ka kudifangana, ka mukutu, ka dizwi, ka kusamba, ka ilunji ya wanji mba ka ilunji ya kamuka, ka dimatekenu dya ixi, mba dya kisangela, ka wenji, ka uvwalelu mba ka ukexilu woso wakamukwa.
02-02	Ki enda bhanga katungu kalungu mu mabatwilu a wanji, a kitumu mba a jixi joso ja ixi mba ja ididi yatokala o muthu, kuma o ixi yi mba ididi ikala ni wembu, ni xamenena, mba a ite kisukisu kya ungana.
03-00	KAKIBATU KATATU
03-01	Kana muthu ukala kumuta mu ubika ne mu kibikilu, o ubika ni o kusumbisa abika yene a ifudisa kutandi dya ifa ye yoso.
04-00	KAKIBATU KAWANA
04-01	Kana muthu ukala kumujikila ku mpaxi ne tumbu mba kibangela kya tote, kya yama mba ya iba.
05-00	KAKIBATU KATANU
05-01	Muthu ni muthu wala ni kutokala o kumwijya mu ididi yoso o kijingu kye kya dimanda.
06-00	KAKIBATU KA SAMANU
06-01	Enyoso asoko ku pholo dya kijila ni wala ni kutokala se katungu o kilangelu kyasokela dya kijila. Enyoso ala ni kutokala o kilangelu kyasokelela kidita ku katungu koso ke kazanga o kizwelu kiki ni kudita mu kufunisa koso o moxi kutungu koko.
07-00	KAKIBATU KA SAMBWADI
07-01	Muthu ni muthu wala ni kutokala ni kilengo kyatenena ku photo dya jimbonge ja kufunda dya jixi jatenena jidita ku ibangelu izanga o ilunga yatokala yadyanga ke yene yejya ku mukanda wa kusokeka dixi mba ku kijila.
08-00	KAKIBATU KA DINAKE
08-01	Muthu ni muthu utena kukala kumukuta se kikuma, kumukwata mba ku mukaya mu ixi.
09-00	KAKIBATU KA VWA
09-01	Muthu ni muthu wala ni kutokala, mu kusokela kwa tenena, ku ke o kikuma kye kikala ni kukijya kwa soko ni kuyuka ni kukanga ku mbonge ya kufunda ya dyehelela ni kuyuka, ke utolola wandala ku ilunga yatokala ye ni ya mu jiji, wandala ku dyando dya mulonga oso mu imbamba ya ijila yendesa kudita kwe mwene.
10-00	KAKIBATU KA KWINYI
10-00	Muthu oso a muxitala ku kibangelu kya iba mwene amufika kya kala ni kikuma kate ke o kituxi kye kikala kya yukise kyambote mu kubita kwa kibangelu ku mundu moso o ikwatesu yoso yatokala ku ngunji ye akala akwatesa mwene.
10-01	Kana muthu wakala ku mu balakala phala ibangelu mba kweha kuma, mu kithangana muke ene ai kukibanga ki kya bangele kibangelu kya kituxi ku ilunga yatokala mu ixi mba mu jixi mu kinyokyo, ki kala kulungulula koso koso hadi ya kolo lwavulu ke o ke ya kexile kumuta mu kithangana mu ke o kibangelu kya mulonga wai kukita.
11-00	KAKIBATU KA DIKWINI NIKAMOXI
11-01	Kanba muthu utala hadi ya kufunisa kwa ngo mu mwenyu we wa mu tokala, mu mwiji we, mu inzu ye mba mu kudibana kwe, ne kwantala o kijingu ni ungana we.
12-00	KAKIBATU KA DIKWINI NI KAYADI
12-01	Kana muthu utala hadi ya kufunisa kwa ngo mu mwenyu we wa mu tokala, mu mwiji we, mu inzu ye mba mukudibana kwe, ne kwendala o kijingu ni ungana we, muthu oso wala ni kutoxala o kilangelu kya kijila kudita ku ifunisu ini mba o yandelu ini.
13-00	KAKIBATU KA DIKWINI NI KITATU
13-00	Muthu woso wala o kutokala dya kwenda folo oso xi dya kunona o dibata dye moxi dya ixi, (yadi) koso-koso muthu wala o kutokala dya kutunda dya ixi yoso kubunda we yo, ni dya kuvutuka mu ixi ye.
13-01	[Missing?]
14-00	KAKIBATU KA DIKWINI NI KIWANA
14-00	Ku pholo o kunyengana, muthu woso wala o kutokala dya kusota kizwamenu ni dya ixi yoso kubunda we ye, ni dya kuvutuka mu jixi jyengi.
14-01	[Missing?]
15-00	KAKIBATU KA DIKWINI NI KITANU
15-00	Muthu woso wala kutokala o kivwaluke kimoxi.
15-01	Kana muthu utena kukala ngo ku mu katula dya o kivwaluke kye , ne dya utokala dya kutungulula o kivwaluke.
16-00	KAKIBATU KA DIKWINI NI KISAMANU
16-00	1 tunde dya kya kusakana, o dyala ni muhetu se koso kitatesu kya kikonda, kya kivwaluke mba kya ngeleja, wala o kutokala dya kusakana ni kwimika mwiji. Ene ala ni kutokala kwa sokelela mu ithangana ya kusokana ni kyoso kya diwanesu dya.
16-01	2 kusakana kutena kuzala kusuka nghi ni folo ni kitenenu kya kixikinu kya asakane eza.
16-02	3 mowiji ene o ngamba ya kivwaluke ni ya dyanga dya sengu ni wala kutokala o kilangelu dya sengu ni dya nguvulu.
17-00	KAKIBATU KA DIKWINI NI SAMBWADI
17-00	Muthu oso, kala mwene ngho kala mu mundu, wala kutukala wenji.
17-01	Seku muthu utena kukala ngho kumukatula o wenji we.
18-00	KAKIBATU KA DIKWINI NI DINAKE
18-01	Muthu oso wala kutokala o kubuluka mu kubanza, kilunji ni ngeleja.
19-00	KAKIBATU KA DIKWINI NI DIVWA
19-01	Ngamba woso wala kutokala o kubuluka dya kubalula ni dya kuzwela.
20-00	KAKIBATU KA MAKWINYI A YADI
20-00	Muthu oso wala kutokala o kubuluka dya kudyongeka ni dya isangela ya tululuka.
20-01	Seku muthu utena kukala ku mujijila dya kubanga kuzanguka dya kisangela kimoxi.
21-00	KAKIBATU KA MAKWINYI A YADI NI KAMOXI
21-00	Muthu woso wala o kutokala dya kubanga mbandu ku dyantu dya mihindu ya mundu dya ixi ye, wandala mwene-mwene wandala bhu kaxi dya mukwa wa mu solo mu vontadi.
21-01	Muthu woso wala kutokala o kujikina, mu kikexilu kya kukusokelela, o ikalakalu ya mundu ya ixi ye.
21-02	O kwandala kwa mundu kwene o kudyanga dya ungana dya itenenu ya mundu; o kwandala kuku kwatokala kujumbuluka mu kusola kwa tululuka kutokala kukala kididi mu ithangana ya kisolelu kya ngongo kya difu ni mu divoto dya kaswekele, mba kukayela kibangelu kimoxi kya difangana kikwatesa o kubuluka dya divoto.
22-00	KAKIBATU KA MAKWINYI A YADI NI KIYADI
22-01	Muthu woso, kyoso mbanji dya kisangela, wala kutokala o kikwatesu kya kisangela, mwene mwa xikama mu kutena dya kisakidila dya itokelu ya wenji, wa isangela ni ya ifwa ni ibangelu yatokala o kijingu kye ni mu folo ya kukulisa dya kijinga kye, sakidila mu jinguzu ja ixi ni o kudibana mu ngongo, mukala mukwijya o kisangela ni o jimbote dya kala ixi.
23-00	KAKIBATU KA MAKWINYI A YADI NI KITATU
23-00	Muthu woso wala kutokala mu kikalakalu, mu folo kunona dya kikalakalu kye, o ikexilu ya soko ni ikwatesa dya kikalakalu ni o kukwatesa kudita ku kamba kikalakalu.
23-01	Enyoso ala kutokala, se katungu, o nganyo imoxi ya sokelela phala kikalakalu kimoxi kyasokelela.
23-02	Woso ukalukala wala kutokala o nganyo imoxi ya difangana ni ya tenena ikwatesa kiniki kala o mwiji we mu kulaya kabhasa o kijingu kya muthu ni umubandesa, se kyatokala kuya, mu yoso o imbambu ya mukwa ya kilangelu kya kisangela.
23-03	Muthu woso wala kutokala dya kubhanga, ni akwa, jisindikatu ni kubokona mu jisindikatu phala o kuzokela o itokelu ya.
24-00	KAKIBATU KA MAKWINYI A YADI NI KIWANA
24-01	Muthu woso wala kutokala makuhemena ni makembu ni tutanga o kisukilu kimoxi kyabhexa kya thempu kya kikalakalu ni o kuhemena kwa futa mu ithangana.
25-00	KAKIBATU KA MAKWINYI A YADI NI KITANU
25-00	Muthu woso wala kutokala o nividi imoxi ya mwenyu watenena phala kukwatesa o kudisanza kwe, o kikexilu kye kyawaba ni o kya mwiji we phala o kudya, o kuzwata, o dibata, o ilangelu ya jimetuku kiniki kala phala o ixala kalu ya kisangela yatokala; mwene wala kutokala o kikwatesu mu kikuma kya kukamba kikalakalu, mu uhaxi, mu unema, mu utudi, mu kukuta mba mu ikuma ya mukwa ya kutexika o imbamba ye ya kulaya mu ubitilu dya ibidi ki ya tokala mu vontadi ye.
25-01	O kavwadi ni undenge wala kutokala o kizokelu kimoxi ni kilangelu ya tenena. O jindenge joso avwala mu kusakana mba kukanga dye, ala ni kikwatesu kyadifangana mu kisangela.
26-00	KAKIBATU KA MUKWINYI A YADI NI KISAMANU
26-00	Muthu woso wala kutokala o kumulongesa, o kulonga kwatokala kukala kwa favolo, kwa bhexa mu ke mwa tokala o kilongelu kya muthu ni kya dyanga. O kilongelu kya muthu kyene a kijijila. O kilongo kya umesene ni ufunu kyatokala kukala mu kusanzuka; o kutena kwa ilonge ya tundu ya tokala kukala yojukuke mu kitala kya kusokelela phala enyoso mu kibangelu kya kijingu kye.
26-01	O kilongelu kyatokala kusanga o kitala kya kujukula dya kilunji kya muthu ni o kuswinisa dya kuxila dya itokelu dya muthu ni dya ufolo ya dyanga. Kyene kyatokala kwahula o kilunji. O kutetuluka ni o ukamba bhukaxi dya jixi joso ni jiphunga yoso ja miji mba ja ngeleja, kyene kala o kukula kwa ikalakalu ya jixi ja dibundu phala o kikwatesu kya kutululuka .
26-02	O jixi jala, mu kutokala, o kitokelu dya kunoxa o ukolo dya kilongelu phala kubana ku jindenge jye.
27-00	KAKIBATU KA MAKWINYI A YADI NI SAMBWADI
27-00	Muthu woso wala okitokelu dya kubanga mbandu mu kwandala kwe o mwenyu wa kwijya kwa sengu, dya kukemba dya ufunu ni kubanga mbandu ku kukula kwa kwijya ni ku jimbote ke kwe jitunda.
27-01	Ngamba ni ngamba wala kutokala o kilangelu kya yandelu ya mixima ni ya imbamba itunda ku ikalakalu yoso ya kwijya kwa kusoneka mba ufunu kwambe mwene o ngane.
28-00	KAKIBATU KA MAKWINYI A YADI NI DINAKE
28-01	Muthu woso wala kutokala o ke kyala, mu mbandu ya kisangelu ni mu mbandu ya ngengo, kituninu kimoxi kyene kala o itokelu ni ufolo twa tange mu kizwelu kiki atokala mwene kusanga o kitala kya wika.
29-00	KAKIBATU KA MAKWINYI A YADI NI DIVWA
29-00	O muthu wala ibezelu phala o sengu muke ngho ya dyeha ni kitala kya kukula dya kilunji kye kyene kitena.
29-01	Mu kubanga kwa itokelu ya ni mu kukemba kwa ufolo ya, kala ngamba mwene ngho amukondeka mwa soko ya tunina ku kijila kutungula mu kutala o kikwatesu o kwijya ni ijijilu ya mbote ya kuzwela, ya kituminu kya mundu ni dya kikexilu kyambote kya enyoso mu kisangela kya kudivwisa.
29-02	Itokelu ye ni ufolo ki itena, mu kikuma kyoso-kyoso kukibanga mwengi mu kwandala ni ituminu dya jixi jadibundu.
30-00	KAKIBATU KA MAKWINYI A TATU
30-01	Kana kituminu kya kizwelu kiki kitena kukala kukitungununa kala kukita phala nguvulu imoxi, phunga imoxi mba ngamba imoxi kitokelu kyoso-kyoso kimoxi dya kubanga o kukalakala kumoxi mba dya kubanga kibangelu kimoxi kitena o kuzanga kwa itokelu ni ufolo ke yene bhaba twa tange.
