00-00	PANDAIGDIG NA PAGPAPAHAYAG NG MGA KARAPATAN NG TAO
11-01	Walang taong ituturing na nagkasala ng pagkakasalang pinarurusahan dahil sa ano mang gawa o pagkukulang na hindi isang pagkakasalang pinarurusahan, sa ilalim ng batas pambansa o pandaigdig, noong panahong ginawa iyon. Hindi rin ipapataw ang parusang lalong mabigat kaysa nararapat nang panahong magawa ang pagkakasalang pinarurusahan.
12-00	Artikulo 12
12-01	Walang taong isasailalim sa di-makatwirang panghihimasok sa kanyang pananhimik, pamilya, tahanan o pakikipagsulatang ni sa tuligsa sa kanyang karangalan at mabuting pangalan. Ang bawat tao'y may karapatan sa pangangalaga ng batas laban sa gayong mga panghihimasok o tuligsa.
13-00	Artikulo 13
13-00	Ang bawat tao'y may karapatan sa kalayaan ng pagkilos at paninirahan sa loob ng mga hanggahan ng bawat estado.
13-01	Ang bawat tao'y may karapatang umalis sa alin mang bansa, pati na sa kanyang sarili, at bumalik sa kanyang bansa.
14-00	Artikulo 14
14-00	Ang bawat tao'y may karapatang humanap at magtamasa sa ibang bansa ng pagpapakupkop laban sa pag-uusig.
14-01	Ang karapatang ito'y hindi mahihingi sa mga pag-uusig na tunay na nagbubuhat sa mga pagkakasalang di-pampulitika o sa mga gawang nasasalungat sa mga layunin at simulain ng mga Bansang Nagkakaisa.
15-00	Artikulo 15
15-00	Ang bawat tao'y may karapatan sa isang pagkamamamayan.
15-01	Walang sino mang aalisan ng kanyang pagkamamamayan ng walang katwiran ni pagkakaitan ng karapatang magpalit ng kanyang pagkamamamayan.
16-00	Artikulo 16
16-00	Ang mga lalaki't babaeng may sapat na gulang ay may karapatang mag-asawa at magpamilya nang walang ano mang pagtatakda dahil sa lahi, bansang kinabibilangan o relihiyon. Nararapat sila sa pantay-pantay na karapatan sa pag-aasawa, sa panahong may asawa at pagpapawalang bisa nito.
16-01	Ang pag-aasawa'y papasukan lamang sa pamamagitan ng malaya at lubos na pagsang-ayon ng mga nagbabalak magkapangasawahan.
16-02	Ang pamilya ay likas at pangunahing pangkat sa sangay ng lipunan at karapat-dapat sa pangangalaga ng lipunan at ng Estado.
17-00	Artikulo 17
17-00	Ang bawat tao'y may karapatang mag-angkin ng ari-arian nang mag-isa gayon din na kasama ng iba.
17-01	Walang sino mang aalisan ng kanyang ari-arian nang walang katwiran.
18-00	Artikulo 18
18-01	Ang bawat tao'y may karapatan sa kalayaan ng pag-iisip, budhi at relihiyon; kasama sa karapatang ito ang kalayaang magpalit ng kanyang relihiyon o paniniwala maging nag-iisa o kasama ang iba sa pamayanan upang ipakilala ang kanyang relihiyon o paniniwala sa pagtuturo, pagsasagawa,pagsamba at pagtalima.
19-00	Artikulo 19
19-01	Ang bawat tao'y may karapatan sa kalayaan ng pagkukuro at pagpapahayag; kasama ng karapatang ito ang kalayaan at kuru-kuro nang walang panghihimasok at humanap, tumanggap at magbigay ng impormasyon at kaisipan sa pamamagitan ng alin mang paraan ng pagkakalat at walang pagsasaalang-alang ng mga hanggahan.
20-00	Artikulo 20
20-00	Ang bawat tao'y may karapatan sa kalayaan sa mapayapang pagpupulong at pagsasamahan.
20-01	Walang sino mang pipiliting sumapi sa isang kapisanan.
21-00	Artikulo 21
21-00	Ang bawat tao'y may karapatang makilahok sa pamahalaan ng kanyang bansa, sa tuwiran o sa pamamagitan ng mga kinatawang malayang pinili.
21-01	Ang bawat tao'y may karapatan sa pantay na pagpasok sa paglilingkod pambayan ng kanyang bansa.
21-02	Ang kalooban ng bayan ang magiging saligan ng kapangyarihan ng pamahalaan; ang kaloobang ito'y ipahahayag sa tunay na mga halalan sa pana-panahon sa pamamagitan ng pangkalahatan at pantay-pantay na paghahalal at idaraos sa pamamagitan ng lihim na balota o sa katumbas na pamamaraan ng malayang pagboto.
22-00	Artikulo 22
22-01	Ang bawat tao, bilang kasapi ng lipunan, ay may karapatan sa kapanatagang panlipunan at nararapat na makinabang sa pamamagitan ng pambansang pagsisikap at pakikipagtulungang pandaigdig at alinsunod sa pagkakabuo at mga mapagkukunan ng bawat Estado, sa mga karapatang pangkabuhayan, panlipunan at pangkalinangan na lubhang kailangan para sa kanyang karangalan at sa malayang pagpapaunlad ng kanyang pagkatao.
23-00	Artikulo 23
23-00	Ang bawat tao'y may karapatan sa paggawa, sa malayang pagpili ng mapapasukang hanapbuhay, sa makatarungan at kanais-nais na mga kalagayan sa paggawa at sa pangangalaga laban sa kawalang mapapasukang hanap-buhay.
23-01	Ang bawat tao'y may karapatan sa kapantay na bayad ng kapantay na gawain, nang walang ano mang pagtatangi.
23-02	Ang bawat taong gumagawa ay may karapatan sa makatarungan at nababatay sa kabayarang tumitiyak sa kanyang sarili at sa kanyang pamilya ng kabuhayang karapat-dapat sa karangalan ng isang tao, at pupunan, kung kailangan, ng iba pang paraan ng pangangalangang panlipunan.
23-03	Ang bawat tao'y may karapatang magtatag at umanib sa mga unyon ng manggagawa para sa pangangalaga ng kanyang mga kapakanan.
24-00	Artikulo 24
24-01	Ang bawat tao'y may karapatan sa pamamahinga at paglilibang, kasama ang mga makatwirang pagtatakda ng mga oras ng paggawa at may sahod sa mga pana-panahong pista opisyal.
25-00	Artikulo 25
25-00	Ang bawat tao'y may karapatan sa isang pamantayan ng pamumuhay na sapat para sa kalusugan at kagalingan ng kanyang sarili at ng kanyang pamilya, kasama na ang pagkain, pananamit, paninirahan at pagpapagamot at kinakailangang mga paglilingkod panlipunan, at ng karapatan sa kapanatagan sa panahong walang gawain, pagkakasakit, pagkabalda, pagkabalo, katandaan at iba pang kakapusan sa ikabubuhay sa mga di-maiiwasang pangyayari.
25-01	Ang pagkaina at pagkabata ay nararapat sa tanging kalinga at tulong. Ang lahat ng bata, maging anak na lehitimo o di-lehitimo, ay magtatamasa ng gayon ding pangangalagang panlipunan.
26-00	Artikulo 26
26-00	Ang bawat tao'y may karapatan sa edukasyon. Ang edukasyon ay walang bayad, doon man lamang sa elementarya at pangunahing antas. Ang edukasyong elementarya ay magiging sapilitan. Ang edukasyong teknikal at propesyonal ay gagawing maabot ng lahat at ang lalong mataas na edukasyon ay ipagkakaloob nang pantay-pantay sa lahat batay sa pagiging karapat-dapat.
26-01	Ang edukasyon ay itutungo sa ganap na pagpapaunlad ng pagkatao at sa pagpapalakas ng paggalang sa mga karapatan ng tao at mga pangunahing kalayaan. Itataguyod nito ang pagkakaunawaan, pagbibigayan, at pagkakaibigan ng lahat ng bansa, mga pangkat na panlahi o panrelihiyon, at palawakin ang mga gawain ng mga Bansang Nagkakaisa sa ikapapanatili ng kapayapaan.
26-02	Ang mga magulang ay may pangunahing karapatang pumili ng uri ng edukasyong ipagkaloob sa kanilang mga anak.
27-00	Artikulo 27
27-00	Ang bawat tao'y may karapatang makilahok nang malaya sa buhay pangkalinangan ng pamayanan, upang tamasahin ang mga sining at makihati sa mga kaunlaran sa siyensiya at sa mga pakinabang dito.
27-01	Ang bawat tao'y may karapatan sa pangangalaga ng mga kapakanang moral at materyal bunga ng alin mang produksiyong pang-agham, pampanitikan o pansining na siya ang may-akda.
28-00	Artikulo 28
28-01	Ang bawat tao'y may karapatan sa kaayusang panlipunan at pandaigdig na ang mga karapatan at mga kalayaang itinakda sa Pahayag na ito ay ganap na maisasakatuparan.
29-00	Artikulo 29
29-00	Ang bawat tao'y may mga tungkulin sa pamayanan sa ikaaari lamang ng malaya at ganap na pagkaunlad ng kanyang pagkatao.
29-01	Sa paggamit ng kanyang mga karapatan at mga kalayaan, ang bawat tao'y masasaklaw lamang ng mga katakdaan gaya ng ipinapasya ng batas ng tanging sa layunin lamang ng pagtatamo ng kaukulang pagkilala at paggalang sa mga karapatan at mga kalayaan ng iba at sa pagtugon sa makatarungang kahilingan ng moralidad, kaayusang pambayan at ng pangkalahatang kagalingan sa isang demokratikong lipunan.
29-02	Ang mga karapatan at kalayaang ito ay hindi magagamit sa ano mang pangyayari nang nasasalungat sa mga layunin at mga simulain ng Mga Bansang Nagkakaisa.
30-00	Artikulo 30
30-01	Walang bagay sa Pahayag na ito na mapapakahulugan ang nagbibigay sa alin mang Estado, pangkat o tao ng ano mang karapatang gumawa ng ano mang kilusan o magsagawa ng ano mang hakbang na naglalayong sirain ang nakalahad dito.
