00-00	IN KIRAK -TSAPORONASOSH TPOTS ICHIGORO VANASIR TAPANA; SAMPATA MANTSIR TARINTSPA-ATCHA.
19-01	Tpots tsiyatssia chinakcho, tsiyatssia kamanpi atinari, vanari kamanchiya; vatsta tarintspa. Tsiyatssia mazinamam zadko, kirakamon natstayaro tsiyatssia yasapi atinari, vanari yasachiya; vatsta tarintspa.
20-00	Kamachtamarini 20.
20-00	Tpots vashonad shaniypani-atosin, pchidintspa.
20-01	Tpots shaniymam gatkinari, vani gatchiya; tamontarintspa.
21-00	Kamachtamarini 21.
21-00	Tpots goblernosh pshtopi-atinari, vani pshtochiya. Tpotsia tapshtopi-atinari, vani tapshtochiya. Pchidintspa.
21-01	Tpots goblernosh istapi-atinari, toxararintspa.
21-02	Gobieron magota tpotsia kasichpa. Yova tpots vashonad zadkana-anoa gobieron mazinachpa. Tpots vamatim orkari iposchillinpa; iposamam pchidintspa. Tpots izataro iposchiiiinpa; kirkamon -Nia tpots korakariniamani inpani -atosin, vani iposchiliinpa. Pchidintspa.
22-00	Kamachtamarini 22.
22-01	Tpotsia msagiaros kpitintspa; msagiaros zaganintspa. Tpots kiyog kachiytapa. Machia pishtako-anoa vanari paxanxchiya. Vana tarshiam payopi-ato vanari tachiya. Tamayria tpotsia ashimam pachidchich? Tpots vani kis tachpa. Gobieron ashimam istachpa. Pinasakinari, gobieron zapan vashonad istachiliinpa.
23-00	Kamachtamarini 23.
23-00	Tpots taravaztamam zadko, vani taravaztachpa. Yovashomasaha taravaztamam zadko, vani taravaztachpa; vatsta tarintspa. Tpots taravaztako, gotis kpitintspa.
23-01	Tpots vanasir taravaztako, vanasiritam tovapagtsa; vanasiritam napagtsa.
23-02	Tpotsia ichigoro tatsamoro tovapagtsa. Apaz tpots taravaztakcho, nigich tovapkoch, itaro llitari tpots antam taravaztakch, aragiam tovapkich. Anoa vatsta. Tatsamoro tovapagtsa.
23-03	Tpots taravaztako, vanasiri tovapagtsa; kiyog kachiytapa. Tovapakchosh, vipatstam chinagtsa; istagtsa, vatam tpotsiva.
24-00	Kamachtamarini 24.
24-01	Tpots taravaztako, kanosamam pchidintspa. Tamayria kashchiri psanpatari tsibon ashko taravaztachich? Zari kanosish ashpatatam gotaritis tovapagtsa.
25-00	Kamachtamarini 25.
25-00	Tpots vanasir tachpa; vipa vanasir ishinachpa. Kas yotatpa. Mariz kayattapa. Zapitpa. Masaro tatpa. Goberon istachpa; irimiya vayachpa. Gobieron tpotsia istachpa; kiyog kachiytapa. Apaz tpots taravaztamam pinasako, apaz kas yotako, apaz mchosava, apaz mashidova, apaz kizpor vachinaro tamayria da nayaniychich? Gobieron anoa tpots istachpa.
25-01	Kiz vipa tatsipkacho, kizpor istagtsa; napagtsa. Gobieron vanasir napachpa. Gobieron shochitamatsta vip vanasiri napachpa.
26-00	Kamachtamarini 26.
26-00	Llora ichigoro iskoviarash tapshtogtsa. Gobieron magotari istachpa, iskoviarama. Primaria mad tovapchiazich, dabaria. Itaro, llor ichigoro pshtochillinpa; gatosinapa. Tpots primaria ivapayaro, aragiam pshtopi-atinari, yap zadko vani pshtochiya. Gobierno anoam iskoviar vayachpa. Itaro, yo mag tar-an araginasha pshtochpa; pchidintspa.
26-01	Iskoviarosh vanasir tayaspatachpa. Vanasiri tamam tayaspatachpa; kis tamam tayaspatachpa. Mayistor tayaspatako -Si ichigoros vanasir tagtsa; sanpata natsarintspa -tachpa.- Tpotsia ichigoro chinagtsa. Arapchiatsta tonariavatsta tpots chinagtsa. Llitaritap tsap tpots taro-anshochiatsta vanasir chinagtsa. Vanotsia borshiavatsta, vanotskansirpiavatsta, mikorovatsta chinagtsa; ichigoros chinagtsa. Tpots Apallia chinako-anoa chinagtsa. Misha, yovatsta Apallia da chinako-anoatsta chinagtsa. Vashonad tsaporonasosh mapiro tayani -mayistor tachpa.
26-02	Tpots vipa iskoviarap llitaritap tapshtopi-atinari, vanari tapshtochpa; pchidintspa.
27-00	Kamachtamarini 27.
27-00	Tpots vamkorish napamam zadko, pchidintspa. Tpots machiatsi tinamam zadko, vanari tinachpa. Tpots machiatsi payopi atinari, itotsintspa.
27-01	Tpots machiatsi llitaritamash tinakinari, kirak yadakinari, gobieronsha anoa tpotsia istachpa; llitari tpots shochitpa; liitari tpots anomad korikia magota potatpa.
28-00	Kamachtamarini 28.
28-01	Iy korakarini ichigoroni nia chinaragoni, kamachtaragtanicha. Ashiriya, iysha ichigoroni payopani atiniya. Si tpots izataros payogtamsa atiniya. Anoa kok payomam yanpata istayani.
29-00	Kamachtamarini 29.
29-00	Tpotspatari takosh, anosh istagcha. Ashkachinariasha, kispa tachsha.
29-01	Shi vanasir tapi-atosh, shigcha. Itaro, tpotsia kiyog yachariilpa. Tpotsia toxararilipa. Tpotsia tamontarilipa. Tpotsia yotaritam inarilipa. Yotari tarilipa. Vashonad kis tagtsa.
29-02	Iya kukini kpitintspa.
30-00	Kamachtamarini 30.
30-01	Xarashish minam tariya. Iya kukini yayaros, sarich sarich shirintspa. Sarich sarich shiaros mayamshita yosor tpotsia kiyog yachich? Ashiri, tpotsia natsarintspa; chinagtsa atiniya. Vatamcha.
