00-00	ALIMA NUNG ALIR MEIMCHIR AJAK ATEMA KASA TEMETEN SANGDONG
02-01	Iba sangdong nung kechi temeten shilemsa ali, nisung sentsue balala, tetsuer tebur, oshi,aser yamala ajak nung telemsa aser tebendang kecha melii nisung shia tim temeten kasa alitsue.
02-02	Talisa, kin tulu tila, limeka, aser arrtsue balala ajaklen nuejiso tsuetsue telemsa kecha mali.
03-00	Ocet 3
03-01	Nisung ajak sakusa alitsue, nueji, aser kuemzueka alitsue temeten.
04-00	Ocet 4
04-01	Nisung shinga alar mekuemdaktsuetsue mesuera alar tia nung mayutsue, yamala mapa ajak nungi nisung ajak kuemzueka alitsue.
05-00	Ocet 5
05-01	Nisung shinga memerenshidaktsuetsue, msuera yamala talenba kuebok mayutsue.
06-00	Ocet 6
06-01	Tesem ajaklen nisung ajak ozueng tsuengdang temeten kar.
07-00	Ocet 7
07-01	Nisung ajak ozueng tsuengdang kasa temeten akaba dang masue, kasa ozueng jagi ajak sakusa kuemzueka lir. Iba Telemtetba ya anema shingaia shinga anema meinyaktsuela, mesuera kati ka mezuengmeshi masuetsuela.
08-00	Ocet 8
08-01	Ozueng ajanga temeten agueja akaba tashi kuebok nisung shia ozueng amshir tsuengdang temzuengi melaba ama pei temeten ashitsue akok.
09-00	Ocet 9
09-01	Tashiyim amshia shingaia shinga aputsue makok, mesuera bendang limai yoktsue makok.
10-00	Ocet 10
10-01	Tim masueba maparen atema kari nisung ka temeten anema mesuera tejak ajia tim masueba mapa inyakra, ozueng meteter tsuengdang pei temeten rateta ashitsue melaa lir.
11-00	Ocet 11
11-00	Ozueng anema aibelenogo ta shia nueburtem matsuengdang sangdongra,ozueng meteter kar teyari agia pei temeten indang rateta mashi tashi nisung shinga merenshitsue makok
11-01	Kin ka mesuera alima ajak kasa ozueng nung memeteti aibelenba mesuera meinyakba atema shinga merenshitsue makok. Mesuera yamala atema khen merenshir lira, iba dang temaba temerenshi aguetsuetsue makok.
12-00	Ocet 12
12-01	Kija takuem, kibong mesuera kinunger kisueng atema, mesuera nisung pei kija atema kari tenueng menuekdaktsuetsue makok.Nisung ajak yamala mapa tamajung anema kuemzuektsue iba ozueng dak tashi lir.
13-00	Ocet 13
13-00	Nisung shia pei litsue aser artsue mekueta senzuetsue temeten kar.
13-01	Nisung shia pei linuek toktsuer bendang limai aotsue, aser pei meyong bushia arutsue temeten kar.
14-00	Ocet 14
14-00	Rishikangshi nungi jembutsue atema bendang lima jenoka alitsue nisung ajak temeten kar.
14-01	Iba tashiji rishikangshiba mesuera kin ka anema inyakba melira United Nations telemtetba anema amshitsue makok.
15-00	Ocet 15
15-00	Nisung shia kin ka senso asuetsue temeten kar.
15-01	Nisung ka kin ka sensoji shingaia noktangtsue makok, mesuera senso melentsue atema tenokdangba kecha malitsuela.
16-00	Ocet 16
16-00	Teintet tetsuer aser teburtem atema kibong akuemtsue tenokdangba kecha makai, tamangba yimsue sueaka, sentsue balala sueaka tebendang makai kibong kuema alitsue. Parnokji temeten kasa kibong akuemtsue aser pilatsue akok.
16-01	Temulunger tsuengda tenokdangba kecha makai parnok kibong akuemtsuela.
16-02	Kibongji lokti nung mezuengbuba tentetbaji lir, anungji ibaipei kini kuemzueka ayutsuela.
17-00	Ocet 17
17-00	Rongsen madak kija dak tashi alitsue, aser ano lokti dena kasa lemsateptsue temeten alitsue.
17-01	Pi rongsen madak shingaia tashiyim agi teka amuoktsue makok.
18-00	Ocet 18
18-01	Tamangba yimsue atema nisung shia pei pei amangnueba yimsue dak amangtsue, mesuera melenshia amangtsue akok, ibai lokti nung mesuera kija takuem nung pei jurila temeten kuebok amangtsue aser kuelemtsue akok.
19-00	Ocet 19
19-01	Nisung shia kechi jembinuer tenokdangba kecha makai jembitsue akok. Idaki tebilemba mejangjungtepi lemsateptsue, osangtem agizuektsue aser aguetsuetsue tashi alitsue.
20-00	Ocet 20
20-00	Nisung ajak lokti senden mesuera mungdang nung tenokdangba makai adentsue.
20-01	Tashiyim agi shingaia telok ka nung zuengsem kuemdaktsuetsue makok.
21-00	Ocet 21
21-00	Pei lima sorkar mapa nung pei sasa mesuera lokti kar tenueng nung inyaktsue nisung ajak kasa tim shilem kar.
21-01	Pei lima public mapa ajak nung inyaktsue nisung ajak temeten kar.
21-02	Nueburtemi mulungtetbaji government bangdak asuetsue. Ibaji indangindanga shimba mesuera nueburtemi meyongnem ajanga shimtetbaji alitsue.
22-00	Ocet 22
22-01	Nisung shia pei state nung rongsenketsueng, loktiliba aser sobaliba kuemzueka alitsue atema pei litsue nung aser pei litsue atena or aliba lokti ajak nung kija nuejiso tentet ajak den kasa temeten alitsue.
23-00	Ocet 23
23-00	Nisung ajak pei mulungba ama mapa inyaktsue, aser mapa makartem nem tapet mapa aguetsuetsue atema wazueka ayutsue.
23-01	Kasa mapa inyakba atema tah nung kecha telemdang makai kasa aguetsuetsuela.
23-02	Nisung shia pei sasa aahzueka ayuba nungi pei takuem aser kibong atema tim tangutsue aliba ajak angutsuela, nuengdaakra itemji loktiliba temzueng ozueng kuebok wazueka ayutsuela.
23-03	Pei sasa mulungtetba kuemzueka ayutsue atema mapa inyaker lokti tentet nung nisung ajak adentsue akok.
24-00	Ocet 24
24-01	Nisung shia pei tenzuekba mapa nungi anizuengsuek agitsue, mesuera mapa nungi sodi mapang telemtet kaa agitsue akok, saka aahzueka aliba nungi itasen aguetsuetsuela.
25-00	Ocet 25
25-00	Nisung shia pei takuem aser kibong nung alirtem temang atema mozue, aben sueoshi, chiyungtsue peria akatsue temeten kar, itemji lokti tentet latet kuebok, mapa mangurtem, shirang timtem, matamabensartem, amitsuer, aser tain akuemer atema wazueka aser peria aguetsuetsue aser angutsue temeten kar.
25-01	Tanur asor tetsue aser tila tanurtem balaka anebalutsue temeten kar. Kibong kuemer asoba sueaka kita chirtem sueaka kasa temeten kar.
26-00	Ocet 26
26-00	Nisung ajak kaketshisatsue angazuektsue temeten kar. Class tila nung azuengtsue atemabo kaketshisatsueji angadi angazuekdaktsuetsuela. Pei tenueng zuelu meteta kuemdaktsuetsuebaji ozuengsa angazuekdaktsuetsuela. Technical mesuera temeba jenjang nung kaketshisatsue bushitsuebaji ajak atema tajungtiba jenjang ajangzueka alirtem nungi tenzueka bushitsue akok.
26-01	Kaket shisatsue sayuba nuekjidongji nisung ka pei tim tangazuektsue kechi ali, item ajakji peria angazuekdaktsuetsuebaji lir. Ibai ajanga kin kidong, shilu balala, yimsue balala amangertem rongnung teputep aser yimjung adokdaktsuetsue United Nations nuekjidong lir.
26-02	Pei chir nem koba lenmang nung tangazuekba aguetsuetsue aji tsuerabur atema tongtibang mapa lir.
27-00	Ocet 27
27-00	Kin ka pei sobaliba dak sendakba maparen nung shilem agitsue, puyin ajanga alima terenlok bener arutsueba nungji nisung ajak temeten lir.
27-01	Pei sasa apiteta yangluba, zueluba mesuera mejemba, koba nung kija tashi mekazueka kar, item atema tezuelur temeten kar.
28-00	Ocet 28
28-01	Iba telemtetba Sangdong nung kechi tashi aser temeten melaa ali, iba kuebok sadoka alitsue nisung ajak kasa temeten kar.
29-00	Ocet 29
29-00	Nisung shia pei aliba lokti terenlok atema teinyaktsue kar, kechiaser iba loktiji ajanga dang pei takuem renloktsue akok.
29-01	Pei temeten aser nueji yamaji liaka lokti teimbai mulungba nung nuebur yimtenji aor asuenung, iba lokti tentet yimsueyimbongi melaba ama item temeten wazueka aser akhuemtsuebua alitsuela.
29-02	Item temeten aser nueji ya United Nations ajanga lateta aliba den mesuetepi meinyaktsuela.
30-00	Ocet 30
30-01	Iba Sangdong ya State mesuera, lokti, mesuera kija shingaia pei ajung asaa meratettsuela, kechiaser iba Sangdong ya ajak atema kasa temeten aser nueji asoshi nuekla tajung yur lateta ayuba lir.
