00-00	VERDENSERKLAeRINGEN OM MENNESKERETTIGHEDERNE
23-04	Enhver har ret til at danne og indtraede i fagforeninger til beskyttelse af sine interesser.
24-00	Artikel 24.
24-01	Enhver har ret til hvile og fritid, herunder en rimelig begraensning af arbejdstiden, og til periodisk ferie med loen.
25-00	Artikel 25.
25-01	Enhver har ret til en saadan levefod, som er tilstraekkelig til hans og hans families sundhed og velvaere, herunder til foede, klaeder, bolig og laegehjaelp og de noedvendige sociale goder og ret til tryghed i tilfaelde af arbejdsloeshed, sygdom, uarbejdsdygtighed, enkestand, alderdom eller andet tab af fortjenstmulighed under omstaendigheder, der ikke er selvforskyldt.
25-02	Moedre og boern har krav paa saerlig omsorg og hjaelp. Alle boern skal, hvadenten de er foedt i eller udenfor aegteskab, have den samme sociale beskyttelse.
26-00	Artikel 26.
26-01	Enhver har ret til undervisning. Undervisningen skal vaere gratis, i det mindste paa de elementaere og grundlaeggende trin. Elementaer undervisning skal vaere obligatorisk. Teknisk og faglig uddannelse skal goeres almindelig tilgaengelig for alle, og paa grundlag af evner skal der vaere lige adgang for alle til hoejere undervisning.
26-02	Undervisningen skal tage sigte paa den menneskelige personligheds fulde udvikling og paa at styrke respekten for menneskerettigheder og grundlaeggende friheder. Den skal fremme forstaaelse, tolerance og venskab mellem alle nationer og racemaessige og religioese grupper, og den skal fremme De forenede Nationers arbejde til fredens bevarelse.
26-03	Foraeldre har foersteret til at vaelge den form for undervisning, som deres boern skal have.
27-00	Artikel 27.
27-01	Enhver har ret til frit at deltage i samfundets kulturelle liv, til kunstnydelse og til at blive delagtiggjort i videnskabens fremskridt og dens goder.
27-02	Enhver har ret til beskyttelse af de moralske og materielle interesser, der hidroerer fra en hvilken som helst videnskabelig, litteraer eller kunstnerisk frembringelse, som vedkommende har skabt.
28-00	Artikel 28.
28-01	Enhver har krav paa en social og international orden, i hvilken de i denne erklaering naevnte rettigheder og friheder fuldtud kan virkeliggoeres.
29-00	Artikel 29.
29-01	Enhver har pligter overfor samfundet, der alene muliggoer personlighedens frie og fulde udvikling.
29-02	Under udoevelsen af sine rettigheder og friheder er enhver kun underkastet de begraensninger, der er fastsat i loven alene med det formaal at sikre skyldig anerkendelse af og hensyntagen til andres rettigheder og friheder og med det formaal at opfylde de retfaerdige krav, som moralen, den offentlige orden og det almene vel stiller i et demokratisk samfund.
29-03	Disse rettigheder og friheder maa i intet tilfaelde udoeves i strid med De forenede Nationers formaal og principper.
30-00	Artikel 30.
30-01	Intet i denne erklaering maa fortolkes som givende nogen stat, gruppe eller enkeltperson hjemmel til at indlade sig paa nogen virksomhed eller foretage nogen handling, der tilsigter at nedbryde nogen af de heri opregnede rettigheder og friheder.
