00-00	Sa' Yee Kitu Ke Nsay Yee Kum Ghay Wir Msong
10-01	Wir dzem ker ghay rengreng fo a sa’ nsa’re la kilo’, a wu ker ghay ji a sa’ a nsa’ re e lav nsa’ yee nggengger ye yi tiy fo wun kitu, kfen sa’nsa’ rengreng mo yi dzeen la kilo’ foo din vitaavi ve wu keri wun a vinyo ve wu ker foo yii vi wun a nsa’ yee kum wun.
11-00	11
11-01	Wir dzem wo a toyin wun e kinyo ker ghay fo kwa’tii waa dze ji wu dze a la jay, e mee e ghan se wu tiim e nggengger e kiba’ ke nsa’ aa sa’ wun rengreng mo nser dzeen, e boo yen jay ve bi’ fo dzeen fen fo dze dzee si feesin foo se wun.
11-02	Bo yo’dze a koo wir ji bi’ fo wu bu’un kinyo, kin dze kinyo kee la ndzen ke a gov wir sho, e sar nser wong kin yee kitu ke nsay e ghan se kinyo kee shooy ki kooyin, a bo yo’ dze a fo ngge’ la’ ye yi shaa kinyo ke ngwerin ki bu’un e ghan se kinyo ki ki kooyin.
12-00	12
12-01	A yo’ ker foo nee e wir kiliti ke dze’e’m, kfee’, la’, ntum si kin fo a ron ghvem re, kin yir re, a bo yo’dze mo nser ta’a. Wir dzem ker ghay fo nser king wun fo vinyo fen.
13-00	13
13-01	Wir dzem ker ghay fo a ghan a shiiy aawunee mvem wong mo wu konge.
13-02	wir dzem ker ghay foo fee fo wong wumo’o kin fo vee, e kfen a ker vitaavi foo kfen e bam e wun wong.
14-00	14
14-01	Wir dzem ker ghay wo dze wu waa ta’ e kfen a yu vijung ve kibeey fo kinjuyri wir kin dze e kitum kine ki.
14-02	Kibeey kin ki yo’dze ki waa dze fo wir vee mo a nyeng fo nsa’ se bo si yo’ kum dzee sa’ yee wong wun a vinyo ve bo vi yo’ tom ashii wun a nser se vintati vee kitu ke nsay.
15-00	15
15-01	wir dzem ker ghay e wun wong fo a dze wan Nsay.
15-02	Bo nser yo’biime ji a sha’nin a wir fo wun ghay moo wan nsay kin foo sha’nin ghay ve fo wu kuvsin kitum kfe (wong ve’)
16-00	16
16-01	Vilum wun a Vikiy ve a kuyin ne la biiy kum ram, wong wun a biimee, a ker ghay fo a ker tati vijin, a fer kfee. Awune ker vitaavi rengrng e ghan se tati vijin, e mvem dze’em tati vijin wun a ghan se javsin.
16-02	Tati vijine ku dze ca’ a dze ca’ a dze fo Wiiy wun Lumen ve a biimen fo awune vitu ji dze a waa dze.
16-03	Kfee dze fomo Nyuy, a kfen dze kintati ke nggwarin wong, a kitum wun a wonge ker fo a king.
17-00	17
17-01	Wir dzem ker vitaavi fo a ker vifa ve fo wun kitu rengreng mo dze wu waa ker e kintati wun a wir amo’o.
17-02	Nser yo’biime ji wir wumo’ kinen a wir wumo’ fo wun keng.
18-00	18
18-01	Wir dzem ker ghay fo a ker kwa’ti re, vifii ve wun a biime ree. Ghay rene tati vitaavi vee foo kuvsin dzee biime Nyuy, fo wun kitu kin e Kintati wun a wir amo’o wun a e nggengger kin kintati foo din biime re moo e dungri, e yii, e ghvem wun a foo lem nser.
19-00	19
19-01	Wir dzem ker ghay foo shu kinyo wun a foo suuy kwa’ti re; ghay rene fo vitaavi fo wir waa tiy e wun nshu la kinjivir wun a foo ta’, e seesi, e kfen samer sa’ka wun a kwa’ti si e dzee see mo sa’ka yii ghanen sho e kitu ke nsay la biiy.
20-00	20
20-01	Wir dzem ker ghay foo tarnin wun a wiri e kfen tati kintati ke dze’em yee nyaang.
20-02	La wir yo’ kan wir ji wu tati a kintati ke bo yo’ dzeen kong re.
21-00	21
21-01	Wir dzem ker ghay foo a dze e mvem sa’yee wun wong, fo wun kitu kin foo sho’ wiri aa li kire’ kfe.
21-02	Wir dzem ker ghay rengreng foo li kinyo kfe e du sho e vire’ ve lim vee wun wong aa ka’ay.
21-03	Tim sa’ yee wonge wiy a dze, a dze mo wiri konge. Kong rene wiy a din wun e dzee ye a wiy a sho’ti wiri sho e ghan si ghan si la kilo’, a sho’ ti rene wiy a yii wir dzem wo wu kuyin ne wun a virengreng vi, aa wiy a sho’ e kiliti kin e dzee yee reng yimo’ ye yi shwinen ren.
22-00	22
22-01	Wir dzem, moo wir woo wong ker ghay lo a dze e kingen, e klen a yen ji wonge wun a vitum vimo’ vi suusin a wo, a king wun rengreng mo kav kin kenge dzee`n e wong si wong si, e kum ghay dzee keng, dze’em wun a lii wong wov ve dzeen ku fo wun viwir wun, wun a ghveme.
23-00	23
23-01	Wir dzem ker ghay fo a ker lim. Foo sho’ kfee lim ye wu konge, e laa yo’ a bo’ wun, e wu waa lim lim a yu vijung wun a ji wu waa dze e kingen fo kibung ke lim.
23-02	Wir dzem wo wu lim lim rengreng ker fo a ker vila’ay rengreng la nya’.
23-03	Wir dzem wo wu lim lim ker ghay fo a ker vilaame vee reng ve vi gheenen wun ve dze vi tom wun wun a kfee ree ji a dze yi waa ker viwir ve wir msong, wun a ntom simo’ si, a shii fen dze se si waa kin dze’em re.
23-04	Wir dzem ker ghay foo ke’ kin foo tati vintati ve vi king lim re vee wun kong.
24-00	24
24-01	Wir dzem ker ghay foo meeme fo shuu lim a yii kifa ke wu konge, e tati wun a ghan se lim se si waa dze si gheenen wun a vishiiy ve bam vi, a meeme yee ke’ fo nggam ye yi waa ker vilaame.
25-00	25
25-01	Wir dzem ker ghay foo a ker dze’em ye yi waa dze e gheenen foo yii e wun wun waa dze e tavin wun a kfee ree, moo fo viyikir, ndzey, lav wun a shiv si, a vinyo vee shii ve vi waa se wun, e kfen a ker ghay fo a waa leey fo wun e ghan se kibung ke lim, se yasi, se ndzem, se vingkfe, se vidzeene kin kigha’ woo dze’em wo wu shaane vitaavi ve.
25-02	Yiy wun wan ker ghay fo a ker leey wun ase yee jeeyi. Won adzem ve a dzeen kin e mvem tati vijin kin e visakii ker ghay rengreng fo a dze a kingen e dze’em.
26-00	26
26-01	Wir dzem ker ghay foo ye’ey ngwa’. Ye’ey rene ker fo a dze kisang, a ki fem gha’e le, e ngke’se a dzee yiy ye’ey sho yiyin. NGke’ ye’ey ye yiyin ren ker fo a dze ku fo wir dzem. Ye’ey fer wun a ye lime ker fo a dze teeter fo wir dzem. Ye’ey se tavkin si se si shaan sin si wiy a dze fo wir dzem rengreng mo vifii ve vi dzeen.
26-02	Shii ngwa’wo ye’eyine ker fo a dze foo yii e wir kiiy wun a foo tavir ghvem yee kum ghay wun a vitaavi ve wir msong vi. Yi ker foo kuyir yunin, a li vinyo foter, a kuyir vingkar e vitum vidzem vi mvem, e mvem kfee se wir msong kin vitati ve dzee biime Nyuy, e kden a tavir lim se kintati ke vitum vee kitu ke nsay fo a lem nyaang.
26-03	Atar wun aayiyi ker ghay foo sho’ kfee ye’ey ye dze a waa fo e won vevi.
27-00	27
27-01	Wir dzem ker ghay fo a tati la kan e vinyo ve lii woo wun wong, e kfen a yu vijung ve fer, a ker kiling fo kikuuyi ke vinyo ve a tarin ne kijung wun a se’ ve.
27-02	Wir dzem ker ghay fo dze e kingen fo yir wun a fo se’ wo wu loon fo wun fer kin dze ye tar vinyo, sang wun a ye fer kiwoo.
28-00	28
28-01	Wir dzem ker ghay fo a ker nyaang e wun wong wun a kitu ke nsay, e fi’ a ker ghay wun a vitaavi ve vi mo sa’ rene suuyin.
29-00	29
29-01	Wir dzem ker fo a lim, a dze e wun kiling bi’fo dzeen fo ca’ca’ fo dze wu kuyir kitu kfe la kinjivir.
29-02	Mo wir dzem din ghay sin wun a vitaavi ve vi, wiy a ser ca’ vinyo vee mo nser suuyi, e fi’ a king kiiy wun a ghveme fo ghay wun a vitaavi ve wir amo’o wun a foo runer rengreng mo lii wo jung, nyaang woo wong wun a dze’em ye junge e wong wo wir dzem ker ghay shoo ta’a.
29-03	Bo yo’dze a din ghay sin wun a vitaavi vin vi jeey e shaa fo dzee yee mo kintati ke vitum vee kitu ke nsay ki ta’a.
30-00	30
30-01	Ki nyo ki yo’dze sho e sa’ fen ke dze kitum, kintati kin wir wu biner ji ki fo wun vitaavi ji wu waa yii a kinyo ke ki laar a ghay si wun a vitaavi vi ve a sangen e sa’fen.
