00-00	alghu amaddlan n izrfan n ufgan
18-00	amagrad 18
18-01	ku yan illa dars uzrf n g tdrfit n uswingm d tin tannayt, d tin usgd ghilla illa uzrf ad isnf asgghnns, yilli dars awd uzrf n twnnit tanfrut s kra igat ana nns.
19-00	amagrad 19
19-01	ku yan illa dars uzrf n tdrfit n tannayt d twnnit, ad ittikssudd khf tannayin nns ula arzzu nns ad yamzz ngh ad izuzzr, abla iwtta, inghmisn d twngimin s ak imassn  usussn.
20-00	amagrad 20
20-01	ku yan dars tadrfiyin n tsmuni d tin umun, d tin tmsmunin tangrawt
20-02	ur izzddarr hhtta yan ad ibzziz f yan ad ikshm s kra n tmsmunt.
21-00	amagrad 21
21-01	ku yan illa dars azrf afad ad isti d ad ismdya g istayn, ar isdrfi awd s izrfan ighrimn d isrtan.
21-02	ku yan illa dars uzrf ad iswuri g tmssugar timattayin n tmazirt.
21-03	tirat n ugdud ad igan afggag n tnbaddt tagdudant, tirat ad tkk agharas n ufran izddign nna ittugan ku azmz, s ustay aghzuran imsasan d ustay iffrn ngh abrid t irwasn yikkin tadrfit n ustay
22-00	amagrad 22
22-01	ku yan illa, ghiklli iga yan ufrdis gh wamun, dars azrf gh unfru anamun :azrf ad ibdda khf hhma ad tili tumrt n izrfan idamsann, inamunn d idlsann izzlin s addur nns d usbughlu n wudm nns, ayad s tdusi tanamurt d twisi tagraghlant, nna isnndn khf usnmala d isugim n ku tamurt.
23-00	amagrad 23
23-01	ku yan illa dars uzrf n tawuri, d tdrfit n ustay n tawuri nns, g tfadiwin tizrfanin d yussan i twuri n ufrag mgal n tgufi.
23-02	ku yan illa dars uzrf n umgiddi gh tghrad n twwuri.
23-03	ku yan iswurun dars azrf ad yamzz tighrad nns izrfn d yusan nna as yikkin, ntta d twzha nns, yat tudrt ilan uddur anfgan, nna mmi itturnu, mg illa unngzu, imassn n ufrga anamun.
23-04	ku yan illa dars uzrf ad iskr nghd ad yili d inmulla afad ad yili uhhttttu n wayada nns.
24-00	amagrad 24
24-01	ku yan illa dars uzrf n ussunfu, gh tizi lli ikhwan, d mnshk n tsragin n twuri d ussnfu imun d tghrad.
25-00	amagrad 25
25-01	ku yan dars azrf n uswir n tudrt as d yusan i tdusi nns, d tumrt nns d tin twzha nns, s usttay tin tmttsha, d ihhruyn d tzdught d idiwan d tnafutin tinamutin ilaqqn, dars azrf n tnafut mg iga amguf ngh amuddin ngh akkushm ngh win tdyalt ngh tusr ngh, g isursn nniddn, tizli n imassn n tudrt ur imun d tirit nns.
25-02	ad yili dar tazznt d innas yan ufrag anamun adawsan usddul dd twizi issarn lli isnmala uwank.
26-00	amagrad 26
26-01	ku yan dars uzrf n usgmi. asgmi ad yili abla aqarridd i usslmd afggag d umzawaru. asslmd amzwaru iga ushshil. asslmad atiqni d uzzulan ad isswu ku yan : adf s tghuriwin timazhzhyalin ad yanf i ku yan, isnnd khf tzmmar.
26-02	asgmi ilaq as ad innal abughlu n wudma anafgan d tdusi n uwqqr n izrfannn n ufgan d tdrfiyin tifggagin. ilaq ad ifg taghddft i tiddukla d umshhmal ngr n tmtta d igrawn n tzzurri d usgd d usgm n imussutn n tmtta imunn hhma ad tili tnagrit.
26-03	illa uzrf amzwaru dar imawlan ad stin anaw n tghri i tarwa nnsn.
27-00	amagrad 27
27-01	ku yan illa dars uzrfad yaws gh tudrt n wamun nns tadlsant d tzzurri, yaws awd g usmuttg n tmassanin isfayd gitsnt.
27-02	ku yan illa dars uzrf tga tdrfit n usnulfu d tin tzzrrigt d tin usfsr tanfrut g igran n tskla d win tzzurri d win urzzu amassan.
28-00	amagrad 28
28-01	ku yan illa dars uzrf ad isfayd gh ughawas anamun agraghlan lligh llan izrfan d tdrfiyin lli d yushkan gh alghu ad.
29-00	amagrad 29
29-01	ku yan ar ittaws gh twizi n wamun s uynna mu izzddarr s tgmi n tudrt nns.
29-02	ar nn ittdul ufgan s iskraf lli illan g uslgn gh tizi lligh ay issnfal izrfan d tdrfiyin afad ad giddnt tmassayin tigdudanin d tmskrt g wamun adimuqrratti.
29-03	ghiknna ka gant tghawsiwin ur d iqqan ad mmskarn izrfan ad mnid n iwttasn d imnzayn n tmtta imunn.
30-00	amagrad 30
30-01	ur illi gh ulghu ad kra n uddrriss afad ad ismdya kra n uwank nghd kra n ugdud nghd ufgan s ghiklli ira d ur dars kra n uzrf afad iskr tawri nna ira lli ittrzzzzan izrfan d tdrfyin lli d yiwi gh ulghu ad.
