00-00	Dunya Lahi Nuvuu Lonyisia Va
13-01	Nuu gbi ngi lonya mia koo i gbua ndolo yila hu i li peka hu, i wee a ngi yee oo mbaa tinda, tao koo i yama ngi ndei na hu mia i gbuanina.
14-00	14. Ngayilii Ye Puumahu Naanii
14-00	Nuu gbi lonya mia koo i ngi yaama lowu kakpama yeye ndoo yeka hu, tao koo i nganei gbuana.
14-01	Ye sawei ji ee lekpe gbi naleke ye numui ji i ndolo jawa nyanini, tao i hinda gbulaninga na ndolo woyila hugbatei i loila.
15-00	15. Ngayilii Ye Puumahu Looli
15-00	Nuu gbi lonya mia koo i wote a ndololii.
15-01	Maa i houni koo ti nuu gbi baa a ngi lolii ya, oo koo ti ngi baa a ndololii ya ndoo yekahu.
16-00	16. Ngayilii Ye Puumahu Weitei
16-00	Hindui taa nyahii na ti lakpango ta soowelo ti ndengaa le, ti genye ii yeni bee yila, tii yeni bee a ndolo yila hunblaa, oo Ngewo veli gbambi yila ma. Ti lonye maahewungo soova, soohu, oo ji ta lo ti gole.
16-01	Koo hindui taa nyaha ti soowee, a nee peing ti veinja we.
16-02	Bondei mia ndolei yei kpokui le, fale maahoungo heimii ke ndolo gbi ti bondei mahu gbee kpotu kpotu.
17-00	17. Ngayilii Ye Puumahu Woilei
17-00	Nuu gbi lonya mia koo i ngi wuma haakangaa majoo, tao gboma koo taa nungaa ti makpoma haaka majoo.
17-01	Te nuu gbi haaka gbua ngi yeya kia leke ti longola.
18-00	18. Ngayilii Ye Puumahu Waykpei
18-01	Nuu gbi loya mia koo i kiiya wee, koo i giila gboo tonyei le oo gboo i lonyani, Ngewoe ye gboo ngi longo i feli, ye tonye ji a ngi jein jein lo koo i ngi giliyei oo ngi yewoveilei wote, I wote bee atayakpe oo taa nungaa, fofohu oo sokuma, koo i nungaa gaa a ngi ngliyei kee ngi yewo hindei.
19-00	19. Ngayilii Ye Puumahu Taalui
19-01	Nuu gbi lonya mia koo i kiliya wee tao koo i yee kiiyeina le fofohu, yee tonyei ji a peelo yee kiiyei ji nuu gbi ee gbekpa kulo, tao koo i nemahulee kee ngowii majoo tao koo ta bee i fe nungaa we a pele gbi hu we, nahi bandowoma gbi ee waa nduahu.
20-00	20. Ngayilii Ye Nugboyongoi
20-00	Nuu gbi lonya mia koo taa nungaa ti gome, tao koo taa teini ti lee, i na lee hinda huwu va ii le.
20-01	Tee nguaa numu gbi la a kpoli hale koo i wote a kome ma mo.
21-00	21. Ngayilii Ye Nugboyongo-Mahuyelei
21-00	Nuu gbi lonya mia koo ngi loko i ye ngi guameti hindeihu, ke bee ta vulii i yehu oo nungaa tia vulii ta lokoloo ti ma.
21-01	Nuu gbi lonya mia koo ngi loohu guameti hugbate wie ngoisia ti hiti ngi ma kia lee ta hiti nungaa ye pekeisia ma.
21-02	Nungaa mia maahoungo ti ti guameti hei, ti gbayei mia a pie a yenge, hulembinga ta yamalo ti kolei gula, tao ye kolei ji a kgula bunduhulo, nahii nungbi ee gbekpa numu gulo.
22-00	22. Ngayilii Ye Nugboyongo-Mahufelei
22-01	Numu gbi lee ndololii a ngie, ngi lolei kpoma hugbate wie ngi va, tao koo ngi lolei taa ngitiwoma hugbate ti pee ye kpoma hugbatei na i foo ngi ma, tao a majoolo kialeke ngi lolei gbatei kee ye saweisia ti na, gboma kia lekee ye numui bee ngi hami gii na, koo wei i legulo.
23-00	23. Ngayilii Ye Nugboyongo-Mahusawei
23-00	Numu gbi lonya mia koo i yenge, tao koo i ngengei na wie ngi longola, koo i mbelehei majoo ngengemei, tao koo ti to kengengei ee ngi lo.
23-01	Numu gbi lonya mia, nahii nduahu gbiima, koo ti ngi pawa kia a yenge la.
23-02	Ngenge mogbi lonya mia koo ti ngi pawa nahii ta kee ngi mablaa ta ti magbee gbualo hu kia nuvu, tao gboma koo kpoma yeka i yena ngi va.
23-03	Ngenge mogbi lonya mia koo i wili hugbatehu na ngenga blaa ma vale.
24-00	24. Ngayilii Ye Nugboyongo-Mahunaani
24-01	Ngenge mogbi lonya mia koo i levu tao koo i kpele yeka gbua, tao gboma koo aa ngenge huguango waa wie, mahoungo gboma i yaa a ndevu wati majoo, nahi i yaa ye ndevui na wie ma ta yaalo a ngi pawa.
25-00	25. Ngayilii Ye Nugboyono-Mahuloolui
25-00	Numu gbi lonya mia koo ta kee ngi mablaa ti ye kaahugbua hu, ti mehee yekpe me, ti kula yekpe yili, ti la ndama yekpe, ti hale yekpe majoo, tao gboma guameti i ye na ti va, hugbate yekpe i yena ngi va a watii na ee ye ngege hu, a watii na ngi heigengo, watii na ngi wovang, kee watii na hinda a wa ngi mahu nahii ee gumbu.
25-01	Mahoungo gboma hugbate i ye na kuimeisia kee ndengaa va. Mahoungo ndengaa kpelee, naa ti ke taa ti njeni ti soohu oo tii soohu, ye hugbatei ji i ti maa wee.
26-00	26. Ngayilii Ye Nugboyongo-Mahuweitei
26-00	Numu gbi lonya mia koo i kolo gaa. Maa ii houni navoo hinda i ye kologaala ma, ke bee i wote a ye totomei. Mahoungo kolo gaalei i wote a sawa kpawu kpawu na ndo gbi e gbuama ye totoomi. Nyandengo koo ngenge kolongaa i yna kpoto, kee kolo yalngo gaalei naa va ti nemabu lewengo.
26-01	Kolo gaalei i wote a hinda na a nuu le guloma, ngi lonyisia kee ngi hugbemboi. I loko hei hinda yawubu goola, hinda bu houla kee ndiamoya dunyei kpelee luahu, kenyeisia kee Ngewo veli gbambisia luahu, tao kpaya waalo ndolo kpele woyila yenge lukuisia hu koo ndileli i li guloma.
26-02	Bondeisia ti wote a haala bla ta ke na kaa ye gboo ti leingaa ta pee.
27-00	27. Ngayilii Ye Nugboyongo Mahuwofilei
27-00	Numu gbi lonya mia koo ngi loko i ye mia a yena ye kondi hinda hu, i ngaa nee ye ye mbembei hu kee sayensi ye tekulomii taa ye nafei.
27-01	Numu gbi lonya mia koo mahugbee kpotu kpotu i ye ngi gbate hani ma, i ye a ngole oo hani lalango oo sayensi haaka.
28-00	28. Ngayilii Ye Nugboyono Mahuwayakpei
28-01	Numu gbi lonya mia koo ngi yee jawa kee ngitiwoma gee i yena, na a to ke dunya lahei jisia ta hitilonga.
29-00	29. Ngayilii Ye Nugboyongo Mahutaawui
29-00	Numu gbi lee, mia i heina, tao a lena guloma, mahouingo i na hinda hou a loko veinja.
29-01	Ji numu a ye ngi lonyei kee ngi hugbemboi ya yenge ma, na lee a wote a kpeenguu a wee a saweilo naa a nuu wekeisia ti lonyei kee ti hugbemboi ma vale, kee numu kpele ti maahinda va ngoyila loohu.
29-02	Numu e ye tonyei jisia kee hugbemboi jisia yayenge nahi kpuango pilei na ma, tao gboma ee pinde kaa na wooma na ndolo kpele gomei ti ndani.
30-00	30. Ngayilii Ye Numugboyongo Mahupuui
30-01	Gbewogbe gbi na kolei ii hu na nu mu a nde ye kenga ti puilo na koo i ndolo oo ngoyila hugbate leenga ti lonyei kee ti hugbemboi mahugbua.
