00-00	Declaracioun universalo di dre de l'ome
14-02	Pou pas s'apela d'aqueste dre uno persouno perseguido de-bon per un crime de dre coumun o d'ate countrari i principe emai i toco di Nacioun Unido.
15-00	Article 15
15-01	Cadun a dre a uno naciounalita.
15-02	Se pou leva en res per arbitrari sa naciounalita o lou dre de la chanja.
16-00	Article 16
16-01	L'ome e la femo, s'un cop soun maridadou, an lou dre de se marida e de founda uno famiho, senso ges d'empache per encauso de raso, de naciounalita o de religioun. Li dre dis ome e di femo soun parie raport au maridage, que siegue dou tems que soun marida o quouro se divorson.
16-02	Lou maridage se pou faire soulamen se li novi se volon de-bon.
16-03	La famiho es la foundamento naturalo de la soucieta. A dre d'estre aparado per la soucieta e l'Estat.
17-00	Article 17
17-01	Touto persouno, souleto o coutrio 'me d'autri gent, a dre a la prouprieta.
17-02	Degun sara despoussedi de soun ben per arbitrari.
18-00	Article 18
18-01	Touto persouno es libro de sa pensado, de sacounscienci e de sa religioun. En aqueu dre ie caup la liberta de cambia dereligioun o de creire, e tamben de manifesta sa religioun o si creire, soulet o'me d'autri gent, dins la vido publico o privado, per l'ensignamen, lis usage,lou culte emai l'acoumplissamen di rite.
19-00	Article 19
19-01	Tout persouno a dre a la liberta d'oupinioune d'espressioun. En aqueu dre ie caup de ren se capita carcagna per encauso deso que pensas, e tamben de cerca, resaupre e espandi lis enfourmacioun e lisideio, coume que siegue lou mejan d'espressioun, senso empache a respet difrountiero.
20-00	Article 20
20-01	Touti li gent an lou dre de s'acampa e de s'assoucia dins un esperit de pas.
20-02	Degun pou estre oublija de faire partido d'un groupamen.
21-00	Article 21
21-01	Touto persouno a lou dre de partecipa au gouvernamen de soun pais, siegue direitamen siegue deper de representant chausi libramen.
21-02	Touto persouno a lou dre d'outeni de founcioun publico de soun pais dins de coundicioun d'egalita.
21-03	La voulounta dou pople es la foundamento de l'autourita di poude publi. Aquesto voulounta se deu espremi deper d'eleicioun ounesto que saran estigansado a cadenso reglado, au sufrage universau eme buletin secret, o d'un biais equivalent que posque assegura la liberta dou vote.
22-00	Article 22
22-01	Touto persouno, en fasent partido de lasoucieta, a dre d'uno prouteicioun soucialo e de coumpli si dre ecounoumi,souciau e culturau ; e aco bonadi lis esperfors naciounau e l'entre-ajudointernaciounalo, segound l'ourganisacioun e li mejan de chasque pais, que ladigneta e lou desvouloupa libre de la persounalita podon pas faire senso.
23-00	Article 23
23-01	Cadun a lou dre de travaia, de chausi libre soun mestie, dins de coundicioun equitablo d'obro e de prouteicioun contro lou chaumage.
23-02	Touti an dre en uno memo pago per uno memo obro, senso ges de destriamen.
23-03	Un que travaio a dre en uno pago justo e counvenento, que sara coumpletado se ie fai besoun per touti lis autri mejan de prouteicioun soucialo. Dins tout aco, deu pousque vieure de-segur dignamen eme sa famiho.
23-04	Touto persouno a lou dre de founda eme d'autro de sendicat e d'estre soci d'un sendicat per defendre sis interes.
24-00	Article 24
24-01	Cadun a dre de se pausa e de s'espasa. A drea uno tanco resounablo de la journado de travai, a de counget regulie e paga.
25-00	Article 25
25-01	Touti an dre a un niveu de vido que i'assegure la santa e lou ben-estre emai a sa famiho, mai que mai per lou manja, lou vesti, l'oustau, li siuen de santa e per touti li service souciau necite. Per escasenso que un posque pas mai se gagna sa vido senso l'ave vougu, per eisemple se ven viei, malaut, endeca o chaumaire, a dre a la segureta.
25-02	Li femo embarrassado, li maire e li pichot an dre a uno ajudo particuliero. Siegon pas si gent marida, e lou fuguesson pas quouro lou nistoun es nascu, touti li pichot proufichon pamens la memo prouteicioun soucialo.
26-00	Article 26
26-01	Touto persouno a lou dre d'estre educado. L'educacioun deu estre a-gratis, lou plus pau per so que pretoco l'ensignamen elementari e foundamentau. L'ensignamen elementari es oubligatori. L'ensignamen di teinico e di mestie deu estre d'atencho per touti. Lis estudi superiour devon estre dubert a touti parie a respet de si merite.
26-02	La toco de l'educacioun es que la persounalita di gent s'espeligue, e que lou respet degu i dre de l'ome e i liberta foundamentalo s'afourtigue. Deu favourisa la coumprenenso, la touleranso e l'amista entre touti li nacioun, li group etni vo religious, emai lou creis dis ativeta di Nacioun-Unido. per manteni la pas.
26-03	Lou paire emai la maire an lou dre de chausi, beu proumie, lou biais d'educacioun que volon per si pichot.
27-00	Article 27
27-01	Touto persouno a lou dre de partecipa libramen a la vido culturalo de la coumunauta, au prougres scientifi e i ben-fa qu'aduson.
27-02	Tout lou mounde a lou dre de prouficha lou plesi coungreia per lis art. L'autour d'uno obro scientifico, literari o artistico a dre a l'aparamen de sis interes mourau e financie.
28-00	Article 28
28-01	Touto persouno a lou dre de vieure dins unmitan souciau e internaciounau proun ourdouna, que li dre esplica dins aquestodeclaracioun d'aqui se ie poscon aplica en plen.
29-00	Article 29
29-01	Touto persouno a de deve a respet de la coumunauta, qu'es en soun dintre soulet que lou desvouloupamen libre e coumplet de sa persounalita i'es poussible.
29-02	Se pou restanca li dre e li liberta de chascun soulamen dou biais que la lei l'a vougu per fin d'assegura la recouneissenso dis autre, lou respet de si dre e liberta ; e tamben per fin de respeta lis eisigenci justo de la mouralo, de la tranquileta di gent, e dou ben-estre generau dins uno soucieta demoucratico.
29-03	Aquesti dre e liberta poudran jamai e de ges de biais estre emplega per faire de causo countrari i principe di Nacioun-Unido.
30-00	Article 30
30-01	Res, ni Estat ni groupamen nimai unopersouno, poudra assaja de tira d'aquesto declaracioun lou dre de fairequaucaren per escracha li dre e li liberta que ie soun esplica.
