00-00	ADUNIYA KULU BORO DAAMA BEIYANIYOM
04-00	ASARIYA TAACINTE (4)
04-01	Boro fo na hima an ci boro fo se tam dee bine n ma mooriya berekete. A ganna no n hongu tamtere nna mooriyayom berekete ba hini fo ga.
05-00	ASARIYA GUNTE (5)
05-01	N su boro fo wahalani, n su ga ceenani n bine su ga kamani.
06-00	ASARIYA IDDUNTE (6)
06-01	Sariya ganna baa mani boro gono a hima an saria ganna.
07-00	ASARIYA IYENTE (7)
07-01	Iri kulu afo sariya mojine ya no bine sariya di gu iri kulu ceruma.
08-00	ASARIYA AIYAAKUNTE (8)
08-01	Batume gono bamei se dee boro na sariya daali n ma cee goosi sariyayo di mojine ka yii ko beiyom.
09-00	ASARIYA EGANTE (9)
09-01	Hini sii boro fo se a ma hacine dii ka daabu ou a ma gei, dee bine a ma kaa kwaara ka na cii taalifo bongo.
10-00	ASARIYA WEINTE (10)
10-01	Hini gono bamei se an goosi ce; goosi ka a ba hini ka a no cimi ou a ma tagarani a daama nna a tilasi bongo.
11-00	ASARIYA WEICINIFONTE (11)
11-01	Ba n taali damyom nga se goosi ma a ciba n faaba kwe yo mojine n ma du ka n ci taali kwe.
11-02	A sii na n ma boro no taali daa fo bongo ka sariya dom na a jisi. Ya no bine hanga gunguyom ka a bisa sasariya sii. Sariya zaka ya hima hanga gunguyom.
12-00	ASARIYA WEICINI HINKANTE (12)
12-01	Boro fo su mee dam boro fuu senni kuna berekete. Ya no bine boro fo sii nna a ma hangasine jirima zobu. Sariya bamei ceruma nna alaamari zanga yayo.
13-00	ASARIYA WEICINI HINZANTE (13)
13-01	Daama gono bamei se a ma kwei nungu ka a baa kulu.
13-02	A ma goro kwaara ka a sawayom a se a ma tunu saa ka a bine baa.
14-00	ASARIYA WEICINI TAACINTE (14)
14-01	Bamei ka sanani na n gaari n kwaara kuna daama gono n se n ma gana kwaara ngwaani ka hini ceeji n ma n ta yoo.
14-02	Daama di su go n daabu dee a bara nna boro wii ou bine daa berekete fo yo ka aduniya zamaa mariga beeri hongu.
15-00	ASARIYA WEICINI GUNTE (15)
15-01	Bamei kulu hima a ma gonna dimi.
15-02	N su hini ka hongu boro se a dimi takii bongo.
16-00	Asariya weicini idunte (16)
16-01	Dee boro ka to balaga a sii nna ma dimi nna adiini fisou wei nna haru se domi daama fo di no n kulu gonna za n hiije waati hali n fefeiyom saa.
16-02	N su hini ka hiije hou ka a na ci nna n boro hinka kulu bakasine.
16-03	Iyaali ya bara zaamani safu ci cirici a ganna no gominanti ga a ceruma.
17-00	Asariya weicini iyente (17)
17-01	Bamei, n bongo fo no, noo zamaa no, daama gono wo gonna duuri.
17-02	A sii n ma boro ganga a duuri takii bongo.
18-00	Asariya weicini iyaakunte (18)
18-01	Bamei kulu gonna daama lasabu, ga, diayom kuna nna adiini ganayom ga n bine ba hini ka baaru n bongo fo ou noo zamaa ko ga loo zanga ka a sawa noo se.
19-00	Asariya weicini egante (19)
19-01	Bamei kulu gonna lasabu nna senni daama. A se ganna no boro su ba heifo senni ou lasabu ko dirigoyom hei ka a bine ba senni kulu hini ka sei ba mani.
20-00	Asariya warankante (20)
20-01	Bamei kulu gonna kummayom nna igwe kuna gonoyom daama.
20-02	N su boro tilasi igwe fo kuna wuroyom.
21-00	Asariya waranka cinifonte (21)
21-01	Bamei gonna daama a ma wuro a kwaara senni kuna a bongo ou a barani ka a fisou.
21-02	Bamei kulu afo bongo gonna daama a ma gwei te a kwaara gominanti se.
21-03	Hei ka zamaa zaa ya bara kwaara yiiko. Zaayom di mo bara ka nna a tete biri.
22-00	Asariya waranka cini hinkante (22)
22-01	Ni ka kulu n gono zamaa kuna hima no n ma gonna zamaa di naane daama. A ma du ko bara n bukaata mo biyayom zaa almani nna taadayo daama duuri hini ga heiyo wo kulu nna kwaara zaama gaabi nna bine goro ka sine heinno kwarayo ngwene alkawali hini ga. Ka simma nna zanga ka mete yaasi kwaara fo fo na ngwene almani siriyani.
23-00	Asariya waranka cini hinzante (23)
23-01	Bamei gonna daama a ma gwei ka a baa fisou. Ya no bine n ga a ceruma nna gwei zangei.
23-02	Bamei munaafinsi baasi gonna gwei ka n te banayom daama.
23-03	Ni ka n gwei te kulu gonna banayom dei-dei daama ka a ba to ni n ma n ngwene iyaali koto nna beere bongo.
23-04	Bamei gonna daama a ma gweiteeriyo zogi taayom igwe safu jisi a bine ba hini ka a bongo dam a fo ngwaani ku na a bongo bukaata fansayom ganna.
24-00	Asariya waranka cini taacinte (24)
24-01	Bamei gonna gwei hinanzobu nna hoore daama gwei keiyaniyom zaka nna gwei hinanzobu kuna banayom saa nna saa.
25-00	Asariya waranka cini gunte (25)
25-01	Bamei gonna jisiri daama ka a ba hini ko ga ngwene alaafia nna a iyaali kulu ceruma nna, zaa ngwaari, taafe, fuu nna baabuyom. Dee a bara sariti ya du ni ou bine gwei ya sara musiiba ya na n zeeri, zeene no, dee bine arooba fo ka a na ci n saabu a bara tilasi n ma duwa tee mako daama.
25-02	Wei kunu kweiyo, koo ngweerayo gonna teemako nna kulayom daama. Koo kulu ka nna hei hiije bongo, ka du ka nam nnga ka n hei hiije si bongo nn kulu gonna kulayom daama.
26-00	Asariya waranka cini idunte (26)
26-01	Bamei gonna couyom daama. Couyom di ma du ka bara tilasi faala bongo za coubugu ceene ka kwei sasa wanteyo kamme gwei dendeniyom coubugu nnga cere hima n ma feeri bamani. Coubugu beeri n ma nnga feeri nungu ka a hima.
26-02	Couyom di ma bara heifo ka a moo feeriyom nna jiri ma nufi daama duuri hini ga a ma ci saabu suuru nna kwaasitere ma tee dimiyo nna adiiniyo binni laakari kaniyom nna wadaata ma te bamei se.
26-03	Nyaa nna baabe gonna daama n ma couyo ka n baa fisou n koyo se.
27-00	Asariya waranka cini iyente (27)
27-01	Boro kulu gonna daama a ma wuro a dimi taada kuna ka a hukumsi.
27-02	Bamei gonna daama taadayo kuna a ma a kaayom taago liiba ngwaa; tila kaayom no, ou hoore taago.
28-00	Asariya waranka cini iyaakunte (28)
28-01	Boro kulu gonna daama a ma te hei ka kwaara nna kwaara binni, nungu birijiyom ma si. Laakari kaniyom nna bongo meiyom mo gono zanga ka nna beiyani boro aduniya daama tila kuna a ma duka bara mooriyante.
29-00	Asariya waranka cini egante (29)
29-01	Boro gonna tilasiyo zamani ka kuna a gono. Zamani di ka kuna a folonku boro tere nna a jirima hini ka te.
29-02	A daama nna a bongo meiyom looyom kuna no sariya tikite a se a ma duwa ko boro cinniyo daama nna n bongo meiyom bei n se. Macerese mo gono bamei se.
29-03	N su ba hini ka daama nna bongo meiyo di loo ka na cii zanga ka yaasi aduniyakwaara diyayo marigayom na a jisi.
30-00	Asariya waranzante (30)
30-01	Beiyaniyom wo looyom ga siriya fo sii ka a ba nam kwaara fo su safu fo dee bine boro ma tunu ka koone ko ceeji ganna zamaa ma daama duuri nna bongo meiyom di ka n dam tila kuna saabu.
