00-00	Adam khukuklarynyn ekhliumumy Deklaratsiyasy
02-02	Ondanam bashga adamyn degishli yurdunyn ya-da erinin garashsyz, gozegchilik astynda, ozuni ozbashdak dolandyrmayan ya-da ozbashdaklygyn bashga bir cheklendirilmek yagdaiynda bolmagyna seretmezden syyasy, khukuk ya-da khalkara status esasynda tapavut goyulmaly del.
03-00	3-nzhi MADDA
03-01	Kher bir adam yashamaga, azatlyga ve shakhsy eldegrilmesizlige khukuklydyr.
04-00	4-nzhi MADDA
04-01	Khich kim gulchulykda ya-da tabynlykda saklanmaly deldir: gulchulyk ve gul sovdasy ekhli gornushinde gadagan edilier.
05-00	5-nzhi MADDA
05-01	Khich kim gynalmaga ya-da mertebesini kemsidien rekhimsiz, ynsanyetsiz gatnashyga ve zheza sezevar edilmeli deldir.
06-00	6-nzhy MADDA
06-01	Kher bir adam, khaisy erdedigine seretmezden, onun shakhsyetinin khukugylygynyn ykrar edilmegine khaklydyr.
07-00	7-nzhi MADDA
07-01	Khemme adam kanun onunde dendir ve khich bir tapavutsyz kanuny goraga khaklydyr.
08-00	8-nzhi MADDA
08-01	Kher bir adam Konstitutsiya ya-da kanun tarapyndan ona berlen esasy khukuklaryn bozulan yagdaiynda doly ygtyyarly milli sudlar tarapyndan oz khukuklarynyn dikeldilmegine khaklydyr.
09-00	9-nzhy MADDA
09-01	Khich kim esassyz tussag edilip, saklanylyp ya-da kovulyp bilinmez.
10-00	10-nzhy MADDA
10-01	Kher bir adam ozunin khukuklarynyn ve borchlarynyn anyklanylmagy uchin ve ona gorkezilien zhenayat aiyplamanyn dogrulygyny anyklamak uchin garashsyz, bitarap sud tarapyndan adalatlylygyn  khemme talaplaryna laiyklykda doly denlik esasynda oz ishine seretdirmege khaklydyr.
11-00	11-nzhi MADDA
11-01	ZHenayat edenligi barada aiyplanyan kher bir adam, te ona goranmaga ekhli mumkinchiliklerin doredilen achyk sudun seretmeginde onun gunesi kanun esasynda anyklanyancha, ol guneker del diylip khasaplanylmaga khaklydyr.
11-02	Khaisydyr bir khereket edenligi ya-da khereketsizlik edenligi uchin shonun edilen dovrunde milli kanunlar boyuncha ya-da khalkara kanunlar boyuncha zhenayat khasaplanylmayan bolsa, khich kim sonra ol boyuncha gunekerchilige chekilip bilinmez. Sheile khem zhenayatyn edilen dovrundekiden artykmach zheza cheresi bellenilip bilinmez.
12-00	12-nzhi MADDA
12-01	Khich kimin shakhsy ve mashgala durmushyna esassyz aralashylyp, onun yashaiysh zhaiynyn eldegrilmesizligine, onun khabar serishdelerinin syryna ya-da onun namysyna ve abraiyna esassyz kast edilip bilinmez. Kher bir adam sheile aralashylmakdan ve kast edilmekden kanun tarapyndan goraga khaklydyr.
13-00	13-nzhi MADDA
13-01	Kher bir adam kher bir dovletin cheginde bir erden bashga ere erkin erkin gitmege ve ozune yashamaga er sailap tutmaga khaklydyr.
13-02	Kher bir adam islendik yurdy, shol sanda oz yurduny khem tashlap gitmege ve oz yurduna dolanyp gelmege khaklydyr.
14-00	14-nzhi MADDA
14-01	Kher bir adam yzarlanylmakdan gachyp, bashga yurtlardan gachybatalga gozlemege ve shol gachybatalgadan peidalanmaga khaklydyr.
14-02	Syyasy del zhenayat edilenligi uchin, ya-da Birleshen Milletler Guramasynyn maksatlaryna ve printsiplerine ters gelien ish edenligi uchin yzarlanylyan makhalynda beile khak-khukuk ulanylyp bilinmez.
15-00	15-nzhi MADDA
15-01	Kher bir adamyn grazhdanlyga khaky bardyr.
15-02	Khich bir adam grazhdanlykdan ya-da grazhdanlygyny uitgedip bilmek khukugyndan esassyz makhrum edilip bilinmez.
16-00	16-nzhy MADDA
16-01	Kher bir kemillik yashyna eten erkek ve ayal, zhyns alamatlaryna, milletine ve dinine seretmezden khich bir pesgelchiliksiz yagdaida nikalashmaga ve mashgala gurmaga khaklydyr. Olar nikalashyan makhalynda-da, nikada duran makhalynda-da, nikany bozyan makhalyn-da den derezheli khukukdan peidalanyarlar.
16-02	Nika dine nikalashyan taraplaryn erkin ve doly ylalashmaklary esasynda gyiylyp biliner.
16-03	Mashgala zhemgyetin tebigy ve esasy oizhugi bolup, ol zhemgyet ve dovlet tarapyndan goralmaga khaklydyr.
17-00	17-nzhi MADDA
17-01	Kher bir adam emlege eke ozi-de, bashgalar bilen bilelikde-de eechilik edip biler.
17-02	Khich kim esassyz yagdaida emleginden makhrum edilip bilinmez.
18-00	18-nzhi MADDA
18-01	Khich bir adam pikir, vyzhdan ve din azatlygyna khaklydyr, bu khak oz dinini ya-da garaishyny erkin uitgedip bilmekligi, erkinlikde oz dinine ya-da garaiyshlaryna ozbashdak ya-da kopchulikleiin uyup bilmekligi, kopchulikleiin ya-da eke-tek yagdaida ovrenmekligi, khudaya gulluk etmekligi khem-de ritual depleri erine etirmekligi oz ichine alyar.
19-00	19-nzhy MADDA
19-01	Kher bir adam erkin duniegaraiysha ve ony erkin ayan etmege khaklydyr. Bu khak khich bir pesgelchiliksiz oz duniegaraishynyn tarapyny tutmak erkinligini ve informatsiyany ve ideyalary dovlet aracheklerinden bagly del yagdaida durli serishdeler arkaly gozlemek, almak ve yairatmak erkinligini oz ichine alyar.
20-00	20-nzhi MADDA
20-01	Kher bir adam parakhatchylykly iygnanyshyklar ve assotsiatsiyalar erkinligine khaklydyr.
20-02	Khich bir adam khaisydyr bir assotsiatsiya mezhbury yagdaida girizilip bilinmez.
21-00	21-nzhi MADDA
21-01	Kher bir adam gos-goni ya-da erkin sailanan vekillerin usti bilen oz yurduny dolandyrmaga gatnashmaga khaklydyr.
21-02	Kher bir adam oz yurdunda dovlet gullugyna den ygtyyarly girmege khaklydyr.
21-03	Khalkyn erk-islegi khokumetin khokmurovanlygynyn esasyny duzmelidir. Bu erk-isleg vagtal-vagtal ve galp del yagdaida gechirilien, ses azatlygyny upzhun edien, gizlin yagdaida ya-da ona den derezhedeki bashga gornushde gechirilien, ekhliumumy den sailamak khukugy boyuncha gechirilien sailavlarda iuze chykmalydyr.
22-00	22-nzhi MADDA
22-01	Kher bir adam, zhemgyetin agzasy khokmunde, sotsial upzhunchilige, ve kher bir dovletin duzumine ve mumkinchiliklerine laiyklykda milli tagallalaryn ve khalkara khyzmatdashlygyn usti bilen oz mertebesini ve ykdysadyetdeki, sotsial ve medeni ugurlardaky khukugyny oz shakhsyetini erkin osdurmege ulanmaga khaklydyr.
23-00	23-nzhi MADDA
23-01	Kher bir adam zekhmete, ishi erkin sailamaga, adalatly ve onaily ish shertlerine ve ishsizlikden goralmaga khaklydyr.
23-02	Kher bir adam, khich khili khukugy kemsidilmezden, den zekhmete den khak almaga khaklydyr.
23-03	Kher bir ishleien adam, ozuni ve mashgalasyny yashamaga doly upzhun edien, gerek bolsa bashga sotsial upzhunchilikler bilen usti etirilien, adalatly ve kanagatlanarly tolege khaklydyr.
23-04	Kher bir adam oz bekhbidini goramak uchin profesional soyuzlarydoretmege ve professional soyuzlara girmege khaklydyr.
24-00	24-nzhi MADDA
24-01	Kher bir adam eterlikli cheklendirilen ish gununi ve vagtal-vagtal berilien tolegli zekhmet rugsatlary oz ichine alyan dynch alysha ve bosh vagta khaklydyr.
25-00	25-nzhi MADDA
25-01	Kher bir adam, iymiti, geiimi, yashaiysh zhaiyny, onun ozunin ve mashgalasynyn abadanchylygyny ve saglygyny saklamak uchin zerur bolan sotsial gullugy ve gerek bolan meditsina khyzmatyny sheile khem ishsiz galan yagdaidaky, nesag bolandaky, invalid bolandaky, dul galandaky, garran vagtyndaky ya-da onun ozune bagly del yagdaida emele gelen yashaiysh serishdelerinden kesilendeki upzhun  edilmege bolan khukuklary oz ichine alyan durmush derezhesine khaklydyr.
25-02	Enelik ve chagalyk airatyn khossarlyga ve komege khukuk berier. Khemme chaga, nikaly ya-da nikasyz doglanlygyna seretmezden, birmenzesh sotsial goragdan peidalanmalydyr.
26-00	26-nzhy MADDA
26-01	Kher bir adam bilim almaga khaklydyr. Bilim, in bolmanda bashlangych veumumy bilim, mugt bolmaly. Bashlangych bilim khokmany bolmaly. Tekhniki ve professional bilim khemme eleterli bolmaly ve ekary bilim khemmeler uchin, kher kimin basharnygyna gore, den derezhede eleterli bolmaly.
26-02	Bilim adamzat shakhsyetinin doly osmegini ve adam khukuklaryna ve esasy azatlyklara bolan khormaty osdurmege gonukdirilen bolmaly. Bilim ekhli khalklar arasyndaky, zhynsy ve dini toparlar arasyndaky ozara dushunishmeklige, chydamlylyga ve dostluga komek etmeli ve Birleshen Milletler Guramasynyn parakhatchylygy goldamak boyuncha edien ishine yardam etmeli.
26-03	Ata-enelerin oz kichi chagalary uchin bilimin gornushlerini sailamakda artykmach khukuklary bardyr.
27-00	27-nzhi MADDA
27-01	Kher bir adam zhemgyetin medeni durmushyna erkin gatnashmaga, sungatdan lezzet almaga, ylmy progresse gatnashmaga ve onun mivelerinden peidalanmaga khaklydyr.
27-02	Kher bir adamyn ylmy, edebi ve cheperchilik zekhmeti esasynda doredilen akhlak ve maddy bekhbitleri goralmalydyr.
28-00	28-nzhi MADDA
28-01	Kher bir adam shu Deklaratsiyada beyan edilen khukuklar ve azatlyklar doly amala ashyryp biler yaly sotsial khem-de khalkara tertip-duzgune khaklydyr.
29-00	29-nzhy MADDA
29-01	Kher bir adamyn shakhsyetinin erkin ve doly osmegi mumkin bolar yaly zhemgyetin onunde borchlary bardyr.
29-02	Kher bir adam oz khukuklaryny ve azatlyklaryny amala ashyryan makhalynda dine bashgalaryn khukuklaryny ve azatlyklaryny doly ykrar etmekligi, akhlagyn adalatly talaplaryny kanagatlandyrmagy, zhemgyetchilik tertip duzguni ve demokratik zhemgyetde umumy abadanchylygy upzhun etmek maksady bilen kanun tarapyndan kesgitlenen cheklendirilmelere sezevar edilip biliner.
29-03	Shu khukuklary ve azatlyklary amala ashyrmak Birleshen Milletler Guramasynyn maksatlaryna khem-de printsiplerine khich khili yagdaida gapma-garshy gelmeli deldir.
30-00	30-nzhy MADDA
30-01	Shu Deklaratsiyadaky khich bir zat khaisydyr bir dovlete, adamlaryn toparyna ya-da airy-airy shakhsyetlere shu Deklaratsiyadaky beyan edilen khukuklary ve azatlyklary ek etmege gonukdirilen khaisydyr bir ish bilen meshgul bolmaga ya-da khereket etmege berilen khukuk khokmunde dushunilmeli deldir.
