00-00	Yonda ciendo le hakilan wanaciewo
21-01	bEtu nOn hakiyo waa masa le lingdo, te o cio kon te, mo wa le wana dO YEnangdo,
21-02	hOOlelingdo tu nOn hakiyo le waa baara le lingdo ni velle velle,
21-03	Yomu sariya lingdOn le cio landaaa YEnang hOOlelingdOn, ndaa doi mi ndaa ciOm Yiyan da kEndan o laalando kO, a wote wElE kO.
22-00	TOng 22
22-01	lingden faw doi mo cEucEu hOOalelingda faw, o suEyi sOlaa kO, o suEyi gbawEyiyo kO, o suEyi dEnE sina kO. cEucEu le lingden le le, o ME dO sOlaa ni ngo fula ni, a ME ndO sOlaa o baaralan ni a lingi thelenda tayin.
23-00	TOng 23
23-01	bEtu doi mo sOla baara, mo tosa baara o hEmang du wo o kul Muloo ni, o doi mo cEu cEu wanaa le lingda le baara le pEngdo ciolabaa.
23-02	baaralan la cio ME pilolan kan duama nO saralan pilE lan le wanaa baara.
23-03	baara dua mo sarang, sara dua mo tiu wanaabaara a Mugu do,
23-04	wanaa baara faw nOn hakiyo le kundaa tosa, o mala wanaa baara wa, ma veelu ndu ‘‘ syndicat ’’o puuriE ni.
24-00	TOng 24
24-01	bEtu nOn hakiyo le pEngiyo o baara ni, mo pisulu baara kOOli a baara tosa pEEngo bEngu, ma sara ndu wElE pEngu pEngiyo bEngu, o nda weelu naa “conge”
25-00	TOng 25
25-01	bEtu nOn hakiyo le sew sOlaa o cEucEu yugu dOO, le ciEn kEndOO tosaa, le kEndiya, MEdiya, worolan, cEyi lOlaa, a ndu pla dandaa dOwOO. Te naa komalang pE, baara le pEngdo pE, a balafondoyEi kE kE komalang pE, a doi ma sOla malaa.
25-02	Komisaa a cErEgbE nOn hakiyo le malaa sOlaa, hOO welun pE o nOw ni kaa o ciEmOO ni, haki pilO nda nOn ni o cEuciEuvo ni.
26-00	TOng 26
26-01	bEtu nOn hakiyo kalando, mi kalan kon doi mo wa wElE fondoo, le kalan tasoo a o din dOO, kalan la lan doi ma kangalan le bEtu. Karantaa le dEnE sina, karantaa le baara pEEkuwo a karantaa bEndo o thyo lan tu cioocioo wo, cio malaa le bEtu vellaa velle,
26-02	karantaa doi mo mala wana thyeu, le wanayEyi nduEyi yowOO lathi, le waa o ba ndO cio yowOO laci, o doi mo tosa saboo le nEyOn wOOndo malOO, mo tosa wElE mi MiyE a canjan luEyi ceedo ni suulan tE, diinalan wanda tE, ma mala wElE kundaa bEndo “ONU” le bEnda lOyOO o ciEdo ni,
26-03	bEtu nOn hakiyo le hOOa ndua malOO o karanta ni o hEnan nda pE
27-00	TOng 27
27-01	bEtu nOn hakiyo le waa o sun dEnE sina le lingdon ni mE mE o wa, mo o soling wElE tOnOOn.
27-02	bEtu nOn hakiyo le tOnOn baara ndO le yiyanndo, a baara ndO le diyallo, a baara ndO kE kE o dEnE sinaa ni ma cEucEu lan le nduvo.
28-00	TOng 28
28-01	bEtu nOn hakiyo le tOngdan naan yOda nua, mi le tosang o wanayEi ni o lingden ni a lingi tuwEi wElE ni.
29-00	TOng 29
29-01	te wancEu nOn pE hakiyo pE, laalan wElE ma o nOn o cio le tosaa kangalan,
29-02	a wa pE baara haki numdo tosaa pE, a dua ma lo tOngdo kOOli, haliko ma pilan wana thelen tana le,
29-03	tOngda la lan dua mo kera o yiyan celen thyoo le, te o cio yiyan kunda bEndo “ONU” o le.
30-00	TOng 30
30-01	wanna nOn ma yOOmu le, lingi kE kE nOn ma yOOmu le, le fulaa a neyi celen o tEEbu tOngdan lan naan yOda lan.
