00-00	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
16-00	Taeysi-ikaeisillae miehillae ja naisilla on oikeus solmia avioliitto ja perustaa perhe ilman minkaeaenlaisia rodusta, kansalaisuudesta tai uskonnosta johtuvia rajoituksia. Heillae on yhtaelaeiset oikeudet avioliittoon, avioliiton aikana ja sen purkamisen jaelkeen.
16-01	Avioliiton solmiminen tapahtukoon vain tulevien aviopuolisoiden vapaasta ja taeydestae suostumuksesta.
16-02	Perhe on yhteiskunnan luonnollinen ja perustava ydinosa ja sillae on oikeus yhteiskunnan ja valtion suojaan.
17-00	17. artikla.
17-00	Jokaisella on oikeus omistaa omaisuutta yksin tai yhdessae toisten kanssa.
17-01	Keltaeaen aelkoeoen mielivaltaisesti riistettaekoe haenen omaisuuttaan.
18-00	18. artikla.
18-01	Jokaisella ihmisellae on ajatuksen, omantunnon ja uskonnon vapaus; taemae oikeus sisaeltaeae vapauden uskonnon tai vakaumuksen vaihtamiseen sekae uskonnon tai vakaumuksen julistamiseen yksin tai yhdessae toisten kanssa, sekae julkisesti ettae yksityisesti, opettamalla sekae harjoittamalla hartautta ja uskonnollisia menoja.
19-00	19. artikla.
19-01	Jokaisella on oikeus mielipiteen- ja sananvapauteen; taehaen sisaeltyy oikeus haeiritsemaettae pitaeae mielipiteensae sekae oikeus rajoista riippumatta hankkia, vastaanottaa ja levittaeae tietoja kaikkien tiedotusvaelineiden kautta.
20-00	20. artikla.
20-00	Kaikilla on oikeus rauhanomaiseen kokoontumis- ja yhdistymisvapauteen.
20-01	Ketaeaen ei saa pakottaa liittymaeaen mihinkaeaen yhdistykseen.
21-00	21. artikla.
21-00	Jokaisella on oikeus osallistua maansa hallitsemiseen joko vaelittoemaesti tai vapaasti valittujen edustajien vaelityksellae.
21-01	Jokaisella on yhtaelaeinen oikeus paeaestae maansa julkisiin toimiin.
21-02	Kansan tahto on hallitusvallan perusta; taemae tahto on ilmaistava maeaeraeaikaisilla ja aidoilla vaaleilla, joissa kaikilla on yleinen ja yhtaelaeinen aeaenioikeus ja joissa aeaenestys on salainen tai muuta vaalivapauden turvaavaa menettelyae noudattava.
22-00	22. artikla.
22-01	Jokaisella on yhteiskunnan jaesenenae oikeus sosiaaliturvaan sekae oikeus kansallisten toimenpiteiden ja kansainvaelisen yhteistyoen kautta kunkin maan jaerjestelmae ja voimavarat huomioonottaen, nauttia haenen ihmisarvolleen ja haenen yksiloellisen olemuksensa vapaalle kehittymiselle vaelttaemaettoemiae taloudellisia, sosiaalisia ja sivistyksellisiae oikeuksia.
23-00	23. artikla.
23-00	Jokaisella on oikeus tyoehoen, tyoepaikan vapaaseen valintaan, oikeudenmukaisiin ja tyydyttaeviin tyoeehtoihin sekae suojaan tyoettoemyyttae vastaan.
23-01	Jokaisella on oikeus ilman minkaeaenlaista syrjintaeae samaan palkkaan samasta tyoestae.
23-02	Jokaisella tyoetae tekevaellae on oikeus kohtuulliseen ja riittaevaeaen palkkaan, joka turvaa haenelle ja haenen perheelleen ihmisarvon mukaisen toimeentulon ja jota tarpeen vaatiessa taeydentaevaet muut sosiaalisen suojelun keinot.
23-03	Jokaisella on oikeus perustaa ammattiyhdistyksiae ja liittyae niihin etujensa puolustamiseksi.
24-00	24. artikla.
24-01	Jokaisella on oikeus lepoon ja vapaa-aikaan, tyoeajan jaerkevaeaen rajoittamiseen sekae maeaeraeaikaisiin palkallisiin lomiin.
25-00	25. artikla.
25-00	Jokaisella on oikeus elintasoon, joka on riittaevae turvaamaan haenen ja haenen perheensae terveyden ja hyvinvoinnin ravinnon, vaatetuksen, asunnon, laeaekintaehuollon ja vaelttaemaettoemaen yhteiskunnallisen huollon osalta. Jokaisella on myoes oikeus turvaan tyoettoemyyden, sairauden, tapaturman, leskeyden tai vanhuuden sekae muun haenen tahdostaan riippumatta tapahtuneen toimeentulon menetyksen varalta.
25-01	Aeideillae ja lapsilla on oikeus erityiseen huoltoon ja apuun. Kaikkien lasten, riippumatta siitae, ovatko he syntyneet avioliitossa tai sen ulkopuolella, tulee nauttia samaa yhteiskunnan suojaa.
26-00	26. artikla.
26-00	Jokaisella on oikeus saada opetusta. Opetuksen on oltava ainakin alkeis- ja perusopetuksen osalta maksutonta. Alkeisopetuksen on oltava pakollinen. Teknistae ja ammattiopetusta on oltava yleisesti saatavilla, ja korkeamman opetuksen on oltava avoinna yhtaelaeisesti kaikille heidaen kykyjensae mukaan.
26-01	Opetuksen on pyrittaevae ihmisen persoonallisuuden taeyteen kehittaemiseen sekae ihmisoikeuksien ja perusvapauksien kunnioittamisen vahvistamiseen. Sen tulee edistaeae ymmaertaemystae, suvaitsevaisuutta ja ystaevyyttae kaikkien kansakuntien ja kaikkien rotu- ja uskontoryhmien kesken sekae pyrkiae edistaemaeaen Yhdistyneiden Kansakuntien toimintaa rauhan yllaepitaemiseksi.
26-02	Vanhemmilla on ensisijainen oikeus valita heidaen lapsilleen annettavan opetuksen laatu.
27-00	27. artikla.
27-00	Jokaisella on oikeus vapaasti osallistua yhteiskunnan sivistyselaemaeaen, nauttia taiteista sekae paeaestae osalliseksi tieteen edistyksen mukanaan tuomista eduista.
27-01	Jokaisella on oikeus niiden henkisten ja aineellisten etujen suojaamiseen, jotka johtuvat haenen luomastaan tieteellisestae, kirjallisesta tai taiteellisesta tuotannosta.
28-00	28. artikla.
28-01	Jokaisella on oikeus sellaiseen yhteiskunnalliseen ja kansainvaeliseen jaerjestykseen, jonka puitteissa taessae julistuksessa esitetyt oikeudet ja velvollisuudet voivat taeysin toteutua.
29-00	29. artikla.
29-00	Jokaisella ihmisellae on velvollisuuksia yhteiskuntaa kohtaan, koska vain sen puitteissa haenen yksiloellisen olemuksensa vapaa ja taeysi kehitys on mahdollinen.
29-01	Kaeyttaeessaeaen oikeuksiaan ja nauttiessaan vapauksiaan kukaan ei ole muiden kuin sellaisten lailla saeaedettyjen rajoitusten alainen, joiden yksinomaisena tarkoituksena on turvata toisten oikeuksien ja vapauksien tunnustaminen ja kunnioittaminen sekae moraalin, julkisen jaerjestyksen ja yleisen hyvinvoinnin oikeutetut vaatimukset kansanvaltaisessa yhteiskunnassa.
29-02	Naeitae oikeuksia ja vapauksia ei missaeaen tapauksessa saa kaeyttaeae vastoin Yhdistyneiden Kansakuntien paeaemaeaeriae ja periaatteita.
30-00	30. artikla.
30-01	Mitaeaen taessae julistuksessa ei saa tulkita niin, ettae valtio, ryhmae tai yksityinen henkiloe voi sen perusteella katsoa oikeudekseen tehdae sellaista, mikae voisi haevittaeae taessae maeaeriteltyjae oikeuksia ja vapauksia.
