00-00	DYANTOORE FOTTANAANDE ADUNA FII HANDANDHI NEDDHO
20-01	NEDDHO KALA NO HANDIE ANNUYEE MOTTONDIRAL MAA KAWTITAL E NDER BHUTTU.
20-02	GOOTO KARHETAAKE FII TAWEEDE E HUUWODIRAL.
21-00	SARTI 21
21-01	NEDDHO KALA NO HANDI TAWEEDE KA ARDAGOL HAADYUUDYI LEYDI MUN, WONI KANKO TIGI; MAA BHE O SUBHII LONTO.
21-02	NEDDHO KALA NO HANDI E DOW SARTIIDYI FOTOYDHI, HEWTUGOL MAGHAAMUUDYI HAWTAADHI KA LEYDI MAKKO.
21-03	KO FAALE DYAMAA ON WONI TIPPUDI DOOLE LAAMUUDYI DHIN; ON FAALE NO BHANGINIREE WOOTE LAABHUDHE WADHAYDHE E SAAIIDYI HAPPAADHI E NDER LAAWOL SELLINAYNGOL NGAL SUBHONDIRAL.
22-00	SARTI 22
22-01	NEDDHO KALA, TAWEEDE KO AADEN DYAMAA ON, NO HANDI E KIWAL NGURDAN; HIMO HANNDI E KEBHAL LAATIINGAL HADHANDHIMO KA NGALUUDYI, WONDIINGU MAA KA FAAMUYEEDYI, DHI MAGHAAMU MAKKO, HETTARRE E BHANTAL, GASATA E BHAAWO MUN, SABU WAKKILAARE LEYDI MAKKO NDIN, WONDUDE E HUUWONDIRAL LEYDHE, BATTANE NOONE EBBOORE E NGALUUDYI LEYDI KALA.
23-00	SARTI 23
23-01	NEDDHO KALA NO HANDI E GOLLE, SUBHANAGOL HOORE MUN GOLLE, E DOW SARTIIDYI FOTAYDHI E HANDANDHI GOLLE DHEN, KANYUN E DANDEEDE ANGAL GOLLE.
23-02	FOW NO HANNDI, KO REWA BHURDODIRAL, E DYODDI FOTAYNDI FII GOLLE FOTAYDHE.
23-03	KALA GOLLUDHO NO HANNDI E DYODDI KELDHUNDI, GASAYNDIMO WURNIDUDE E BEEYNGUURE MAKKO E NDER LIIMAANU, WALLITTOREE KADI SI NO HAANI, PEHE GOO SOLLINTINAYDHE NGURDAN.
23-04	NEDDHO KALA NO HANNDI E TIMBUDUGOL E WOBBHE "SENIDIKA", MAA TAWTUGOL "SENDIKA" FII DANDUGOL NAFAADYI MAKKO.
24-00	SARTI 24
24-01	NEDDHO KALA NO HANNDI E FOWTAARE, E WELTINAARE, TENTINI SAA A GOLLE EBBHIRADHO NO HAWRIRI, E GURTE YOBHETEEDHE.
25-00	SARTI 24
25-01	NEDDHO KALA NO HANNDI E GURDAN MOYYHAN FII HATTINGOL TYELLAL MUN, NGALUUDYI MUN, E NEWAARE TAMBITAGOL BHEYGUURE MUN, DYURRIYAADYI MUN, KA GUUREE MUN; DHUN IMMORI KA NEEMAADYI, KOLTUUDYI, WONUNDE E NYAWNDIIGUUDYI MUN KANYUN E HAADYUUDYI MUSIDAL LAABUDDAADYI; HIMO HANDI E FAABEEDE, DANDEE MAKKO: WONI FEWDO ANGAL GOLLE, NYAWU, DYUKKU, MAYREEDE, NAYEEWU MAA HAYRERE GOO.
25-02	BHEYNGU E KETTYO NO HANDI E BALLAL E TAMBITAL FEEREWAL. DYIBINAABHE FOW, WONI E DEWGAL MAA WONI, NO FOTA HANNDUDE E DANDEEDE.
26-00	SARTI 26
26-01	NEDDHO KALA NO HANDI E NEEDI E DYANDENDEN HAANAAKA YOBHEEDE, BETE KA DUUBHI ARANI. KA DUUBHI ARANI, DYANDE NDEN KO WAADYIBI. DYANDE METTYE DHEN NO HAANAA YANNYEEDE ; NAATUGOL DYANDE TOOWUNDE NDEN NO FAANANI FOW E HOORE NO BHE WAWTIRI, KO REWA FAASA.
26-02	DYANDE NDEN NO HAANI HUULANDE BHANTAN NEDDHANKAAKU, KELDHINA DHOFTAARE HAANANDHI NEDDHO, E HETTAARE TIMMUNDE. DYANDE NDEN HAANI WALLUDE FII FALTONDIRAL, MUNNYONDIRAL, E WELDIIGAL LEYDHE DHEN, LEYDHI DHIN E DIINAADYI DHIN FOW, KANNYUN E BHANTAL GOLLEEDYI LEYDHE POTTAL ADUNA ON, FII TABINTINO BHUTTU NGUN.
26-03	MAWBHE BHEN NO HAANI ADO FOW SUBHAADE NOONE NEEDI NDI BHE FAALANNA BHIBBHE MABBHE BHEN.
27-00	SARTI 27
27-01	NEDDHO KALA NO HANDI E TAWDEEDE E KAWTITAL KA BHANTAL GANDE, O NAFTORA NYEENYAL E MOYYLSREEDYI KO HUMII E DHUN.
27-02	MO KALA NO HANDI DANDANEEDE NAFAADYI HUMIIDHI E GANDAL, NYEENYAL, WALLIFOODYI E FIDYINDAARUUDYI DHI O SINTYI.
28-00	SARTI 28
28-01	NEDDHO KAL NO HANDANI YO NYIIBHA, TELEMMA KA HUUWONDIRAL E KA LAALAGOL ADUNA, YAASI MO TAWETEE, HANDANDHI E HETTAAREEDYI YAMIRAADHI E NDEE DYANTOORE NO BHANAGIRI KO HEEWI.
29-00	SARTI 29
29-01	NEDDHO KALA NO DYOGLI WADDHIIDHI HUNNETEEDHI TELEN KA KAWTITAL, SABU HETTAARE E BHANTAL NDIMU MAKKO DYAALII WOO E MAGGAL.
29-02	E NDER NAFITORAL HANDANDHIMO, E KA HUUTORAL HETTAARE MAKKO, KALA KO YAANANAA KO HAA KA KEERI, DHI SARIYA WADHI DHIN FII ANDITUGOL TEDDINA HAANANDHI E HETTAARE LUTTUBHE, WONDUDE LAATINGOL BHE E YAMIROODYI FEEWUDHE KA MAGHAAMU, KA WONDIGAL S FII NGURDAN MOYYHAN E NDER KAWTITAL FOTORAL.
29-03	DHIN HANDANDHI E NDEN HETTAARE GASETAAKE NO WONIRI WOO, HUUTORIREEDE E NDER LURRAL TUUGANDHE SARIYAADYI POTTAL LEYDHE ADUNA DHEN.
30-00	SARTI 30
30-01	LeYDI WOO, KAWTITAL MAA NEDDHO WOO, GASATAA BHAARORDE SARTIIDYI LINTAADHI E NDEE DYANTOORE MAWNDE FII BONNUGOL HAANANDHI E HETTAAREEDYI WONDHI E MAYRE.
