00-00	XIXE BLIBOA BE GBEFANDEDE SO AMEBUSEWO ALOGODOEJSEWO NGTI
02-01	Ame dekpekpe ame tengu so godoejise, amebuse ku vosinono kea wo sigbe enu kewoe nyi e to nene le gbefandede kea me le voklan dekpe mado e me, vevede so agbaze ke le mia ngtia, gbe ke le konu na mia, asu alo asi nyinyi le jijime, sensen, ame nguto be gonmedede le politiki alo dunya gbongbon gblame, alo amenguto gonmedede dekpekpe kewoe la kudo amenguto be du, alo ke kudo amehawo be nyanwo ngti.
02-02	Neneake wo ma dojesi amede ngti so kudo yebe du be politiki alokpade, kojosewo alo sokudo wekea be sewo ngti o; nene be du ke me be soa, tengu ma nyi ablodedu, kpoto le dude b'ace gonme alo ke ji wo mu de alo ke ji wo mu de alo le kengukengu ne ba zan dokwesinono b'ace o.
03-00	Gbetakui tongoan (3)
03-01	Ame dekpekpe ame, alo ame deka-deka de gbe la no agbe, la vo eye yeametia la kpogome le amejikpokpo me.
04-00	Gbetakui enegoan (4)
04-01	Amede mu do la nyi kluvi alo kannumo o, kluvi alo kannumo alo agbeto so doajo be nu gun le nonome alo alokpa dekpekpe me.
05-00	Gbetakui atongoan (5)
05-01	Wo mu do la nyama amede be ngtilan le jizinzin me alo le vevesese dona ame dona ame le hunyra ke mu je ne agbeto o, alo ke la dovloe alo la de kpoto.
06-00	Gbetakui adengoan (6)
06-01	Amedekpekpe ame le afisiafia do ace do yeb'amenyinyi so zonde sea ji.
07-00	Gbetakui adrengoan (7)
07-01	Amesia nyi gbesoe le sea be ngko eye le voklan ma do e me a, wo dogbe ne esea b'amejikpokpo. Amesiame dogbe dekangukume le sea b'amejikpokpo so kudo amedekpoto ke la nyi afotungukume ne gbefandede kea kudo gejiji dekpekpe ke la kudo amedekpo a ngti.
08-00	Gbetakui enyigoan (8)
08-01	Ame dekpekpe dogbe la tuta duame be nyasopewo, kewoe do ace do wona alo nonome kewoe la tuafongukume ne aleke be gbefandede so amebuse gunmekpetowo ngti ke ji gonmesea alo esea d'alo do a.
09-00	Gbetakui asidekegoan (9)
09-01	Wo mu dogbe la le amedeti kpongu o, la doete alo la hen engutu do ametupe alo a deto le yebe dume a soyi duhu me o.
10-00	Gbetakui ewogoan (10)
10-01	Ame dekpekpe ame dogbe le gbesoe bliboa me, ne ba na woa se nuke jo do e jia, le agbangugba kudo alee be do la nyi tututua le vosi kojodope ke kpace ne e dokwea eye le amede ji ma do mea, la so ne amea be godoejisewo ku dodo ziame ji ke jea, alo ne anukwa ke le nya ke wo so dote le doe hwe me a.
11-00	Gbetakui wodekagoan (11)
11-01	Ame dekpedekpe ame kenguti wo so nya do soe do hwe me a, le sigbe ame ke mu kpo jeago o nene kaka vana gakeme ye agbangugba be kojo le ame fuwo be ngko eye jengu koa wo la con nyaxodoameta b'a kpa kewoe le vevede ne ame a, la deefyo be e jeago.
11-02	Wo ma dohwe amede ne e nyi be ne e nyi be gakeme be le wo wonade alo dengude le ede jia ese ese ke tengu po ame do nene be wonawo ngti a mu le yebe dume alo nyi dusidu to o. Neneake wo mu do la nae todondon sowugan ke je ne agoa o.
12-00	Gbetakui woevegoan (12)
12-01	Amedekpe mu do la so akpasensen yi donu amede b'agbenya ke kan yedeno o, yebe xome ku yeb'axwe be nyawo, yeb'angedohomawo, aolo a wo nude a so gble yebe nyiko ku yebe nyididi o. Amesiame dogbe la byo so asea gbo ne ba kpo e ji do wona keawo ngti.
13-00	Gbetakui woetongoan (13)
13-01	Amesiame dogbe la disa le vosime eye ba like do afike jroe a le ye b'acekpadu me.
13-02	Ame dekpekpe ame dogbe la jo le du dekpekpedu me, yenguto be dua can le eme; eye e la gba trova e me.
14-00	Gbetakui woenegoan (14)
14-01	Ne e nyi be wo tin amede yome a, e dogbe la yi ji afike la nyi siwlape ne eye e la kpo nene monu le du buwo can me
14-02	Voa ne nyi be le nyawo me e ze be ame a jeago gande do yebe dua, ma tengu byo siwlape b'ameijikpookpoo o, neneake ne e gba wo wona dewo kewoe mu zondo dukon bladoduwo be dodowo ji o.
15-00	Gbetakui woetongoan (15)
15-01	Amedekpekpe ame dogbe la nyi dudemeto.
15-02	Wo mu do la so akpasensen la de dumevinyinyi b'akpa le amede ngti alo agbe be ma dolii a byo du ke to jroe a o.
16-00	Gbetakui woeadengoan (16)
16-01	Ne ngsu alo nyonu do vijipea, wo dogbe la desron a dogbe la desron a doxome eye nude ma tumo na wo so kudo agbeze be klenklen, dudemeto nyinyi, alo sensen be nyawo ngti o. Wo do ace dekangukume le woab'agbengukekewo me so doasi na gokeme wo la gbe woanono wo a.
16-02	Sronsrondedea mu do la nyi wowo ne le vosi mea ejro mu so srondetowo ngto gbo o.
16-03	Srondede nyi nu zondo xixea be dodowo ji, eye be gba nyi adokpe ne ameha; e dogbe ne ameha ku acekpadua ba kpo e ji, a lebe ne.
17-00	Gbetakui woedrengoan (17)
17-01	Amedekpekpe ame ne e nyi yedekano oo, alo le habobo, alo le ha dodode me a, dogbe enu nyi ameto ji.
17-02	Wo mu do la so akpasensen a a tsriamede enu ke nyi e toa o.
18-00	Gbetakui woenyigoan (18)
18-01	Ame dekpekpe ame dogbe la vo le susundede me, le yebe cicinya ku sensen b'ace a ye le nae egbe be e gba tengu doli sensen alo kan kan do enu ji, e tengu wo nenea yedekano, alo le habobode me, le agbangugba le agun-a be ngko alo le kodoo me, soto nufyofyo, wona wo, ku sensen be konuwoji.
19-00	Gbetakui woeasidekegoan (19)
19-01	Ame dekpekpe ame do do ace do vosi be susun kudo nyadegblonwo ji; engwa ye na ye wo mu do la donguklen ne do susun kewo be desia ngti o, alo la ji tro leguku do woa ngti, alo a fufu wo to nya kakan b'alo dekpekpe me so je ye be dua be lipowo godo.
20-00	Gbetakui ewigoan (20)
20-01	Ame dekpekpe ame dogbe la wo bobo alo a dogbe fafawo le vosi me.
20-02	Wo mu do la zin ame ji be ne no bobode me o.
21-00	Gbetakui wevodekagoan (21)
21-01	Ame dekpekpe ame dogbe la zeta, la kenu do kewo kan hahoa yebe dume, ye ametia ngto tengu wo nenea, alo amecewo be can le vosi me a, la woe do e tepe.
21-02	Ame dekpekpe ame le sosoe nyinyi be dodowo mea dogbe la wo fyodo le yebe dume.
21-03	Amehawo be jro ye le nyi adokpe ne fyohawo b'acekpakpa. Nenea be jro la ze le akodada a so can ame sigbe aleke be jea, eye wo do la no trowoe hwenuhwenu soto ame so yebe gbe na ame ke jroe a le wlawlame le haho b'akodada me alo so zondo dodo buwo ji kewoe la na vovo ne akoa dada.
22-00	Gbetakui wivovegoan (22)
22-01	Ame dekpekpe ame ke gbe nyi hamevia dogbe ne wo kpo eji, a lebe n'e. Nene be belelena ame la kpo gome le eci be monuwo me, hamevi be hyanwo kudo kewo kpata la na yebe ngkoyiyi le agbe me.
23-00	Gbetakui wivotongoan (23)
23-01	Ame dekpekpe ame dogbe ne edo, eye e la so e ke jroe a le dodo sogbe ke je ame ngkume eye wo do la kpengukuvi do e ngti ne nggba ci dode male asi to o.
23-02	Le ame ma de kpoto mea, amesiame dogbe la xo eci ke je ne edo ke be le wo.
23-03	Ame ke le wo doa do la du eci ke sogbe gba je ame ngkume, ke la na na agbenono adodoe yenguto ku yebe xomea eye dodo buwo kewoe la lengukuvi do e ji kpokpo le le domea can tengu con akpa n'e.
23-04	Ame dekpekpe ame dogbe la no ku dowoto buwo sona dowotowo be gbewo gbewo dodo eye e gba tengu da ku dowoto be gbe buwo a so hwlen yeb'alewo gan.
24-00	Gbetakui wivo-enegoan (24)
24-01	Ame dekpekpe ame dogbe ne gbojen ku enu kewo dena ngme jaka; wo ma na ye dowogame la wugan ale be jea e, eye hwenu-hwenua, wo do la no na gbonjen b'azan kewoe la do fentu.
25-00	Gbetakui wivoatongoan (25)
25-01	Ame dekpekpe ame dogbe ne ke je n'e le ci gomea ne ba so hwlen yebe lanmesen, yenguto ku yebe xomea be tujenyi, vevedea mududu, awu ku avowo, axwe alo xo ke me wo tengu no, ame ji kpokpo le doyo pewo kudo nu kewo kengu je ne ameha; e dogbe ne ngkulele doyeametia ngti le edo ku sinsin me, ne yebe ngtilan b'akpadewo gundua, ne e va tro ahosi alo dode-manosito alo nu kewo kengu na n'e be duna a.
25-02	Nyonu be vijihwenuwo, vifenmenono wo dogbe ne alodo ku amejikpokpo toxe dewo. Devi dekpekpe devi ke wo ji le srondede me alo le sronmade mea dogbe ne ngku le do ame ngti deka ngkume.
26-00	Gbetakui wivoadengoan (26)
26-01	Amesiame dogbe ne henhen ku sukulu be nyawo. Gonmeje-sukuluwo yiyi mu do gentu o. Nufyoame le gonmejesukuluwo nyi nu zin ame ji. Wo la na ye dokpla pe sukuluwo la keke ta, a gban do dua me.
26-02	Wo la na mo ne nufyofyo le sukulu ganwo la nyi ke je ne amea so zondo nyanya ngti.
26-03	Nufyofyo do la xo do so agbeto be vun viun bliboa ngti, la do ka abo-kame ne esi nana amebusewo ku vosiwo. E do la na ye nugonme sese, ago so ke ame ku xlonkadodo la no kotawo kpata ku sensenwo kpata dome eye e la gba na dukon bladoduwo be wonawo ngkoyiyi ne fafa ba no anyi.
27-00	Gbetakui wivoadrengoan (27)
27-01	Ame dekpekpe ame dogbe le vosi me, a do nu enu kewo kan ameha b'agbea le dekonuwo ku kametete be mowo nu eye e do la sevivi le adangudowo ku nugonmejiji be ngkoyiyi ngti.
27-02	Ame dekpekpe ame dogbe ne woa kpo yeb'alewo ji, le hadome b'agbe me alo enu kewo kpata nyi e to le nugonmejiji ku nungonglowo me.
28-00	Gbetakui wivoenyigoan (28)
28-01	Ame delkpekpe ame dogbe la wo ye la yebe dume, le weke bliboa mea amebusewo ku vosinono wo be zanzawo la zon do e ji tututu.
29-00	Gbetakui wivoasidekegoan (29)
29-01	Ame dekpekpe ame do do la wo ne ameha ke ne vosi be ngkoyiyi bliboa tengu no ne ye ametia.
29-02	Le zanzanwo ne vivisesewo le abusewo ku vosiwo me a wo ma do lipo de tovo ne eke sese a dode anyi a so dokpe jesinana ku esi ne godoejisisewo ku vosiwo ji, alea be wo wo do dodo zin ame ji so agbenono donwin, dodo sogbe le ha dome, ku tujeanyi bliboa le amesia be ha me.
29-03	Wo ma zan aleke be vosinono a so je ga godo dukon bladoduwo be dodowo o.
30-00	Gbetakui gbangoan (30)
30-01	Nonome alo wona dekpekpe mu do la na ye gbefandede kea la ze sigbe acekpadu de ye soe dote nene, alo na gbe amede, habobode be ba wo wonade ke la hen nu gble le amebusewo ku vosinono kewo ng wo po nupo so a o.
