00-00	Universal Declaration o Human Richts
12-01	Naebody shal be gart thole wulsome intromission wi his privacy, faimily, hame or letters, nor tae onsets upon his honour and repute. Awbody hes the richt tae the beild o the law conter sic intromission or onsets.
13-00	Airticle 13
13-01	Awbody hes the richt tae freedom o traivel and residence ben the mairches o aw States.
13-02	Awbody hes the richt tae win awa frae ony countrie, includin his ain, and tae win back til his countrie.
14-00	Airticle 14
14-01	Awbody hes the richt tae seek and tae enjoy in ither countries asylum frae persecution.
14-02	This richt mayna be cried on in the case o prosecutions genuinely arisan ower the heids o nonpolitical crimes or o acts contrair til the purposes and principles o the Unitit Nations.
15-00	Airticle 15
15-01	Awbody hes the richt til a nationality.
15-02	Naebody shal be wulsomely twined o his nationality nor disalloued the richt tae chynge his nationality.
16-00	Airticle 16
16-01	Men and wemen o ful age, wi nae ony branks on accoont o race, nationality or religioun, hes the richt tae mairry and foond a faimily. Entitelt they are tae equal richts anent mairrage, oot throu mairrage and at its upbrak.
16-02	Mairrage shal be gane intil wi the free and ful consent alane o the intendin marras.
16-03	The faimily is the naitural and fundamental group unit o society and is entitelt tae the beild o society and the State.
17-00	Airticle 17
17-01	Awbody hes the richt tae awn gear his lane as weel as in commonty.
17-02	Nane shal be wulsomely twined o his gear.
18-00	Airticle 18
18-01	Awbody hes the richt tae freedom o thocht, conscience and religioun; this richt includes the freedom tae chynge his religioun or belief, and freedom, aither his lane or in commonty and in public or in quietie, tae witness his religioun or belief in teaching, practick, worship and observance.
19-00	Airticle 19
19-01	Awbody hes the richt tae freedom o opinioun and expression; this richt includes freedom tae haud opiniouns wi nae intermeddling and tae seek, come by and gie oot wittings and conceits throu ony media and tentless o frontiers.
20-00	Airticle 20
20-01	Awbody hes the richt tae freedom o peacefu forgethering and association.
20-02	Nane may be gart belang an associe.
21-00	Airticle 21
21-01	Awbody hes the richt tae tak a haund in the government o his countrie, directly or throu representatives freely waled.
21-02	Awbody hes the richt til equal access tae public service in his countrie.
21-03	The wull o the people shal be the grunds o the authoritie o government; this wull shal be expressed in periodic and jonick elections that shal be by universal and equal suffrage and shal be hauden by secret vote or by the like free voican procedures.
22-00	Airticle 22
22-01	Awbody, as a member o society, hes the richt tae social security and is entitelt tae realisation, throu national darg and international compluterance and confeerin til the organisation and fends o ilka State, o the economic, social and cultural richts that maun be haen for his dignity and the free development o his personality.
23-00	Airticle 23
23-01	Awbody hes the richt tae hae wark, free choice o employ, fair and guid tids o wark, and security gin wark gaes wantin.
23-02	Awbody, wi nae ony discrimination, hes the richt tae equal pey for equal wark.
23-03	Awbody in wark hes the richt tae fair and guid pey that maks siccar for himsel and his faimily an existence worthy o human dignity, and hae it eikit til, if necessar, wi ither means o social beild.
23-04	Awbody hes the richt tae mak and tae jyne trade unions for the beild o his interests.
24-00	Airticle 24
24-01	Awbody hes the richt tae saucht and leisure, includin wyce stents on wark-oors and periodic time aff wi pey.
25-00	Airticle 25
25-01	Awbody hes the richt til a standart o life fit for the guid-heal and weel-daean o himsel and his faimily, includin meat, claes, hoosing and medical care as weel as necessar social services and the richt tae security in the event o job loss, seikness, disability, wedowheid, auld eild or ither want o fends in circumstances oot o his pouer.
25-02	Mitherheid and bairnheid is entitelt tae special tent and assistance. Aw childer, whuther born in or oot o wadlock, shal enjoy the samelike social beild.
26-00	Airticle 26
26-01	Awbody hes the richt tae learning. Learning shal be free, at least in the elementar and foondin stages. Elementar learning shal be compelt. Technical and professional learning shal be made generally available and secondar learning shal be available tae aw equal like on grunds o merit.
26-02	Learning shal be airtit at the ful development o the human personality and at the steivening o respect for human richts and fundamental freedoms. It shal promote understaunding, toleration and freendship amang aw nations, racial or religious groups, and shal gar the purposes o the Unitit Nations win forrit in the uphauding o peace.
26-03	Parents hes a prior richt tae wale the kind o lear that shal be gien til their bairns.
27-00	Airticle 27
27-01	Awbody hes the richt tae tak pairt freely in the cultural life o the commonty, tae enjoy the airts and tae share in the advancement o science and its benefits.
27-02	Awbody hes the richt til the haining o the moral and material interests that results frae ony scientific, literary or airtistic production he is the makar o.
28-00	Airticle 28
28-01	Awbody is entitelt til a social and international order in the whilk the richts and freedoms furthset in this Declaration can kythe in ful.
29-00	Airticle 29
29-01	Awbody hes duties tae the commonty in the whilk alane the free and ful development o his personality is possible.
29-02	In the exercise o his richts and freedoms, awbody shal thole nae mair nor whit branks are determined by law for the ae purpose o makand the due kenning and respect for the richts and freedoms o ithers and the meeting o the just needs o morality, public order and the common weill in a democratic society siccar.
29-03	Thir richts and freedoms can niver in nae case be exercised conter the purposes and principles o the Unitit Nations.
30-00	Airticle 30
30-01	Nocht in this Declaration may be interpret as allouin for ony State, group or person ony richt tae tak pairt in ony ploy or perform ony act ettled at the cowping o ony o the richts and freedoms herein furthset.
