00-00	ptiyyaasaaklwaadwysittimnusychn
22-01	tukkn naitaanasmaachikkongsangkm miisittinaihlakprakantaangsangkm laeaymmiisittinaikaarbrrlusittitaangserstkich sangkm laeawatntrrm anchampeonyingsamhrabsakdisriikongtn laeakaarpatnaabuklikpaapkongtnyaangisra paankwaampyaayaamkongratlaeakwaamrwmmueerahwaangprates laeataamkaarchadkaarlaeatrapyaakrkongtaelarat
23-00	k 23
23-01	tukknmiisittinaikaartamngaan naikaarleueekngaandoyisra naingeueenkaitiiyutitrrmlaeaeueeoamnwytokaartamngaan laeanaikaarkumkrongtokaarwaangngaan
23-02	tukknmiisittitiichadairabkaachaangtiiteaateiiymkan samhrabngaantiiteaateiiymkan doypraaschaakkaarleueekptibatidai
23-03	tukkntiitamngaanmiisittitiichadairabkaatobtaentiiyutitrrmlaeaeueeoamnwytokaarprakankwaampeonyuuankwrkaakaesakdisriikongmnusysamhrabtnenglaeakrobkraw laeahaakchampeonkochadairabkaarkumkrongtaangsangkmnairuupbaebueenpeimteimdwy
23-04	tukknmiisittitiichachadtanglaeatiichakeaarwmshpaapraengngaanpeueekwaamkumkrongplprayochnkongtn
24-00	k 24
24-01	tukknmiisittinaikaarpakponlaeakaarponklaayyaamwaang rwmtangchamkadwelaatamngaantaamsmkwr laeawanhyudpeonkrangkraawdoydairabkaachaang
25-00	k 25
25-01	tukknmiisittinaimaatrtaankaarkrongchiipanpeiiyngposamhrabsukpaaplaeakwaamyuudiikongtnlaeakongkrobkraw rwmtangaahaar kerueengnunghm tiiyuuaasay laeakaarduulaeraksaataangkaarpaety laeabrikaarsangkmtiichampeon laeamiisittinaihlakprakanyaamwaangngaan cheobpwy pikaar hmaay waychraa hrueepraaschaakkaardamrngchiipueennaispaawawaedlomnokhenueekaarkwbkumkongtn
25-02	maardaalaeadeokymmiisittitiicharabkaarduulaeraksaalaeakaarchwyhelueepeonpises deoktangpwngmaiwaachakeidnaihrueenoksmrs chatongdairabkaarkumkrongtaangsangkmchendeiiywkan
26-00	k 26
26-01	tukknmiisittinaikaarsueksaa kaarsueksaachatonghaipelaayaangnynaikanpratmsueksaalaeakanpueentaan kaarsueksaaradabpratmchatongpeonpaakbangkab kaarsueksaadaanwichaakaarlaeawichaachiipchatongpeidpeon kaartawpai laeakaarsueksaaradabsuungkuenpaichatongkeaatuengdaiyaangsemopaaksamhrabtukknbnpueentaankongkunsmbatikwaamhemaaasm
26-02	kaarsueksaachatongmungpaisuukaarpatnaabuklikpaapkongmnusyyaangteomtii laeakaarserimsraangkwaamkeaarptosittimnusychnlaeaisrpaapkanpueentaan kaarsueksaachatongsngserimkwaamkeaachai kantitrrm laeamitrpaaprahwaangprachaachaati klumcheueechaati hrueesaasnaatangmwl laeachatongsngserimkichkrrmkongshprachaachaati peueekaartamrngwaisuengsantipaap
26-03	puupkkrongmiisittibeueengraektiichaleueekprapetkaarsueksaatiichahaikaebutrkongtn
27-00	k 27
27-01	tukknmiisittitiichakeaarwmdoyisranaichiiwittaangwatntrrmkongchumchn tiichapelidpelinkabsilpa laeamiiswnnaikwaamrudhnaa laeakunprayochntaangwityaasaastr
27-02	tukknmiisittitiichadairabkaarkumkrongplprayochntaangchitchailaeataangwattu anpeonplchaak pradistkrrmdaitaangwityaasaastr wrrnkrrm laeasilpkrrmsuengtnpeonpuusraang
28-00	k 28
28-01	tukknymmiisittinairabeiiybtaangsangkmlaearahwaangprates suengchapeonkrobhaibrrlusittilaeaisrpaaptiikamhndwainaiptiyyaaniiyaangteomtii
29-00	k 29
29-01	tukknmiihnaatiitochumchn suengkaarpatnaabuklikpaapkongtndoyisralaeateomtii chakratamdaikotaenaichumchnteaanan
29-02	naikaarchaisittilaeaisrpaapkongtn tukknchatongyuupaaytaikochamkad peiiyngteaatiimiikamhndwaitaamkdhmaayteaanan peueewattuprasngkkongkaardaimaasuengkaarymrablaeakaarkeaarpsittilaeaisrpaapankwrkongpuuueen laeapeueehaisodrabkabkwaamtongkaaransmkwrtaangdaansiiltrrm kwaamsngbreiiybrykongprachaachn laeaswasdikaartawpainaisangkmprachaatiptaiy
29-03	sittilaeaisrpaaphelaaniimaiaachchaikadtowattuprasngk laeahlakkaarkongshprachaachaatimaiwaanaikrniidai
30-00	k 30
30-01	maimiibtdainaiptiyyaanii tiiaachtiikwaamdaiwaa peonkaarhaisittidaikaerat klumkn hrueebukkldai naikaardamneinkichkrrmdai hrueekratamkaardai anmungtokaartamlaaysittilaeaisrpaapdaitiikamhndwai n tiinii
