00-00	pakaadsaakon kywkabsidkhongmanud
14-01	bukkhonthukkhonemyyothyykbydbynkhywekhannansidthiicahaathiioaaais eila habeooaathiioaaaisaynpaethdoyynkooaid.
14-02	sidswnniibooayhoaangookaydaynkoolaniithiikhamhongfongkaawhaahaakmiiehdphontaamkhwaamcingoankyweikothdthaangkodmaanyolahwaangsaad hlyy kywethingkaankathamthiikhadtoohlakkaan eila khwaammungmaanyokhongsahapasaasaad.
15-00	maadtaa 15.
15-01	bukkhonphuuaydkoocamiisidmiisansaad.
15-02	boomiiphuuaydeliinyothiicathyykthonsansaadkhongtonodblamphangayc hlyy thyykthonsidaynkaanpynsansaad.
16-00	maadtaa 16.
16-01	tangeitmiioaanyoulunbaawsaawkhyynaipphuusaanyo eila phuunyoingodnyoboocamkadsansaad esyyosaad hlyy saasaaa miisidthiicasomlod(eitngdongeooaakanepanphowemnyo) eila saangkhobkhowkhuusomlodmiisidsaemiikanaynemyyowiwaahamongkhon aynlahwaangyuukindwnyokanthaanphowemnyo eila aynkhanathiimiikaaneliikwiwaahamongkhon.
16-02	kaansomlodcatoklongkanaidkooeitemyyokhuusomlodaidayhkhwaamsomnyoom yaangetamayc eila edadkhaad.
16-03	khobkhowepanwadthuthammasaad eila hlaksamkhankhongsangkhom eila miisidthiicaaidhabkhwaamkhumkhongcaadsangkhom eila caaklad.
17-00	maadtaa 17.
17-01	bukkhonthukkhonodnyolamphang hlyy aynmuukhanakookhyymiisidthiicaepanecaaakhongodnyokammasid.
17-02	phuuaydcathonkammasidkhongbukkhonnanodnyolamphangaycbooaideliinyo.
18-00	maadtaa 18.
18-01	bukkhonthukkhonmiisidesliiphaabaynkhwaamkhidaynkhwaamesyyothyy eila kaanthyysaasaaa sidswnniikywkhongdwnyosidesliiphaabaynkaanpynsaasaaaaym hlyy khwaamesyyothyyyaangcingayc eila esliiphaabaynkaansaeidngayhehansaasaaakhongton hlyy khwaamesyyothyyyaangcingayckhongtonaynkaansonodnyokaankathamphithiinamadsakaan eila patibadtaamcaahiidpaephniikaansaeidngnankathamodnyolamphang hlyy hwmmuukhanakootaam.
19-00	maadtaa 19.
19-01	bukkhonthukkhonmiisidesliiphaabaynkaanook eila saeidngkhwaamkhidkhwaamehan dangnancyyngepanoanwaa: kyweiksidthiibootongwitokaynkhwaamkhidkhwaamehankhongton eila sidthiicasyybhaahabeiphphaabkhaaw eila khwaamkhidodnyowithiiaydkootaam eila odnyoboocamkadekhdeidnkhongpaethd.
20-00	maadtaa 20.
20-01	bukkhonthukkhonmiisidesliiphaabaynkaanpasum eila samaakhomaynthaangsantisuk.
20-02	boomiiphuuaydeliinyothiicatongthyykbangkhabaykekhoaaepansamaasikaynsamaakhomaydsamaakhomyyng.
21-00	maadtaa 21.
21-01	bukkhonthukkhonmiisidthiicahwmaynkaanboolihaankicakaaneiphndinaynpaethdkhongtonodnyotongkoodiiodnyophuutaangaathiiaidelyyoktaamoamephiiayceilwkoodii.
21-02	bukkhonthukkhonmiisidthiicahabtameinglaadsakaaneihngpaethdkhongtontaamkoolaniisaemiiphaak.
21-03	khwaamecdtanaakhongsonsaadeimnhlaksamkhankhongoamnaadsaathaalana, khwaamecdtanaaniitongayhsaeidngookmaataamphithiikhadelyyokyaangsudcahlidsyyngcatongkathamkantaamkamnodewlaaodnyomiikaanlongkhaeinnsyngsaemiikanthowaip eila dwnyophithiilab hlyy taamphithiidywkanthiiaihesliiphaabaynkaanlongkhaeinnsyng.
22-00	maadtaa 22.
22-01	khoo 1. bukkhonthukkhonaynthaanathiiepansamaasikkhongsangkhommiisidthiicaaidhabkhwaampodaiphdaansangkhom;bukkhonthukkhonmiisidthiicaaidhabkhwaamphooaycaynsidthiikywkhongeikesdthakid sangkhom eila wadthanaathamsyyngcamepaneikkydtisakkhongtonodnyoesliithangniinyoonkhwaamphanyoaanyoaamkhongsaad eila khwaamhwmmyylahwaangsaadodnyokhamnyyngethingkaanwaanglabyb eila sabsombadkhongeitlapaethd.
23-00	maadtaa 23.
23-01	bukkhonthukkhonmiisidthiicaehadwykehadkaanelyyokkaanngaankhongtontaamlamephiingayctaamkoolaniithiiepantham eila phooayc eila miisidthiicaaidhabkhwaamkhumkhongtookaankhaadngaantham.
23-02	thukkhonmiisidthiicaaidhabkhaacaangsomkabngaanthiithamnanodnyoboomiikaaneitktaangkan.
23-03	bukkhonphuuaydthamkaanngaanmiisidthiicahablaangwantaamkhwaamnyoudtitham eila phooaycephyyolyngsiibkhongton eila khobkhowodnyosomkyd eila thaaepankaansomkhwnkoocaaidhabkhwaamkhumkhongcaaksangkhomodnyowithiioyyn²oiikdwnyo.
23-04	bukkhonthukkhonmiisidthiicatangsamaakhomkhyynkabphakphwkoyyn² eila ekhoaaepansamaasikephyyopongkanphonpaohbdkhongton.
24-00	maadtaa 24.
24-01	bukkhonthukkhonmiisidthiicaphakphonyonayc (miiewlaahwaang) eila epantonwaaailnyoaewlaathamnancaaidthyykkaayhmiikamnodaiwtaamsomkhwnswnkhaacaanglaanyowannankoocaaidkhidayhlamsabewlaaphakphontaamkamnoddwnyo.
25-00	maadtaa 25.
25-01	bukkhonthukkhonthiicamiimaadtathaankaankhongsiibphyngphooephyyosukhaphaab eila khwaamsabaanyokhongton eila khobkhowkhongtonepantonwaasamlaboaahaankaankinekhyyongnunghomthiiphakoaaays kaanhaksaatowcaakeiphdphomthangkaankyweiksangkhomthiicamepannandwnyo;bukkhonthukkhonmiisidthiicahabkaanpodaiphaynemyyokhaadthamngaanaynemyyomiikhwaamecabepanthyykphikaan epanmaanyoethoaaeiksalaa hlyy yuuaynsathaanoyyn²esan:khaadphithiihaalyngsiiboanenyyongmaacaakehdkaanthiiekiidkhyynyaangbooecdtanaanan.
25-02	maadaaphuukhodbud eila edakthiiekiidaymmiisidthiicaaidhabkaansodsonyo eila khwaamswnyoehlyyoodnyosaephaaaedaknonyothukkhonthiiekiidmaakaangwiwaahamongkhon hlyy nokwiwaahamongkhonmiisidthiicaaidhabkhwaamkhumkhongcaaksangkhomesandywkan.
26-00	maadtaa 26.
26-01	bukkhonthukkhonmiisidthiicaaidhabkaanoobhomsyksaa, kaanoobhomsyksaanantongdameniinodnyobooayhmiikaanesnyokhaa, yaangonyotongeimnkaansyyksaasanmuun eila thiiepanekhoaasamlabmuunsyyksaa dameniinodnyoboomiikaanesnyokhaakaansyksaawisaasaephaaa eila oasiwasyyksaatongayhdameniinthowaip, swnoudomsyyksaanantongepiidayheikbukkhonthukkhonodnyosaemiiphaabetamthii eila taamkhunnawudthikhongbukkhon.
26-02	kaanoobhomsyksaanantongaidmungaiphaakhwaamebiikbaanoanetamthiikhongbukkhalikeihngmanud eila mungethingkhwaamnabthyysidkhongmanud. 'eila esliiphaabswnsamkhannanayhmaaknyoiingkhyynkaanoobhomsyksaatongsaabsauunkhwaamekhoaaayckhwaamphonphan eila midtaphaablahwaangpaethdsaadthukpaethd eila muukumesyyosaad hlyy saasaaathukehloaaphomdwnyokhahnyoaanyokaandameniinkhongsahapaasaasaadephyyohaksaaaiwsyysantiphaab.'
26-03	phooeimmiisidkonephiinthiicaelyyokeooaasanidkaanoobhomsyksaathiicaaihluukkhongtonaidhabnan.
27-00	maadtaa 27.
27-01	bukkhonthukkhonthiisidthiicaekhoaahwmdameniinkaansyksaaaynmuukhanaodnyoesliihabkhwaamephiidephiincaaksinlapa eila hwmmyycadkaankaawaaayndaanwithanyoaasaad eila phonpaohnyodthiicaaidmaanandwnyo.
27-02	phuuaydkoomiisidthiicaaidhabkhwaamkhumkhongcaakphonpaohnyodthaangkaanyo eila aycoanekiidmaacaakkaandameniinthukyaangayndaanwithanyoaasaadwannakhadii hlyy sinlapasyyngtonepanecoaakhongnan.
28-00	maadtaa 28.
28-01	bukkhonthukkhonmiisidthiicamiikaansahngobekiidkhyynayndaansangkhom eila ayndaantaangpaethdephyyocaayhmiisid eila esliiphaabthangmwnthiiaidkaawaynaybpakaadsababniidameniinaipyaangsaksidsombuun.
29-00	maadtaa 29.
29-01	bukkhonaydkoomiiaathiisyyngtongpatibadtoomuukhanaaynsangkhom; khwaamcaeliineihngbukkhalikkhongtoncadameniinaipaidyaangeslii eila sombuunkooeitaynwongmuukhanaethoaanan.
29-02	aynkaanpatibadsid eila esliiphaabkhongtonnanthukkhonaydtongdameniinyuuaynkhobekhdeihngkodmaanyothiitangaiwnanthangsiinyaangemaaasomeikkhwaamtongkaankhongthammacalinyoaakhwaamsahngobkhongsaathaalanason eila santisukhwmkanaynsangkhompasaathipaait.
29-03	aynsathaanaydkoodiisid eila esliiphaabehloaaniibookhwnayhpatibadaipaynthaangkhadkhwaangtoocudmaanyo eila hlakkaankhongsahapasaasaad.
30-00	maadtaa 30.
30-01	khooaydkhooyyngaynpakaadsababniibooayheooaatidkhwaamekhoaaaipaynthaangoankyweiksidaydsidyyngsalabladaydladyyng muukhanaaydkhanayyng hlyy bukkhonaydbukkhonyyngthiicadameniinhlyy patibadkaanoanmungthamlaanyosid eila esliiphaabthangmwnyuuaynpakaadsababnii.
