00-00	JAe KOJTSVIJJUeN JATS KOJTSMEKIN JUU’ VE’E JAYU OY TYUKJOeOeJTYKAP.
12-01	Nipuena tse’e kyayaktutejkijyat ovintsova jyoeoejtykin, jyeejnue tyejk , jatsue y’it juu’ kye’mip , meet kets ayook juu’ yakvintse’kintokijyap, pen ve’emtse’e jyatsy, tukidaakjuep tse’e jats jae pava’nuen kyuva’anjuet kyukotsjuet.
13-00	Article 13
13-00	Tukidaakpe’e jats jayu yo’oyet nyaxuet puen joemajaty jayu di tsuek, uk pu puen joema jayu jyoeoejtykava’any, puen joema jayu naax, kajpen nyatyukmutsuekje.
13-01	Yakjajtype’e ye pava’anuen jats jayu nyejkxuet viinjktsoj, jekum uk pen joema temue naat jats di avimpijtinuevat nyaaxue kyajpuen.
14-00	Article 14
14-00	Pen pen tse’e yakpavojpp o’yip tse’e di anejkxat viijnk it jatse’e jaem tsyeenat jyoeoejtykat. (Jekum).
14-01	Ixyue’ue ye kutoejken ka’a tse’e yaktuktaeae’nuet, jats jayu nyin va’anuet, jats ka’a yue ve ve’e y’oya ax joe’n Naciones Unidas di pava’any.
15-00	Article 15
15-00	Toe’kke’eyji tse’e jayu di vinmatsyjue jatse’e tsyeenat jyoeoejtykat joema tyukida’akyjue.
15-01	Ka’a xa ve’e di vinmatsyje jats jayu yakpuejkjat jae it, naxviijn joema jyoeoejtyken di yaknaxy,ni ka’a tse’e yak’akaeae’yat jats tyanuet pen nejkxuevaanuep viijnktsoj.
16-00	Article 16
16-00	Jae jayuda juu’ jyoeoejnt te di ajae’yidinue jats yaa’vyejktinuet, tye’expejktinuet, ka’a tse’e yakviijnk ixuet pen joema tsyoo’nda, jats jae jyaantsyja’vinkejx, jatse’e nyamyeettseenajadat, y’oenek di jayaeptat jats oy jyoeoejtykadat ku nyamyeettseenajadat, nay ve’empa pen vi’ntso di payo’oyda nyamyasookjidinuet.
16-01	Van’it tse’e nyavyekjuedat pen ve’emme’e jae tsyojkuenda jae navyejkjuevada.
16-02	Jae jayu yaa’tyejk , te’extejk , muejjit muutskit, jae’aekejx tse’e jyaeja kajpuen, vyinmajtsjup tse’e pyutekajuet, kyuva’anjuet kyukotsjuet jae yakkutoejkpa pyava’nuen.
17-00	Article 17
17-00	Toe’ke’eyji jayu di vinmatsyjue jats peemduek de jayaepuet, ve’em ax joe’n netoe’jaty, uk pu toe’kmuk.
17-01	Ka’a de vinmatsyjue jats jayu ovintsova yakpejkjat y’it.
18-00	Article 18
18-01	Toe’ke’eyji jayu di vinmatsyjue jats viinm di payo’oyuet pen tii tyoenuevaampy uk pen vitso jae jyaantsyja’vuen, o’yip di yaktikuetsuet jae jyaantsyja’vuen jats di yakyo’oyuet naaydum uk pu jayu meet, o’yip di yakjay’ixjuet, dyakjanyijavajuet jae y’ixpejkuen jats kyutyoe’nuen meet.
19-00	Article 19
19-01	Tum tukidaakjup pe’e toe’k uk pu jadoe’k jats di kojtsnaxuet vintso juu’ de payo’oy ax ka’a tse’e te akaeaega yaktuk’ixuet yaktukmotuvat pen vintso juu’ te de kojtsnaxy o’yip de yakjanyijavajuet pen joema jatsy de tsek, pen vintso de tsek.
20-00	Article 20
20-00	Yakjajtsype’e jae pava’nuen jats jayu nyamyoekjuet jats jayu nyatyukotsjuet nyatyukmaayduekjuet penue tii oy yakxon. Vyinmajtsjuduep tse’e jayuda jats nyay’amoekajadat jats de kojtsmoektat juu’ oy juu’ tsoej jats ka’a myutokuentun.
20-01	Nipenats kyayak’akaeae’yat jats de toenuet, uk de tuktekat pen tii kyatsejkp.
21-00	Article 21
21-00	Tukidaakjuepue jayu jats kyajpuen de mutoenuet viinm, uk kutoeoempa meet juu’ dyakvinken.
21-01	Vyinmajtsjuvap tse’e ananyijoema jayu jats ja myujayuda di mutoenuet joema kyunaaxa.
21-02	Vae’ae xa ve’e kyutoejkuen toeoemp ja kajpuen pyava’any jats kutoeoenk di patoendat, ax kajpuen tse’e vye’na pyava’any uk pu di peemp pen vin’itte’e tyukida’akjue jats kutoeoenk tyukida’akyjue pen vintso ve’e di yakyo’oydat uk pu di yakjapyanejkxjuedat vintso ve’e oy tsoej yo’oyuet, jats ka’a jayu koojjyi nyavyin’ee’njuet.
22-00	Article 22
22-01	Toe’kke’eyji ve’e jayu di vinmatsyjue, jats jayu oy tsoej tsyeenat, jats jayu yakmo’ojuet jae putejkin juu’ temji uk jekum tsoo’mp meen kejx, uk jyatikejxa, jae’ae tsye ve’e, jats di tuk’oyat di tukjoeoejtsykat pen pen ye di majtsp.
23-00	Article 23
23-00	Vyinmajtsjupe’e jats toe’ke’eyji jayu tyoenuet jats di vinkonuet pen tii toeoenk tyoenuevaampy, oyue tsoej, jats ka’a tyoeoenk yaktukmaso’okuet , pen y’akaeae’yajuet jats dyaktikuetsuet ja jyayvuen ye putejkinkejx
23-01	Jyapena, tse’e pen pene’e toeoemp tukidaakjuep tse’e jats yakmujoeyuet akijpxa meet myu’atoeoenk jats ka’a yakviijn’ixuet
23-02	Jyapena pen pen mutoeoemp, ax tukidaakjuep tse’e jats yakmujoeyuet pen vinxuep di akaeaega jats nyipaaduexjuep ku dyaktoenuet meet tsyaanue kyoo, jats pen tii o’yip jyaa’k yaktukputekat.
23-03	Vae’ae ve’e tyukida’aky jats jayu ja nytenyiva di pemuet ax juu’ ve’e nikojtsva’atsjudap ku ovintsova yaktoenuet tyoeoenkjex.
24-00	Article 24
24-01	Tukidaakjupe’e jayu jats pyoo’kxuen xee yakmo’ojuet axjoe’n tyukida’akyjue, ve’em ax joe’n yakmujoeyuet, namvaat pyee’kx.
25-00	Article 25
25-00	Vae’ae ve’e jayu tukidaakjup jats oy tsoej tsyeenat, ve’em meet tsyaanue kyoo, jats kyaaky nyee, vyit xyox jats tyejk joema jyoeoejtykat, tsyoojy di paa’tuet vin’it tyukida’akyjue, tukidaakjuep jats yakputekat penue ka’a tii tyoeoenk, penue pejkjuep, penue yakku’oo’kp, penue mej’oenuekinuep uk penue tii ayo’vuen yaknajxyp, uk jyatikejxa.
25-01	Tukidaakjup jae te’extejk juu’ maaxmeet jats yakputekat, nayve’empa naayduem ’oenuekta juu’ jaem tyee’ tyaak, uk pu juu’ tyee’ ka’ijtp nay tukidaajidip tse’e jats putejkin yakmo’odat.
26-00	Article 26
26-00	Tukidaakjup jayu jats y’ixpekuet. Tukidaakjup tse’e jats pi’k oenuek ve’emji y’ixpekuet juu’ jae ku y’ ixpejkuen due tsoo’nduek. Nay ve’em ixpekuepe’e jae pi’k’oenuek oyam tee’ taak di ja ka tsokuet. Jats juu’ mej’ixpejkuen toe’ke’eyji jayu di vinmatsyjue; ve’em ax joe’n jayu jae myeedaakuen.
26-01	Vae’ae ve’e tyukida’aky jats ja ixpejkuen tyoenuet vintso jayu oy tsoej di tukjoeoejtykat, jats jayu yakvintse’egat, jats di nijavat vintso jyoeoejtykat; jats pyutekat vintso nyavyinmotujadat, uk pu jayu nyayjavajuet, toe’k it uk viijnk it , ve’em ax joe’n joemajaty costumbre tyikuets, uk pu jaantsy ja’vuen; jats yak’ixuet pen vintso yaktukjoeoejtykat Naciones Unidas pyava’nuen.
26-02	Tukidaakjuep tse’e jae tee’ taak jats di vinkontat pen tii ixpejkin tyukmutsojktup tsyaan kyoo.
27-00	Article 27
27-00	Tukidaakjup xa ve’e jayu jats di vinkonuet jae yakxoojntkuen pen juu’ tsyejkp di tuktekat kyajpuenkejxm, o’yivap tse’e jats di tuktejkivat pen tii vijjuen kaejjuen ne’e jaejip uk o’yip jae kajpuenkuejx.
27-01	Tukidaakjup pe’e jayu jats yakvintse’kijat pen ti ve’e yak’oyip yakpaadip, uk pu pen ti ve’e y’ixpue pyaatyp meet jae vyijjuen kyaejjuen.
28-00	Article 28
28-01	Vae’ae ve’e tukidaakjup jats ye kets ye ayoeoek juu’ yam toeoemp kojtsjup jats ye yo’oyuet jyajoema itue naxviijn ax joe’n ixyam due nipayo’oy, jats yakkutyoenuet vintso due vinmatsyjue
29-00	Article 29
29-00	Vae’ae ve’e due vinmatsyjue jats yakmutoenuepe’e kajpuen, kuex jaemme’e jayu jyoeoejtykat nyaxviijnat vintso due vinmatsyjue.
29-01	Ku tse’e tsyokjuet jats ja jayu oy jyoeoejtykat vae’ae tse’e ja jayu pava’nuen yakkutoejkuexjuep jats ve’em y’oyat jae joeoejtykuen meet jae myujayue, jats ve’em oy jae jyoeoejtykuen due yaknaxtat.
29-02	Ka’a ye ve’e ye pava’nuen ovintsova jayu due yaktoeoenkpaa’tuet, ve’emji ve’e tyoenuet vintso Naciones Unidas due pava’any.
30-00	Article 30
30-01	Ka’a ve’e tyukida’akjue jats ixye’e ye pava’nuen ovintsova jae yakkutoejkpa due yaktoenuet uk jyapena dyaktoenuet pen vintso due ka vinmatsyjue, ax joe’n myujayu di nin tukmutokintoenuet.
